,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp
gameId,teamAbbr,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3pAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ortg,Drtg,poss,pace,poss_per_poss,ass_per_poss,teamAbbr,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3pAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ortg,Drtg,poss,pace,poss_per_poss,ass_per_poss
201610250CLE,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610250GSW,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610250POR,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610260BOS,BRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610260IND,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610260LAL,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610260MEM,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610260MIL,CHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610260NOP,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610260ORL,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610260PHI,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610260PHO,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610260TOR,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610270ATL,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610270CHI,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610270POR,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610270SAC,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610280BRK,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610280DAL,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610280DET,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610280MIA,CHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610280NOP,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610280OKC,PHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610280TOR,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610280UTA,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610290CHI,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610290CHO,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610290CLE,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610290DEN,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610290MIL,BRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610290NYK,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610290PHI,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610290SAC,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610290SAS,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610300DET,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610300HOU,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610300LAC,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610300MEM,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610300MIA,SAS,240.0,39.333333333333336,86.66666666666667,0.4526666666666666,9.333333333333334,22.0,0.4166666666666667,21.666666666666668,25.333333333333332,0.8523333333333335,12.0,36.333333333333336,48.333333333333336,23.0,9.666666666666666,6.0,10.333333333333334,20.0,109.66666666666667,0.5586666666666668,0.5056666666666667,0.254,0.2946666666666667,26.099999999999998,83.7,54.56666666666666,59.03333333333333,10.200000000000001,10.9,9.466666666666667,100.0,116.0,96.46666666666665,48.51666666666666,48.51666666666666,2.2549999999999994,0.47433333333333333,SAS,240.0,33.333333333333336,80.33333333333333,0.4143333333333333,5.666666666666667,25.0,0.2313333333333333,18.666666666666668,23.666666666666668,0.7656666666666667,7.0,33.0,40.0,20.0,8.0,3.6666666666666665,13.333333333333334,19.666666666666668,91.0,0.5023333333333334,0.45,0.31,0.3096666666666667,16.3,73.93333333333332,45.43333333333334,60.79999999999999,8.433333333333332,5.533333333333334,12.766666666666666,100.0,96.46666666666665,116.0,48.95416666666667,48.95416666666667,1.8556666666666668,0.4066666666666667
201610300OKC,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610300PHO,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610310ATL,SAC,240.0,37.0,80.33333333333333,0.457,7.0,22.333333333333332,0.31066666666666665,23.333333333333332,29.666666666666668,0.7776666666666666,9.0,28.333333333333332,37.333333333333336,23.333333333333332,6.0,3.3333333333333335,13.666666666666666,21.666666666666668,104.33333333333333,0.5579999999999999,0.5006666666666667,0.2786666666666667,0.37966666666666665,22.7,76.26666666666667,48.76666666666667,64.86666666666666,6.533333333333334,6.2,12.800000000000002,100.0,112.86666666666667,108.13333333333333,49.54583333333333,49.54583333333333,2.103666666666667,0.4706666666666666,SAC,240.0,36.333333333333336,75.33333333333333,0.48433333333333334,5.666666666666667,18.666666666666668,0.30033333333333334,21.333333333333332,28.333333333333332,0.7553333333333333,8.666666666666666,30.333333333333332,39.0,20.666666666666668,7.333333333333333,5.333333333333333,12.666666666666666,26.666666666666668,99.66666666666667,0.5686666666666667,0.5223333333333333,0.25,0.3786666666666667,23.73333333333333,77.3,51.23333333333333,56.96666666666667,7.966666666666666,9.700000000000001,12.466666666666667,100.0,108.13333333333333,112.86666666666667,46.395833333333336,46.395833333333336,2.1553333333333335,0.44599999999999995
201610310BRK,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610310LAC,PHO,248.33333333333334,38.333333333333336,87.0,0.442,5.666666666666667,22.333333333333332,0.25899999999999995,19.0,28.0,0.681,9.333333333333334,35.666666666666664,45.0,18.0,9.0,4.0,14.666666666666666,28.0,101.33333333333333,0.511,0.47433333333333333,0.254,0.323,20.599999999999998,77.63333333333333,49.13333333333333,47.56666666666666,8.533333333333333,6.566666666666666,12.933333333333332,100.0,97.26666666666667,106.7,52.81666666666666,54.85138889,1.9206666666666665,0.34600000000000003,PHO,248.33333333333334,39.666666666666664,88.33333333333333,0.4503333333333333,6.333333333333333,23.666666666666668,0.26666666666666666,25.0,32.333333333333336,0.7719999999999999,10.333333333333334,36.666666666666664,47.0,21.333333333333332,7.333333333333333,4.333333333333333,16.666666666666668,22.333333333333332,110.66666666666667,0.5413333333333333,0.48666666666666664,0.27066666666666667,0.36533333333333334,22.366666666666664,79.39999999999999,50.866666666666674,54.699999999999996,6.8999999999999995,6.733333333333333,13.800000000000002,100.0,106.7,97.26666666666665,55.012499999999996,57.13142360999999,2.023,0.39766666666666667
201610310TOR,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201611010CLE,HOU,240.0,37.0,79.0,0.4676666666666667,11.0,30.666666666666668,0.355,19.333333333333332,26.333333333333332,0.7256666666666667,8.0,34.333333333333336,42.333333333333336,22.0,7.0,2.0,16.333333333333332,22.0,104.33333333333333,0.577,0.5396666666666666,0.39233333333333337,0.33866666666666667,21.533333333333335,77.56666666666666,52.300000000000004,58.86666666666667,7.333333333333333,3.733333333333333,15.366666666666665,100.0,110.06666666666668,108.83333333333333,49.92083333333333,49.92083333333333,2.0883333333333334,0.439,HOU,240.0,37.333333333333336,85.0,0.4386666666666666,10.333333333333334,31.666666666666668,0.32466666666666666,18.333333333333332,22.0,0.8336666666666667,10.0,28.666666666666668,38.666666666666664,17.0,9.666666666666666,3.0,11.0,20.666666666666668,103.33333333333333,0.5446666666666666,0.49899999999999994,0.37200000000000005,0.25999999999999995,22.433333333333334,78.46666666666667,47.699999999999996,45.63333333333333,10.2,6.1000000000000005,10.299999999999999,100.0,108.83333333333333,110.06666666666668,48.225,48.225,2.135666666666667,0.351
201611010DET,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201611010IND,LAL,240.0,37.333333333333336,86.66666666666667,0.4296666666666667,9.333333333333334,30.0,0.31766666666666665,17.666666666666668,22.333333333333332,0.7906666666666666,11.0,30.0,41.0,19.0,10.333333333333334,4.333333333333333,16.666666666666668,23.666666666666668,101.66666666666667,0.5256666666666666,0.4836666666666667,0.34500000000000003,0.25766666666666665,25.266666666666666,73.26666666666667,48.5,51.26666666666667,10.266666666666667,7.966666666666666,14.666666666666666,100.0,102.66666666666667,108.53333333333335,51.47083333333334,51.47083333333334,1.9756666666666665,0.36833333333333335,LAL,240.0,40.0,85.33333333333333,0.4663333333333333,7.333333333333333,26.666666666666668,0.27566666666666667,20.333333333333332,28.0,0.7426666666666666,11.0,32.666666666666664,43.666666666666664,24.0,9.666666666666666,4.666666666666667,15.666666666666666,21.0,107.66666666666667,0.5503333333333332,0.5086666666666667,0.31466666666666665,0.342,26.733333333333334,74.73333333333333,51.5,58.5,9.533333333333333,8.1,13.733333333333334,100.0,108.53333333333335,102.66666666666667,51.65,51.65,2.0850000000000004,0.4589999999999999
201611010MIA,SAC,240.0,34.333333333333336,76.66666666666667,0.4463333333333333,8.333333333333334,23.0,0.36033333333333334,21.333333333333332,27.333333333333332,0.762,7.666666666666667,28.666666666666668,36.333333333333336,24.0,7.666666666666667,3.6666666666666665,15.666666666666666,26.333333333333332,98.33333333333333,0.5546666666666668,0.5006666666666667,0.2996666666666667,0.3633333333333333,20.833333333333332,72.83333333333333,47.73333333333333,70.76666666666667,8.366666666666667,7.533333333333334,15.066666666666668,100.0,107.7,113.46666666666665,48.82500000000001,48.82500000000001,2.0130000000000003,0.49133333333333334,SAC,240.0,35.333333333333336,76.0,0.4676666666666667,8.0,23.333333333333332,0.3393333333333333,25.0,35.0,0.7386666666666667,11.0,28.666666666666668,39.666666666666664,22.0,9.0,6.333333333333333,11.0,23.666666666666668,103.66666666666667,0.5696666666666667,0.52,0.3073333333333333,0.46,27.166666666666668,79.2,52.26666666666667,62.666666666666664,9.799999999999999,12.0,10.700000000000001,100.0,113.46666666666665,107.7,46.3125,46.3125,2.240666666666667,0.474
201611010MIN,MEM,248.33333333333334,37.333333333333336,84.66666666666667,0.441,11.666666666666666,26.666666666666668,0.434,19.666666666666668,26.333333333333332,0.7476666666666668,11.0,33.0,44.0,20.666666666666668,6.0,5.0,13.0,27.0,106.0,0.5506666666666666,0.5100000000000001,0.3143333333333333,0.3116666666666667,25.433333333333337,78.03333333333333,51.13333333333333,55.23333333333333,6.233333333333333,7.7,11.9,100.0,110.63333333333333,108.59999999999998,49.5875,51.38177083333333,2.137333333333333,0.41566666666666663,MEM,248.33333333333334,38.0,82.66666666666667,0.4623333333333333,5.666666666666667,21.333333333333332,0.27299999999999996,22.333333333333332,31.0,0.737,9.666666666666666,32.333333333333336,42.0,21.0,6.0,4.333333333333333,12.0,23.666666666666668,104.0,0.541,0.4966666666666666,0.25866666666666666,0.38033333333333336,21.96666666666667,74.56666666666668,48.86666666666667,55.199999999999996,6.233333333333333,7.5,11.066666666666668,100.0,108.60000000000001,110.63333333333333,49.862500000000004,51.66588541666667,2.0863333333333336,0.4216666666666667
201611010NOP,MIL,240.0,38.0,89.0,0.42700000000000005,5.0,18.333333333333332,0.26233333333333336,15.333333333333334,19.333333333333332,0.7896666666666666,9.333333333333334,34.0,43.333333333333336,23.333333333333332,9.333333333333334,4.666666666666667,11.333333333333334,20.333333333333332,96.33333333333333,0.49300000000000005,0.455,0.20633333333333334,0.217,19.400000000000002,72.8,45.86666666666667,61.56666666666666,9.533333333333333,7.833333333333333,10.4,100.0,98.86666666666667,107.40000000000002,50.09166666666667,50.09166666666667,1.9173333333333336,0.4653333333333333,MIL,240.0,38.666666666666664,87.0,0.444,7.666666666666667,25.666666666666668,0.2926666666666667,19.333333333333332,24.0,0.8013333333333333,12.666666666666666,38.666666666666664,51.333333333333336,24.333333333333332,8.333333333333334,6.666666666666667,14.333333333333334,19.333333333333332,104.33333333333333,0.5346666666666667,0.48900000000000005,0.2966666666666667,0.27666666666666667,27.2,80.60000000000001,54.13333333333333,62.9,8.533333333333333,9.333333333333334,12.733333333333334,100.0,107.39999999999999,98.86666666666667,50.03333333333333,50.03333333333333,2.0850000000000004,0.48700000000000004
