gameId,teamAbbr,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3pAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ortg,Drtg,poss,pace,poss_per_poss,ass_per_poss,gameId.1,teamAbbr.1,MP.1,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,PTS.1,TS%.1,eFG%.1,3pAr.1,FTr.1,ORB%.1,DRB%.1,TRB%.1,AST%.1,STL%.1,BLK%.1,TOV%.1,USG%.1,Ortg.1,Drtg.1,poss.1,pace.1,poss_per_poss.1,ass_per_poss.1
202012220BRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202012220BRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202012220LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202012220LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202012230BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202012230BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202012230CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202012230CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202012230CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202012230CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202012230DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202012230DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202012230IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202012230IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202012230MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202012230MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202012230MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202012230MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202012230ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202012230ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202012230PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202012230PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202012230PHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202012230PHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202012230POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202012230POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202012230TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202012230TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202012250BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202012250BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202012250DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202012250DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202012250LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202012250LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202012250MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202012250MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202012250MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202012250MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202012260CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202012260CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202012260CHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202012260CHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202012260DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202012260DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202012260MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202012260MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202012260NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202012260NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202012260POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202012260POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202012260SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202012260SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202012260SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202012260SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202012260UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202012260UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202012260WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202012260WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202012270CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202012270CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202012270CHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202012270CHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202012270CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202012270CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202012270IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202012270IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
