,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj
Bookmaker,Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet265 (%),bet365 (%),bwin (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet265 (%),bet365 (%),bwin (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet265 (%),bet365 (%),bwin (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet265 (%),bet365 (%),bwin (%)
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410280LAL,28.98550724637681,28.40909090909091,30.3951367781155,28.57142857142857,30.76923076923077,,29.850746268656717,29.411764705882355,72.97297297297297,74.09326424870466,74.61928934010153,75.18610421836229,75.18610421836229,,74.61928934010153,75.18610421836229,0.2842873607376104,0.2771554942845655,0.2894377268119242,0.27536727024256913,0.2903981264637002,,0.28573500616433384,0.28118894780909853,0.7157126392623895,0.7228445057154346,0.7105622731880757,0.7246327297574309,0.7096018735362998,,0.7142649938356661,0.7188110521909016
201410280NOP,82.63888888888889,81.98198198198197,83.33333333333334,83.33333333333334,84.02555910543131,,83.33333333333334,84.7560975609756,19.230769230769237,20.12072434607646,20.833333333333336,21.052631578947366,21.83406113537118,,21.052631578947366,20.0,0.8112218143681174,0.8029364248051556,0.7999999999999999,0.7983193277310925,0.7937451401610501,,0.7983193277310925,0.8090803259604191,0.1887781856318826,0.19706357519484444,0.19999999999999998,0.2016806722689075,0.2062548598389499,,0.2016806722689075,0.1909196740395809
201410280SAS,60.629921259842526,60.9375,62.825278810408925,61.68582375478927,63.23529411764706,,61.68582375478927,62.546816479400746,41.32231404958678,41.32231404958678,42.01680672268908,41.66666666666667,42.73504273504273,,41.66666666666667,41.66666666666667,0.5946894746920278,0.5959085743149387,0.5992372098566788,0.5968489341983317,0.596726366979006,,0.5968489341983317,0.6001796945193171,0.4053105253079721,0.40409142568506123,0.4007627901433211,0.40315106580166826,0.4032736330209939,,0.40315106580166826,0.39982030548068287
201410290BOS,52.60663507109005,51.92307692307693,52.15311004784689,53.48837209302325,53.271028037383175,,53.70370370370371,50.0,49.50495049504951,50.73891625615764,52.60663507109005,51.21951219512195,52.60663507109005,,51.21951219512195,58.15899581589959,0.5151877211525205,0.5057672787671864,0.4978354041300489,0.5108342361863488,0.5031375502008032,,0.5118381403357727,0.4622823984526112,0.4848122788474795,0.4942327212328135,0.5021645958699511,0.4891657638136511,0.49686244979919675,,0.48816185966422726,0.5377176015473888
201410290CHO,78.72340425531915,78.72340425531915,80.0,80.0,79.38144329896907,,80.0,80.0,23.25581395348837,23.474178403755868,25.0,25.0,26.737967914438503,,24.449877750611247,24.449877750611247,0.7719553614750122,0.7703059329488808,0.7619047619047619,0.7619047619047619,0.7480388591615149,,0.7659176029962547,0.7659176029962547,0.22804463852498785,0.22969406705111914,0.23809523809523808,0.23809523809523808,0.25196114083848514,,0.2340823970037453,0.2340823970037453
201410290DEN,71.91011235955057,71.91011235955057,74.09326424870466,72.45179063360881,72.97297297297297,,72.97297297297297,73.54497354497354,30.3951367781155,30.58103975535168,30.76923076923077,31.25,32.89473684210527,,31.25,34.48275862068966,0.7028975831219122,0.7016226364489742,0.7065754465982516,0.6986551552382534,0.6892845146120256,,0.7001620745542949,0.6807971626414457,0.29710241687808786,0.29837736355102584,0.2934245534017484,0.30134484476174667,0.31071548538797455,,0.29983792544570503,0.3192028373585543
201410290IND,76.905311778291,76.35933806146572,78.11816192560175,77.52808988764045,76.905311778291,,77.52808988764045,78.11816192560175,25.0,25.97402597402597,27.027027027027028,26.666666666666668,28.98550724637681,,27.027027027027028,26.31578947368421,0.7546742209631728,0.746182232756293,0.7429551718319365,0.7440690150970525,0.7262698738818472,,0.7415045018878884,0.748014997794442,0.2453257790368272,0.253817767243707,0.25704482816806346,0.2559309849029475,0.2737301261181528,,0.25849549811211153,0.251985002205558
201410290MEM,75.18610421836229,76.35933806146572,78.72340425531915,77.52808988764045,76.35933806146572,,77.52808988764045,76.905311778291,27.027027027027028,25.97402597402597,25.97402597402597,26.666666666666668,29.761904761904763,,27.027027027027028,27.77777777777778,0.7355816547470638,0.746182232756293,0.7519134336236475,0.7440690150970525,0.7195480945182592,,0.7415045018878884,0.7346488540262287,0.2644183452529361,0.253817767243707,0.24808656637635257,0.2559309849029475,0.2804519054817408,,0.25849549811211153,0.2653511459737713
201410290MIA,68.05111821086261,66.21621621621621,67.53246753246754,67.53246753246754,66.66666666666666,,68.05111821086261,67.53246753246754,34.01360544217687,36.36363636363637,37.03703703703704,36.36363636363637,39.37007874015748,,36.36363636363637,37.03703703703704,0.6667447456399992,0.6455089820359281,0.6458141674333027,0.6499999999999999,0.6287128712871287,,0.6517385257301808,0.6458141674333027,0.33325525436000086,0.3544910179640719,0.35418583256669733,0.35,0.37128712871287134,,0.34826147426981924,0.35418583256669733
201410290NYK,35.842293906810035,36.90036900369004,39.37007874015748,38.46153846153847,40.32258064516129,,37.45318352059925,37.03703703703704,66.21621621621621,65.39792387543253,65.75342465753424,64.15770609318996,65.75342465753424,,65.75342465753424,67.53246753246754,0.3511935835983105,0.36071343875984474,0.374512620562282,0.3747984954325632,0.3801291397625495,,0.36289520779479023,0.35418583256669733,0.6488064164016895,0.6392865612401553,0.625487379437718,0.6252015045674368,0.6198708602374505,,0.6371047922052099,0.6458141674333027
