,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj
Bookmaker,1xBet (%),Coolbet (%),GGBET (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%),1xBet (%),Coolbet (%),GGBET (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%),1xBet (%),Coolbet (%),GGBET (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%),1xBet (%),Coolbet (%),GGBET (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%)
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201910220LAC,42.01680672268908,43.66812227074236,,41.1522633744856,40.81632653061224,41.1522633744856,40.81632653061224,43.290043290043286,40.81632653061224,42.5531914893617,63.23529411764706,60.629921259842526,,61.38996138996139,61.68582375478927,62.546816479400746,62.121212121212125,62.825278810408925,62.546816479400746,61.68582375478927,0.3992015968063873,0.41868591962549034,,0.4013201729240591,0.39819971012281635,0.39684309091719805,0.39651547011114446,0.4079528048651026,0.39488279227981954,0.40822710565418,0.6007984031936128,0.5813140803745096,,0.5986798270759409,0.6018002898771836,0.603156909082802,0.6034845298888556,0.5920471951348975,0.6051172077201805,0.5917728943458199
201910220TOR,71.91011235955057,72.97297297297297,,71.91011235955057,72.97297297297297,73.54497354497354,73.54497354497354,74.09326424870466,74.61928934010153,74.61928934010153,30.3951367781155,31.05590062111801,,30.76923076923077,29.673590504451035,30.76923076923077,29.411764705882355,32.05128205128205,29.850746268656717,30.3951367781155,0.7028975831219122,0.701468452477005,,0.7003367003367004,0.7109149152277522,0.705033164260632,0.7143288996372431,0.6980411790474998,0.7142649938356661,0.7105622731880757,0.29710241687808786,0.298531547522995,,0.29966329966329963,0.2890850847722478,0.29496683573936794,0.285671100362757,0.3019588209525002,0.28573500616433384,0.2894377268119242
201910230BRK,63.23529411764706,59.83935742971887,,62.546816479400746,60.31746031746032,61.38996138996139,61.68582375478927,61.38996138996139,60.9375,60.629921259842526,40.65040650406504,44.44444444444444,,40.16064257028113,42.3728813559322,42.91845493562232,41.66666666666667,44.843049327354265,42.5531914893617,44.44444444444444,0.6087006560018414,0.5738125802310655,,0.6089802732744607,0.5873722818967776,0.5885427423070202,0.5968489341983317,0.5778802744593119,0.5888210729200128,0.5770191507077436,0.39129934399815863,0.42618741976893454,,0.3910197267255393,0.4126277181032224,0.4114572576929798,0.40315106580166826,0.4221197255406881,0.41117892707998716,0.4229808492922564
201910230CHO,41.49377593360996,43.290043290043286,,41.1522633744856,41.32231404958678,41.66666666666667,40.81632653061224,43.290043290043286,41.66666666666667,42.5531914893617,60.9375,60.9375,,61.38996138996139,61.38996138996139,62.546816479400746,62.121212121212125,62.825278810408925,61.68582375478927,61.68582375478927,0.40508892967909366,0.41534168343176064,,0.4013201729240591,0.40231134859734696,0.39982030548068287,0.39651547011114446,0.4079528048651026,0.40315106580166826,0.40822710565418,0.5949110703209064,0.5846583165682394,,0.5986798270759409,0.5976886514026531,0.6001796945193171,0.6034845298888556,0.5920471951348975,0.5968489341983317,0.5917728943458199
201910230DAL,80.0,81.30841121495327,,80.65764023210832,80.0,80.0,81.30841121495327,84.02555910543131,81.30841121495327,81.98198198198197,22.421524663677133,22.727272727272727,,21.978021978021975,22.88329519450801,23.52941176470588,21.78649237472767,22.026431718061676,23.52941176470588,22.22222222222222,0.7810858143607705,0.7815434871376071,,0.7858636900200883,0.7775800711743772,0.7727272727272727,0.7886753698181028,0.7923053443219068,0.7755637126376508,0.7867435158501441,0.21891418563922943,0.21845651286239282,,0.21413630997991176,0.22241992882562278,0.22727272727272724,0.21132463018189718,0.2076946556780932,0.22443628736234922,0.21325648414985593
201910230IND,74.09326424870466,75.18610421836229,,74.09326424870466,74.61928934010153,75.18610421836229,75.18610421836229,76.35933806146572,75.18610421836229,74.09326424870466,28.901734104046245,28.57142857142857,,28.57142857142857,28.57142857142857,28.98550724637681,28.57142857142857,29.49852507374631,29.411764705882355,30.3951367781155,0.7193870132891331,0.7246327297574309,,0.7217015140591204,0.7231201686577653,0.7217523388683674,0.7246327297574309,0.7213383663708769,0.7188110521909016,0.7091051592385489,0.2806129867108669,0.27536727024256913,,0.2782984859408796,0.2768798313422347,0.2782476611316325,0.27536727024256913,0.2786616336291231,0.28118894780909853,0.29089484076145117
201910230MIA,74.61928934010153,72.45179063360881,,73.54497354497354,73.54497354497354,73.54497354497354,73.54497354497354,74.61928934010153,74.61928934010153,73.54497354497354,29.239766081871345,31.446540880503143,,29.069767441860467,29.49852507374631,30.76923076923077,29.411764705882355,31.446540880503143,29.850746268656717,31.25,0.7184668591191015,0.6973335334433938,,0.716709634870196,0.7137274503567047,0.705033164260632,0.7143288996372431,0.7035186467206453,0.7142649938356661,0.7017986746607763,0.2815331408808986,0.3026664665566061,,0.283290365129804,0.2862725496432953,0.29496683573936794,0.285671100362757,0.2964813532793546,0.28573500616433384,0.2982013253392237
201910230ORL,83.33333333333334,83.33333333333334,,83.33333333333334,82.63888888888889,84.7560975609756,83.33333333333334,85.46511627906976,83.33333333333334,81.98198198198197,19.64636542239685,20.66115702479339,,19.230769230769237,20.53388090349076,19.047619047619047,20.0,20.49180327868853,21.052631578947366,22.727272727272727,0.809220985691574,0.8013245033112583,,0.8124999999999999,0.8009757715644132,0.8165034965034965,0.8064516129032259,0.8066025006746425,0.7983193277310925,0.7829487680876026,0.190779014308426,0.1986754966887417,,0.18750000000000003,0.19902422843558665,0.1834965034965035,0.1935483870967742,0.19339749932535763,0.2016806722689075,0.21705123191239734
