,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj
Bookmaker,10x10bet (%),1xBet (%),Coolbet (%),Curebet (%),GGBET (%),Lasbet (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%),10x10bet (%),1xBet (%),Coolbet (%),Curebet (%),GGBET (%),Lasbet (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%),10x10bet (%),1xBet (%),Coolbet (%),Curebet (%),GGBET (%),Lasbet (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%),10x10bet (%),1xBet (%),Coolbet (%),Curebet (%),GGBET (%),Lasbet (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%)
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202012220BRK,,,76.905311778291,,75.18610421836229,,76.35933806146572,76.905311778291,74.09326424870466,76.905311778291,78.11816192560175,77.52808988764045,75.18610421836229,,,26.666666666666668,,29.850746268656717,,26.31578947368421,26.109660574412537,30.3951367781155,27.027027027027028,27.77777777777778,27.027027027027028,29.411764705882355,,,0.7425301025717258,,0.715806917950707,,0.7436984973339796,0.7465449926539023,0.7091051592385489,0.7399555582247312,0.7376879807140397,0.7415045018878884,0.7188110521909016,,,0.25746989742827414,,0.284193082049293,,0.25630150266602036,0.2534550073460978,0.29089484076145117,0.26004444177526875,0.2623120192859603,0.25849549811211153,0.28118894780909853
202012220LAL,,,57.80590717299579,,57.80590717299579,,55.947136563876654,57.08154506437768,56.896551724137936,57.44680851063831,57.80590717299579,57.44680851063831,59.83935742971887,,,45.662100456621005,,47.16981132075472,,44.44444444444444,45.24886877828055,47.61904761904761,46.728971962616825,48.54368932038835,46.728971962616825,44.44444444444444,,,0.5586838724093627,,0.5506597906870924,,0.5572891272549976,0.5578160286945134,0.5443833464257659,0.551441114716549,0.5435460883633142,0.551441114716549,0.5738125802310655,,,0.4413161275906374,,0.4493402093129076,,0.4427108727450024,0.4421839713054866,0.45561665357423403,0.44855888528345095,0.4564539116366858,0.44855888528345095,0.42618741976893454
202012230BOS,,,39.68253968253968,,39.68253968253968,,36.90036900369004,38.31417624521073,39.37007874015748,37.03703703703704,40.16064257028113,37.735849056603776,39.37007874015748,,,63.63636363636363,,65.39792387543253,,63.23529411764706,64.15770609318996,64.53900709219859,65.39792387543253,65.75342465753424,64.91228070175438,65.39792387543253,,,0.38407821229050276,,0.3776395567635375,,0.3685037663252588,0.3738994089977084,0.378889665179771,0.3615663705742525,0.37918138375233745,0.36762334730732027,0.37578342392011027,,,0.6159217877094972,,0.6223604432364626,,0.6314962336747412,0.6261005910022917,0.6211103348202289,0.6384336294257476,0.6208186162476625,0.6323766526926798,0.6242165760798897
202012230CHI,,,50.0,,48.07692307692308,,46.728971962616825,48.07692307692308,48.54368932038835,49.01960784313725,50.0,49.01960784313725,49.01960784313725,,,54.12844036697248,,56.896551724137936,,55.947136563876654,54.54545454545454,56.14035087719298,55.55555555555556,56.14035087719298,55.55555555555556,55.55555555555556,,,0.48017621145374445,,0.457991156032849,,0.4551104695456915,0.46848381601362865,0.4637162382037097,0.46875,0.47107438016528924,0.46875,0.46875,,,0.5198237885462554,,0.542008843967151,,0.5448895304543085,0.5315161839863713,0.5362837617962902,0.53125,0.5289256198347106,0.53125,0.53125
202012230CLE,,,42.91845493562232,,45.45454545454545,,41.66666666666667,42.3728813559322,45.45454545454545,43.66812227074236,44.642857142857146,43.66812227074236,44.44444444444444,,,60.9375,,59.51417004048582,,60.9375,60.31746031746032,58.8477366255144,59.83935742971887,61.38996138996139,60.31746031746032,59.83935742971887,,,0.41324982243171693,,0.4330294530154278,,0.4060913705583757,0.4126277181032224,0.43579626972740315,0.4218837362972501,0.4210286754665453,0.41994400746567123,0.42618741976893454,,,0.5867501775682831,,0.5669705469845722,,0.5939086294416244,0.5873722818967776,0.5642037302725968,0.5781162637027498,0.5789713245334547,0.5800559925343288,0.5738125802310655
202012230DEN,,,76.35933806146572,,76.35933806146572,,76.35933806146572,75.72815533980582,75.18610421836229,76.35933806146572,78.72340425531915,76.35933806146572,75.18610421836229,,,27.3972602739726,,28.653295128939828,,26.31578947368421,27.24795640326976,28.98550724637681,27.3972602739726,27.3972602739726,27.77777777777778,29.411764705882355,,,0.7359468148194388,,0.7271443038954505,,0.7436984973339796,0.7353953655654317,0.7217523388683674,0.7359468148194388,0.7418291678110409,0.7332576617480135,0.7188110521909016,,,0.26405318518056115,,0.2728556961045495,,0.25630150266602036,0.26460463443456816,0.2782476611316325,0.26405318518056115,0.25817083218895903,0.26674233825198634,0.28118894780909853
202012230IND,,,75.18610421836229,,75.72815533980582,,75.72815533980582,74.61928934010153,75.18610421836229,76.35933806146572,78.11816192560175,76.35933806146572,79.38144329896907,,,28.24858757062147,,29.239766081871345,,26.881720430107524,28.01120448179272,28.98550724637681,27.3972602739726,27.77777777777778,27.77777777777778,25.64102564102564,,,0.7268944579227715,,0.7214409346603201,,0.7380201444704446,0.7270674295847823,0.7217523388683674,0.7359468148194388,0.7376879807140397,0.7332576617480135,0.755852001006796,,,0.27310554207722854,,0.2785590653396798,,0.2619798555295554,0.27293257041521773,0.2782476611316325,0.26405318518056115,0.2623120192859603,0.26674233825198634,0.2441479989932041
202012230MEM,,,55.947136563876654,,57.08154506437768,,56.896551724137936,55.15695067264574,56.52173913043478,56.52173913043478,56.896551724137936,56.896551724137936,57.08154506437768,,,47.61904761904761,,48.07692307692308,,45.662100456621005,47.16981132075472,47.61904761904761,47.61904761904761,49.01960784313725,47.61904761904761,47.61904761904761,,,0.5402066032003241,,0.542814535750726,,0.5547708605204575,0.5390276170001654,0.5427435387673956,0.5427435387673956,0.5371848068943506,0.5443833464257659,0.5451883661916845,,,0.45979339679967585,,0.45718546424927403,,0.44522913947954246,0.4609723829998347,0.4572564612326043,0.4572564612326043,0.4628151931056495,0.45561665357423403,0.4548116338083154
