,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj
Bookmaker,10x10bet (%),1xBet (%),BetFinal (%),Coolbet (%),Curebet (%),Ditobet (%),GGBET (%),Lasbet (%),Marathonbet (%),N1 Bet (%),Parimatch (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%),10x10bet (%),1xBet (%),BetFinal (%),Coolbet (%),Curebet (%),Ditobet (%),GGBET (%),Lasbet (%),Marathonbet (%),N1 Bet (%),Parimatch (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%),10x10bet (%),1xBet (%),BetFinal (%),Coolbet (%),Curebet (%),Ditobet (%),GGBET (%),Lasbet (%),Marathonbet (%),N1 Bet (%),Parimatch (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%),10x10bet (%),1xBet (%),BetFinal (%),Coolbet (%),Curebet (%),Ditobet (%),GGBET (%),Lasbet (%),Marathonbet (%),N1 Bet (%),Parimatch (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%)
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202110190LAL,68.45425867507886,58.8477366255144,59.18367346938776,59.51417004048582,68.05111821086261,,60.31746031746032,67.10526315789474,58.8477366255144,,60.629921259842526,60.9375,60.31746031746032,61.68582375478927,61.68582375478927,60.31746031746032,61.68582375478927,36.76470588235294,42.73504273504273,41.66666666666667,44.44444444444444,36.36363636363637,,45.04504504504504,36.101083032490976,41.49377593360996,,45.04504504504504,41.66666666666667,44.05286343612335,41.66666666666667,44.44444444444444,43.66812227074236,42.5531914893617,0.6505885983863146,0.5793081956995949,0.5868465430016864,0.5724794461272177,0.6517385257301808,,0.5724755700325733,0.6502048142863718,0.5864744822422272,,0.5737396791300262,0.5939086294416244,0.5779177274554469,0.5968489341983317,0.5812274368231047,0.5800559925343288,0.5917728943458199,0.3494114016136855,0.4206918043004051,0.4131534569983137,0.42752055387278237,0.34826147426981924,,0.4275244299674266,0.3497951857136282,0.41352551775777274,,0.42626032086997384,0.4060913705583757,0.4220822725445531,0.40315106580166826,0.4187725631768953,0.41994400746567123,0.40822710565418
202110190MIL,50.495049504950494,54.12844036697248,53.48837209302325,55.55555555555556,50.0,,53.70370370370371,49.50495049504951,54.337899543379,,55.55555555555556,54.95495495495496,55.55555555555556,55.55555555555556,56.52173913043478,55.55555555555556,55.55555555555556,54.95495495495496,47.61904761904761,47.16981132075472,48.54368932038835,54.337899543379,,51.45631067961165,53.70370370370371,48.54368932038835,,48.54368932038835,47.61904761904761,49.01960784313725,49.01960784313725,49.50495049504951,49.01960784313725,49.01960784313725,0.4788529859583827,0.531987977672821,0.531386224934612,0.533678756476684,0.47921225382932164,,0.5106855872798769,0.4796589092201102,0.5281596070151248,,0.533678756476684,0.5357590966122961,0.53125,0.53125,0.5330897279740153,0.53125,0.53125,0.5211470140416173,0.46801202232717903,0.468613775065388,0.46632124352331605,0.5207877461706784,,0.48931441272012305,0.5203410907798899,0.4718403929848753,,0.46632124352331605,0.4642409033877038,0.46875,0.46875,0.4669102720259846,0.46875,0.46875
202110200CHO,58.15899581589959,47.16981132075472,49.50495049504951,50.0,57.80590717299579,,51.92307692307693,56.896551724137936,47.61904761904761,,49.50495049504951,49.01960784313725,49.50495049504951,50.0,50.495049504950494,49.01960784313725,47.61904761904761,47.16981132075472,54.54545454545454,54.95495495495496,54.12844036697248,46.728971962616825,,51.92307692307693,46.2962962962963,55.15695067264574,,54.54545454545454,53.70370370370371,54.54545454545454,54.54545454545454,55.55555555555556,55.55555555555556,57.08154506437768,0.5521660920401739,0.46374367622259705,0.4739134147382803,0.48017621145374445,0.5529820061111321,,0.5,0.5513613861386139,0.46332848535217114,,0.4757785467128029,0.4772004241781548,0.4757785467128029,0.47826086956521746,0.47614107883817425,0.46875,0.4548116338083154,0.4478339079598261,0.5362563237774031,0.5260865852617197,0.5198237885462554,0.4470179938888679,,0.5,0.4486386138613861,0.5366715146478288,,0.5242214532871972,0.5227995758218452,0.5242214532871972,0.5217391304347826,0.5238589211618258,0.53125,0.5451883661916845
202110200DET,45.45454545454545,34.72222222222222,36.101083032490976,35.587188612099645,44.843049327354265,,36.101083032490976,44.44444444444444,36.101083032490976,,36.36363636363637,35.2112676056338,35.842293906810035,35.08771929824561,37.03703703703704,35.842293906810035,36.36363636363637,59.83935742971887,66.66666666666666,67.53246753246754,68.45425867507886,59.51417004048582,,67.53246753246754,58.8477366255144,66.66666666666666,,68.05111821086261,67.53246753246754,68.94409937888199,68.45425867507886,69.41896024464832,68.94409937888199,68.05111821086261,0.4316920943134535,0.3424657534246575,0.34835323923271805,0.3420481888710252,0.4297072075990328,,0.34835323923271805,0.4302788844621514,0.35128805620608905,,0.34826147426981924,0.3427096314758768,0.3420510314644458,0.3388743385536373,0.34790935205872964,0.3420510314644458,0.34826147426981924,0.5683079056865464,0.6575342465753424,0.6516467607672819,0.6579518111289748,0.5702927924009672,,0.6516467607672819,0.5697211155378487,0.648711943793911,,0.6517385257301808,0.6572903685241233,0.6579489685355542,0.6611256614463628,0.6520906479412704,0.6579489685355542,0.6517385257301808
202110200MEM,78.72340425531915,72.45179063360881,73.54497354497354,74.09326424870466,78.11816192560175,,75.18610421836229,77.52808988764045,73.54497354497354,,74.61928934010153,73.54497354497354,72.97297297297297,73.54497354497354,75.18610421836229,74.61928934010153,75.18610421836229,26.31578947368421,28.901734104046245,30.3951367781155,29.850746268656717,26.041666666666668,,28.57142857142857,25.51020408163265,29.069767441860467,,29.411764705882355,29.585798816568047,30.76923076923077,29.411764705882355,30.76923076923077,29.850746268656717,29.411764705882355,0.7494669509594883,0.7148423384499364,0.7075706704213148,0.7128189866825384,0.74998358754404,,0.7246327297574309,0.7524201624568821,0.716709634870196,,0.7172789896670493,0.7131234631614098,0.7034068136272544,0.7143288996372431,0.7096018735362998,0.7142649938356661,0.7188110521909016,0.2505330490405117,0.28515766155006367,0.2924293295786851,0.2871810133174615,0.2500164124559599,,0.27536727024256913,0.24757983754311783,0.283290365129804,,0.2827210103329506,0.2868765368385902,0.2965931863727455,0.285671100362757,0.2903981264637002,0.28573500616433384,0.28118894780909853
202110200MIN,66.21621621621621,70.93023255813954,72.45179063360881,70.93023255813954,65.75342465753424,,71.42857142857143,64.91228070175438,71.91011235955057,,71.91011235955057,70.93023255813954,72.45179063360881,71.42857142857143,72.97297297297297,72.45179063360881,73.54497354497354,39.37007874015748,30.58103975535168,32.25806451612903,33.11258278145696,38.46153846153847,,32.25806451612903,38.16793893129771,30.76923076923077,,31.746031746031743,31.64556962025317,32.25806451612903,32.25806451612903,32.89473684210527,31.746031746031743,31.25,0.6271288924720346,0.698742424773181,0.6919290503267419,0.6817408037895047,0.6309403437815975,,0.6888888888888889,0.6297258672209952,0.7003367003367004,,0.6937370956641432,0.6914908882192566,0.6919290503267419,0.6888888888888889,0.6892845146120256,0.6953292206974695,0.7017986746607763,0.3728711075279654,0.3012575752268189,0.3080709496732581,0.31825919621049514,0.3690596562184025,,0.31111111111111106,0.37027413277900484,0.29966329966329963,,0.3062629043358568,0.3085091117807433,0.3080709496732581,0.31111111111111106,0.31071548538797455,0.3046707793025305,0.2982013253392237
202110200NOP,49.01960784313725,38.46153846153847,41.66666666666667,41.66666666666667,49.01960784313725,,40.32258064516129,48.07692307692308,39.0625,,40.81632653061224,39.68253968253968,42.91845493562232,40.81632653061224,41.84100418410041,40.0,42.5531914893617,56.14035087719298,62.825278810408925,62.825278810408925,62.121212121212125,55.55555555555556,,63.23529411764706,54.95495495495496,63.63636363636363,,63.23529411764706,63.23529411764706,61.38996138996139,62.121212121212125,64.15770609318996,63.23529411764706,61.68582375478927,0.46614327772325814,0.37972896668548844,0.3987548176697302,0.40145985401459855,0.46875,,0.3893724232707283,0.46662182613082226,0.380359612724758,,0.39226997404095754,0.3855749603084599,0.4114572576929798,0.39651547011114446,0.39473125733931325,0.3874643874643875,0.40822710565418,0.533856722276742,0.6202710333145115,0.6012451823302697,0.5985401459854014,0.53125,,0.6106275767292716,0.5333781738691777,0.6196403872752421,,0.6077300259590424,0.61442503969154,0.5885427423070202,0.6034845298888556,0.6052687426606868,0.6125356125356125,0.5917728943458199
202110200NYK,54.95495495495496,57.44680851063831,58.50622406639005,58.15899581589959,54.337899543379,,58.8477366255144,53.70370370370371,56.896551724137936,,60.31746031746032,58.50622406639005,57.44680851063831,58.50622406639005,59.18367346938776,59.51417004048582,58.15899581589959,50.495049504950494,44.05286343612335,45.87155963302752,45.87155963302752,50.0,,44.843049327354265,49.50495049504951,43.66812227074236,,45.45454545454545,44.44444444444444,46.728971962616825,45.45454545454545,47.16981132075472,44.44444444444444,46.728971962616825,0.5211470140416173,0.5659802382491459,0.5605237244246691,0.5590568613704291,0.5207877461706784,,0.5675310114079268,0.5203410907798899,0.565770756906491,,0.5702592087312416,0.568293775190327,0.551441114716549,0.5627721335268505,0.556480811006517,0.5724794461272177,0.5544868210118182,0.4788529859583827,0.43401976175085416,0.439476275575331,0.4409431386295708,0.47921225382932164,,0.4324689885920732,0.4796589092201102,0.434229243093509,,0.4297407912687585,0.4317062248096731,0.44855888528345095,0.4372278664731495,0.4435191889934829,0.42752055387278237,0.44551317898818177
