Home_id;Away_id;Bookmaker;OddHome;OddAway;Date;Score_home;Score_away;Season
Golden State Warriors;Toronto Raptors;1xBet;-135;+124;13 Jun 2019;110;114;2018-2019
Golden State Warriors;Toronto Raptors;bet-at-home;-145;+112;13 Jun 2019;110;114;2018-2019
Golden State Warriors;Toronto Raptors;bet365;-141;+120;13 Jun 2019;110;114;2018-2019
Golden State Warriors;Toronto Raptors;bwin;-143;+120;13 Jun 2019;110;114;2018-2019
Golden State Warriors;Toronto Raptors;Coolbet;-133;+116;13 Jun 2019;110;114;2018-2019
Golden State Warriors;Toronto Raptors;Marathonbet;-141;+127;13 Jun 2019;110;114;2018-2019
Golden State Warriors;Toronto Raptors;Pinnacle;-137;+124;13 Jun 2019;110;114;2018-2019
Golden State Warriors;Toronto Raptors;Unibet;-135;+125;13 Jun 2019;110;114;2018-2019
Golden State Warriors;Toronto Raptors;William Hill;-141;+120;13 Jun 2019;110;114;2018-2019
Toronto Raptors;Golden State Warriors;1xBet;+100;-110;10 Jun 2019;105;106;2018-2019
Toronto Raptors;Golden State Warriors;bet-at-home;-105;-120;10 Jun 2019;105;106;2018-2019
Toronto Raptors;Golden State Warriors;bet365;-105;-116;10 Jun 2019;105;106;2018-2019
Toronto Raptors;Golden State Warriors;bwin;-105;-115;10 Jun 2019;105;106;2018-2019
Toronto Raptors;Golden State Warriors;Coolbet;+104;-123;10 Jun 2019;105;106;2018-2019
Toronto Raptors;Golden State Warriors;Marathonbet;+100;-111;10 Jun 2019;105;106;2018-2019
Toronto Raptors;Golden State Warriors;Pinnacle;-108;-104;10 Jun 2019;105;106;2018-2019
Toronto Raptors;Golden State Warriors;Unibet;+100;-105;10 Jun 2019;105;106;2018-2019
Toronto Raptors;Golden State Warriors;William Hill;+100;-120;10 Jun 2019;105;106;2018-2019
Golden State Warriors;Toronto Raptors;1xBet;-200;+181;07 Jun 2019; 92;105;2018-2019
Golden State Warriors;Toronto Raptors;bet-at-home;-217;+166;07 Jun 2019; 92;105;2018-2019
Golden State Warriors;Toronto Raptors;bet365;-222;+179;07 Jun 2019; 92;105;2018-2019
Golden State Warriors;Toronto Raptors;bwin;-222;+179;07 Jun 2019; 92;105;2018-2019
Golden State Warriors;Toronto Raptors;Coolbet;-213;+185;07 Jun 2019; 92;105;2018-2019
Golden State Warriors;Toronto Raptors;Marathonbet;-204;+181;07 Jun 2019; 92;105;2018-2019
Golden State Warriors;Toronto Raptors;Pinnacle;-213;+191;07 Jun 2019; 92;105;2018-2019
Golden State Warriors;Toronto Raptors;Unibet;-217;+190;07 Jun 2019; 92;105;2018-2019
Golden State Warriors;Toronto Raptors;William Hill;-208;+179;07 Jun 2019; 92;105;2018-2019
Golden State Warriors;Toronto Raptors;1xBet;-143;+129;05 Jun 2019;109;123;2018-2019
Golden State Warriors;Toronto Raptors;bet-at-home;-149;+116;05 Jun 2019;109;123;2018-2019
Golden State Warriors;Toronto Raptors;bet365;-152;+129;05 Jun 2019;109;123;2018-2019
Golden State Warriors;Toronto Raptors;bwin;-175;+145;05 Jun 2019;109;123;2018-2019
Golden State Warriors;Toronto Raptors;Coolbet;-145;+120;05 Jun 2019;109;123;2018-2019
Golden State Warriors;Toronto Raptors;Marathonbet;-149;+134;05 Jun 2019;109;123;2018-2019
Golden State Warriors;Toronto Raptors;Pinnacle;-143;+129;05 Jun 2019;109;123;2018-2019
Golden State Warriors;Toronto Raptors;Unibet;-149;+140;05 Jun 2019;109;123;2018-2019
Golden State Warriors;Toronto Raptors;William Hill;-141;+120;05 Jun 2019;109;123;2018-2019
Toronto Raptors;Golden State Warriors;1xBet;-128;+117;02 Jun 2019;104;109;2018-2019
Toronto Raptors;Golden State Warriors;bet-at-home;-145;+112;02 Jun 2019;104;109;2018-2019
Toronto Raptors;Golden State Warriors;bet365;-135;+114;02 Jun 2019;104;109;2018-2019
Toronto Raptors;Golden State Warriors;bwin;-133;+110;02 Jun 2019;104;109;2018-2019
Toronto Raptors;Golden State Warriors;Coolbet;-130;+110;02 Jun 2019;104;109;2018-2019
Toronto Raptors;Golden State Warriors;Marathonbet;-137;+124;02 Jun 2019;104;109;2018-2019
Toronto Raptors;Golden State Warriors;Pinnacle;-130;+118;02 Jun 2019;104;109;2018-2019
Toronto Raptors;Golden State Warriors;Unibet;-133;+125;02 Jun 2019;104;109;2018-2019
Toronto Raptors;Golden State Warriors;William Hill;-130;+110;02 Jun 2019;104;109;2018-2019
Toronto Raptors;Golden State Warriors;1xBet;-120;+110;30 May 2019;118;109;2018-2019
Toronto Raptors;Golden State Warriors;bet-at-home;-132;+104;30 May 2019;118;109;2018-2019
Toronto Raptors;Golden State Warriors;bet365;-135;+114;30 May 2019;118;109;2018-2019
Toronto Raptors;Golden State Warriors;bwin;-120;+100;30 May 2019;118;109;2018-2019
Toronto Raptors;Golden State Warriors;Coolbet;-123;+104;30 May 2019;118;109;2018-2019
Toronto Raptors;Golden State Warriors;Marathonbet;-123;+110;30 May 2019;118;109;2018-2019
Toronto Raptors;Golden State Warriors;Pinnacle;-127;+114;30 May 2019;118;109;2018-2019
Toronto Raptors;Golden State Warriors;Unibet;-118;+112;30 May 2019;118;109;2018-2019
Toronto Raptors;Golden State Warriors;William Hill;-135;+114;30 May 2019;118;109;2018-2019
Toronto Raptors;Milwaukee Bucks;1xBet;-118;+108;25 May 2019;100;94 ;2018-2019
Toronto Raptors;Milwaukee Bucks;bet-at-home;-132;+102;25 May 2019;100;94 ;2018-2019
Toronto Raptors;Milwaukee Bucks;bet365;-132;+110;25 May 2019;100;94 ;2018-2019
Toronto Raptors;Milwaukee Bucks;Coolbet;-137;+116;25 May 2019;100;94 ;2018-2019
Toronto Raptors;Milwaukee Bucks;Marathonbet;-120;+108;25 May 2019;100;94 ;2018-2019
Toronto Raptors;Milwaukee Bucks;Pinnacle;-120;+108;25 May 2019;100;94 ;2018-2019
Toronto Raptors;Milwaukee Bucks;Unibet;-120;+114;25 May 2019;100;94 ;2018-2019
Toronto Raptors;Milwaukee Bucks;William Hill;-135;+114;25 May 2019;100;94 ;2018-2019
Milwaukee Bucks;Toronto Raptors;1xBet;-303;+268;23 May 2019; 99;105;2018-2019
Milwaukee Bucks;Toronto Raptors;bet-at-home;-357;+260;23 May 2019; 99;105;2018-2019
Milwaukee Bucks;Toronto Raptors;bet365;-345;+270;23 May 2019; 99;105;2018-2019
Milwaukee Bucks;Toronto Raptors;bwin;-357;+275;23 May 2019; 99;105;2018-2019
Milwaukee Bucks;Toronto Raptors;Coolbet;-294;+241;23 May 2019; 99;105;2018-2019
Milwaukee Bucks;Toronto Raptors;Marathonbet;-312;+272;23 May 2019; 99;105;2018-2019
Milwaukee Bucks;Toronto Raptors;Pinnacle;-312;+277;23 May 2019; 99;105;2018-2019
Milwaukee Bucks;Toronto Raptors;Unibet;-303;+280;23 May 2019; 99;105;2018-2019
Milwaukee Bucks;Toronto Raptors;William Hill;-333;+275;23 May 2019; 99;105;2018-2019
Toronto Raptors;Milwaukee Bucks;1xBet;+127;-141;21 May 2019;120;102;2018-2019
Toronto Raptors;Milwaukee Bucks;bet-at-home;+119;-154;21 May 2019;120;102;2018-2019
Toronto Raptors;Milwaukee Bucks;bet365;+135;-156;21 May 2019;120;102;2018-2019
Toronto Raptors;Milwaukee Bucks;bwin;+125;-154;21 May 2019;120;102;2018-2019
Toronto Raptors;Milwaukee Bucks;Coolbet;+120;-141;21 May 2019;120;102;2018-2019
Toronto Raptors;Milwaukee Bucks;Marathonbet;+131;-147;21 May 2019;120;102;2018-2019
Toronto Raptors;Milwaukee Bucks;Pinnacle;+137;-152;21 May 2019;120;102;2018-2019
