Home_id;Away_id;Bookmaker;OddHome;OddAway;Date;Score_home;Score_away;Season
Cleveland Cavaliers;Golden State Warriors;bet-at-home;+123;-156;16 Jun 2015; 97;105;2014-2015
Cleveland Cavaliers;Golden State Warriors;bet365;+129;-152;16 Jun 2015; 97;105;2014-2015
Cleveland Cavaliers;Golden State Warriors;bwin;+135;-149;16 Jun 2015; 97;105;2014-2015
Cleveland Cavaliers;Golden State Warriors;Marathonbet;+131;-141;16 Jun 2015; 97;105;2014-2015
Cleveland Cavaliers;Golden State Warriors;Pinnacle;+129;-145;16 Jun 2015; 97;105;2014-2015
Cleveland Cavaliers;Golden State Warriors;Unibet;+129;-152;16 Jun 2015; 97;105;2014-2015
Cleveland Cavaliers;Golden State Warriors;William Hill;+129;-149;16 Jun 2015; 97;105;2014-2015
Golden State Warriors;Cleveland Cavaliers;bet-at-home;-526;+359;14 Jun 2015;104;91 ;2014-2015
Golden State Warriors;Cleveland Cavaliers;bet365;-500;+375;14 Jun 2015;104;91 ;2014-2015
Golden State Warriors;Cleveland Cavaliers;bwin;-417;+370;14 Jun 2015;104;91 ;2014-2015
Golden State Warriors;Cleveland Cavaliers;Marathonbet;-370;+340;14 Jun 2015;104;91 ;2014-2015
Golden State Warriors;Cleveland Cavaliers;Pinnacle;-455;+390;14 Jun 2015;104;91 ;2014-2015
Golden State Warriors;Cleveland Cavaliers;Unibet;-476;+380;14 Jun 2015;104;91 ;2014-2015
Golden State Warriors;Cleveland Cavaliers;William Hill;-500;+350;14 Jun 2015;104;91 ;2014-2015
Cleveland Cavaliers;Golden State Warriors;bet-at-home;+143;-185;11 Jun 2015; 82;103;2014-2015
Cleveland Cavaliers;Golden State Warriors;bet365;+160;-182;11 Jun 2015; 82;103;2014-2015
Cleveland Cavaliers;Golden State Warriors;bwin;+150;-167;11 Jun 2015; 82;103;2014-2015
Cleveland Cavaliers;Golden State Warriors;Marathonbet;+179;-192;11 Jun 2015; 82;103;2014-2015
Cleveland Cavaliers;Golden State Warriors;Pinnacle;+161;-179;11 Jun 2015; 82;103;2014-2015
Cleveland Cavaliers;Golden State Warriors;Unibet;+154;-182;11 Jun 2015; 82;103;2014-2015
Cleveland Cavaliers;Golden State Warriors;William Hill;+165;-189;11 Jun 2015; 82;103;2014-2015
Cleveland Cavaliers;Golden State Warriors;bet-at-home;+102;-130;09 Jun 2015; 96;91 ;2014-2015
Cleveland Cavaliers;Golden State Warriors;bet365;+110;-132;09 Jun 2015; 96;91 ;2014-2015
Cleveland Cavaliers;Golden State Warriors;bwin;+112;-125;09 Jun 2015; 96;91 ;2014-2015
Cleveland Cavaliers;Golden State Warriors;Marathonbet;+118;-125;09 Jun 2015; 96;91 ;2014-2015
Cleveland Cavaliers;Golden State Warriors;Pinnacle;+112;-123;09 Jun 2015; 96;91 ;2014-2015
Cleveland Cavaliers;Golden State Warriors;Unibet;+110;-127;09 Jun 2015; 96;91 ;2014-2015
Cleveland Cavaliers;Golden State Warriors;William Hill;+110;-130;09 Jun 2015; 96;91 ;2014-2015
Golden State Warriors;Cleveland Cavaliers;bet-at-home;-345;+249;07 Jun 2015; 93;95 ;2014-2015
Golden State Warriors;Cleveland Cavaliers;bet365;-370;+280;07 Jun 2015; 93;95 ;2014-2015
Golden State Warriors;Cleveland Cavaliers;bwin;-303;+270;07 Jun 2015; 93;95 ;2014-2015
Golden State Warriors;Cleveland Cavaliers;Marathonbet;-312;+288;07 Jun 2015; 93;95 ;2014-2015
Golden State Warriors;Cleveland Cavaliers;Pinnacle;-333;+292;07 Jun 2015; 93;95 ;2014-2015
Golden State Warriors;Cleveland Cavaliers;Unibet;-333;+275;07 Jun 2015; 93;95 ;2014-2015
Golden State Warriors;Cleveland Cavaliers;William Hill;-345;+275;07 Jun 2015; 93;95 ;2014-2015
Golden State Warriors;Cleveland Cavaliers;bet-at-home;-238;+181;04 Jun 2015;108;100;2014-2015
Golden State Warriors;Cleveland Cavaliers;bet365;-244;+200;04 Jun 2015;108;100;2014-2015
Golden State Warriors;Cleveland Cavaliers;bwin;-227;+200;04 Jun 2015;108;100;2014-2015
Golden State Warriors;Cleveland Cavaliers;Marathonbet;-222;+208;04 Jun 2015;108;100;2014-2015
Golden State Warriors;Cleveland Cavaliers;Pinnacle;-250;+220;04 Jun 2015;108;100;2014-2015
Golden State Warriors;Cleveland Cavaliers;Unibet;-256;+215;04 Jun 2015;108;100;2014-2015
Golden State Warriors;Cleveland Cavaliers;William Hill;-250;+210;04 Jun 2015;108;100;2014-2015
Golden State Warriors;Houston Rockets;bet-at-home;-526;+354;27 May 2015;104;90 ;2014-2015
Golden State Warriors;Houston Rockets;bet365;-556;+425;27 May 2015;104;90 ;2014-2015
Golden State Warriors;Houston Rockets;bwin;-500;+375;27 May 2015;104;90 ;2014-2015
Golden State Warriors;Houston Rockets;Marathonbet;-476;+430;27 May 2015;104;90 ;2014-2015
Golden State Warriors;Houston Rockets;Pinnacle;-526;+434;27 May 2015;104;90 ;2014-2015
