Home_id;Away_id;Bookmaker;OddHome;OddAway;Date;Score_home;Score_away;Season
Golden State Warriors;Cleveland Cavaliers;bet-at-home;-213;+163;20 Jun 2016; 89;93 ;2015-2016
Golden State Warriors;Cleveland Cavaliers;bet365;-182;+160;20 Jun 2016; 89;93 ;2015-2016
Golden State Warriors;Cleveland Cavaliers;bwin;-196;+160;20 Jun 2016; 89;93 ;2015-2016
Golden State Warriors;Cleveland Cavaliers;Marathonbet;-189;+175;20 Jun 2016; 89;93 ;2015-2016
Golden State Warriors;Cleveland Cavaliers;Pinnacle;-196;+165;20 Jun 2016; 89;93 ;2015-2016
Golden State Warriors;Cleveland Cavaliers;Unibet;-189;+154;20 Jun 2016; 89;93 ;2015-2016
Golden State Warriors;Cleveland Cavaliers;William Hill;-189;+165;20 Jun 2016; 89;93 ;2015-2016
Cleveland Cavaliers;Golden State Warriors;bet-at-home;-132;+104;17 Jun 2016;115;101;2015-2016
Cleveland Cavaliers;Golden State Warriors;bet365;-132;+110;17 Jun 2016;115;101;2015-2016
Cleveland Cavaliers;Golden State Warriors;bwin;-125;+104;17 Jun 2016;115;101;2015-2016
Cleveland Cavaliers;Golden State Warriors;Marathonbet;-125;+118;17 Jun 2016;115;101;2015-2016
Cleveland Cavaliers;Golden State Warriors;Pinnacle;-132;+112;17 Jun 2016;115;101;2015-2016
Cleveland Cavaliers;Golden State Warriors;Unibet;-132;+108;17 Jun 2016;115;101;2015-2016
Cleveland Cavaliers;Golden State Warriors;William Hill;-130;+110;17 Jun 2016;115;101;2015-2016
Golden State Warriors;Cleveland Cavaliers;bet-at-home;-238;+181;14 Jun 2016; 97;112;2015-2016
Golden State Warriors;Cleveland Cavaliers;bet365;-227;+185;14 Jun 2016; 97;112;2015-2016
Golden State Warriors;Cleveland Cavaliers;bwin;-233;+190;14 Jun 2016; 97;112;2015-2016
Golden State Warriors;Cleveland Cavaliers;Marathonbet;-217;+202;14 Jun 2016; 97;112;2015-2016
Golden State Warriors;Cleveland Cavaliers;Pinnacle;-204;+185;14 Jun 2016; 97;112;2015-2016
Golden State Warriors;Cleveland Cavaliers;Unibet;-244;+195;14 Jun 2016; 97;112;2015-2016
Golden State Warriors;Cleveland Cavaliers;William Hill;-238;+200;14 Jun 2016; 97;112;2015-2016
Cleveland Cavaliers;Golden State Warriors;bet-at-home;-147;+114;11 Jun 2016; 97;108;2015-2016
Cleveland Cavaliers;Golden State Warriors;bet365;-141;+120;11 Jun 2016; 97;108;2015-2016
Cleveland Cavaliers;Golden State Warriors;bwin;-143;+120;11 Jun 2016; 97;108;2015-2016
Cleveland Cavaliers;Golden State Warriors;Marathonbet;-135;+127;11 Jun 2016; 97;108;2015-2016
Cleveland Cavaliers;Golden State Warriors;Pinnacle;-135;+123;11 Jun 2016; 97;108;2015-2016
Cleveland Cavaliers;Golden State Warriors;Unibet;-141;+116;11 Jun 2016; 97;108;2015-2016
Cleveland Cavaliers;Golden State Warriors;William Hill;-141;+120;11 Jun 2016; 97;108;2015-2016
Cleveland Cavaliers;Golden State Warriors;bet-at-home;-127;+100;09 Jun 2016;120;90 ;2015-2016
Cleveland Cavaliers;Golden State Warriors;bet365;-120;+100;09 Jun 2016;120;90 ;2015-2016
