;Home_id;Away_id;Bookmaker;OddHome;OddAway;Date;Score_home;Score_away;Season
0;Golden State Warriors;Cleveland Cavaliers;bet-at-home;-213.0;163;19 Jun 2016;89;93;2015-2016
1;Golden State Warriors;Cleveland Cavaliers;bet365;-182.0;160;19 Jun 2016;89;93;2015-2016
2;Golden State Warriors;Cleveland Cavaliers;bwin;-196.0;160;19 Jun 2016;89;93;2015-2016
3;Golden State Warriors;Cleveland Cavaliers;Marathonbet;-189.0;175;19 Jun 2016;89;93;2015-2016
4;Golden State Warriors;Cleveland Cavaliers;Pinnacle;-196.0;165;19 Jun 2016;89;93;2015-2016
5;Golden State Warriors;Cleveland Cavaliers;Unibet;-189.0;154;19 Jun 2016;89;93;2015-2016
6;Golden State Warriors;Cleveland Cavaliers;William Hill;-189.0;165;19 Jun 2016;89;93;2015-2016
7;Cleveland Cavaliers;Golden State Warriors;bet-at-home;-132.0;104;16 Jun 2016;115;101;2015-2016
8;Cleveland Cavaliers;Golden State Warriors;bet365;-132.0;110;16 Jun 2016;115;101;2015-2016
9;Cleveland Cavaliers;Golden State Warriors;bwin;-125.0;104;16 Jun 2016;115;101;2015-2016
10;Cleveland Cavaliers;Golden State Warriors;Marathonbet;-125.0;118;16 Jun 2016;115;101;2015-2016
11;Cleveland Cavaliers;Golden State Warriors;Pinnacle;-132.0;112;16 Jun 2016;115;101;2015-2016
12;Cleveland Cavaliers;Golden State Warriors;Unibet;-132.0;108;16 Jun 2016;115;101;2015-2016
13;Cleveland Cavaliers;Golden State Warriors;William Hill;-130.0;110;16 Jun 2016;115;101;2015-2016
14;Golden State Warriors;Cleveland Cavaliers;bet-at-home;-238.0;181;13 Jun 2016;97;112;2015-2016
15;Golden State Warriors;Cleveland Cavaliers;bet365;-227.0;185;13 Jun 2016;97;112;2015-2016
16;Golden State Warriors;Cleveland Cavaliers;bwin;-233.0;190;13 Jun 2016;97;112;2015-2016
17;Golden State Warriors;Cleveland Cavaliers;Marathonbet;-217.0;202;13 Jun 2016;97;112;2015-2016
18;Golden State Warriors;Cleveland Cavaliers;Pinnacle;-204.0;185;13 Jun 2016;97;112;2015-2016
19;Golden State Warriors;Cleveland Cavaliers;Unibet;-244.0;195;13 Jun 2016;97;112;2015-2016
20;Golden State Warriors;Cleveland Cavaliers;William Hill;-238.0;200;13 Jun 2016;97;112;2015-2016
