,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway
Bookmaker,1xBet,Marathonbet,Pinnacle,Unibet,William Hill,bet-at-home,bet365,bwin,1xBet,Marathonbet,Pinnacle,Unibet,William Hill,bet-at-home,bet365,bwin
game_id,,,,,,,,,,,,,,,,
201510270ATL,-286.0,-278.0,-303.0,-323.0,-303.0,-333.0,-323.0,-312.0,260.0,250.0,264.0,254.0,250.0,241.0,260.0,250.0
201510270CHI,-123.0,-161.0,-169.0,-169.0,-175.0,-189.0,-175.0,-189.0,116.0,149.0,152.0,138.0,154.0,145.0,154.0,154.0
201510270GSW,-455.0,-714.0,-714.0,-714.0,-714.0,-769.0,-833.0,-625.0,409.0,590.0,569.0,509.0,500.0,462.0,550.0,450.0
201510280BOS,,-833.0,-1000.0,-1250.0,-1250.0,-1250.0,-1429.0,-1111.0,,680.0,767.0,800.0,750.0,660.0,800.0,675.0
201510280BRK,,179.0,181.0,170.0,175.0,174.0,179.0,190.0,,-196.0,-200.0,-208.0,-208.0,-227.0,-222.0,-233.0
201510280DET,,-104.0,100.0,-105.0,-110.0,-111.0,-105.0,-110.0,,-104.0,-110.0,-115.0,-110.0,-115.0,-116.0,-110.0
201510280HOU,,-625.0,-667.0,-667.0,-714.0,-769.0,-769.0,-714.0,,530.0,552.0,480.0,500.0,474.0,525.0,500.0
201510280LAL,,-128.0,-139.0,-152.0,-149.0,-152.0,-147.0,-161.0,,118.0,125.0,125.0,129.0,118.0,125.0,135.0
201510280MEM,,-196.0,-213.0,-213.0,-208.0,-238.0,-222.0,-208.0,,179.0,191.0,175.0,175.0,179.0,179.0,170.0
201510280MIA,,-256.0,-244.0,-294.0,-270.0,-294.0,-278.0,-278.0,,231.0,219.0,235.0,229.0,218.0,225.0,220.0
201510280MIL,,-189.0,-200.0,-213.0,-200.0,-217.0,-222.0,-208.0,,171.0,179.0,170.0,170.0,167.0,179.0,170.0
201510280OKC,,-175.0,-182.0,-175.0,-189.0,-192.0,-192.0,-200.0,,161.0,163.0,145.0,165.0,149.0,167.0,165.0
201510280ORL,,171.0,163.0,150.0,165.0,150.0,165.0,154.0,,-189.0,-182.0,-182.0,-189.0,-196.0,-185.0,-189.0
201510280PHO,,-222.0,-233.0,-263.0,-250.0,-256.0,-250.0,-263.0,,202.0,204.0,210.0,210.0,194.0,210.0,210.0
201510280POR,,-132.0,-135.0,-141.0,-135.0,-141.0,-135.0,-149.0,,121.0,122.0,116.0,114.0,110.0,114.0,125.0
201510280SAC,,204.0,200.0,185.0,200.0,186.0,200.0,210.0,,-227.0,-227.0,-233.0,-238.0,-244.0,-244.0,-263.0
201510280TOR,,-200.0,-213.0,-222.0,-233.0,-227.0,-233.0,-213.0,,181.0,191.0,179.0,190.0,175.0,190.0,175.0
201510290IND,,141.0,129.0,127.0,129.0,123.0,129.0,125.0,,-154.0,-143.0,-154.0,-149.0,-159.0,-152.0,-149.0
201510290LAC,,-667.0,-833.0,-909.0,-1000.0,-1111.0,-1000.0,-1000.0,,560.0,671.0,600.0,650.0,594.0,650.0,650.0
201510290NYK,,175.0,170.0,170.0,165.0,160.0,165.0,160.0,,-192.0,-189.0,-208.0,-189.0,-208.0,-185.0,-196.0
201510300ATL,,-169.0,-179.0,-192.0,-175.0,-192.0,-175.0,-200.0,,154.0,159.0,154.0,154.0,148.0,154.0,165.0
201510300BOS,,-120.0,-125.0,-132.0,-130.0,-132.0,-132.0,-125.0,,110.0,112.0,108.0,110.0,102.0,110.0,104.0
201510300CLE,,-217.0,-200.0,-238.0,-238.0,-222.0,-200.0,-250.0,,198.0,179.0,190.0,200.0,169.0,170.0,200.0
201510300DEN,,-161.0,-152.0,-164.0,-164.0,-179.0,-167.0,-175.0,,148.0,137.0,135.0,145.0,138.0,145.0,145.0
201510300DET,,141.0,131.0,127.0,129.0,120.0,125.0,125.0,,-154.0,-147.0,-156.0,-149.0,-154.0,-147.0,-149.0
201510300HOU,,117.0,100.0,-105.0,-105.0,-108.0,-105.0,110.0,,-127.0,-110.0,-115.0,-115.0,-118.0,-116.0,-120.0
201510300MIL,,121.0,114.0,110.0,110.0,104.0,110.0,110.0,,-132.0,-127.0,-135.0,-130.0,-133.0,-132.0,-130.0
201510300ORL,,330.0,305.0,270.0,280.0,269.0,280.0,300.0,,-370.0,-345.0,-345.0,-357.0,-370.0,-370.0,-385.0
201510300PHI,,280.0,281.0,275.0,275.0,260.0,265.0,270.0,,-312.0,-323.0,-357.0,-345.0,-357.0,-333.0,-345.0
201510300PHO,,-179.0,-182.0,-192.0,-189.0,-204.0,-185.0,-192.0,,163.0,163.0,154.0,165.0,158.0,165.0,160.0
201510300SAC,,-286.0,-294.0,-312.0,-323.0,-333.0,-312.0,-333.0,,258.0,256.0,245.0,260.0,242.0,250.0,260.0
201510300SAS,,-1667.0,-1667.0,-1667.0,-2000.0,-2000.0,-2000.0,-2000.0,,1300.0,1102.0,1050.0,1000.0,823.0,1100.0,1000.0
201510310IND,-154.0,-164.0,-152.0,-164.0,-161.0,-172.0,-161.0,-167.0,140.0,150.0,137.0,135.0,140.0,134.0,140.0,140.0
201510310LAC,-556.0,-556.0,-556.0,-714.0,-667.0,-714.0,-667.0,-714.0,470.0,480.0,465.0,525.0,450.0,454.0,475.0,500.0
201510310MEM,-909.0,-1000.0,-1000.0,-1250.0,-1250.0,-1111.0,-1111.0,-1667.0,719.0,790.0,752.0,800.0,750.0,618.0,700.0,850.0
201510310NOP,188.0,213.0,197.0,190.0,190.0,189.0,190.0,200.0,-217.0,-233.0,-222.0,-238.0,-233.0,-250.0,-233.0,-250.0
201510310POR,-127.0,-125.0,-120.0,-128.0,-130.0,-139.0,-132.0,-137.0,114.0,114.0,108.0,106.0,110.0,110.0,110.0,114.0
201510310WAS,-294.0,-323.0,-323.0,-345.0,-345.0,-385.0,-357.0,-357.0,265.0,288.0,285.0,270.0,275.0,276.0,275.0,280.0
201511010BOS,209.0,222.0,214.0,220.0,220.0,198.0,210.0,200.0,-238.0,-244.0,-238.0,-278.0,-263.0,-263.0,-250.0,-250.0
201511010CHI,-333.0,-357.0,-370.0,-400.0,-385.0,-417.0,-385.0,-400.0,295.0,320.0,318.0,309.0,290.0,294.0,300.0,309.0
201511010CHO,114.0,121.0,118.0,108.0,114.0,108.0,114.0,114.0,-125.0,-132.0,-130.0,-132.0,-135.0,-139.0,-135.0,-139.0
201511010LAL,156.0,161.0,159.0,154.0,165.0,147.0,160.0,165.0,-175.0,-175.0,-179.0,-192.0,-189.0,-189.0,-182.0,-200.0
201511010MIA,-164.0,-175.0,-164.0,-175.0,-179.0,-185.0,-172.0,-182.0,149.0,161.0,149.0,145.0,160.0,142.0,150.0,150.0
201511010OKC,-1111.0,-1111.0,-1250.0,-1111.0,-1429.0,-1250.0,-1429.0,-1111.0,850.0,869.0,930.0,750.0,800.0,666.0,800.0,675.0
201511010TOR,-238.0,-227.0,-250.0,-244.0,-263.0,-256.0,-250.0,-263.0,209.0,206.0,222.0,195.0,220.0,193.0,210.0,210.0
201511020BRK,104.0,102.0,102.0,-102.0,100.0,-106.0,100.0,100.0,-115.0,-111.0,-114.0,-119.0,-120.0,-119.0,-120.0,-120.0
201511020GSW,-476.0,-385.0,-435.0,-526.0,-500.0,-588.0,-500.0,-526.0,395.0,340.0,376.0,380.0,350.0,380.0,375.0,400.0
