;Home_id;Away_id;Bookmaker;OddHome;OddAway;Date;Score_home;Score_away;Season
0;Golden State Warriors;Cleveland Cavaliers;1xBet;-370.0;342;12 Jun 2017;129;120;2016-2017
1;Golden State Warriors;Cleveland Cavaliers;bet-at-home;-435.0;304;12 Jun 2017;129;120;2016-2017
2;Golden State Warriors;Cleveland Cavaliers;bet365;-400.0;320;12 Jun 2017;129;120;2016-2017
3;Golden State Warriors;Cleveland Cavaliers;bwin;-385.0;300;12 Jun 2017;129;120;2016-2017
4;Golden State Warriors;Cleveland Cavaliers;Coolbet;-417.0;330;12 Jun 2017;129;120;2016-2017
5;Golden State Warriors;Cleveland Cavaliers;Marathonbet;-370.0;340;12 Jun 2017;129;120;2016-2017
6;Golden State Warriors;Cleveland Cavaliers;Pinnacle;-370.0;322;12 Jun 2017;129;120;2016-2017
7;Golden State Warriors;Cleveland Cavaliers;Unibet;-400.0;320;12 Jun 2017;129;120;2016-2017
8;Golden State Warriors;Cleveland Cavaliers;William Hill;-455.0;325;12 Jun 2017;129;120;2016-2017
9;Cleveland Cavaliers;Golden State Warriors;1xBet;166.0;-175;09 Jun 2017;137;116;2016-2017
10;Cleveland Cavaliers;Golden State Warriors;bet-at-home;163.0;-213;09 Jun 2017;137;116;2016-2017
11;Cleveland Cavaliers;Golden State Warriors;bet365;170.0;-200;09 Jun 2017;137;116;2016-2017
12;Cleveland Cavaliers;Golden State Warriors;bwin;165.0;-200;09 Jun 2017;137;116;2016-2017
13;Cleveland Cavaliers;Golden State Warriors;Coolbet;164.0;-192;09 Jun 2017;137;116;2016-2017
14;Cleveland Cavaliers;Golden State Warriors;Marathonbet;167.0;-179;09 Jun 2017;137;116;2016-2017
15;Cleveland Cavaliers;Golden State Warriors;Pinnacle;173.0;-192;09 Jun 2017;137;116;2016-2017
16;Cleveland Cavaliers;Golden State Warriors;Unibet;165.0;-196;09 Jun 2017;137;116;2016-2017
17;Cleveland Cavaliers;Golden State Warriors;William Hill;170.0;-200;09 Jun 2017;137;116;2016-2017
18;Cleveland Cavaliers;Golden State Warriors;1xBet;140.0;-147;07 Jun 2017;113;118;2016-2017
19;Cleveland Cavaliers;Golden State Warriors;bet-at-home;135.0;-172;07 Jun 2017;113;118;2016-2017
20;Cleveland Cavaliers;Golden State Warriors;bet365;140.0;-161;07 Jun 2017;113;118;2016-2017
21;Cleveland Cavaliers;Golden State Warriors;bwin;135.0;-161;07 Jun 2017;113;118;2016-2017
22;Cleveland Cavaliers;Golden State Warriors;Coolbet;135.0;-159;07 Jun 2017;113;118;2016-2017
23;Cleveland Cavaliers;Golden State Warriors;Marathonbet;134.0;-143;07 Jun 2017;113;118;2016-2017
24;Cleveland Cavaliers;Golden State Warriors;Pinnacle;136.0;-149;07 Jun 2017;113;118;2016-2017
25;Cleveland Cavaliers;Golden State Warriors;Unibet;135.0;-161;07 Jun 2017;113;118;2016-2017
26;Cleveland Cavaliers;Golden State Warriors;William Hill;140.0;-161;07 Jun 2017;113;118;2016-2017
27;Golden State Warriors;Cleveland Cavaliers;1xBet;-357.0;334;04 Jun 2017;132;113;2016-2017
28;Golden State Warriors;Cleveland Cavaliers;bet-at-home;-476.0;324;04 Jun 2017;132;113;2016-2017
29;Golden State Warriors;Cleveland Cavaliers;bet365;-455.0;350;04 Jun 2017;132;113;2016-2017
30;Golden State Warriors;Cleveland Cavaliers;bwin;-435.0;325;04 Jun 2017;132;113;2016-2017
31;Golden State Warriors;Cleveland Cavaliers;Coolbet;-357.0;320;04 Jun 2017;132;113;2016-2017
32;Golden State Warriors;Cleveland Cavaliers;Marathonbet;-370.0;340;04 Jun 2017;132;113;2016-2017
33;Golden State Warriors;Cleveland Cavaliers;Pinnacle;-400.0;342;04 Jun 2017;132;113;2016-2017
34;Golden State Warriors;Cleveland Cavaliers;Unibet;-400.0;320;04 Jun 2017;132;113;2016-2017
35;Golden State Warriors;Cleveland Cavaliers;William Hill;-455.0;325;04 Jun 2017;132;113;2016-2017
36;Golden State Warriors;Cleveland Cavaliers;1xBet;-286.0;268;01 Jun 2017;113;91;2016-2017
37;Golden State Warriors;Cleveland Cavaliers;bet-at-home;-345.0;254;01 Jun 2017;113;91;2016-2017
38;Golden State Warriors;Cleveland Cavaliers;bet365;-357.0;275;01 Jun 2017;113;91;2016-2017
39;Golden State Warriors;Cleveland Cavaliers;bwin;-333.0;260;01 Jun 2017;113;91;2016-2017
40;Golden State Warriors;Cleveland Cavaliers;Coolbet;-312.0;280;01 Jun 2017;113;91;2016-2017
41;Golden State Warriors;Cleveland Cavaliers;Marathonbet;-303.0;278;01 Jun 2017;113;91;2016-2017
42;Golden State Warriors;Cleveland Cavaliers;Pinnacle;-312.0;273;01 Jun 2017;113;91;2016-2017
43;Golden State Warriors;Cleveland Cavaliers;Unibet;-333.0;270;01 Jun 2017;113;91;2016-2017
44;Golden State Warriors;Cleveland Cavaliers;William Hill;-345.0;275;01 Jun 2017;113;91;2016-2017
45;Boston Celtics;Cleveland Cavaliers;1xBet;400.0;-435;25 May 2017;102;135;2016-2017
46;Boston Celtics;Cleveland Cavaliers;bet-at-home;393.0;-588;25 May 2017;102;135;2016-2017
47;Boston Celtics;Cleveland Cavaliers;bet365;425.0;-556;25 May 2017;102;135;2016-2017
48;Boston Celtics;Cleveland Cavaliers;bwin;333.0;-455;25 May 2017;102;135;2016-2017
49;Boston Celtics;Cleveland Cavaliers;Coolbet;450.0;-526;25 May 2017;102;135;2016-2017
50;Boston Celtics;Cleveland Cavaliers;Marathonbet;409.0;-455;25 May 2017;102;135;2016-2017
51;Boston Celtics;Cleveland Cavaliers;Pinnacle;442.0;-526;25 May 2017;102;135;2016-2017
52;Boston Celtics;Cleveland Cavaliers;Unibet;420.0;-526;25 May 2017;102;135;2016-2017
53;Boston Celtics;Cleveland Cavaliers;William Hill;400.0;-588;25 May 2017;102;135;2016-2017
54;Cleveland Cavaliers;Boston Celtics;1xBet;-1429.0;1200;23 May 2017;112;99;2016-2017
55;Cleveland Cavaliers;Boston Celtics;bet-at-home;-3333.0;1034;23 May 2017;112;99;2016-2017
56;Cleveland Cavaliers;Boston Celtics;bet365;-3333.0;1400;23 May 2017;112;99;2016-2017
57;Cleveland Cavaliers;Boston Celtics;bwin;-2500.0;1100;23 May 2017;112;99;2016-2017
58;Cleveland Cavaliers;Boston Celtics;Coolbet;-2500.0;1360;23 May 2017;112;99;2016-2017
59;Cleveland Cavaliers;Boston Celtics;Marathonbet;-1429.0;1150;23 May 2017;112;99;2016-2017
60;Cleveland Cavaliers;Boston Celtics;Pinnacle;-2500.0;1414;23 May 2017;112;99;2016-2017
61;Cleveland Cavaliers;Boston Celtics;Unibet;-2000.0;1200;23 May 2017;112;99;2016-2017
62;Cleveland Cavaliers;Boston Celtics;William Hill;-3333.0;1400;23 May 2017;112;99;2016-2017
63;San Antonio Spurs;Golden State Warriors;1xBet;505.0;-556;22 May 2017;115;129;2016-2017
64;San Antonio Spurs;Golden State Warriors;bet-at-home;518.0;-909;22 May 2017;115;129;2016-2017
65;San Antonio Spurs;Golden State Warriors;bet365;550.0;-833;22 May 2017;115;129;2016-2017
66;San Antonio Spurs;Golden State Warriors;bwin;525.0;-769;22 May 2017;115;129;2016-2017
67;San Antonio Spurs;Golden State Warriors;Coolbet;620.0;-667;22 May 2017;115;129;2016-2017
68;San Antonio Spurs;Golden State Warriors;Marathonbet;520.0;-588;22 May 2017;115;129;2016-2017
69;San Antonio Spurs;Golden State Warriors;Pinnacle;555.0;-667;22 May 2017;115;129;2016-2017
70;San Antonio Spurs;Golden State Warriors;Unibet;575.0;-769;22 May 2017;115;129;2016-2017
71;San Antonio Spurs;Golden State Warriors;William Hill;550.0;-833;22 May 2017;115;129;2016-2017
72;Cleveland Cavaliers;Boston Celtics;1xBet;-2000.0;1600;21 May 2017;108;111;2016-2017
73;Cleveland Cavaliers;Boston Celtics;bet-at-home;-5000.0;1156;21 May 2017;108;111;2016-2017
74;Cleveland Cavaliers;Boston Celtics;bet365;-5000.0;1500;21 May 2017;108;111;2016-2017
75;Cleveland Cavaliers;Boston Celtics;bwin;-3333.0;1150;21 May 2017;108;111;2016-2017
76;Cleveland Cavaliers;Boston Celtics;Coolbet;-2500.0;1600;21 May 2017;108;111;2016-2017
77;Cleveland Cavaliers;Boston Celtics;Marathonbet;-2000.0;1500;21 May 2017;108;111;2016-2017
78;Cleveland Cavaliers;Boston Celtics;Pinnacle;-3333.0;1680;21 May 2017;108;111;2016-2017
79;Cleveland Cavaliers;Boston Celtics;Unibet;-3333.0;1500;21 May 2017;108;111;2016-2017
80;Cleveland Cavaliers;Boston Celtics;William Hill;-5000.0;1600;21 May 2017;108;111;2016-2017
81;San Antonio Spurs;Golden State Warriors;1xBet;386.0;-417;20 May 2017;108;120;2016-2017
82;San Antonio Spurs;Golden State Warriors;bet-at-home;340.0;-500;20 May 2017;108;120;2016-2017
83;San Antonio Spurs;Golden State Warriors;bet365;375.0;-500;20 May 2017;108;120;2016-2017
