Home_id;Away_id;Bookmaker;OddHome;OddAway;Date;Score_home;Score_away;Season
Golden State Warriors;Cleveland Cavaliers;1xBet;-370;+342;12 Jun 2017;129;120;2016-2017
Golden State Warriors;Cleveland Cavaliers;bet-at-home;-435;+304;12 Jun 2017;129;120;2016-2017
Golden State Warriors;Cleveland Cavaliers;bet365;-400;+320;12 Jun 2017;129;120;2016-2017
Golden State Warriors;Cleveland Cavaliers;bwin;-385;+300;12 Jun 2017;129;120;2016-2017
Golden State Warriors;Cleveland Cavaliers;Coolbet;-417;+330;12 Jun 2017;129;120;2016-2017
Golden State Warriors;Cleveland Cavaliers;Marathonbet;-370;+340;12 Jun 2017;129;120;2016-2017
Golden State Warriors;Cleveland Cavaliers;Pinnacle;-370;+322;12 Jun 2017;129;120;2016-2017
Golden State Warriors;Cleveland Cavaliers;Unibet;-400;+320;12 Jun 2017;129;120;2016-2017
Golden State Warriors;Cleveland Cavaliers;William Hill;-455;+325;12 Jun 2017;129;120;2016-2017
Cleveland Cavaliers;Golden State Warriors;1xBet;+166;-175;09 Jun 2017;137;116;2016-2017
Cleveland Cavaliers;Golden State Warriors;bet-at-home;+163;-213;09 Jun 2017;137;116;2016-2017
Cleveland Cavaliers;Golden State Warriors;bet365;+170;-200;09 Jun 2017;137;116;2016-2017
Cleveland Cavaliers;Golden State Warriors;bwin;+165;-200;09 Jun 2017;137;116;2016-2017
Cleveland Cavaliers;Golden State Warriors;Coolbet;+164;-192;09 Jun 2017;137;116;2016-2017
Cleveland Cavaliers;Golden State Warriors;Marathonbet;+167;-179;09 Jun 2017;137;116;2016-2017
Cleveland Cavaliers;Golden State Warriors;Pinnacle;+173;-192;09 Jun 2017;137;116;2016-2017
Cleveland Cavaliers;Golden State Warriors;Unibet;+165;-196;09 Jun 2017;137;116;2016-2017
Cleveland Cavaliers;Golden State Warriors;William Hill;+170;-200;09 Jun 2017;137;116;2016-2017
Cleveland Cavaliers;Golden State Warriors;1xBet;+140;-147;07 Jun 2017;113;118;2016-2017
Cleveland Cavaliers;Golden State Warriors;bet-at-home;+135;-172;07 Jun 2017;113;118;2016-2017
Cleveland Cavaliers;Golden State Warriors;bet365;+140;-161;07 Jun 2017;113;118;2016-2017
Cleveland Cavaliers;Golden State Warriors;bwin;+135;-161;07 Jun 2017;113;118;2016-2017
Cleveland Cavaliers;Golden State Warriors;Coolbet;+135;-159;07 Jun 2017;113;118;2016-2017
Cleveland Cavaliers;Golden State Warriors;Marathonbet;+134;-143;07 Jun 2017;113;118;2016-2017
Cleveland Cavaliers;Golden State Warriors;Pinnacle;+136;-149;07 Jun 2017;113;118;2016-2017
Cleveland Cavaliers;Golden State Warriors;Unibet;+135;-161;07 Jun 2017;113;118;2016-2017
Cleveland Cavaliers;Golden State Warriors;William Hill;+140;-161;07 Jun 2017;113;118;2016-2017
Golden State Warriors;Cleveland Cavaliers;1xBet;-357;+334;04 Jun 2017;132;113;2016-2017
Golden State Warriors;Cleveland Cavaliers;bet-at-home;-476;+324;04 Jun 2017;132;113;2016-2017
Golden State Warriors;Cleveland Cavaliers;bet365;-455;+350;04 Jun 2017;132;113;2016-2017
Golden State Warriors;Cleveland Cavaliers;bwin;-435;+325;04 Jun 2017;132;113;2016-2017
Golden State Warriors;Cleveland Cavaliers;Coolbet;-357;+320;04 Jun 2017;132;113;2016-2017
Golden State Warriors;Cleveland Cavaliers;Marathonbet;-370;+340;04 Jun 2017;132;113;2016-2017
Golden State Warriors;Cleveland Cavaliers;Pinnacle;-400;+342;04 Jun 2017;132;113;2016-2017
Golden State Warriors;Cleveland Cavaliers;Unibet;-400;+320;04 Jun 2017;132;113;2016-2017
Golden State Warriors;Cleveland Cavaliers;William Hill;-455;+325;04 Jun 2017;132;113;2016-2017
Golden State Warriors;Cleveland Cavaliers;1xBet;-286;+268;01 Jun 2017;113;91 ;2016-2017
Golden State Warriors;Cleveland Cavaliers;bet-at-home;-345;+254;01 Jun 2017;113;91 ;2016-2017
Golden State Warriors;Cleveland Cavaliers;bet365;-357;+275;01 Jun 2017;113;91 ;2016-2017
Golden State Warriors;Cleveland Cavaliers;bwin;-333;+260;01 Jun 2017;113;91 ;2016-2017
Golden State Warriors;Cleveland Cavaliers;Coolbet;-312;+280;01 Jun 2017;113;91 ;2016-2017
Golden State Warriors;Cleveland Cavaliers;Marathonbet;-303;+278;01 Jun 2017;113;91 ;2016-2017
Golden State Warriors;Cleveland Cavaliers;Pinnacle;-312;+273;01 Jun 2017;113;91 ;2016-2017
Golden State Warriors;Cleveland Cavaliers;Unibet;-333;+270;01 Jun 2017;113;91 ;2016-2017
Golden State Warriors;Cleveland Cavaliers;William Hill;-345;+275;01 Jun 2017;113;91 ;2016-2017
Boston Celtics;Cleveland Cavaliers;1xBet;+400;-435;25 May 2017;102;135;2016-2017
Boston Celtics;Cleveland Cavaliers;bet-at-home;+393;-588;25 May 2017;102;135;2016-2017
Boston Celtics;Cleveland Cavaliers;bet365;+425;-556;25 May 2017;102;135;2016-2017
Boston Celtics;Cleveland Cavaliers;bwin;+333;-455;25 May 2017;102;135;2016-2017
Boston Celtics;Cleveland Cavaliers;Coolbet;+450;-526;25 May 2017;102;135;2016-2017
Boston Celtics;Cleveland Cavaliers;Marathonbet;+409;-455;25 May 2017;102;135;2016-2017
Boston Celtics;Cleveland Cavaliers;Pinnacle;+442;-526;25 May 2017;102;135;2016-2017
Boston Celtics;Cleveland Cavaliers;Unibet;+420;-526;25 May 2017;102;135;2016-2017
Boston Celtics;Cleveland Cavaliers;William Hill;+400;-588;25 May 2017;102;135;2016-2017
Cleveland Cavaliers;Boston Celtics;1xBet;-1429;+1200;23 May 2017;112;99 ;2016-2017
Cleveland Cavaliers;Boston Celtics;bet-at-home;-3333;+1034;23 May 2017;112;99 ;2016-2017
Cleveland Cavaliers;Boston Celtics;bet365;-3333;+1400;23 May 2017;112;99 ;2016-2017
Cleveland Cavaliers;Boston Celtics;bwin;-2500;+1100;23 May 2017;112;99 ;2016-2017
Cleveland Cavaliers;Boston Celtics;Coolbet;-2500;+1360;23 May 2017;112;99 ;2016-2017
Cleveland Cavaliers;Boston Celtics;Marathonbet;-1429;+1150;23 May 2017;112;99 ;2016-2017
Cleveland Cavaliers;Boston Celtics;Pinnacle;-2500;+1414;23 May 2017;112;99 ;2016-2017
Cleveland Cavaliers;Boston Celtics;Unibet;-2000;+1200;23 May 2017;112;99 ;2016-2017
Cleveland Cavaliers;Boston Celtics;William Hill;-3333;+1400;23 May 2017;112;99 ;2016-2017
San Antonio Spurs;Golden State Warriors;1xBet;+505;-556;22 May 2017;115;129;2016-2017
San Antonio Spurs;Golden State Warriors;bet-at-home;+518;-909;22 May 2017;115;129;2016-2017
San Antonio Spurs;Golden State Warriors;bet365;+550;-833;22 May 2017;115;129;2016-2017
San Antonio Spurs;Golden State Warriors;bwin;+525;-769;22 May 2017;115;129;2016-2017
San Antonio Spurs;Golden State Warriors;Coolbet;+620;-667;22 May 2017;115;129;2016-2017
San Antonio Spurs;Golden State Warriors;Marathonbet;+520;-588;22 May 2017;115;129;2016-2017
San Antonio Spurs;Golden State Warriors;Pinnacle;+555;-667;22 May 2017;115;129;2016-2017
San Antonio Spurs;Golden State Warriors;Unibet;+575;-769;22 May 2017;115;129;2016-2017
San Antonio Spurs;Golden State Warriors;William Hill;+550;-833;22 May 2017;115;129;2016-2017
Cleveland Cavaliers;Boston Celtics;1xBet;-2000;+1600;21 May 2017;108;111;2016-2017
Cleveland Cavaliers;Boston Celtics;bet-at-home;-5000;+1156;21 May 2017;108;111;2016-2017
Cleveland Cavaliers;Boston Celtics;bet365;-5000;+1500;21 May 2017;108;111;2016-2017
Cleveland Cavaliers;Boston Celtics;bwin;-3333;+1150;21 May 2017;108;111;2016-2017
Cleveland Cavaliers;Boston Celtics;Coolbet;-2500;+1600;21 May 2017;108;111;2016-2017
Cleveland Cavaliers;Boston Celtics;Marathonbet;-2000;+1500;21 May 2017;108;111;2016-2017
Cleveland Cavaliers;Boston Celtics;Pinnacle;-3333;+1680;21 May 2017;108;111;2016-2017
Cleveland Cavaliers;Boston Celtics;Unibet;-3333;+1500;21 May 2017;108;111;2016-2017
Cleveland Cavaliers;Boston Celtics;William Hill;-5000;+1600;21 May 2017;108;111;2016-2017
San Antonio Spurs;Golden State Warriors;1xBet;+386;-417;20 May 2017;108;120;2016-2017
San Antonio Spurs;Golden State Warriors;bet-at-home;+340;-500;20 May 2017;108;120;2016-2017
San Antonio Spurs;Golden State Warriors;bet365;+375;-500;20 May 2017;108;120;2016-2017
San Antonio Spurs;Golden State Warriors;bwin;+359;-500;20 May 2017;108;120;2016-2017
San Antonio Spurs;Golden State Warriors;Coolbet;+375;-455;20 May 2017;108;120;2016-2017
San Antonio Spurs;Golden State Warriors;Marathonbet;+395;-435;20 May 2017;108;120;2016-2017
San Antonio Spurs;Golden State Warriors;Pinnacle;+383;-455;20 May 2017;108;120;2016-2017
San Antonio Spurs;Golden State Warriors;Unibet;+359;-455;20 May 2017;108;120;2016-2017
San Antonio Spurs;Golden State Warriors;William Hill;+350;-500;20 May 2017;108;120;2016-2017
Boston Celtics;Cleveland Cavaliers;1xBet;+175;-185;19 May 2017; 86;130;2016-2017
Boston Celtics;Cleveland Cavaliers;bet-at-home;+173;-227;19 May 2017; 86;130;2016-2017
Boston Celtics;Cleveland Cavaliers;bet365;+179;-222;19 May 2017; 86;130;2016-2017
Boston Celtics;Cleveland Cavaliers;bwin;+195;-238;19 May 2017; 86;130;2016-2017
Boston Celtics;Cleveland Cavaliers;Coolbet;+185;-213;19 May 2017; 86;130;2016-2017
Boston Celtics;Cleveland Cavaliers;Marathonbet;+170;-182;19 May 2017; 86;130;2016-2017
Boston Celtics;Cleveland Cavaliers;Pinnacle;+188;-208;19 May 2017; 86;130;2016-2017
Boston Celtics;Cleveland Cavaliers;Unibet;+185;-222;19 May 2017; 86;130;2016-2017
Boston Celtics;Cleveland Cavaliers;William Hill;+179;-222;19 May 2017; 86;130;2016-2017
Boston Celtics;Cleveland Cavaliers;1xBet;+166;-175;17 May 2017;104;117;2016-2017
Boston Celtics;Cleveland Cavaliers;bet-at-home;+142;-182;17 May 2017;104;117;2016-2017
