;Home_id;Away_id;Bookmaker;OddHome;OddAway;Date;Score_home;Score_away;Season
0;Milwaukee Bucks;Phoenix Suns;10x10bet;-196;154;20 Jul 2021;105;98;2020-2021
1;Milwaukee Bucks;Phoenix Suns;1xBet;-179;168;20 Jul 2021;105;98;2020-2021
2;Milwaukee Bucks;Phoenix Suns;bet-at-home;-196;150;20 Jul 2021;105;98;2020-2021
3;Milwaukee Bucks;Phoenix Suns;bet365;-185;165;20 Jul 2021;105;98;2020-2021
4;Milwaukee Bucks;Phoenix Suns;bwin;-189;154;20 Jul 2021;105;98;2020-2021
5;Milwaukee Bucks;Phoenix Suns;Coolbet;-179;152;20 Jul 2021;105;98;2020-2021
6;Milwaukee Bucks;Phoenix Suns;Curebet;-192;160;20 Jul 2021;105;98;2020-2021
7;Milwaukee Bucks;Phoenix Suns;GGBET;-159;129;20 Jul 2021;105;98;2020-2021
8;Milwaukee Bucks;Phoenix Suns;Lasbet;-189;165;20 Jul 2021;105;98;2020-2021
9;Milwaukee Bucks;Phoenix Suns;Marathonbet;-172;171;20 Jul 2021;105;98;2020-2021
10;Milwaukee Bucks;Phoenix Suns;Pinnacle;-189;167;20 Jul 2021;105;98;2020-2021
11;Milwaukee Bucks;Phoenix Suns;Unibet;-200;160;20 Jul 2021;105;98;2020-2021
12;Milwaukee Bucks;Phoenix Suns;William Hill;-185;165;20 Jul 2021;105;98;2020-2021
13;Phoenix Suns;Milwaukee Bucks;10x10bet;-172;137;17 Jul 2021;119;123;2020-2021
14;Phoenix Suns;Milwaukee Bucks;1xBet;-164;154;17 Jul 2021;119;123;2020-2021
15;Phoenix Suns;Milwaukee Bucks;bet-at-home;-172;134;17 Jul 2021;119;123;2020-2021
16;Phoenix Suns;Milwaukee Bucks;bet365;-172;150;17 Jul 2021;119;123;2020-2021
17;Phoenix Suns;Milwaukee Bucks;bwin;-175;145;17 Jul 2021;119;123;2020-2021
18;Phoenix Suns;Milwaukee Bucks;Coolbet;-172;149;17 Jul 2021;119;123;2020-2021
19;Phoenix Suns;Milwaukee Bucks;Curebet;-169;142;17 Jul 2021;119;123;2020-2021
20;Phoenix Suns;Milwaukee Bucks;GGBET;-169;143;17 Jul 2021;119;123;2020-2021
21;Phoenix Suns;Milwaukee Bucks;Lasbet;-164;144;17 Jul 2021;119;123;2020-2021
22;Phoenix Suns;Milwaukee Bucks;Marathonbet;-164;163;17 Jul 2021;119;123;2020-2021
23;Phoenix Suns;Milwaukee Bucks;Pinnacle;-164;147;17 Jul 2021;119;123;2020-2021
24;Phoenix Suns;Milwaukee Bucks;Unibet;-167;140;17 Jul 2021;119;123;2020-2021
25;Phoenix Suns;Milwaukee Bucks;William Hill;-175;154;17 Jul 2021;119;123;2020-2021
26;Milwaukee Bucks;Phoenix Suns;10x10bet;-213;170;14 Jul 2021;109;103;2020-2021
27;Milwaukee Bucks;Phoenix Suns;1xBet;-196;181;14 Jul 2021;109;103;2020-2021
28;Milwaukee Bucks;Phoenix Suns;bet-at-home;-204;160;14 Jul 2021;109;103;2020-2021
29;Milwaukee Bucks;Phoenix Suns;bet365;-200;170;14 Jul 2021;109;103;2020-2021
30;Milwaukee Bucks;Phoenix Suns;bwin;-200;165;14 Jul 2021;109;103;2020-2021
31;Milwaukee Bucks;Phoenix Suns;Coolbet;-189;162;14 Jul 2021;109;103;2020-2021
32;Milwaukee Bucks;Phoenix Suns;Curebet;-208;170;14 Jul 2021;109;103;2020-2021
33;Milwaukee Bucks;Phoenix Suns;GGBET;-204;164;14 Jul 2021;109;103;2020-2021
34;Milwaukee Bucks;Phoenix Suns;Lasbet;-204;177;14 Jul 2021;109;103;2020-2021
35;Milwaukee Bucks;Phoenix Suns;Marathonbet;-179;177;14 Jul 2021;109;103;2020-2021
36;Milwaukee Bucks;Phoenix Suns;Pinnacle;-189;169;14 Jul 2021;109;103;2020-2021
37;Milwaukee Bucks;Phoenix Suns;Unibet;-208;170;14 Jul 2021;109;103;2020-2021
38;Milwaukee Bucks;Phoenix Suns;William Hill;-192;170;14 Jul 2021;109;103;2020-2021
39;Milwaukee Bucks;Phoenix Suns;10x10bet;-208;165;11 Jul 2021;120;100;2020-2021
40;Milwaukee Bucks;Phoenix Suns;1xBet;-189;175;11 Jul 2021;120;100;2020-2021
41;Milwaukee Bucks;Phoenix Suns;bet-at-home;-208;160;11 Jul 2021;120;100;2020-2021
42;Milwaukee Bucks;Phoenix Suns;bet365;-200;170;11 Jul 2021;120;100;2020-2021
