game_id,Bookmaker,Unnamed: 0,OddHome,OddAway
202012220LAL,Unibet,12849,-132,110
202012220LAL,bet-at-home,12842,-137,106
202012220LAL,bwin,12844,-149,125
202012220LAL,Coolbet,12845,-137,119
202012220LAL,GGBET,12846,-137,112
202012220LAL,Marathonbet,12847,-127,125
202012220LAL,Pinnacle,12848,-133,121
202012220LAL,William Hill,12850,-135,114
202012220LAL,bet365,12843,-135,114
202012220BRK,bet365,12852,-345,270
202012220BRK,bwin,12853,-303,240
202012220BRK,Coolbet,12854,-333,275
202012220BRK,GGBET,12855,-303,235
202012220BRK,Marathonbet,12856,-323,280
202012220BRK,Pinnacle,12857,-333,283
202012220BRK,William Hill,12859,-333,270
202012220BRK,Unibet,12858,-286,229
202012220BRK,bet-at-home,12851,-357,260
202012230MEM,bet365,12771,-132,110
202012230MEM,bet-at-home,12770,-132,104
202012230CHI,William Hill,12769,104,-125
202012230CHI,Unibet,12768,106,-128
202012230CHI,bwin,12763,104,-125
202012230CHI,Marathonbet,12766,114,-127
202012230CHI,GGBET,12765,108,-132
202012230CHI,Coolbet,12764,100,-118
202012230MEM,bwin,12772,-133,110
202012230CHI,Pinnacle,12767,108,-120
202012230MEM,Coolbet,12773,-127,110
202012230MEM,William Hill,12778,-130,110
202012230MEM,Marathonbet,12775,-132,119
202012230MEM,Pinnacle,12776,-123,112
202012230MEM,Unibet,12777,-130,110
202012230CHI,bet365,12762,104,-125
202012230MIN,bet-at-home,12779,-217,165
202012230MIN,bet365,12780,-222,179
202012230MIN,bwin,12781,-238,190
202012230MIN,Coolbet,12782,-204,175
202012230MIN,GGBET,12783,-227,181
202012230MIN,Marathonbet,12784,-208,185
202012230MIN,Pinnacle,12785,-200,177
202012230MEM,GGBET,12774,-133,108
202012230CHI,bet-at-home,12761,100,-128
202012230DEN,GGBET,12756,-323,249
202012230DEN,Unibet,12759,-303,245
202012230PHO,bet-at-home,12734,-123,-103
202012230PHO,bet365,12735,-120,100
202012230PHO,bwin,12736,-115,-105
202012230PHO,Coolbet,12737,-122,104
202012230PHO,GGBET,12738,-111,-105
202012230PHO,Marathonbet,12739,-118,106
202012230PHO,Pinnacle,12740,-114,102
202012230PHO,Unibet,12741,-120,102
202012230PHO,William Hill,12742,-120,100
202012230POR,bet-at-home,12743,-101,-127
202012230POR,bet365,12744,104,-125
202012230DEN,William Hill,12760,-323,265
202012230POR,bwin,12745,110,-133
202012230POR,Marathonbet,12748,114,-127
202012230POR,Pinnacle,12749,108,-120
202012230POR,Unibet,12750,104,-125
202012230POR,William Hill,12751,104,-125
202012230DEN,bet-at-home,12752,-370,265
202012230DEN,bet365,12753,-323,260
202012230DEN,bwin,12754,-303,240
202012230DEN,Coolbet,12755,-323,265
202012230MIN,Unibet,12786,-213,175
202012230DEN,Marathonbet,12757,-323,280
202012230DEN,Pinnacle,12758,-312,267
202012230POR,Coolbet,12746,-103,-111
202012230MIN,William Hill,12787,-213,185
202012230POR,GGBET,12747,100,-119
202012230BOS,bet365,12789,165,-185
202012230IND,Coolbet,12818,-303,254
202012230IND,GGBET,12819,-312,242
202012230IND,Marathonbet,12820,-312,272
202012230IND,Pinnacle,12821,-294,257
202012230IND,Unibet,12822,-303,245
202012230IND,William Hill,12823,-323,265
202012230ORL,bet-at-home,12824,154,-204
202012230ORL,bet365,12825,175,-213
202012230ORL,Coolbet,12827,152,-179
202012230PHI,William Hill,12841,-303,250
202012230ORL,GGBET,12828,167,-208
202012230IND,bwin,12817,-385,290
202012230ORL,Marathonbet,12829,175,-196
202012230ORL,Unibet,12831,160,-189
202012230ORL,William Hill,12832,170,-189
202012230PHI,bet-at-home,12833,-333,240
202012230PHI,bet365,12834,-312,250
202012230PHI,bwin,12835,-286,229
202012230PHI,Coolbet,12836,-323,269
202012230PHI,GGBET,12837,-294,229
202012230PHI,Marathonbet,12838,-303,264
202012230PHI,Pinnacle,12839,-294,254
202012230PHI,Unibet,12840,-270,225
202012230BOS,bet-at-home,12788,149,-192
202012230ORL,Pinnacle,12830,166,-185
202012230IND,bet365,12816,-323,260
202012230ORL,bwin,12826,165,-200
202012230CLE,William Hill,12814,129,-149
202012230BOS,bwin,12790,154,-189
202012230BOS,Coolbet,12791,152,-175
202012230IND,bet-at-home,12815,-357,260
202012230BOS,Marathonbet,12793,171,-172
202012230BOS,Pinnacle,12794,161,-179
202012230BOS,Unibet,12795,154,-182
