game_id,Bookmaker,OddHome,OddAway
202110190LAL,Parimatch,-154,122
202110190LAL,Marathonbet,-143,141
202110190LAL,Lasbet,-204,177
202110190LAL,GGBET,-152,122
202110190LAL,Curebet,-213,175
202110190LAL,Coolbet,-147,125
202110190LAL,1xBet,-143,134
202110190LAL,BetFinal,-145,140
202110190LAL,bet365,-152,129
202110190LAL,bet-at-home,-161,125
202110190LAL,10x10bet,-217,172
202110190LAL,Pinnacle,-156,140
202110190LAL,bwin,-161,135
202110190LAL,Unibet,-152,127
202110190MIL,bet365,-125,104
202110190MIL,10x10bet,-102,-122
202110190LAL,William Hill,-161,140
202110190MIL,Unibet,-125,104
202110190MIL,Pinnacle,-122,110
202110190MIL,Parimatch,-125,106
202110190MIL,Marathonbet,-119,106
202110190MIL,Lasbet,102,-116
202110190MIL,GGBET,-116,-106
202110190MIL,William Hill,-125,104
202110190MIL,Coolbet,-125,106
202110190MIL,bwin,-125,104
202110190MIL,BetFinal,-115,112
202110190MIL,bet-at-home,-130,102
202110190MIL,1xBet,-118,110
202110190MIL,Curebet,100,-119
202110200SAS,Pinnacle,-270,235
202110200SAS,Parimatch,-278,229
202110200SAS,Marathonbet,-278,244
202110200SAS,Lasbet,-222,193
202110200SAS,GGBET,-256,215
202110200SAS,Curebet,-233,192
202110200SAS,Coolbet,-256,212
202110200SAS,bwin,-278,220
202110200SAS,bet365,-278,225
202110200SAS,bet-at-home,-294,220
202110200SAS,1xBet,-263,246
202110200SAS,10x10bet,-233,183
202110200UTA,William Hill,-1250,750
202110200SAS,Unibet,-270,225
202110200MIN,BetFinal,-263,210
202110200UTA,Unibet,-1667,850
202110200UTA,Pinnacle,-1111,771
202110200SAS,BetFinal,-278,220
202110200SAS,William Hill,-270,229
202110200MEM,Coolbet,-286,235
202110200MEM,1xBet,-263,246
202110200UTA,Parimatch,-1250,800
202110200MIN,bet365,-263,215
202110200MIN,bet-at-home,-270,204
202110200MIN,1xBet,-244,227
202110200MIN,10x10bet,-196,154
202110200MEM,William Hill,-278,240
202110200MEM,Unibet,-270,225
202110200MEM,Pinnacle,-278,238
202110200MEM,Parimatch,-294,240
202110200MEM,Marathonbet,-278,244
202110200MEM,Lasbet,-345,292
202110200MEM,GGBET,-303,250
202110200MEM,Curebet,-357,284
202110200MEM,bwin,-303,240
202110200MEM,BetFinal,-278,229
202110200MEM,bet365,-294,235
202110200MEM,bet-at-home,-303,225
202110200MEM,10x10bet,-370,280
202110200UTA,Marathonbet,-1000,740
202110200PHO,bet-at-home,-250,190
202110200UTA,GGBET,-1000,683
202110200POR,1xBet,-238,222
202110200POR,10x10bet,-238,187
202110200PHO,William Hill,-250,204
202110200PHO,Unibet,-238,188
202110200PHO,Pinnacle,-227,202
202110200PHO,Parimatch,-238,200
202110200PHO,Marathonbet,-233,229
202110200PHO,Lasbet,-263,227
202110200PHO,GGBET,-238,200
202110200PHO,Curebet,-270,220
202110200PHO,Coolbet,-238,198
202110200PHO,bwin,-238,195
202110200PHO,BetFinal,-238,190
202110200PHO,bet365,-244,200
202110200PHO,1xBet,-244,224
202110200PHO,10x10bet,-278,215
202110200MIN,bwin,-278,220
202110200POR,bet-at-home,-270,204
202110200UTA,Lasbet,-714,555
202110200POR,bet365,-263,215
202110200POR,bwin,-278,220
202110200UTA,Curebet,-769,540
202110200UTA,Coolbet,-1250,775
202110200UTA,bwin,-909,600
202110200UTA,BetFinal,-1111,700
202110200UTA,bet365,-1250,750
202110200UTA,bet-at-home,-1429,719
202110200UTA,1xBet,-909,750
202110200UTA,10x10bet,-769,505
202110200POR,William Hill,-270,229
202110200POR,Unibet,-250,204
202110200POR,Pinnacle,-250,217
202110200POR,Parimatch,-256,215
202110200POR,Marathonbet,-250,222
202110200POR,Lasbet,-227,197
202110200POR,GGBET,-263,220
202110200POR,Curebet,-233,192
202110200POR,Coolbet,-250,206
202110200POR,BetFinal,-263,210
202110200MIN,Coolbet,-244,202
202110200TOR,GGBET,-141,121
202110200MIN,GGBET,-250,210
202110200CHO,Lasbet,-132,116
202110200CHO,GGBET,-108,-108
202110200CHO,Curebet,-137,114
202110200CHO,Coolbet,100,-118
202110200CHO,bwin,110,-133
202110200CHO,BetFinal,102,-122
202110200CHO,bet365,104,-125
202110200CHO,bet-at-home,-102,-125
202110200CHO,1xBet,112,-120
202110200TOR,William Hill,-141,120
202110200TOR,Unibet,-137,116
202110200TOR,Pinnacle,-132,119
202110200TOR,Parimatch,-152,120
202110200TOR,Marathonbet,-137,123
202110200TOR,Lasbet,-154,135
202110200TOR,Curebet,-159,133
202110200TOR,Coolbet,-133,112
202110200CHO,Marathonbet,110,-123
202110200TOR,bwin,-139,114
202110200CHO,Parimatch,102,-120
202110200CHO,Unibet,102,-120
202110200MIN,Curebet,-192,160
202110200DET,William Hill,185,-217
202110200DET,Unibet,179,-222
202110200DET,Pinnacle,184,-208
202110200DET,Parimatch,175,-213
202110200DET,Marathonbet,177,-200
202110200DET,Lasbet,125,-143
202110200DET,GGBET,177,-208
202110200DET,Curebet,123,-147
202110200DET,Coolbet,181,-217
202110200DET,bwin,175,-213
202110200DET,BetFinal,177,-208
202110200DET,bet365,179,-222
202110200DET,bet-at-home,170,-227
202110200DET,1xBet,188,-200
202110200DET,10x10bet,120,-149
202110200CHO,William Hill,100,-120
202110200CHO,Pinnacle,104,-116
202110200TOR,BetFinal,-137,116
202110200CHO,10x10bet,-139,112
202110200TOR,bet-at-home,-141,110
202110200NOP,Marathonbet,156,-175
202110200NOP,Lasbet,108,-122
202110200NOP,GGBET,148,-172
202110200NOP,Curebet,104,-125
202110200NOP,Coolbet,140,-164
202110200NOP,bwin,135,-161
202110200NOP,BetFinal,140,-169
202110200TOR,bet365,-141,120
202110200NOP,bet-at-home,139,-179
202110200NOP,1xBet,160,-169
202110200NOP,10x10bet,104,-128
202110200MIN,William Hill,-250,210
202110200MIN,Unibet,-263,210
202110200MIN,Pinnacle,-244,216
202110200MIN,Parimatch,-256,215
202110200MIN,Marathonbet,-256,225
202110200MIN,Lasbet,-185,162
202110200NOP,Parimatch,145,-172
202110200NOP,Pinnacle,152,-172
202110200NOP,bet365,150,-172
202110200NOP,William Hill,145,-164
202110200NOP,Unibet,133,-159
202110200TOR,1xBet,-133,125
202110200TOR,10x10bet,-161,129
202110200NYK,William Hill,-141,120
202110200NYK,Unibet,-135,114
202110200NYK,Parimatch,-152,120
202110200NYK,Marathonbet,-132,129
202110200NYK,Lasbet,-116,102
202110200NYK,Pinnacle,-141,125
202110200NYK,Curebet,-119,100
202110200NYK,Coolbet,-139,118
202110200NYK,bwin,-139,114
202110200NYK,BetFinal,-141,118
202110200NYK,bet365,-147,125
202110200NYK,bet-at-home,-145,112
202110200NYK,1xBet,-135,127
202110200NYK,GGBET,-143,123
202110200NYK,10x10bet,-122,-102
202110210MIA,BetFinal,-143,118
202110210GSW,Pinnacle,-175,156
202110210GSW,Unibet,-185,150
202110210GSW,William Hill,-185,165
202110210MIA,bet365,-141,120
202110210MIA,1xBet,-133,125
202110210MIA,bet-at-home,-149,117
202110210GSW,Parimatch,-175,140
202110210MIA,10x10bet,104,-128
