Home_id;Away_id;Bookmaker;OddHome;OddAway;Date;Score_home;Score_away;Season
Sacramento Kings;Los Angeles Clippers;10x10bet;+125;-156;22 Oct 2022;109;111;2022-2023
Sacramento Kings;Los Angeles Clippers;1xBet;+192;-204;22 Oct 2022;109;111;2022-2023
Sacramento Kings;Los Angeles Clippers;bet-at-home;+175;-250;22 Oct 2022;109;111;2022-2023
Sacramento Kings;Los Angeles Clippers;bet365;+129;-152;22 Oct 2022;109;111;2022-2023
Sacramento Kings;Los Angeles Clippers;bwin;+154;-189;22 Oct 2022;109;111;2022-2023
Sacramento Kings;Los Angeles Clippers;Coolbet;+129;-154;22 Oct 2022;109;111;2022-2023
Sacramento Kings;Los Angeles Clippers;Curebet;+127;-152;22 Oct 2022;109;111;2022-2023
Sacramento Kings;Los Angeles Clippers;GGBET;+185;-233;22 Oct 2022;109;111;2022-2023
Sacramento Kings;Los Angeles Clippers;Lasbet;+131;-149;22 Oct 2022;109;111;2022-2023
Sacramento Kings;Los Angeles Clippers;Marathonbet;+139;-161;22 Oct 2022;109;111;2022-2023
Sacramento Kings;Los Angeles Clippers;N1 Bet;+114;-154;22 Oct 2022;109;111;2022-2023
Sacramento Kings;Los Angeles Clippers;Pinnacle;+131;-147;22 Oct 2022;109;111;2022-2023
Sacramento Kings;Los Angeles Clippers;Unibet;+125;-152;22 Oct 2022;109;111;2022-2023
Sacramento Kings;Los Angeles Clippers;VOBET;+125;-156;22 Oct 2022;109;111;2022-2023
Sacramento Kings;Los Angeles Clippers;William Hill;+140;-161;22 Oct 2022;109;111;2022-2023
Denver Nuggets;Oklahoma City Thunder;10x10bet;-303;+229;22 Oct 2022;122;117;2022-2023
Denver Nuggets;Oklahoma City Thunder;1xBet;-312;+288;22 Oct 2022;122;117;2022-2023
Denver Nuggets;Oklahoma City Thunder;bet-at-home;-385;+250;22 Oct 2022;122;117;2022-2023
Denver Nuggets;Oklahoma City Thunder;bet365;-312;+250;22 Oct 2022;122;117;2022-2023
Denver Nuggets;Oklahoma City Thunder;bwin;-333;+260;22 Oct 2022;122;117;2022-2023
Denver Nuggets;Oklahoma City Thunder;Coolbet;-303;+250;22 Oct 2022;122;117;2022-2023
Denver Nuggets;Oklahoma City Thunder;Curebet;-294;+240;22 Oct 2022;122;117;2022-2023
Denver Nuggets;Oklahoma City Thunder;GGBET;-357;+273;22 Oct 2022;122;117;2022-2023
Denver Nuggets;Oklahoma City Thunder;Lasbet;-286;+245;22 Oct 2022;122;117;2022-2023
Denver Nuggets;Oklahoma City Thunder;Marathonbet;-345;+286;22 Oct 2022;122;117;2022-2023
Denver Nuggets;Oklahoma City Thunder;N1 Bet;-345;+236;22 Oct 2022;122;117;2022-2023
Denver Nuggets;Oklahoma City Thunder;Pinnacle;-286;+248;22 Oct 2022;122;117;2022-2023
Denver Nuggets;Oklahoma City Thunder;Unibet;-278;+220;22 Oct 2022;122;117;2022-2023
Denver Nuggets;Oklahoma City Thunder;VOBET;-303;+229;22 Oct 2022;122;117;2022-2023
Denver Nuggets;Oklahoma City Thunder;William Hill;-323;+250;22 Oct 2022;122;117;2022-2023
Dallas Mavericks;Memphis Grizzlies;10x10bet;-222;+175;22 Oct 2022;137;96 ;2022-2023
Dallas Mavericks;Memphis Grizzlies;1xBet;-179;+121;22 Oct 2022;137;96 ;2022-2023
Dallas Mavericks;Memphis Grizzlies;bet-at-home;-208;+148;22 Oct 2022;137;96 ;2022-2023
Dallas Mavericks;Memphis Grizzlies;bet365;-200;+170;22 Oct 2022;137;96 ;2022-2023
Dallas Mavericks;Memphis Grizzlies;bwin;-222;+179;22 Oct 2022;137;96 ;2022-2023
Dallas Mavericks;Memphis Grizzlies;Coolbet;-213;+177;22 Oct 2022;137;96 ;2022-2023
Dallas Mavericks;Memphis Grizzlies;Curebet;-213;+175;22 Oct 2022;137;96 ;2022-2023
Dallas Mavericks;Memphis Grizzlies;GGBET;-196;+158;22 Oct 2022;137;96 ;2022-2023
Dallas Mavericks;Memphis Grizzlies;Lasbet;-208;+181;22 Oct 2022;137;96 ;2022-2023
Dallas Mavericks;Memphis Grizzlies;Marathonbet;-227;+224;22 Oct 2022;137;96 ;2022-2023
Dallas Mavericks;Memphis Grizzlies;N1 Bet;-233;+168;22 Oct 2022;137;96 ;2022-2023
Dallas Mavericks;Memphis Grizzlies;Pinnacle;-208;+184;22 Oct 2022;137;96 ;2022-2023
Dallas Mavericks;Memphis Grizzlies;Unibet;-192;+160;22 Oct 2022;137;96 ;2022-2023
Dallas Mavericks;Memphis Grizzlies;VOBET;-222;+175;22 Oct 2022;137;96 ;2022-2023
Dallas Mavericks;Memphis Grizzlies;William Hill;-208;+175;22 Oct 2022;137;96 ;2022-2023
Chicago Bulls;Cleveland Cavaliers;10x10bet;-102;-122;22 Oct 2022; 96;128;2022-2023
Chicago Bulls;Cleveland Cavaliers;1xBet;-111;+104;22 Oct 2022; 96;128;2022-2023
Chicago Bulls;Cleveland Cavaliers;bet-at-home;-127;-109;22 Oct 2022; 96;128;2022-2023
Chicago Bulls;Cleveland Cavaliers;bet365;-105;-116;22 Oct 2022; 96;128;2022-2023
Chicago Bulls;Cleveland Cavaliers;bwin;+104;-125;22 Oct 2022; 96;128;2022-2023
Chicago Bulls;Cleveland Cavaliers;Coolbet;+100;-118;22 Oct 2022; 96;128;2022-2023
Chicago Bulls;Cleveland Cavaliers;Curebet;+100;-119;22 Oct 2022; 96;128;2022-2023
Chicago Bulls;Cleveland Cavaliers;GGBET;-119;-102;22 Oct 2022; 96;128;2022-2023
Chicago Bulls;Cleveland Cavaliers;Lasbet;+102;-116;22 Oct 2022; 96;128;2022-2023
Chicago Bulls;Cleveland Cavaliers;Marathonbet;+114;-116;22 Oct 2022; 96;128;2022-2023
Chicago Bulls;Cleveland Cavaliers;N1 Bet;-104;-127;22 Oct 2022; 96;128;2022-2023
Chicago Bulls;Cleveland Cavaliers;Pinnacle;+104;-115;22 Oct 2022; 96;128;2022-2023
Chicago Bulls;Cleveland Cavaliers;Unibet;+106;-130;22 Oct 2022; 96;128;2022-2023
Chicago Bulls;Cleveland Cavaliers;VOBET;-102;-122;22 Oct 2022; 96;128;2022-2023
Chicago Bulls;Cleveland Cavaliers;William Hill;+100;-120;22 Oct 2022; 96;128;2022-2023
Miami Heat;Toronto Raptors;10x10bet;-156;+125;22 Oct 2022;112;109;2022-2023
Miami Heat;Toronto Raptors;1xBet;-154;+145;22 Oct 2022;112;109;2022-2023
Miami Heat;Toronto Raptors;bet-at-home;-179;+127;22 Oct 2022;112;109;2022-2023
Miami Heat;Toronto Raptors;bet365;-152;+129;22 Oct 2022;112;109;2022-2023
Miami Heat;Toronto Raptors;bwin;-139;+114;22 Oct 2022;112;109;2022-2023
Miami Heat;Toronto Raptors;Coolbet;-154;+129;22 Oct 2022;112;109;2022-2023
Miami Heat;Toronto Raptors;Curebet;-152;+127;22 Oct 2022;112;109;2022-2023
Miami Heat;Toronto Raptors;GGBET;-167;+136;22 Oct 2022;112;109;2022-2023
Miami Heat;Toronto Raptors;Lasbet;-149;+131;22 Oct 2022;112;109;2022-2023
Miami Heat;Toronto Raptors;Marathonbet;-145;+125;22 Oct 2022;112;109;2022-2023
Miami Heat;Toronto Raptors;N1 Bet;-149;+112;22 Oct 2022;112;109;2022-2023
Miami Heat;Toronto Raptors;Pinnacle;-147;+133;22 Oct 2022;112;109;2022-2023
Miami Heat;Toronto Raptors;Unibet;-143;+120;22 Oct 2022;112;109;2022-2023
Miami Heat;Toronto Raptors;VOBET;-156;+125;22 Oct 2022;112;109;2022-2023
Miami Heat;Toronto Raptors;William Hill;-149;+129;22 Oct 2022;112;109;2022-2023
Milwaukee Bucks;Houston Rockets;10x10bet;-1000;+610;22 Oct 2022;125;105;2022-2023
Milwaukee Bucks;Houston Rockets;1xBet;-833;+710;22 Oct 2022;125;105;2022-2023
Milwaukee Bucks;Houston Rockets;bet-at-home;-1111;+500;22 Oct 2022;125;105;2022-2023
Milwaukee Bucks;Houston Rockets;bet365;-1000;+650;22 Oct 2022;125;105;2022-2023
Milwaukee Bucks;Houston Rockets;bwin;-909;+575;22 Oct 2022;125;105;2022-2023
Milwaukee Bucks;Houston Rockets;Coolbet;-909;+620;22 Oct 2022;125;105;2022-2023
Milwaukee Bucks;Houston Rockets;Curebet;-909;+610;22 Oct 2022;125;105;2022-2023
Milwaukee Bucks;Houston Rockets;GGBET;-909;+577;22 Oct 2022;125;105;2022-2023
Milwaukee Bucks;Houston Rockets;Lasbet;-909;+670;22 Oct 2022;125;105;2022-2023
Milwaukee Bucks;Houston Rockets;Marathonbet;-909;+660;22 Oct 2022;125;105;2022-2023
Milwaukee Bucks;Houston Rockets;N1 Bet;-1111;+557;22 Oct 2022;125;105;2022-2023
Milwaukee Bucks;Houston Rockets;Pinnacle;-909;+643;22 Oct 2022;125;105;2022-2023
Milwaukee Bucks;Houston Rockets;Unibet;-769;+525;22 Oct 2022;125;105;2022-2023
Milwaukee Bucks;Houston Rockets;VOBET;-1000;+610;22 Oct 2022;125;105;2022-2023
Milwaukee Bucks;Houston Rockets;William Hill;-1000;+650;22 Oct 2022;125;105;2022-2023
Indiana Pacers;Detroit Pistons;10x10bet;-110;-112;22 Oct 2022;124;115;2022-2023
Indiana Pacers;Detroit Pistons;1xBet;+106;-112;22 Oct 2022;124;115;2022-2023
Indiana Pacers;Detroit Pistons;bet-at-home;-106;-130;22 Oct 2022;124;115;2022-2023
Indiana Pacers;Detroit Pistons;bet365;-105;-116;22 Oct 2022;124;115;2022-2023
Indiana Pacers;Detroit Pistons;bwin;-105;-115;22 Oct 2022;124;115;2022-2023
Indiana Pacers;Detroit Pistons;Coolbet;-103;-114;22 Oct 2022;124;115;2022-2023
Indiana Pacers;Detroit Pistons;Curebet;-108;-110;22 Oct 2022;124;115;2022-2023
Indiana Pacers;Detroit Pistons;GGBET;-101;-122;22 Oct 2022;124;115;2022-2023
Indiana Pacers;Detroit Pistons;Lasbet;-105;-108;22 Oct 2022;124;115;2022-2023
Indiana Pacers;Detroit Pistons;Marathonbet;+100;-116;22 Oct 2022;124;115;2022-2023
Indiana Pacers;Detroit Pistons;N1 Bet;-114;-116;22 Oct 2022;124;115;2022-2023
Indiana Pacers;Detroit Pistons;Pinnacle;-104;-106;22 Oct 2022;124;115;2022-2023
Indiana Pacers;Detroit Pistons;Unibet;-106;-114;22 Oct 2022;124;115;2022-2023
Indiana Pacers;Detroit Pistons;VOBET;-110;-112;22 Oct 2022;124;115;2022-2023
Indiana Pacers;Detroit Pistons;William Hill;+100;-120;22 Oct 2022;124;115;2022-2023
Orlando Magic;Boston Celtics;10x10bet;+220;-286;22 Oct 2022;120;126;2022-2023
Orlando Magic;Boston Celtics;1xBet;+234;-250;22 Oct 2022;120;126;2022-2023
Orlando Magic;Boston Celtics;bet-at-home;+204;-303;22 Oct 2022;120;126;2022-2023
Orlando Magic;Boston Celtics;bet365;+240;-303;22 Oct 2022;120;126;2022-2023
Orlando Magic;Boston Celtics;bwin;+229;-294;22 Oct 2022;120;126;2022-2023
