Home_id;Away_id;Bookmaker;OddHome;OddAway;Date;Score_home;Score_away;Season
Los Angeles Lakers;Denver Nuggets;10x10bet;+131;-164;30 Oct 2022;121;110;2022-2023
Los Angeles Lakers;Denver Nuggets;1xBet;+129;-137;30 Oct 2022;121;110;2022-2023
Los Angeles Lakers;Denver Nuggets;bet-at-home;+112;-145;30 Oct 2022;121;110;2022-2023
Los Angeles Lakers;Denver Nuggets;bet365;+125;-147;30 Oct 2022;121;110;2022-2023
Los Angeles Lakers;Denver Nuggets;bwin;+114;-139;30 Oct 2022;121;110;2022-2023
Los Angeles Lakers;Denver Nuggets;Coolbet;+120;-141;30 Oct 2022;121;110;2022-2023
Los Angeles Lakers;Denver Nuggets;Curebet;+135;-161;30 Oct 2022;121;110;2022-2023
Los Angeles Lakers;Denver Nuggets;GGBET;+114;-133;30 Oct 2022;121;110;2022-2023
Los Angeles Lakers;Denver Nuggets;Lasbet;+138;-156;30 Oct 2022;121;110;2022-2023
Los Angeles Lakers;Denver Nuggets;Marathonbet;+129;-149;30 Oct 2022;121;110;2022-2023
Los Angeles Lakers;Denver Nuggets;N1 Bet;+118;-139;30 Oct 2022;121;110;2022-2023
Los Angeles Lakers;Denver Nuggets;Pinnacle;+123;-135;30 Oct 2022;121;110;2022-2023
Los Angeles Lakers;Denver Nuggets;Unibet;+108;-128;30 Oct 2022;121;110;2022-2023
Los Angeles Lakers;Denver Nuggets;VOBET;+131;-164;30 Oct 2022;121;110;2022-2023
Los Angeles Lakers;Denver Nuggets;William Hill;+125;-145;30 Oct 2022;121;110;2022-2023
Phoenix Suns;Houston Rockets;10x10bet;-833;+535;30 Oct 2022;124;109;2022-2023
Phoenix Suns;Houston Rockets;1xBet;-833;+700;30 Oct 2022;124;109;2022-2023
Phoenix Suns;Houston Rockets;bet-at-home;-1000;+560;30 Oct 2022;124;109;2022-2023
Phoenix Suns;Houston Rockets;bet365;-909;+600;30 Oct 2022;124;109;2022-2023
Phoenix Suns;Houston Rockets;bwin;-909;+600;30 Oct 2022;124;109;2022-2023
Phoenix Suns;Houston Rockets;Coolbet;-909;+618;30 Oct 2022;124;109;2022-2023
Phoenix Suns;Houston Rockets;Curebet;-833;+570;30 Oct 2022;124;109;2022-2023
Phoenix Suns;Houston Rockets;GGBET;-1000;+600;30 Oct 2022;124;109;2022-2023
Phoenix Suns;Houston Rockets;Lasbet;-769;+585;30 Oct 2022;124;109;2022-2023
Phoenix Suns;Houston Rockets;Marathonbet;-909;+640;30 Oct 2022;124;109;2022-2023
Phoenix Suns;Houston Rockets;N1 Bet;-909;+617;30 Oct 2022;124;109;2022-2023
Phoenix Suns;Houston Rockets;Pinnacle;-833;+631;30 Oct 2022;124;109;2022-2023
Phoenix Suns;Houston Rockets;Unibet;-769;+540;30 Oct 2022;124;109;2022-2023
Phoenix Suns;Houston Rockets;VOBET;-833;+535;30 Oct 2022;124;109;2022-2023
Phoenix Suns;Houston Rockets;William Hill;-909;+600;30 Oct 2022;124;109;2022-2023
Dallas Mavericks;Orlando Magic;10x10bet;-435;+320;30 Oct 2022;114;105;2022-2023
Dallas Mavericks;Orlando Magic;1xBet;-357;+332;30 Oct 2022;114;105;2022-2023
Dallas Mavericks;Orlando Magic;bet-at-home;-556;+359;30 Oct 2022;114;105;2022-2023
Dallas Mavericks;Orlando Magic;bet365;-400;+320;30 Oct 2022;114;105;2022-2023
Dallas Mavericks;Orlando Magic;bwin;-400;+309;30 Oct 2022;114;105;2022-2023
Dallas Mavericks;Orlando Magic;Coolbet;-455;+345;30 Oct 2022;114;105;2022-2023
Dallas Mavericks;Orlando Magic;Curebet;-435;+337;30 Oct 2022;114;105;2022-2023
Dallas Mavericks;Orlando Magic;GGBET;-400;+305;30 Oct 2022;114;105;2022-2023
Dallas Mavericks;Orlando Magic;Lasbet;-417;+347;30 Oct 2022;114;105;2022-2023
Dallas Mavericks;Orlando Magic;Marathonbet;-417;+333;30 Oct 2022;114;105;2022-2023
Dallas Mavericks;Orlando Magic;N1 Bet;-500;+388;30 Oct 2022;114;105;2022-2023
Dallas Mavericks;Orlando Magic;Pinnacle;-417;+340;30 Oct 2022;114;105;2022-2023
Dallas Mavericks;Orlando Magic;Unibet;-400;+320;30 Oct 2022;114;105;2022-2023
