,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway
Bookmaker,10x10bet,1xBet,Coolbet,Curebet,GGBET,Lasbet,Marathonbet,N1 Bet,Pinnacle,Unibet,VOBET,William Hill,bet-at-home,bet365,bwin,10x10bet,1xBet,Coolbet,Curebet,GGBET,Lasbet,Marathonbet,N1 Bet,Pinnacle,Unibet,VOBET,William Hill,bet-at-home,bet365,bwin
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202210180BOS,-238.0,-250.0,-154.0,-233.0,-222.0,-227.0,-227.0,-161.0,-149.0,-233.0,-238.0,-250.0,-244.0,-250.0,-227.0,187.0,234.0,136.0,192.0,166.0,197.0,191.0,125.0,133.0,185.0,187.0,204.0,170.0,204.0,185.0
202210180GSW,-256.0,-278.0,-238.0,-250.0,-263.0,-244.0,-270.0,-294.0,-233.0,-250.0,-256.0,-270.0,-278.0,-270.0,-278.0,200.0,254.0,204.0,204.0,193.0,212.0,225.0,220.0,200.0,200.0,200.0,220.0,190.0,220.0,220.0
202210190ATL,-476.0,-455.0,-455.0,-455.0,-435.0,-455.0,-500.0,-625.0,-435.0,-476.0,-476.0,-476.0,-625.0,-455.0,-455.0,345.0,409.0,355.0,350.0,295.0,375.0,400.0,413.0,343.0,350.0,345.0,359.0,359.0,350.0,350.0
202210190BRK,-147.0,-141.0,-159.0,-145.0,-125.0,-141.0,-152.0,-152.0,-167.0,-147.0,-147.0,-125.0,-149.0,-125.0,-189.0,118.0,131.0,135.0,122.0,-104.0,124.0,129.0,119.0,147.0,120.0,118.0,104.0,108.0,104.0,154.0
202210190DET,-147.0,-141.0,-189.0,-145.0,-159.0,-141.0,-164.0,-149.0,-159.0,-147.0,-147.0,-161.0,-161.0,-161.0,-161.0,118.0,131.0,159.0,122.0,121.0,124.0,141.0,117.0,140.0,120.0,118.0,140.0,117.0,140.0,135.0
202210190IND,114.0,122.0,110.0,117.0,100.0,119.0,118.0,-110.0,110.0,116.0,114.0,110.0,106.0,110.0,114.0,-141.0,-130.0,-128.0,-139.0,-132.0,-135.0,-137.0,-115.0,-125.0,-141.0,-141.0,-130.0,-147.0,-132.0,-139.0
202210190MEM,-323.0,-303.0,-270.0,-312.0,-333.0,-303.0,-294.0,-185.0,-244.0,-303.0,-323.0,-345.0,-357.0,-333.0,-303.0,245.0,278.0,220.0,252.0,237.0,260.0,244.0,143.0,209.0,240.0,245.0,270.0,229.0,265.0,240.0
202210190MIA,-204.0,-213.0,-227.0,-200.0,-227.0,-196.0,-244.0,-323.0,-227.0,-192.0,-204.0,-233.0,-227.0,-233.0,-222.0,162.0,198.0,189.0,166.0,169.0,171.0,204.0,240.0,195.0,160.0,162.0,190.0,160.0,190.0,179.0
202210190MIN,-455.0,-455.0,-556.0,-455.0,-435.0,-435.0,-625.0,-714.0,-556.0,-476.0,-455.0,-455.0,-625.0,-455.0,-455.0,334.0,409.0,420.0,350.0,295.0,425.0,470.0,459.0,425.0,350.0,334.0,350.0,359.0,350.0,350.0
202210190PHO,-238.0,-213.0,-196.0,-233.0,-192.0,-227.0,-204.0,-185.0,-196.0,-192.0,-238.0,-208.0,-238.0,-213.0,-222.0,187.0,198.0,165.0,192.0,-192.0,197.0,174.0,145.0,172.0,160.0,187.0,175.0,165.0,175.0,179.0
202210190SAC,-123.0,-119.0,-123.0,-120.0,-125.0,-118.0,-125.0,-149.0,-114.0,-122.0,-123.0,-120.0,-130.0,-120.0,-125.0,100.0,112.0,104.0,102.0,-104.0,104.0,108.0,117.0,102.0,100.0,100.0,100.0,-106.0,100.0,104.0
202210190SAS,131.0,114.0,112.0,123.0,116.0,125.0,118.0,-112.0,120.0,120.0,120.0,129.0,114.0,129.0,135.0,-147.0,114.0,-133.0,-147.0,-152.0,-143.0,-137.0,-114.0,-135.0,-147.0,-149.0,-149.0,-159.0,-152.0,-161.0
202210190TOR,-196.0,-161.0,-154.0,-192.0,-182.0,-185.0,-161.0,-137.0,-149.0,-192.0,-196.0,-200.0,-208.0,-185.0,-189.0,154.0,152.0,129.0,160.0,138.0,162.0,139.0,108.0,133.0,160.0,154.0,170.0,146.0,165.0,154.0
202210190UTA,160.0,163.0,270.0,160.0,166.0,165.0,286.0,216.0,261.0,160.0,160.0,170.0,165.0,170.0,220.0,-200.0,-172.0,-333.0,-192.0,-222.0,-189.0,-345.0,-294.0,-312.0,-192.0,-200.0,-200.0,-238.0,-200.0,-278.0
202210200LAL,114.0,122.0,165.0,114.0,112.0,118.0,204.0,174.0,174.0,120.0,114.0,129.0,110.0,129.0,125.0,-141.0,-130.0,-196.0,-137.0,-164.0,-133.0,-244.0,-227.0,-196.0,-147.0,-141.0,-149.0,-154.0,-152.0,-149.0
202210200PHI,-123.0,-119.0,-159.0,-120.0,-143.0,-118.0,-175.0,-179.0,-156.0,-122.0,-123.0,-130.0,-133.0,-132.0,-133.0,100.0,112.0,135.0,102.0,-101.0,104.0,150.0,140.0,142.0,100.0,100.0,110.0,-104.0,110.0,110.0
202210210ATL,-385.0,-312.0,-370.0,-370.0,-357.0,-357.0,-417.0,-417.0,294.0,294.0,294.0,294.0,-385.0,-435.0,-385.0,290.0,288.0,300.0,293.0,271.0,300.0,333.0,294.0,294.0,294.0,294.0,294.0,250.0,325.0,300.0
202210210BRK,-156.0,-159.0,-147.0,-154.0,-172.0,-149.0,-147.0,-147.0,114.0,114.0,114.0,114.0,-182.0,-152.0,-149.0,125.0,149.0,125.0,129.0,139.0,131.0,127.0,114.0,114.0,114.0,114.0,114.0,131.0,129.0,125.0
202210210CHO,187.0,175.0,189.0,192.0,164.0,197.0,225.0,198.0,181.0,185.0,187.0,179.0,154.0,179.0,179.0,-238.0,-189.0,-227.0,-233.0,-204.0,-227.0,-270.0,-263.0,-204.0,-233.0,-238.0,-222.0,-217.0,-222.0,-222.0
202210210GSW,-250.0,-227.0,-185.0,,,,,,,-213.0,-233.0,,,,-222.0,170.0,179.0,144.0,,,,,,,175.0,183.0,,,,179.0
202210210HOU,165.0,181.0,170.0,166.0,172.0,171.0,170.0,215.0,-286.0,-286.0,-286.0,-286.0,160.0,170.0,170.0,-208.0,-192.0,-200.0,-200.0,-213.0,-196.0,-200.0,-286.0,-286.0,-286.0,-286.0,-286.0,-227.0,-200.0,-208.0
202210210IND,-167.0,-175.0,-143.0,-161.0,-192.0,-159.0,-175.0,-123.0,-154.0,-152.0,-167.0,-149.0,-204.0,-152.0,-154.0,134.0,166.0,121.0,135.0,154.0,140.0,150.0,-103.0,139.0,125.0,134.0,129.0,145.0,129.0,125.0
202210210MIA,114.0,100.0,120.0,114.0,-106.0,118.0,127.0,110.0,123.0,106.0,114.0,120.0,-114.0,120.0,120.0,-141.0,-106.0,-141.0,-137.0,-115.0,-133.0,-147.0,-141.0,-135.0,-130.0,-141.0,-141.0,-122.0,-141.0,-143.0
202210210MIN,-370.0,-278.0,-357.0,-357.0,-312.0,-345.0,-417.0,-400.0,283.0,283.0,283.0,283.0,-333.0,-370.0,-400.0,280.0,256.0,285.0,284.0,241.0,292.0,333.0,283.0,283.0,283.0,283.0,283.0,225.0,280.0,309.0
202210210NYK,-278.0,-208.0,-256.0,-270.0,-233.0,-263.0,-250.0,-286.0,-244.0,-250.0,-278.0,-263.0,-250.0,-250.0,-278.0,215.0,197.0,212.0,220.0,187.0,227.0,210.0,216.0,211.0,200.0,215.0,210.0,175.0,210.0,220.0
202210210POR,165.0,165.0,,,,,,,,170.0,165.0,,,,179.0,-208.0,-208.0,,,,,,,,-213.0,-208.0,,,,-222.0
202210210WAS,-125.0,124.0,-118.0,-122.0,116.0,-119.0,-116.0,-137.0,-110.0,-112.0,-125.0,-105.0,108.0,-105.0,-115.0,100.0,-132.0,100.0,102.0,-143.0,104.0,100.0,108.0,100.0,-108.0,100.0,-115.0,-152.0,-116.0,-105.0
