,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway
Bookmaker,10x10bet_return,1xBet_return,Coolbet_return,Curebet_return,GGBET_return,Lasbet_return,Marathonbet_return,N1 Bet_return,Pinnacle_return,Unibet_return,VOBET_return,William Hill_return,bet-at-home_return,bet365_return,bwin_return,Ditobet_return,Alphabet_return,Marsbet_return,BetFinal_return,Parimatch_return,bet265_return,10x10bet_return,1xBet_return,Coolbet_return,Curebet_return,GGBET_return,Lasbet_return,Marathonbet_return,N1 Bet_return,Pinnacle_return,Unibet_return,VOBET_return,William Hill_return,bet-at-home_return,bet365_return,bwin_return,Ditobet_return,Alphabet_return,Marsbet_return,BetFinal_return,Parimatch_return,bet265_return
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410280NOP,,,,,,,0.21008403361344538,,0.21978021978021978,0.2,,0.2,0.19011406844106463,0.2,0.17985611510791366,,,,,,,,,,,,,4.2,,3.97,3.8,,3.75,3.58,3.75,4.0,,,,,,
201410280SAS,,,,,,,0.6493506493506493,,0.6410256410256411,0.591715976331361,,0.6211180124223602,0.5813953488372093,0.6211180124223602,0.5988023952095808,,,,,,,,,,,,,1.42,,1.42,1.38,,1.4,1.34,1.4,1.4,,,,,,
201410280LAL,,,,,,,2.45,,2.52,2.29,,2.5,2.25,2.35,2.4,,,,,,,,,,,,,0.37037037037037035,,0.34965034965034963,0.3401360544217687,,0.33003300330033003,0.33003300330033003,0.3401360544217687,0.33003300330033003,,,,,,
201410290CHO,,,,,,,0.2702702702702703,,0.2702702702702703,0.25,,0.25,0.2597402597402597,0.25,0.25,,,,,,,,,,,,,3.3,,3.26,3.0,,3.0,2.74,3.09,3.09,,,,,,
201410290IND,,,,,,,0.3003003003003003,,0.30959752321981426,0.2801120448179272,,0.2898550724637681,0.3003003003003003,0.2898550724637681,0.2801120448179272,,,,,,,,,,,,,3.0,,2.85,2.7,,2.75,2.45,2.7,2.8,,,,,,
201410290BOS,,,,,,,0.9009009009009009,,0.9259259259259259,0.9174311926605505,,0.8695652173913043,0.8771929824561403,0.8620689655172413,1.0,,,,,,,,,,,,,1.02,,0.970873786407767,0.9009009009009009,,0.9523809523809523,0.9009009009009009,0.9523809523809523,0.7194244604316546,,,,,,
201410290MIA,,,,,,,0.4694835680751174,,0.5102040816326531,0.4807692307692308,,0.4807692307692308,0.5,0.4694835680751174,0.4807692307692308,,,,,,,,,,,,,1.94,,1.75,1.7,,1.75,1.54,1.75,1.7,,,,,,
201410290TOR,,,,,,,0.5405405405405406,,0.5405405405405406,0.5494505494505495,,0.5586592178770949,0.5208333333333334,0.5405405405405406,0.5,,,,,,,,,,,,,1.7,,1.66,1.48,,1.6,1.48,1.65,1.65,,,,,,
