"('probCut', '10x10bet (%)')","('colWin', 'win')",10x10bet (%),1xBet (%),BetFinal (%),Coolbet (%),Curebet (%),Ditobet (%),GGBET (%),Lasbet (%),Marathonbet (%),N1 Bet (%),Parimatch (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%)
"(0, 10]",-1,,83.33333333333333,100.0,100.0,,83.33333333333333,100.0,50.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"(0, 10]",1,,16.666666666666668,0.0,0.0,,16.666666666666668,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(10, 20]",-1,85.71428571428571,88.57142857142857,87.09677419354838,88.88888888888889,88.57142857142857,90.3225806451613,87.09677419354838,90.9090909090909,88.57142857142857,88.23529411764706,86.66666666666667,86.66666666666667,86.66666666666667,88.0952380952381,87.5,88.23529411764706,90.625
"(10, 20]",1,14.285714285714286,11.428571428571429,12.903225806451612,11.11111111111111,11.428571428571429,9.67741935483871,12.903225806451612,9.090909090909092,11.428571428571429,11.764705882352942,13.333333333333334,13.333333333333334,13.333333333333334,11.904761904761905,12.5,11.764705882352942,9.375
"(20, 30]",-1,75.67567567567568,75.86206896551724,76.82926829268293,75.0,75.0,70.76923076923077,76.54320987654322,75.0,75.53191489361703,75.32467532467533,80.48780487804878,74.72527472527473,76.74418604651163,77.27272727272727,75.9493670886076,75.60975609756098,74.35897435897436
"(20, 30]",1,24.324324324324323,24.137931034482758,23.170731707317074,25.0,25.0,29.23076923076923,23.45679012345679,25.0,24.46808510638298,24.675324675324674,19.51219512195122,25.274725274725274,23.25581395348837,22.727272727272727,24.050632911392405,24.390243902439025,25.641025641025642
"(30, 40]",-1,72.58064516129032,70.62937062937063,73.72262773722628,72.8,70.4,72.88135593220339,69.23076923076923,69.53125,71.91780821917808,71.42857142857143,70.99236641221374,73.42657342657343,73.45132743362832,68.0,73.27586206896552,72.43589743589743,71.42857142857143
"(30, 40]",1,27.419354838709676,29.37062937062937,26.277372262773724,27.2,29.6,27.11864406779661,30.76923076923077,30.46875,28.08219178082192,28.571428571428573,29.00763358778626,26.573426573426573,26.548672566371682,32.0,26.724137931034484,27.564102564102566,28.571428571428573
"(40, 50]",-1,61.84971098265896,59.44444444444444,58.24175824175824,60.773480662983424,61.72839506172839,59.83606557377049,63.58381502890173,61.875,58.08383233532934,60.60606060606061,59.77653631284916,59.036144578313255,61.224489795918366,60.674157303370784,61.702127659574465,58.125,63.005780346820806
"(40, 50]",1,38.15028901734104,40.55555555555556,41.75824175824176,39.226519337016576,38.27160493827161,40.16393442622951,36.41618497109827,38.125,41.91616766467066,39.39393939393939,40.22346368715084,40.963855421686745,38.775510204081634,39.325842696629216,38.297872340425535,41.875,36.994219653179194
