,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway
Bookmaker,impliedProb1xBet,impliedProbCoolbet,impliedProbMarathonbet,impliedProbPinnacle,impliedProbUnibet,impliedProbWilliam Hill,impliedProbbet-at-home,impliedProbbet365,impliedProbbwin,impliedProb1xBet,impliedProbCoolbet,impliedProbMarathonbet,impliedProbPinnacle,impliedProbUnibet,impliedProbWilliam Hill,impliedProbbet-at-home,impliedProbbet365,impliedProbbwin
game_id,,,,,,,,,,,,,,,,,,
201810160BOS,69.96996996996997,68.45425867507886,68.05111821086261,67.10526315789474,67.53246753246754,66.66666666666666,68.45425867507886,68.05111821086261,67.53246753246754,34.36426116838488,35.587188612099645,34.01360544217687,35.587188612099645,37.03703703703704,36.36363636363637,37.735849056603776,36.36363636363637,37.03703703703704
201810160GSW,90.08919722497522,91.74236168455822,90.08919722497522,90.9090909090909,91.74236168455822,90.9090909090909,93.4597776324395,92.5925925925926,93.4597776324395,11.904761904761903,12.269938650306749,12.21001221001221,11.890606420927467,11.11111111111111,11.11111111111111,12.755102040816327,11.76470588235294,10.81081081081081
201810170CHO,40.65040650406504,42.5531914893617,40.32258064516129,41.1522633744856,43.290043290043286,41.66666666666667,43.66812227074236,41.66666666666667,42.5531914893617,63.23529411764706,60.629921259842526,61.68582375478927,61.38996138996139,60.9375,61.68582375478927,62.546816479400746,61.68582375478927,61.68582375478927
201810170DET,72.45179063360881,70.41420118343196,70.93023255813954,70.93023255813954,71.42857142857143,71.42857142857143,72.45179063360881,71.42857142857143,72.45179063360881,31.347962382445143,33.44481605351171,31.05590062111801,31.645569620253166,32.89473684210527,32.25806451612903,33.670033670033675,32.25806451612903,32.25806451612903
201810170HOU,78.11816192560175,78.11816192560175,77.52808988764045,77.52808988764045,76.905311778291,77.52808988764045,79.38144329896907,78.72340425531915,78.11816192560175,24.752475247524753,25.97402597402597,24.449877750611247,25.125628140703515,27.027027027027028,26.31578947368421,26.525198938992045,26.31578947368421,26.31578947368421
201810170IND,74.61928934010153,74.61928934010153,73.54497354497354,73.54497354497354,75.18610421836229,75.18610421836229,76.905311778291,75.72815533980582,75.18610421836229,28.24858757062147,29.411764705882355,28.57142857142857,28.735632183908045,28.57142857142857,28.57142857142857,29.154518950437318,28.57142857142857,29.411764705882355
201810170LAC,45.248868778280546,47.16981132075472,44.642857142857146,44.642857142857146,46.728971962616825,52.38095238095239,47.61904761904761,47.61904761904761,50.0,56.52173913043478,57.08154506437768,57.446808510638306,57.80590717299579,57.446808510638306,52.38095238095239,58.50622406639005,56.896551724137936,54.54545454545454
201810170NYK,61.38996138996139,62.546816479400746,62.121212121212125,61.68582375478927,60.9375,62.546816479400746,63.23529411764706,62.546816479400746,60.629921259842526,40.32258064516129,41.49377593360996,40.0,40.65040650406504,43.290043290043286,40.816326530612244,42.91845493562232,40.816326530612244,44.44444444444444
201810170ORL,45.662100456621005,46.728971962616825,45.248868778280546,46.08294930875576,46.2962962962963,47.61904761904761,48.07692307692308,47.61904761904761,46.728971962616825,56.14035087719298,57.446808510638306,56.896551724137936,56.52173913043478,57.80590717299579,55.55555555555556,58.15899581589959,56.896551724137936,58.15899581589959
201810170PHO,44.44444444444444,46.728971962616825,44.843049327354265,45.45454545454545,45.87155963302752,45.45454545454545,46.08294930875576,45.45454545454545,46.728971962616825,57.08154506437768,57.446808510638306,57.08154506437768,57.08154506437768,58.15899581589959,57.80590717299579,59.83935742971887,58.50622406639005,58.15899581589959
201810170SAC,23.14814814814815,23.25581395348837,22.727272727272727,23.14814814814815,25.0,23.809523809523807,24.93765586034913,23.52941176470588,22.727272727272727,78.72340425531915,80.65764023210832,79.38144329896907,79.38144329896907,78.72340425531915,80.0,81.30841121495327,81.30841121495327,81.98198198198197
201810170SAS,59.183673469387756,57.80590717299579,59.183673469387756,58.15899581589959,59.83935742971887,57.80590717299579,59.51417004048582,58.50622406639005,58.15899581589959,42.91845493562232,46.728971962616825,42.91845493562232,44.44444444444444,44.44444444444444,45.45454545454545,46.728971962616825,45.45454545454545,46.728971962616825
201810170TOR,91.74236168455822,92.5925925925926,90.9090909090909,90.9090909090909,91.74236168455822,92.5925925925926,93.4597776324395,93.4597776324395,92.5925925925926,10.0,11.428571428571429,10.989010989010989,11.1358574610245,11.76470588235294,10.526315789473683,12.658227848101266,11.11111111111111,12.121212121212121
201810180PHI,90.08919722497522,90.9090909090909,90.08919722497522,90.08919722497522,91.74236168455822,90.08919722497522,92.5925925925926,91.74236168455822,90.9090909090909,11.904761904761903,13.071895424836603,12.21001221001221,12.468827930174564,11.76470588235294,12.5,13.623978201634879,12.5,13.793103448275861
201810180POR,57.446808510638306,59.51417004048582,58.15899581589959,59.51417004048582,60.629921259842526,60.629921259842526,61.68582375478927,60.9375,59.83935742971887,44.052863436123346,44.44444444444444,44.052863436123346,43.290043290043286,43.66812227074236,42.016806722689076,44.44444444444444,42.5531914893617,44.44444444444444
201810180WAS,72.45179063360881,71.42857142857143,70.41420118343196,70.41420118343196,70.93023255813954,71.42857142857143,71.42857142857143,71.42857142857143,71.42857142857143,31.347962382445143,32.6797385620915,31.645569620253166,32.154340836012864,33.33333333333333,32.25806451612903,34.602076124567475,32.89473684210527,33.33333333333333
201810190BRK,61.38996138996139,63.23529411764706,62.121212121212125,62.546816479400746,63.23529411764706,63.23529411764706,64.15770609318996,63.23529411764706,63.63636363636363,40.32258064516129,40.816326530612244,40.0,40.0,41.1522633744856,40.816326530612244,42.016806722689076,40.0,40.816326530612244
201810190LAC,58.50622406639005,61.38996138996139,58.8477366255144,59.183673469387756,59.51417004048582,59.83935742971887,61.38996138996139,60.317460317460316,59.83935742971887,43.66812227074236,42.5531914893617,43.290043290043286,43.290043290043286,44.44444444444444,43.66812227074236,44.642857142857146,43.66812227074236,44.44444444444444
201810190MEM,72.45179063360881,74.61928934010153,72.97297297297297,73.54497354497354,74.09326424870466,74.61928934010153,75.72815533980582,75.18610421836229,74.61928934010153,29.239766081871345,29.411764705882355,29.069767441860467,28.985507246376812,29.850746268656714,29.850746268656714,30.3951367781155,29.411764705882355,30.3951367781155
201810190MIL,62.121212121212125,63.23529411764706,62.825278810408925,63.23529411764706,63.23529411764706,64.15770609318996,64.15770609318996,63.63636363636363,63.63636363636363,39.682539682539684,40.65040650406504,39.37007874015748,39.37007874015748,40.816326530612244,40.0,41.66666666666667,39.37007874015748,40.816326530612244
201810190MIN,77.52808988764045,80.0,78.72340425531915,78.72340425531915,78.72340425531915,80.0,81.30841121495327,79.38144329896907,80.0,24.752475247524753,24.096385542168676,23.25581395348837,23.474178403755868,25.31645569620253,24.691358024691358,24.93765586034913,25.0,25.0
201810190NOP,87.71498771498771,89.28188638799571,87.71498771498771,88.49252013808976,87.71498771498771,89.28188638799571,90.08919722497522,88.49252013808976,90.08919722497522,13.698630136986301,14.705882352941178,14.084507042253522,14.326647564469914,16.0,14.492753623188406,15.673981191222571,16.0,14.285714285714285
201810190ORL,49.01960784313725,49.504950495049506,49.01960784313725,49.504950495049506,48.54368932038835,50.0,50.495049504950494,49.01960784313725,49.01960784313725,52.83018867924528,54.95495495495496,52.83018867924528,53.271028037383175,55.947136563876654,54.54545454545454,55.55555555555556,55.55555555555556,55.55555555555556
201810190TOR,57.80590717299579,60.9375,58.8477366255144,59.51417004048582,60.629921259842526,59.83935742971887,60.629921259842526,60.317460317460316,59.83935742971887,43.66812227074236,42.91845493562232,43.290043290043286,42.73504273504273,43.66812227074236,43.66812227074236,45.248868778280546,43.66812227074236,44.44444444444444
201810190UTA,44.44444444444444,48.54368932038835,44.052863436123346,45.04504504504504,46.08294930875576,46.728971962616825,47.61904761904761,45.45454545454545,44.44444444444444,58.8477366255144,55.55555555555556,57.80590717299579,57.446808510638306,58.15899581589959,57.446808510638306,58.15899581589959,58.50622406639005,59.83935742971887
201810200CHI,36.76470588235294,39.37007874015748,36.36363636363637,36.496350364963504,39.37007874015748,38.46153846153847,39.0625,37.03703703703704,39.37007874015748,65.39792387543253,64.53900709219859,65.75342465753424,65.75342465753424,64.53900709219859,65.39792387543253,67.10526315789474,66.66666666666666,65.39792387543253
201810200DAL,54.54545454545454,55.55555555555556,55.15695067264574,54.337899543378995,54.54545454545454,55.55555555555556,56.896551724137936,56.896551724137936,54.54545454545454,47.16981132075472,49.01960784313725,46.728971962616825,48.54368932038835,49.504950495049506,49.01960784313725,49.504950495049506,47.61904761904761,50.0
201810200DEN,84.02555910543131,85.46511627906976,84.7560975609756,84.7560975609756,84.7560975609756,84.7560975609756,86.96219035202087,86.20689655172413,85.46511627906976,17.88908765652952,18.51851851851852,17.543859649122805,17.921146953405017,18.867924528301888,19.230769230769234,19.26782273603083,18.181818181818183,19.047619047619047
201810200IND,80.0,78.11816192560175,77.52808988764045,78.11816192560175,80.0,80.65764023210832,80.65764023210832,79.38144329896907,80.0,23.58490566037736,26.31578947368421,24.096385542168676,24.330900243309003,24.449877750611247,23.809523809523807,25.31645569620253,25.0,24.449877750611247
201810200LAL,42.19409282700422,45.04504504504504,40.98360655737705,41.32231404958678,42.91845493562232,42.5531914893617,44.052863436123346,41.66666666666667,44.44444444444444,59.83935742971887,59.183673469387756,60.9375,60.9375,61.38996138996139,61.68582375478927,62.121212121212125,61.68582375478927,60.629921259842526
201810200MIA,60.317460317460316,62.121212121212125,60.9375,60.9375,62.546816479400746,63.23529411764706,62.546816479400746,60.9375,63.63636363636363,41.32231404958678,41.66666666666667,40.98360655737705,41.49377593360996,41.1522633744856,40.816326530612244,43.66812227074236,42.5531914893617,40.816326530612244
201810200NYK,19.801980198019802,21.27659574468085,19.41747572815534,20.12072434607646,22.22222222222222,21.27659574468085,21.598272138228943,21.052631578947366,21.052631578947366,81.98198198198197,82.63888888888889,82.63888888888889,82.63888888888889,81.30841121495327,83.33333333333334,84.7560975609756,83.33333333333334,83.33333333333334
201810200PHI,92.5925925925926,92.5925925925926,92.5925925925926,92.5925925925926,92.5925925925926,92.5925925925926,93.4597776324395,93.4597776324395,94.34069043576685,9.090909090909092,11.428571428571429,9.523809523809524,9.84251968503937,11.11111111111111,11.11111111111111,12.626262626262626,11.11111111111111,10.526315789473683
201810200POR,64.53900709219859,65.75342465753424,65.75342465753424,65.75342465753424,65.39792387543253,64.91228070175438,66.66666666666666,66.66666666666666,65.39792387543253,37.174721189591075,38.16793893129771,36.36363636363637,36.63003663003663,38.46153846153847,39.37007874015748,39.37007874015748,37.03703703703704,39.37007874015748
201810200WAS,54.95495495495496,56.14035087719298,54.337899543378995,55.15695067264574,55.947136563876654,56.52173913043478,57.80590717299579,56.896551724137936,54.54545454545454,48.54368932038835,48.07692307692308,47.61904761904761,47.61904761904761,48.07692307692308,47.61904761904761,48.07692307692308,47.61904761904761,50.0
201810210CLE,77.52808988764045,76.905311778291,77.52808988764045,78.11816192560175,79.38144329896907,79.38144329896907,80.0,79.38144329896907,79.38144329896907,24.752475247524753,27.027027027027028,24.449877750611247,24.271844660194176,25.0,25.0,25.773195876288657,25.0,25.0
201810210DEN,36.76470588235294,38.759689922480625,36.36363636363637,36.63003663003663,37.03703703703704,37.03703703703704,39.0625,37.03703703703704,37.735849056603776,67.10526315789474,64.91228070175438,65.75342465753424,65.75342465753424,67.10526315789474,66.66666666666666,67.10526315789474,66.66666666666666,66.66666666666666
201810210LAC,54.337899543378995,57.08154506437768,54.95495495495496,55.947136563876654,57.446808510638306,56.52173913043478,57.446808510638306,56.896551724137936,57.08154506437768,47.61904761904761,47.16981132075472,47.16981132075472,46.728971962616825,46.728971962616825,47.61904761904761,48.54368932038835,47.61904761904761,47.61904761904761
201810210OKC,86.96219035202087,86.96219035202087,86.96219035202087,86.96219035202087,87.71498771498771,87.71498771498771,89.28188638799571,87.71498771498771,87.71498771498771,14.814814814814813,16.666666666666664,14.925373134328357,15.105740181268882,16.0,16.666666666666664,16.920473773265652,16.666666666666664,16.666666666666664
201810220BOS,88.49252013808976,89.28188638799571,88.49252013808976,88.49252013808976,90.9090909090909,89.28188638799571,90.08919722497522,90.08919722497522,89.28188638799571,13.333333333333334,14.814814814814813,13.698630136986301,13.850415512465375,12.5,13.333333333333334,16.260162601626014,14.285714285714285,15.384615384615385
201810220DAL,65.39792387543253,68.05111821086261,66.66666666666666,66.66666666666666,70.41420118343196,66.66666666666666,67.53246753246754,66.66666666666666,69.41896024464832,36.496350364963504,36.101083032490976,35.3356890459364,35.587188612099645,37.03703703703704,36.36363636363637,38.31417624521073,37.03703703703704,35.08771929824561
201810220GSW,90.08919722497522,91.74236168455822,90.08919722497522,90.08919722497522,91.74236168455822,90.9090909090909,92.5925925925926,92.5925925925926,93.4597776324395,11.76470588235294,12.269938650306749,12.048192771084338,12.330456226880395,11.76470588235294,11.11111111111111,13.440860215053762,11.76470588235294,11.428571428571429
201810220LAL,53.271028037383175,54.12844036697248,52.60663507109005,53.271028037383175,54.12844036697248,54.54545454545454,54.95495495495496,53.70370370370371,54.54545454545454,50.0,50.0,49.504950495049506,49.01960784313725,50.0,50.0,50.98039215686274,51.21951219512195,50.0
201810220MIL,87.71498771498771,89.28188638799571,87.71498771498771,87.71498771498771,87.71498771498771,89.28188638799571,90.08919722497522,89.28188638799571,89.28188638799571,14.084507042253522,14.705882352941178,14.388489208633093,14.619883040935672,15.625,14.285714285714285,15.974440894568689,15.384615384615385,15.384615384615385
201810220MIN,55.947136563876654,57.08154506437768,55.947136563876654,55.947136563876654,57.80590717299579,55.55555555555556,57.08154506437768,57.446808510638306,57.08154506437768,45.87155963302752,47.16981132075472,46.08294930875576,46.728971962616825,46.2962962962963,47.61904761904761,49.01960784313725,46.728971962616825,47.61904761904761
