,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb
Bookmaker,1xBet (%),Coolbet (%),GGBET (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%),1xBet (%),Coolbet (%),GGBET (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%)
game_id,,,,,,,,,,,,,,,,,,,,
201910220LAC,42.016806722689076,43.66812227074236,NaN,41.1522633744856,40.816326530612244,41.1522633744856,40.816326530612244,43.290043290043286,40.816326530612244,42.5531914893617,63.23529411764706,60.629921259842526,NaN,61.38996138996139,61.68582375478927,62.546816479400746,62.121212121212125,62.825278810408925,62.546816479400746,61.68582375478927
201910220TOR,71.91011235955057,72.97297297297297,NaN,71.91011235955057,72.97297297297297,73.54497354497354,73.54497354497354,74.09326424870466,74.61928934010153,74.61928934010153,30.3951367781155,31.05590062111801,NaN,30.76923076923077,29.673590504451035,30.76923076923077,29.411764705882355,32.05128205128205,29.850746268656714,30.3951367781155
201910230BRK,63.23529411764706,59.83935742971887,NaN,62.546816479400746,60.317460317460316,61.38996138996139,61.68582375478927,61.38996138996139,60.9375,60.629921259842526,40.65040650406504,44.44444444444444,NaN,40.16064257028113,42.3728813559322,42.91845493562232,41.66666666666667,44.843049327354265,42.5531914893617,44.44444444444444
201910230CHO,41.49377593360996,43.290043290043286,NaN,41.1522633744856,41.32231404958678,41.66666666666667,40.816326530612244,43.290043290043286,41.66666666666667,42.5531914893617,60.9375,60.9375,NaN,61.38996138996139,61.38996138996139,62.546816479400746,62.121212121212125,62.825278810408925,61.68582375478927,61.68582375478927
201910230DAL,80.0,81.30841121495327,NaN,80.65764023210832,80.0,80.0,81.30841121495327,84.02555910543131,81.30841121495327,81.98198198198197,22.421524663677133,22.727272727272727,NaN,21.978021978021978,22.883295194508012,23.52941176470588,21.78649237472767,22.026431718061673,23.52941176470588,22.22222222222222
201910230IND,74.09326424870466,75.18610421836229,NaN,74.09326424870466,74.61928934010153,75.18610421836229,75.18610421836229,76.35933806146572,75.18610421836229,74.09326424870466,28.901734104046245,28.57142857142857,NaN,28.57142857142857,28.57142857142857,28.985507246376812,28.57142857142857,29.49852507374631,29.411764705882355,30.3951367781155
201910230MIA,74.61928934010153,72.45179063360881,NaN,73.54497354497354,73.54497354497354,73.54497354497354,73.54497354497354,74.61928934010153,74.61928934010153,73.54497354497354,29.239766081871345,31.446540880503143,NaN,29.069767441860467,29.49852507374631,30.76923076923077,29.411764705882355,31.446540880503143,29.850746268656714,31.25
201910230ORL,83.33333333333334,83.33333333333334,NaN,83.33333333333334,82.63888888888889,84.7560975609756,83.33333333333334,85.46511627906976,83.33333333333334,81.98198198198197,19.646365422396855,20.66115702479339,NaN,19.230769230769234,20.533880903490758,19.047619047619047,20.0,20.491803278688526,21.052631578947366,22.727272727272727
