,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway
Bookmaker,impliedProb10x10bet,impliedProb1xBet,impliedProbCoolbet,impliedProbCurebet,impliedProbGGBET,impliedProbLasbet,impliedProbMarathonbet,impliedProbPinnacle,impliedProbUnibet,impliedProbWilliam Hill,impliedProbbet-at-home,impliedProbbet365,impliedProbbwin,impliedProb10x10bet,impliedProb1xBet,impliedProbCoolbet,impliedProbCurebet,impliedProbGGBET,impliedProbLasbet,impliedProbMarathonbet,impliedProbPinnacle,impliedProbUnibet,impliedProbWilliam Hill,impliedProbbet-at-home,impliedProbbet365,impliedProbbwin
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,
202012220BRK,NaN,NaN,76.905311778291,NaN,75.18610421836229,NaN,76.35933806146572,76.905311778291,74.09326424870466,76.905311778291,78.11816192560175,77.52808988764045,75.18610421836229,NaN,NaN,26.666666666666668,NaN,29.850746268656714,NaN,26.31578947368421,26.109660574412537,30.3951367781155,27.027027027027028,27.77777777777778,27.027027027027028,29.411764705882355
202012220LAL,NaN,NaN,57.80590717299579,NaN,57.80590717299579,NaN,55.947136563876654,57.08154506437768,56.896551724137936,57.446808510638306,57.80590717299579,57.446808510638306,59.83935742971887,NaN,NaN,45.662100456621005,NaN,47.16981132075472,NaN,44.44444444444444,45.248868778280546,47.61904761904761,46.728971962616825,48.54368932038835,46.728971962616825,44.44444444444444
202012230BOS,NaN,NaN,39.682539682539684,NaN,39.682539682539684,NaN,36.90036900369004,38.31417624521073,39.37007874015748,37.03703703703704,40.16064257028113,37.735849056603776,39.37007874015748,NaN,NaN,63.63636363636363,NaN,65.39792387543253,NaN,63.23529411764706,64.15770609318996,64.53900709219859,65.39792387543253,65.75342465753424,64.91228070175438,65.39792387543253
202012230CHI,NaN,NaN,50.0,NaN,48.07692307692308,NaN,46.728971962616825,48.07692307692308,48.54368932038835,49.01960784313725,50.0,49.01960784313725,49.01960784313725,NaN,NaN,54.12844036697248,NaN,56.896551724137936,NaN,55.947136563876654,54.54545454545454,56.14035087719298,55.55555555555556,56.14035087719298,55.55555555555556,55.55555555555556
202012230CLE,NaN,NaN,42.91845493562232,NaN,45.45454545454545,NaN,41.66666666666667,42.3728813559322,45.45454545454545,43.66812227074236,44.642857142857146,43.66812227074236,44.44444444444444,NaN,NaN,60.9375,NaN,59.51417004048582,NaN,60.9375,60.317460317460316,58.8477366255144,59.83935742971887,61.38996138996139,60.317460317460316,59.83935742971887
202012230DEN,NaN,NaN,76.35933806146572,NaN,76.35933806146572,NaN,76.35933806146572,75.72815533980582,75.18610421836229,76.35933806146572,78.72340425531915,76.35933806146572,75.18610421836229,NaN,NaN,27.397260273972602,NaN,28.653295128939828,NaN,26.31578947368421,27.247956403269757,28.985507246376812,27.397260273972602,27.397260273972602,27.77777777777778,29.411764705882355
202012230IND,NaN,NaN,75.18610421836229,NaN,75.72815533980582,NaN,75.72815533980582,74.61928934010153,75.18610421836229,76.35933806146572,78.11816192560175,76.35933806146572,79.38144329896907,NaN,NaN,28.24858757062147,NaN,29.239766081871345,NaN,26.881720430107524,28.011204481792717,28.985507246376812,27.397260273972602,27.77777777777778,27.77777777777778,25.64102564102564
202012230MEM,NaN,NaN,55.947136563876654,NaN,57.08154506437768,NaN,56.896551724137936,55.15695067264574,56.52173913043478,56.52173913043478,56.896551724137936,56.896551724137936,57.08154506437768,NaN,NaN,47.61904761904761,NaN,48.07692307692308,NaN,45.662100456621005,47.16981132075472,47.61904761904761,47.61904761904761,49.01960784313725,47.61904761904761,47.61904761904761
202012230MIN,NaN,NaN,67.10526315789474,NaN,69.41896024464832,NaN,67.53246753246754,66.66666666666666,68.05111821086261,68.05111821086261,68.45425867507886,68.94409937888199,70.41420118343196,NaN,NaN,36.36363636363637,NaN,35.587188612099645,NaN,35.08771929824561,36.101083032490976,36.36363636363637,35.08771929824561,37.735849056603776,35.842293906810035,34.48275862068966
202012230ORL,NaN,NaN,39.682539682539684,NaN,37.453183520599254,NaN,36.36363636363637,37.59398496240601,38.46153846153847,37.03703703703704,39.37007874015748,36.36363636363637,37.735849056603776,NaN,NaN,64.15770609318996,NaN,67.53246753246754,NaN,66.21621621621621,64.91228070175438,65.39792387543253,65.39792387543253,67.10526315789474,68.05111821086261,66.66666666666666
202012230PHI,NaN,NaN,76.35933806146572,NaN,74.61928934010153,NaN,75.18610421836229,74.61928934010153,72.97297297297297,75.18610421836229,76.905311778291,75.72815533980582,74.09326424870466,NaN,NaN,27.100271002710024,NaN,30.3951367781155,NaN,27.472527472527474,28.24858757062147,30.76923076923077,28.57142857142857,29.411764705882355,28.57142857142857,30.3951367781155
202012230PHO,NaN,NaN,54.95495495495496,NaN,52.60663507109005,NaN,54.12844036697248,53.271028037383175,54.54545454545454,54.54545454545454,55.15695067264574,54.54545454545454,53.48837209302325,NaN,NaN,49.01960784313725,NaN,51.21951219512195,NaN,48.54368932038835,49.504950495049506,49.504950495049506,50.0,50.73891625615764,50.0,51.21951219512195
202012230POR,NaN,NaN,50.73891625615764,NaN,50.0,NaN,46.728971962616825,48.07692307692308,49.01960784313725,49.01960784313725,50.24875621890548,49.01960784313725,47.61904761904761,NaN,NaN,52.60663507109005,NaN,54.337899543378995,NaN,55.947136563876654,54.54545454545454,55.55555555555556,55.55555555555556,55.947136563876654,55.55555555555556,57.08154506437768
202012230TOR,NaN,NaN,62.121212121212125,NaN,62.825278810408925,NaN,62.121212121212125,62.546816479400746,62.121212121212125,62.121212121212125,63.23529411764706,61.68582375478927,63.63636363636363,NaN,NaN,41.66666666666667,NaN,42.19409282700422,NaN,40.48582995951417,40.16064257028113,42.016806722689076,40.816326530612244,42.5531914893617,41.66666666666667,40.816326530612244
202012250BOS,NaN,NaN,42.3728813559322,NaN,44.052863436123346,NaN,42.3728813559322,42.016806722689076,44.843049327354265,43.66812227074236,44.642857142857146,43.66812227074236,44.44444444444444,NaN,NaN,61.38996138996139,NaN,60.9375,NaN,60.317460317460316,60.629921259842526,58.8477366255144,59.83935742971887,61.38996138996139,60.317460317460316,59.83935742971887
202012250DEN,NaN,NaN,40.32258064516129,NaN,42.5531914893617,NaN,39.682539682539684,39.37007874015748,42.016806722689076,40.816326530612244,42.016806722689076,40.816326530612244,44.44444444444444,NaN,NaN,63.23529411764706,NaN,62.546816479400746,NaN,62.825278810408925,63.23529411764706,62.546816479400746,62.121212121212125,64.15770609318996,62.546816479400746,59.83935742971887
202012250LAL,NaN,NaN,72.97297297297297,NaN,72.97297297297297,NaN,70.93023255813954,72.45179063360881,74.09326424870466,72.97297297297297,73.54497354497354,72.97297297297297,71.42857142857143,NaN,NaN,30.58103975535168,NaN,32.05128205128205,NaN,29.411764705882355,30.3951367781155,30.76923076923077,30.3951367781155,32.25806451612903,31.25,33.33333333333333
202012250MIA,NaN,NaN,60.317460317460316,NaN,60.317460317460316,NaN,59.83935742971887,59.51417004048582,58.8477366255144,59.83935742971887,60.9375,59.51417004048582,59.83935742971887,NaN,NaN,43.290043290043286,NaN,44.843049327354265,NaN,42.5531914893617,42.91845493562232,44.843049327354265,43.66812227074236,45.04504504504504,44.44444444444444,44.44444444444444
202012250MIL,NaN,NaN,84.7560975609756,NaN,83.33333333333334,NaN,83.33333333333334,84.7560975609756,84.7560975609756,84.7560975609756,85.46511627906976,84.7560975609756,85.46511627906976,NaN,NaN,18.76172607879925,NaN,21.645021645021643,NaN,18.867924528301888,18.65671641791045,19.646365422396855,19.047619047619047,20.833333333333336,19.047619047619047,19.047619047619047
202012260CHI,NaN,NaN,33.78378378378378,NaN,36.101083032490976,NaN,31.746031746031743,32.89473684210527,33.89830508474576,32.89473684210527,34.48275862068966,32.25806451612903,37.735849056603776,NaN,NaN,69.96996996996997,NaN,68.94409937888199,NaN,70.93023255813954,69.96996996996997,70.41420118343196,70.93023255813954,71.91011235955057,71.42857142857143,66.66666666666666
202012260CHO,NaN,NaN,59.51417004048582,NaN,58.50622406639005,NaN,58.50622406639005,58.50622406639005,59.51417004048582,59.183673469387756,59.51417004048582,58.50622406639005,60.629921259842526,NaN,NaN,44.052863436123346,NaN,46.728971962616825,NaN,44.052863436123346,44.052863436123346,44.843049327354265,44.44444444444444,46.728971962616825,45.45454545454545,44.44444444444444
202012260DET,NaN,NaN,53.271028037383175,NaN,55.15695067264574,NaN,51.92307692307693,51.45631067961165,54.12844036697248,52.38095238095239,53.48837209302325,53.70370370370371,55.55555555555556,NaN,NaN,50.495049504950494,NaN,50.0,NaN,50.73891625615764,50.98039215686274,50.495049504950494,52.38095238095239,52.60663507109005,51.21951219512195,49.01960784313725
202012260MEM,NaN,NaN,58.15899581589959,NaN,57.446808510638306,NaN,57.446808510638306,58.50622406639005,58.15899581589959,58.50622406639005,59.183673469387756,58.50622406639005,58.8477366255144,NaN,NaN,45.248868778280546,NaN,47.61904761904761,NaN,45.04504504504504,44.052863436123346,46.08294930875576,45.45454545454545,46.728971962616825,45.45454545454545,45.45454545454545
202012260NYK,NaN,NaN,25.125628140703515,NaN,26.246719160104988,NaN,23.25581395348837,25.70694087403599,24.449877750611247,25.31645569620253,25.0,26.31578947368421,25.0,NaN,NaN,78.72340425531915,NaN,78.72340425531915,NaN,79.38144329896907,77.52808988764045,80.0,78.11816192560175,81.30841121495327,78.72340425531915,79.38144329896907
202012260POR,NaN,NaN,76.35933806146572,NaN,76.35933806146572,NaN,75.18610421836229,75.72815533980582,76.905311778291,76.905311778291,NaN,76.905311778291,75.18610421836229,NaN,NaN,27.322404371584703,NaN,28.653295128939828,NaN,27.472527472527474,27.173913043478258,27.027027027027028,27.027027027027028,NaN,27.397260273972602,29.411764705882355
202012260SAC,NaN,NaN,42.91845493562232,NaN,42.91845493562232,NaN,42.3728813559322,42.016806722689076,42.5531914893617,41.66666666666667,44.052863436123346,43.66812227074236,42.5531914893617,NaN,NaN,60.629921259842526,NaN,62.121212121212125,NaN,60.317460317460316,60.629921259842526,61.68582375478927,61.68582375478927,62.121212121212125,60.317460317460316,61.68582375478927
202012260SAS,NaN,NaN,45.45454545454545,NaN,47.16981132075472,NaN,44.44444444444444,45.04504504504504,46.08294930875576,45.45454545454545,47.61904761904761,46.728971962616825,47.61904761904761,NaN,NaN,58.15899581589959,NaN,57.80590717299579,NaN,58.15899581589959,57.446808510638306,58.15899581589959,58.50622406639005,58.50622406639005,57.446808510638306,57.08154506437768
202012260UTA,NaN,NaN,80.65764023210832,NaN,80.65764023210832,NaN,79.38144329896907,80.0,80.65764023210832,81.30841121495327,84.02555910543131,81.98198198198197,80.0,NaN,NaN,22.883295194508012,NaN,24.330900243309003,NaN,21.052631578947366,22.831050228310502,23.809523809523807,21.78649237472767,21.78649237472767,22.22222222222222,24.449877750611247
202012260WAS,NaN,NaN,54.337899543378995,NaN,56.896551724137936,NaN,56.14035087719298,54.54545454545454,56.14035087719298,56.52173913043478,56.896551724137936,56.896551724137936,57.08154506437768,NaN,NaN,49.504950495049506,NaN,48.07692307692308,NaN,46.2962962962963,48.07692307692308,48.54368932038835,47.61904761904761,49.01960784313725,47.61904761904761,47.61904761904761
202012270CHI,NaN,NaN,42.5531914893617,NaN,41.32231404958678,NaN,41.1522633744856,40.816326530612244,43.66812227074236,40.816326530612244,42.73504273504273,40.816326530612244,42.5531914893617,NaN,NaN,60.9375,NaN,63.63636363636363,NaN,61.38996138996139,61.68582375478927,60.629921259842526,62.121212121212125,63.23529411764706,62.546816479400746,61.68582375478927
202012270CHO,NaN,NaN,18.148820326678766,NaN,18.050541516245488,NaN,15.267175572519085,18.050541516245488,16.0,18.181818181818183,20.0,18.181818181818183,20.0,NaN,NaN,85.46511627906976,NaN,86.96219035202087,NaN,84.7560975609756,85.46511627906976,88.49252013808976,85.46511627906976,86.20689655172413,86.20689655172413,84.7560975609756
202012270CLE,NaN,NaN,32.6797385620915,NaN,30.959752321981426,NaN,31.05590062111801,32.89473684210527,31.746031746031743,32.89473684210527,33.89830508474576,32.89473684210527,30.3951367781155,NaN,NaN,70.93023255813954,NaN,74.09326424870466,NaN,71.42857142857143,69.96996996996997,72.45179063360881,70.93023255813954,72.97297297297297,71.42857142857143,74.09326424870466
202012270IND,NaN,NaN,44.052863436123346,NaN,48.54368932038835,NaN,43.290043290043286,43.66812227074236,44.843049327354265,44.44444444444444,45.662100456621005,43.66812227074236,47.61904761904761,NaN,NaN,59.51417004048582,NaN,56.52173913043478,NaN,59.51417004048582,59.183673469387756,58.8477366255144,59.183673469387756,60.317460317460316,60.317460317460316,57.08154506437768
202012270LAC,NaN,NaN,61.38996138996139,NaN,61.38996138996139,NaN,61.38996138996139,60.629921259842526,58.8477366255144,59.83935742971887,61.68582375478927,60.317460317460316,60.629921259842526,NaN,NaN,42.016806722689076,NaN,43.66812227074236,NaN,41.1522633744856,41.66666666666667,44.843049327354265,43.66812227074236,44.44444444444444,43.66812227074236,44.44444444444444
202012270LAL,NaN,NaN,83.33333333333334,NaN,82.63888888888889,NaN,83.33333333333334,82.63888888888889,84.02555910543131,84.7560975609756,86.96219035202087,84.02555910543131,83.33333333333334,NaN,NaN,20.533880903490758,NaN,22.371364653243848,NaN,19.047619047619047,20.491803278688526,20.408163265306122,19.047619047619047,18.51851851851852,20.0,21.052631578947366
202012270NOP,NaN,NaN,67.53246753246754,NaN,67.53246753246754,NaN,65.39792387543253,65.75342465753424,67.53246753246754,66.66666666666666,67.53246753246754,66.66666666666666,68.94409937888199,NaN,NaN,36.36363636363637,NaN,37.453183520599254,NaN,37.174721189591075,36.63003663003663,36.36363636363637,36.36363636363637,38.46153846153847,37.03703703703704,35.842293906810035
202012270NYK,NaN,NaN,12.360939431396787,NaN,15.723270440251572,NaN,12.5,12.330456226880395,12.5,12.5,14.285714285714285,12.5,14.285714285714285,NaN,NaN,90.9090909090909,NaN,89.28188638799571,NaN,90.08919722497522,90.9090909090909,91.74236168455822,91.74236168455822,92.5925925925926,91.74236168455822,90.08919722497522
202012270SAC,NaN,NaN,44.052863436123346,NaN,44.843049327354265,NaN,43.290043290043286,42.91845493562232,43.66812227074236,41.66666666666667,44.44444444444444,42.5531914893617,44.44444444444444,NaN,NaN,59.51417004048582,NaN,60.317460317460316,NaN,59.51417004048582,59.51417004048582,60.629921259842526,61.68582375478927,61.68582375478927,60.9375,60.629921259842526
202012270WAS,NaN,NaN,48.07692307692308,NaN,49.01960784313725,NaN,47.61904761904761,47.16981132075472,48.54368932038835,47.61904761904761,50.0,49.01960784313725,47.61904761904761,NaN,NaN,55.947136563876654,NaN,55.947136563876654,NaN,54.95495495495496,55.15695067264574,56.14035087719298,56.52173913043478,56.14035087719298,55.55555555555556,57.08154506437768
202012280ATL,NaN,NaN,85.46511627906976,NaN,83.33333333333334,NaN,81.98198198198197,83.33333333333334,83.33333333333334,84.7560975609756,84.7560975609756,84.02555910543131,83.33333333333334,NaN,NaN,18.51851851851852,NaN,21.645021645021643,NaN,20.66115702479339,20.161290322580644,20.833333333333336,19.047619047619047,21.27659574468085,20.0,21.052631578947366
202012280BRK,NaN,NaN,47.61904761904761,NaN,47.16981132075472,NaN,45.04504504504504,47.16981132075472,46.728971962616825,46.728971962616825,48.07692307692308,47.61904761904761,46.728971962616825,NaN,NaN,56.14035087719298,NaN,57.80590717299579,NaN,57.446808510638306,55.15695067264574,57.446808510638306,57.446808510638306,58.15899581589959,56.896551724137936,58.15899581589959
202012280DEN,NaN,NaN,70.41420118343196,NaN,72.97297297297297,NaN,71.42857142857143,71.42857142857143,71.42857142857143,72.97297297297297,73.54497354497354,72.97297297297297,73.54497354497354,NaN,NaN,33.557046979865774,NaN,32.05128205128205,NaN,31.05590062111801,31.545741324921135,32.89473684210527,30.3951367781155,32.89473684210527,31.25,31.25
202012280LAL,NaN,NaN,70.93023255813954,NaN,69.96996996996997,NaN,68.94409937888199,70.41420118343196,69.41896024464832,70.93023255813954,71.42857142857143,70.93023255813954,70.41420118343196,NaN,NaN,32.89473684210527,NaN,35.08771929824561,NaN,31.25,32.6797385620915,34.72222222222222,32.89473684210527,34.48275862068966,33.33333333333333,33.89830508474576
202012280OKC,NaN,NaN,24.752475247524753,NaN,25.0,NaN,22.47191011235955,23.04147465437788,23.809523809523807,22.22222222222222,25.97402597402597,23.52941176470588,25.64102564102564,NaN,NaN,78.72340425531915,NaN,80.0,NaN,80.0,80.0,80.65764023210832,81.30841121495327,81.30841121495327,81.30841121495327,79.38144329896907
202012290CLE,NaN,NaN,62.546816479400746,NaN,62.121212121212125,NaN,60.629921259842526,60.317460317460316,60.629921259842526,61.68582375478927,61.68582375478927,60.9375,60.629921259842526,NaN,NaN,41.1522633744856,NaN,42.91845493562232,NaN,42.016806722689076,42.19409282700422,43.66812227074236,41.66666666666667,44.44444444444444,42.5531914893617,43.66812227074236
202012290DET,NaN,NaN,41.84100418410041,NaN,40.48582995951417,NaN,39.682539682539684,40.0,40.0,39.37007874015748,41.1522633744856,39.37007874015748,39.37007874015748,NaN,NaN,61.68582375478927,NaN,64.53900709219859,NaN,62.825278810408925,62.546816479400746,64.15770609318996,63.63636363636363,64.91228070175438,63.63636363636363,65.39792387543253
202012290IND,NaN,NaN,55.15695067264574,NaN,54.95495495495496,NaN,54.54545454545454,54.337899543378995,52.83018867924528,53.48837209302325,55.15695067264574,53.70370370370371,54.54545454545454,NaN,NaN,48.54368932038835,NaN,50.0,NaN,48.07692307692308,48.54368932038835,51.21951219512195,51.21951219512195,50.73891625615764,51.21951219512195,50.0
202012290LAC,NaN,NaN,86.20689655172413,NaN,83.33333333333334,NaN,84.02555910543131,85.46511627906976,84.02555910543131,86.96219035202087,86.20689655172413,86.96219035202087,84.7560975609756,NaN,NaN,17.6056338028169,NaN,21.645021645021643,NaN,18.34862385321101,17.482517482517483,20.408163265306122,17.391304347826086,20.0,17.391304347826086,20.0
202012290MIA,NaN,NaN,33.33333333333333,NaN,34.602076124567475,NaN,31.746031746031743,32.362459546925564,33.89830508474576,32.25806451612903,34.48275862068966,33.33333333333333,35.842293906810035,NaN,NaN,70.41420118343196,NaN,70.41420118343196,NaN,68.45425867507886,70.41420118343196,70.41420118343196,71.42857142857143,71.42857142857143,70.93023255813954,68.94409937888199
202012290OKC,NaN,NaN,31.15264797507788,NaN,32.05128205128205,NaN,31.948881789137378,31.347962382445143,32.89473684210527,30.3951367781155,33.33333333333333,31.746031746031743,31.25,NaN,NaN,72.45179063360881,NaN,72.97297297297297,NaN,70.41420118343196,71.42857142857143,71.42857142857143,72.97297297297297,72.97297297297297,72.45179063360881,73.54497354497354
