,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway
Bookmaker,impliedProb10x10bet,impliedProb1xBet,impliedProbBetFinal,impliedProbCoolbet,impliedProbCurebet,impliedProbDitobet,impliedProbGGBET,impliedProbLasbet,impliedProbMarathonbet,impliedProbN1 Bet,impliedProbParimatch,impliedProbPinnacle,impliedProbUnibet,impliedProbWilliam Hill,impliedProbbet-at-home,impliedProbbet365,impliedProbbwin,impliedProb10x10bet,impliedProb1xBet,impliedProbBetFinal,impliedProbCoolbet,impliedProbCurebet,impliedProbDitobet,impliedProbGGBET,impliedProbLasbet,impliedProbMarathonbet,impliedProbN1 Bet,impliedProbParimatch,impliedProbPinnacle,impliedProbUnibet,impliedProbWilliam Hill,impliedProbbet-at-home,impliedProbbet365,impliedProbbwin
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202110190LAL,68.45425867507886,58.8477366255144,59.183673469387756,59.51417004048582,68.05111821086261,NaN,60.317460317460316,67.10526315789474,58.8477366255144,NaN,60.629921259842526,60.9375,60.317460317460316,61.68582375478927,61.68582375478927,60.317460317460316,61.68582375478927,36.76470588235294,42.73504273504273,41.66666666666667,44.44444444444444,36.36363636363637,NaN,45.04504504504504,36.101083032490976,41.49377593360996,NaN,45.04504504504504,41.66666666666667,44.052863436123346,41.66666666666667,44.44444444444444,43.66812227074236,42.5531914893617
202110190MIL,50.495049504950494,54.12844036697248,53.48837209302325,55.55555555555556,50.0,NaN,53.70370370370371,49.504950495049506,54.337899543378995,NaN,55.55555555555556,54.95495495495496,55.55555555555556,55.55555555555556,56.52173913043478,55.55555555555556,55.55555555555556,54.95495495495496,47.61904761904761,47.16981132075472,48.54368932038835,54.337899543378995,NaN,51.45631067961165,53.70370370370371,48.54368932038835,NaN,48.54368932038835,47.61904761904761,49.01960784313725,49.01960784313725,49.504950495049506,49.01960784313725,49.01960784313725
202110200CHO,58.15899581589959,47.16981132075472,49.504950495049506,50.0,57.80590717299579,NaN,51.92307692307693,56.896551724137936,47.61904761904761,NaN,49.504950495049506,49.01960784313725,49.504950495049506,50.0,50.495049504950494,49.01960784313725,47.61904761904761,47.16981132075472,54.54545454545454,54.95495495495496,54.12844036697248,46.728971962616825,NaN,51.92307692307693,46.2962962962963,55.15695067264574,NaN,54.54545454545454,53.70370370370371,54.54545454545454,54.54545454545454,55.55555555555556,55.55555555555556,57.08154506437768
202110200DET,45.45454545454545,34.72222222222222,36.101083032490976,35.587188612099645,44.843049327354265,NaN,36.101083032490976,44.44444444444444,36.101083032490976,NaN,36.36363636363637,35.2112676056338,35.842293906810035,35.08771929824561,37.03703703703704,35.842293906810035,36.36363636363637,59.83935742971887,66.66666666666666,67.53246753246754,68.45425867507886,59.51417004048582,NaN,67.53246753246754,58.8477366255144,66.66666666666666,NaN,68.05111821086261,67.53246753246754,68.94409937888199,68.45425867507886,69.41896024464832,68.94409937888199,68.05111821086261
202110200MEM,78.72340425531915,72.45179063360881,73.54497354497354,74.09326424870466,78.11816192560175,NaN,75.18610421836229,77.52808988764045,73.54497354497354,NaN,74.61928934010153,73.54497354497354,72.97297297297297,73.54497354497354,75.18610421836229,74.61928934010153,75.18610421836229,26.31578947368421,28.901734104046245,30.3951367781155,29.850746268656714,26.041666666666668,NaN,28.57142857142857,25.510204081632654,29.069767441860467,NaN,29.411764705882355,29.585798816568047,30.76923076923077,29.411764705882355,30.76923076923077,29.850746268656714,29.411764705882355
202110200MIN,66.21621621621621,70.93023255813954,72.45179063360881,70.93023255813954,65.75342465753424,NaN,71.42857142857143,64.91228070175438,71.91011235955057,NaN,71.91011235955057,70.93023255813954,72.45179063360881,71.42857142857143,72.97297297297297,72.45179063360881,73.54497354497354,39.37007874015748,30.58103975535168,32.25806451612903,33.11258278145696,38.46153846153847,NaN,32.25806451612903,38.16793893129771,30.76923076923077,NaN,31.746031746031743,31.645569620253166,32.25806451612903,32.25806451612903,32.89473684210527,31.746031746031743,31.25
202110200NOP,49.01960784313725,38.46153846153847,41.66666666666667,41.66666666666667,49.01960784313725,NaN,40.32258064516129,48.07692307692308,39.0625,NaN,40.816326530612244,39.682539682539684,42.91845493562232,40.816326530612244,41.84100418410041,40.0,42.5531914893617,56.14035087719298,62.825278810408925,62.825278810408925,62.121212121212125,55.55555555555556,NaN,63.23529411764706,54.95495495495496,63.63636363636363,NaN,63.23529411764706,63.23529411764706,61.38996138996139,62.121212121212125,64.15770609318996,63.23529411764706,61.68582375478927
202110200NYK,54.95495495495496,57.446808510638306,58.50622406639005,58.15899581589959,54.337899543378995,NaN,58.8477366255144,53.70370370370371,56.896551724137936,NaN,60.317460317460316,58.50622406639005,57.446808510638306,58.50622406639005,59.183673469387756,59.51417004048582,58.15899581589959,50.495049504950494,44.052863436123346,45.87155963302752,45.87155963302752,50.0,NaN,44.843049327354265,49.504950495049506,43.66812227074236,NaN,45.45454545454545,44.44444444444444,46.728971962616825,45.45454545454545,47.16981132075472,44.44444444444444,46.728971962616825
