index;TeamsRaw;Bookmaker;OddHome;OddAway;DateRaw;ScoreRaw;TO_KEEP;Home_id;Away_id;Date;Score_home;Score_away;Season
0;Cleveland Cavaliers - Golden State Warriors;bet-at-home;+123;-156;Wednesday, 17 Jun 2015, 01:00;Final result 97:105 (15:28, 28:17, 18:28, 36:32);1;Cleveland Cavaliers;Golden State Warriors;17 Jun 2015; 97;105;2014-2015
1;Cleveland Cavaliers - Golden State Warriors;bet365;+129;-152;Wednesday, 17 Jun 2015, 01:00;Final result 97:105 (15:28, 28:17, 18:28, 36:32);1;Cleveland Cavaliers;Golden State Warriors;17 Jun 2015; 97;105;2014-2015
2;Cleveland Cavaliers - Golden State Warriors;bwin;+135;-149;Wednesday, 17 Jun 2015, 01:00;Final result 97:105 (15:28, 28:17, 18:28, 36:32);1;Cleveland Cavaliers;Golden State Warriors;17 Jun 2015; 97;105;2014-2015
3;Cleveland Cavaliers - Golden State Warriors;Marathonbet;+131;-141;Wednesday, 17 Jun 2015, 01:00;Final result 97:105 (15:28, 28:17, 18:28, 36:32);1;Cleveland Cavaliers;Golden State Warriors;17 Jun 2015; 97;105;2014-2015
4;Cleveland Cavaliers - Golden State Warriors;Pinnacle;+129;-145;Wednesday, 17 Jun 2015, 01:00;Final result 97:105 (15:28, 28:17, 18:28, 36:32);1;Cleveland Cavaliers;Golden State Warriors;17 Jun 2015; 97;105;2014-2015
5;Cleveland Cavaliers - Golden State Warriors;Unibet;+129;-152;Wednesday, 17 Jun 2015, 01:00;Final result 97:105 (15:28, 28:17, 18:28, 36:32);1;Cleveland Cavaliers;Golden State Warriors;17 Jun 2015; 97;105;2014-2015
6;Cleveland Cavaliers - Golden State Warriors;William Hill;+129;-149;Wednesday, 17 Jun 2015, 01:00;Final result 97:105 (15:28, 28:17, 18:28, 36:32);1;Cleveland Cavaliers;Golden State Warriors;17 Jun 2015; 97;105;2014-2015
29;Golden State Warriors - Cleveland Cavaliers;bet-at-home;-526;+359;Monday, 15 Jun 2015, 00:00;Final result 104:91 (22:22, 29:28, 22:17, 31:24);1;Golden State Warriors;Cleveland Cavaliers;15 Jun 2015;104;91 ;2014-2015
30;Golden State Warriors - Cleveland Cavaliers;bet365;-500;+375;Monday, 15 Jun 2015, 00:00;Final result 104:91 (22:22, 29:28, 22:17, 31:24);1;Golden State Warriors;Cleveland Cavaliers;15 Jun 2015;104;91 ;2014-2015
31;Golden State Warriors - Cleveland Cavaliers;bwin;-417;+370;Monday, 15 Jun 2015, 00:00;Final result 104:91 (22:22, 29:28, 22:17, 31:24);1;Golden State Warriors;Cleveland Cavaliers;15 Jun 2015;104;91 ;2014-2015
32;Golden State Warriors - Cleveland Cavaliers;Marathonbet;-370;+340;Monday, 15 Jun 2015, 00:00;Final result 104:91 (22:22, 29:28, 22:17, 31:24);1;Golden State Warriors;Cleveland Cavaliers;15 Jun 2015;104;91 ;2014-2015
