,1,0,NaN,Prob
10x10bet,775.0,369.0,86.0,0.6774475524475524
1xBet,831.0,399.0,,0.675609756097561
BetFinal,833.0,397.0,,0.6772357723577236
Coolbet,831.0,399.0,,0.675609756097561
Curebet,775.0,369.0,86.0,0.6774475524475524
Ditobet,633.0,298.0,299.0,0.6799140708915145
GGBET,833.0,397.0,,0.6772357723577236
Lasbet,775.0,369.0,86.0,0.6774475524475524
Marathonbet,831.0,399.0,,0.675609756097561
N1 Bet,750.0,357.0,123.0,0.6775067750677507
Parimatch,829.0,399.0,2.0,0.6750814332247557
Pinnacle,831.0,398.0,1.0,0.676159479251424
Unibet,828.0,402.0,,0.6731707317073171
William Hill,826.0,404.0,,0.6715447154471544
bet-at-home,834.0,396.0,,0.6780487804878049
bet365,829.0,401.0,,0.6739837398373983
bwin,757.0,364.0,109.0,0.6752899197145406
