"('probCut', 'Marathonbet (%)')","('colWin', 'win')",Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet265 (%),bet365 (%),bwin (%)
"(0, 10]",-1,87.5,90.9090909090909,90.9090909090909,90.0,85.71428571428571,,90.0,88.88888888888889
"(0, 10]",1,12.5,9.090909090909092,9.090909090909092,10.0,14.285714285714286,,10.0,11.11111111111111
"(10, 20]",-1,87.17948717948718,83.78378378378379,88.57142857142857,86.66666666666667,91.66666666666667,,84.21052631578948,85.0
"(10, 20]",1,12.820512820512821,16.216216216216218,11.428571428571429,13.333333333333334,8.333333333333334,,15.789473684210526,15.0
"(20, 30]",-1,75.0,76.04166666666667,72.22222222222223,76.6355140186916,72.5,,74.72527472527473,74.44444444444444
"(20, 30]",1,25.0,23.958333333333332,27.77777777777778,23.364485981308412,27.5,,25.274725274725274,25.555555555555557
"(30, 40]",-1,67.37588652482269,68.65671641791045,71.31147540983606,68.93939393939394,72.44094488188976,,69.62962962962963,70.28985507246377
"(30, 40]",1,32.6241134751773,31.34328358208955,28.688524590163933,31.060606060606062,27.559055118110237,,30.37037037037037,29.71014492753623
"(40, 50]",-1,59.32203389830509,59.523809523809526,60.0,59.05511811023622,61.971830985915496,,58.267716535433074,60.0
"(40, 50]",1,40.67796610169491,40.476190476190474,40.0,40.94488188976378,38.028169014084504,,41.732283464566926,40.0
"(50, 60]",-1,44.375,44.04761904761905,45.0,42.2360248447205,45.50898203592814,,45.205479452054796,42.857142857142854
"(50, 60]",1,55.625,55.95238095238095,55.0,57.7639751552795,54.49101796407186,,54.794520547945204,57.142857142857146
"(60, 70]",-1,36.05769230769231,37.5,38.118811881188115,38.62433862433863,38.94230769230769,,39.130434782608695,38.07106598984772
"(60, 70]",1,63.94230769230769,62.5,61.881188118811885,61.37566137566137,61.05769230769231,,60.869565217391305,61.92893401015228
"(70, 80]",-1,30.150753768844222,29.508196721311474,32.78688524590164,31.34328358208955,31.8407960199005,,30.0,32.35294117647059
"(70, 80]",1,69.84924623115577,70.49180327868852,67.21311475409836,68.65671641791045,68.1592039800995,,70.0,67.6470588235294
"(80, 90]",-1,14.545454545454545,16.666666666666668,18.435754189944134,16.25,16.071428571428573,,19.27710843373494,16.56441717791411
"(80, 90]",1,85.45454545454545,83.33333333333333,81.56424581005587,83.75,83.92857142857143,,80.72289156626506,83.43558282208589
"(90, 100]",-1,7.142857142857143,7.216494845360825,6.306306306306307,8.849557522123893,7.8431372549019605,0.0,7.964601769911504,9.401709401709402
"(90, 100]",1,92.85714285714286,92.78350515463917,93.69369369369369,91.15044247787611,92.15686274509804,100.0,92.03539823008849,90.5982905982906
