gameid,team,season,y.status,date,team.elo.booker.lm,opp.elo.booker.lm,team.elo.booker.combined,opp.elo.booker.combined,booker_odds.Pinnacle,elo.prob,raptor.prob,predict.prob.booker,predict.prob.combined,elo.court30.prob,raptor.court30.prob
201411060HOU,SAS,2015,0,2014-11-06,1574.4650520637563,1624.6643207808077,1586.8699535344217,1667.0011820619923,0.28094898323225126,0.4346134842359465,NA,0.4268470927897119,0.3853197053221451,0.534918039665521,NA
201411060HOU,HOU,2015,1,2014-11-06,1624.6643207808077,1574.4650520637563,1667.0011820619923,1586.8699535344217,0.7190510167677487,0.5653865157640535,NA,0.5731529072102882,0.6146802946778548,0.46508196033447896,NA
201411060POR,POR,2015,1,2014-11-06,1658.9521713381885,1662.0736996244789,1669.4925644750765,1691.8518502420561,0.5338983050847458,0.5919761997974322,NA,0.49694691331700147,0.469300182938563,0.49229774263903137,NA
201411060POR,DAL,2015,0,2014-11-06,1662.0736996244789,1658.9521713381885,1691.8518502420561,1669.4925644750765,0.4661016949152542,0.4080238002025678,NA,0.5030530866829986,0.530699817061437,0.5077022573609685,NA
201411070BOS,IND,2015,0,2014-11-07,1365.0983857410017,1499.7610849049668,1322.8804334581755,1475.6073347772763,0.3259109311740891,0.515111867178702,NA,0.31411791766654856,0.29215861517428277,0.6138247722436413,NA
201411070BOS,BOS,2015,1,2014-11-07,1499.7610849049668,1365.0983857410017,1475.6073347772763,1322.8804334581755,0.6740890688259109,0.484888132821298,NA,0.6858820823334514,0.7078413848257172,0.3861752277563587,NA
201411070BRK,NYK,2015,0,2014-11-07,1407.5481368035462,1472.9974522732696,1389.4417853151476,1459.2419187663093,0.3197864249222142,0.3280824425135924,NA,0.4055209333368845,0.39949773214516304,0.4221586073813482,NA
201411070BRK,BRK,2015,1,2014-11-07,1472.9974522732696,1407.5481368035462,1459.2419187663093,1389.4417853151476,0.6802135750777858,0.6719175574864076,NA,0.5944790666631156,0.6005022678548368,0.5778413926186519,NA
201411070CHO,CHO,2015,1,2014-11-07,1414.2711631452564,1354.2667292723777,1420.4616357119723,1322.5956381682274,0.5315161839863713,0.6538473723191562,NA,0.5869012115005039,0.6385597326837389,0.5579981943097325,NA
201411070CHO,ATL,2015,0,2014-11-07,1354.2667292723777,1414.2711631452564,1322.5956381682274,1420.4616357119723,0.46848381601362865,0.34615262768084376,NA,0.41309878849949616,0.36144026731626105,0.44200180569026737,NA
201411070DEN,DEN,2015,0,2014-11-07,1552.495938363411,1757.3220273946608,1508.1150771857046,1691.9056515914958,0.2917889152365259,0.6304704162250988,NA,0.2362558928530753,0.25879766022588263,0.5327737017328921,NA
201411070DEN,CLE,2015,1,2014-11-07,1757.3220273946608,1552.495938363411,1691.9056515914958,1508.1150771857046,0.7082110847634742,0.3695295837749012,NA,0.7637441071469246,0.7412023397741173,0.46722629826710776,NA
201411070DET,MIL,2015,0,2014-11-07,1350.4833116605078,1442.8969412550568,1356.3128267026868,1456.4257086901584,0.35777298568908056,0.3036551338530976,NA,0.36871531638133104,0.35846044181884756,0.3948429275106314,NA
201411070DET,DET,2015,1,2014-11-07,1442.8969412550568,1350.4833116605078,1456.4257086901584,1356.3128267026868,0.6422270143109194,0.6963448661469024,NA,0.631284683618669,0.6415395581811524,0.6051570724893686,NA
201411070OKC,OKC,2015,0,2014-11-07,1314.6944153534864,1533.6751024673113,1279.8386525923052,1572.1467551010053,0.2676104972375691,0.589475261133243,NA,0.22187073870850005,0.15750583439300533,0.48971249446597037,NA
201411070OKC,MEM,2015,1,2014-11-07,1533.6751024673113,1314.6944153534864,1572.1467551010053,1279.8386525923052,0.732389502762431,0.410524738866757,NA,0.7781292612915,0.8424941656069946,0.5102875055340296,NA
201411070ORL,ORL,2015,1,2014-11-07,1267.569752477044,1385.0980147092737,1284.1877972166944,1417.3295943828527,0.3871172000921022,0.3903058321124255,NA,0.3383198351046818,0.318500964894925,0.29964702866502585,NA
201411070ORL,MIN,2015,0,2014-11-07,1385.0980147092737,1267.569752477044,1417.3295943828527,1284.1877972166944,0.6128827999078978,0.6096941678875745,NA,0.6616801648953182,0.6814990351050749,0.7003529713349743,NA
201411070PHI,PHI,2015,0,2014-11-07,1200.0017471739816,1502.7061815481102,1175.642579481509,1513.4325796480616,0.1727497761626376,0.2606532605532008,NA,0.14972617323350096,0.12578864597426082,0.19069070640822264,NA
201411070PHI,CHI,2015,1,2014-11-07,1502.7061815481102,1200.0017471739816,1513.4325796480616,1175.642579481509,0.8272502238373625,0.7393467394467992,NA,0.850273826766499,0.8742113540257392,0.8093092935917774,NA
201411070PHO,SAC,2015,1,2014-11-07,1492.3997870923686,1545.7300919084346,1540.4378614240954,1544.6608369618843,0.3544910179640719,0.2769875623827889,NA,0.4224435459047385,0.49248410015282257,0.3643573472314275,NA
201411070PHO,PHO,2015,0,2014-11-07,1545.7300919084346,1492.3997870923686,1544.6608369618843,1540.4378614240954,0.6455089820359281,0.7230124376172111,NA,0.5775564540952615,0.5075158998471775,0.6356426527685725,NA
201411070TOR,WAS,2015,0,2014-11-07,1519.5219669114604,1554.6710153158203,1563.357656337329,1574.140600300021,0.38370387089493285,0.34908413249721737,NA,0.44816425074430855,0.4830494786670751,0.445192348719196,NA
201411070TOR,TOR,2015,1,2014-11-07,1554.6710153158203,1519.5219669114604,1574.140600300021,1563.357656337329,0.6162961291050671,0.6509158675027826,NA,0.5518357492556913,0.516950521332925,0.5548076512808041,NA
201411070UTA,UTA,2015,0,2014-11-07,1619.885636431799,1712.3368470625912,1634.9078383841493,1691.5287586876616,0.4224502112251055,0.3693925312084974,NA,0.37134863737850365,0.42063194083582506,0.28134977207066963,NA
201411070UTA,DAL,2015,1,2014-11-07,1712.3368470625912,1619.885636431799,1691.5287586876616,1634.9078383841493,0.5775497887748945,0.6306074687915026,NA,0.6286513626214963,0.579368059164175,0.7186502279293304,NA
201411080ATL,NYK,2015,0,2014-11-08,1412.0830584036944,1518.981070942209,1352.2088637746097,1488.824734012458,0.283290365129804,0.3623978023095734,NA,0.3495288394551562,0.31170063809626547,0.45958345551306834,NA
201411080ATL,ATL,2015,1,2014-11-08,1518.981070942209,1412.0830584036944,1488.824734012458,1352.2088637746097,0.716709634870196,0.6376021976904266,NA,0.6504711605448438,0.6882993619037345,0.5404165444869317,NA
201411080CHI,CHI,2015,0,2014-11-08,1591.4917668183164,1444.102679491031,1617.681145680123,1459.5019525802527,0.8142414860681115,0.8343192620305593,NA,0.7014466603884935,0.714289461412257,0.7709354974513524,NA
201411080CHI,BOS,2015,1,2014-11-08,1444.102679491031,1591.4917668183164,1459.5019525802527,1617.681145680123,0.18575851393188847,0.16568073796944072,NA,0.29855333961150643,0.285710538587743,0.22906450254864766,NA
201411080HOU,HOU,2015,0,2014-11-08,1687.5497318520115,1756.0244446591644,1749.9341034330234,1774.9708055010187,0.4179498460184778,0.6741965009462217,NA,0.40409875408707896,0.4654634883696724,0.5803656954203601,NA
201411080HOU,GSW,2015,1,2014-11-08,1756.0244446591644,1687.5497318520115,1774.9708055010187,1749.9341034330234,0.5820501539815222,0.32580349905377826,NA,0.5959012459129212,0.5345365116303277,0.4196343045796398,NA
201411080IND,WAS,2015,1,2014-11-08,1491.5632418066496,1358.444761030617,1493.67275338795,1317.1490885169737,0.5959085743149388,0.44606949951389085,NA,0.6814699008721866,0.7330975294715122,0.5464625497446715,NA
201411080IND,IND,2015,0,2014-11-08,1358.444761030617,1491.5632418066496,1317.1490885169737,1493.67275338795,0.4040914256850612,0.5539305004861091,NA,0.3185300991278134,0.26690247052848776,0.4535374502553286,NA
201411080LAC,POR,2015,0,2014-11-08,1575.2162994571527,1659.1594842196894,1622.0700567240367,1654.4718494384852,0.36674816625916873,0.3167431564587512,NA,0.3801357026897052,0.45207850402113214,0.40954969190168916,NA
201411080LAC,LAC,2015,1,2014-11-08,1659.1594842196894,1575.2162994571527,1654.4718494384852,1622.0700567240367,0.6332518337408313,0.6832568435412488,NA,0.6198642973102948,0.5479214959788679,0.5904503080983109,NA
201411080MIA,MIN,2015,0,2014-11-08,1451.8799850370347,1622.466601549347,1441.4764291876857,1584.540391919761,0.24522635218912736,0.2823666321471926,NA,0.2713602900461077,0.3037933487525862,0.37056351808002885,NA
201411080MIA,MIA,2015,1,2014-11-08,1622.466601549347,1451.8799850370347,1584.540391919761,1441.4764291876857,0.7547736478108726,0.7176333678528074,NA,0.7286397099538923,0.6962066512474139,0.629436481919971,NA
201411080MIL,MIL,2015,1,2014-11-08,1378.5010868812851,1498.2649252244526,1381.2344398275889,1511.9713518582898,0.3544910179640719,0.2503453327698715,NA,0.3354450057494309,0.3215133581306634,0.18246672878639741,NA
201411080MIL,MEM,2015,0,2014-11-08,1498.2649252244526,1378.5010868812851,1511.9713518582898,1381.2344398275889,0.6455089820359281,0.7496546672301285,NA,0.6645549942505691,0.6784866418693366,0.8175332712136026,NA
201411080SAS,SAS,2015,0,2014-11-08,1650.6873011655753,1549.4056554055362,1657.3382401886777,1578.2362382092765,0.732389502762431,0.8637505285673039,NA,0.6430852827493564,0.6132760877973674,0.8090492175838334,NA
201411080SAS,NOP,2015,1,2014-11-08,1549.4056554055362,1650.6873011655753,1578.2362382092765,1657.3382401886777,0.267610497237569,0.13624947143269606,NA,0.35691471725064366,0.3867239122026326,0.19095078241616664,NA
201411090BRK,ORL,2015,0,2014-11-09,1255.5301635747605,1458.2978632538027,1313.3022206175915,1457.5817424206882,0.2056703507928881,0.1720899159214534,NA,0.2363165467032029,0.3023154299222469,0.23722843541846184,NA
201411090BRK,BRK,2015,1,2014-11-09,1458.2978632538027,1255.5301635747605,1457.5817424206882,1313.3022206175915,0.7943296492071119,0.8279100840785466,NA,0.7636834532967971,0.697684570077753,0.762771564581538,NA
201411090DAL,MIA,2015,1,2014-11-09,1480.10526663145,1625.7193849105076,1477.4102607739758,1610.6007118211537,0.23178971248212255,0.32684752308762743,NA,0.30069748438717336,0.3159466955868468,0.4207913418090552,NA
201411090DAL,DAL,2015,0,2014-11-09,1625.7193849105076,1480.10526663145,1610.6007118211537,1477.4102607739758,0.7682102875178775,0.6731524769123726,NA,0.6993025156128267,0.6840533044131532,0.5792086581909448,NA
201411090DET,UTA,2015,1,2014-11-09,1498.504300828228,1505.649324548323,1514.032290606094,1539.5865114024489,0.3900657414170928,0.3635376886324866,NA,0.48828051550344703,0.46185964013067965,0.4608081028405088,NA
