gameid,team,season,y.status,date,team.elo.booker.lm,opp.elo.booker.lm,team.elo.booker.combined,opp.elo.booker.combined,booker_odds.Pinnacle,elo.prob,raptor.prob,predict.prob.booker,predict.prob.combined,elo.court30.prob,raptor.court30.prob
201411030LAC,UTA,2015,0,2014-11-03,1430.3375681006078,1611.63214923923,1433.3455135182521,1606.3591987106402,0.2189141856392294,0.1310581974650695,NA,0.22858658285437639,0.2371007696660311,0.1841195921913356,NA
201411030LAC,LAC,2015,1,2014-11-03,1611.63214923923,1430.3375681006078,1606.3591987106402,1433.3455135182521,0.7810858143607705,0.8689418025349305,NA,0.7714134171456236,0.7628992303339689,0.8158804078086643,NA
201411030MEM,NOP,2015,0,2014-11-03,1697.879455876476,1558.9526942343578,1660.1954808124653,1603.5253964745339,0.3837038708949328,0.2002317374729991,NA,0.6518163645139449,0.538306126462022,0.272516086886277,NA
201411030MEM,MEM,2015,1,2014-11-03,1558.9526942343578,1697.879455876476,1603.5253964745339,1660.1954808124653,0.6162961291050671,0.7997682625270008,NA,0.34818363548605513,0.461693873537978,0.727483913113723,NA
201411030PHI,HOU,2015,1,2014-11-03,1545.3129950711655,1218.4308872592142,1550.5446951164668,1184.6566487771438,0.8483891056112927,0.7778483931478943,NA,0.8467053391830727,0.8736392940876815,0.8397170052531872,NA
201411030PHI,PHI,2015,0,2014-11-03,1218.4308872592142,1545.3129950711655,1184.6566487771438,1550.5446951164668,0.15161089438870734,0.2221516068521057,NA,0.15329466081692736,0.1263607059123185,0.16028299474681273,NA
201411040CHI,ORL,2015,0,2014-11-04,1422.653759331966,1816.3518405993714,1400.8846817387855,1793.6816832365932,0.1662012387790006,0.1346525328037392,NA,0.08024652490000646,0.08063019878685172,0.1888528864754874,NA
201411040CHI,CHI,2015,1,2014-11-04,1816.3518405993714,1422.653759331966,1793.6816832365932,1400.8846817387855,0.8337987612209993,0.8653474671962608,NA,0.9197534750999936,0.9193698012131483,0.8111471135245126,NA
201411040NOP,CHO,2015,0,2014-11-04,1525.90481067123,1534.4751223858518,1489.4751130204186,1508.6472125974183,0.3818508535489667,0.4289811420595811,NA,0.4447197674825043,0.42970438377012876,0.529202506222893,NA
201411040NOP,NOP,2015,1,2014-11-04,1534.4751223858518,1525.90481067123,1508.6472125974183,1489.4751130204186,0.6181491464510332,0.5710188579404188,NA,0.5552802325174958,0.5702956162298712,0.470797493777107,NA
201411040IND,MIL,2015,1,2014-11-04,1385.2588802946902,1388.1831788486522,1380.476474645209,1383.9309492948305,0.3871172000921022,0.1552189264513824,NA,0.4527594503676743,0.45200338614534336,0.21563478703256028,NA
201411040IND,IND,2015,0,2014-11-04,1388.1831788486522,1385.2588802946902,1383.9309492948305,1380.476474645209,0.6128827999078978,0.8447810735486175,NA,0.5472405496323257,0.5479966138546566,0.7843652129674397,NA
201411040LAL,PHO,2015,1,2014-11-04,1450.9465974566654,1247.2797254850632,1449.3804156469873,1243.992508303255,0.6935029758722692,0.5689644266994911,NA,0.7310009431236171,0.7329445922968063,0.6638680639386108,NA
201411040LAL,LAL,2015,0,2014-11-04,1247.2797254850632,1450.9465974566654,1243.992508303255,1449.3804156469873,0.3064970241277308,0.4310355733005089,NA,0.2689990568763829,0.26705540770319364,0.33613193606138914,NA
201411040MIA,HOU,2015,1,2014-11-04,1547.4012501137884,1582.442065216686,1571.290172129868,1616.851064646769,0.4394987843650644,0.3924494190254634,NA,0.40747704182233063,0.39294172766095004,0.49148197890976886,NA
201411040MIA,MIA,2015,0,2014-11-04,1582.442065216686,1547.4012501137884,1616.851064646769,1571.290172129868,0.5605012156349356,0.6075505809745366,NA,0.5925229581776693,0.6070582723390499,0.5085180210902311,NA
201411040NYK,WAS,2015,1,2014-11-04,1553.15060618958,1500.463286704478,1566.9700615285535,1538.530567902682,0.5366715146478288,0.3894453612147329,NA,0.5326033501562997,0.4977542659048429,0.4883291651183424,NA
201411040NYK,NYK,2015,0,2014-11-04,1500.463286704478,1553.15060618958,1538.530567902682,1566.9700615285535,0.4633284853521711,0.6105546387852671,NA,0.4673966498437003,0.502245734095157,0.5116708348816575,NA
201411040TOR,OKC,2015,0,2014-11-04,1314.5954464132365,1618.7614263430012,1309.1842486062365,1617.769999787011,0.1423280959857881,0.3970776170704446,NA,0.12745909900088329,0.12465630006554129,0.4963239891333702,NA
201411040TOR,TOR,2015,1,2014-11-04,1618.7614263430012,1314.5954464132365,1617.769999787011,1309.1842486062365,0.8576719040142119,0.6029223829295554,NA,0.8725409009991167,0.8753436999344587,0.5036760108666297,NA
201411040POR,CLE,2015,0,2014-11-04,1778.7848245950877,1532.4138593587245,1753.4974594686641,1477.2137139154772,0.5668328047122791,0.2514099884172476,NA,0.7765253663174481,0.8049812382981282,0.33444384313569175,NA
201411040POR,POR,2015,1,2014-11-04,1532.4138593587245,1778.7848245950877,1477.2137139154772,1753.4974594686641,0.4331671952877208,0.7485900115827524,NA,0.22347463368255194,0.19501876170187188,0.6655561568643082,NA
201411050BOS,TOR,2015,1,2014-11-05,1581.3271088952304,1449.8317363320991,1566.8919333670356,1414.240018011395,0.4508067067383739,0.609364669154695,NA,0.6420457389189685,0.6695258159103056,0.7000623562598957,NA
201411050BOS,BOS,2015,0,2014-11-05,1449.8317363320991,1581.3271088952304,1414.240018011395,1566.8919333670356,0.549193293261626,0.3906353308453049,NA,0.35795426108103146,0.3304741840896944,0.2999376437401043,NA
201411050BRK,MIN,2015,1,2014-11-05,1580.2782426652382,1440.8266129682245,1571.3010547182973,1487.966670018567,0.3465414253795996,0.3252639412220833,NA,0.6525017579804483,0.5761570753419338,0.41903593626286295,NA
201411050BRK,BRK,2015,0,2014-11-05,1440.8266129682245,1580.2782426652382,1487.966670018567,1571.3010547182973,0.6534585746204004,0.6747360587779166,NA,0.34749824201955165,0.4238429246580663,0.580964063737137,NA
201411050DET,NYK,2015,0,2014-11-05,1641.90018828887,1462.6527114508797,1638.6999893374611,1431.9304309770366,0.3785271851342051,0.5472978870879355,NA,0.7024804298958092,0.734498482822878,0.6439870033227774,NA
201411050DET,DET,2015,1,2014-11-05,1462.6527114508797,1641.90018828887,1431.9304309770366,1638.6999893374611,0.6214728148657948,0.4527021129120645,NA,0.2975195701041908,0.26550151717712184,0.3560129966772226,NA
201411050CHO,MIA,2015,0,2014-11-05,1572.2983954397025,1629.7234136336308,1602.7854114331922,1572.3065480955831,0.4728029842977357,0.4749393892321644,NA,0.37677513099394466,0.5006891393028496,0.5750843093108254,NA
201411050CHO,CHO,2015,1,2014-11-05,1629.7234136336308,1572.2983954397025,1572.3065480955831,1602.7854114331922,0.5271970157022642,0.5250606107678356,NA,0.6232248690060552,0.4993108606971504,0.42491569068917456,NA
201411050PHI,ORL,2015,1,2014-11-05,1406.0243500387414,1282.4279724831144,1398.4965154399474,1263.6596978097164,0.5642421122306391,0.4177993085481915,NA,0.6315295136300034,0.6464541815904198,0.5177770952473925,NA
201411050PHI,PHI,2015,0,2014-11-05,1282.4279724831144,1406.0243500387414,1263.6596978097164,1398.4965154399474,0.4357578877693608,0.5822006914518085,NA,0.36847048636999663,0.3535458184095802,0.4822229047526076,NA
201411050GSW,LAC,2015,0,2014-11-05,1640.0221449218748,1624.0624192272498,1612.9423232788486,1630.4110077123273,0.3496503496503497,0.3694094269624627,NA,0.47980541285733175,0.432108979083613,0.4670979096813231,NA
201411050GSW,GSW,2015,1,2014-11-05,1624.0624192272498,1640.0221449218748,1630.4110077123273,1612.9423232788486,0.6503496503496504,0.6305905730375373,NA,0.5201945871426683,0.567891020916387,0.5329020903186769,NA
201411050MIL,CHI,2015,1,2014-11-05,1593.1788904752154,1455.6755581158372,1586.9155257295545,1480.5205563630757,0.6503496503496504,0.6731769204070932,NA,0.6499544344622668,0.6082029844637589,0.755015176401251,NA
201411050MIL,MIL,2015,0,2014-11-05,1455.6755581158372,1593.1788904752154,1480.5205563630757,1586.9155257295545,0.3496503496503497,0.3268230795929067,NA,0.3500455655377333,0.39179701553624113,0.24498482359874893,NA
201411050WAS,IND,2015,0,2014-11-05,1483.4855922227166,1656.5929729396794,1445.4344331213822,1685.7658906665788,0.1846153846153846,0.2825328830736021,NA,0.23700322285019074,0.17419936535234312,0.3707548692946443,NA
