gameid,team,season,y.status,date,team.elo.booker.lm,opp.elo.booker.lm,team.elo.booker.combined,opp.elo.booker.combined,booker_odds.Pinnacle,elo.prob,raptor.prob,predict.prob.booker,predict.prob.combined,elo.court30.prob,raptor.court30.prob
201411060HOU,SAS,2015,0.0,2014-11-06,1574.4650520637565,1624.6643207808077,1586.8699535344217,1667.0011820619925,0.2809489832322512,0.4346134842359465,,0.4268470927897119,0.3853197053221451,0.534918039665521,
201411060HOU,HOU,2015,1.0,2014-11-06,1624.6643207808077,1574.4650520637565,1667.0011820619925,1586.8699535344217,0.7190510167677487,0.5653865157640535,,0.5731529072102882,0.6146802946778548,0.4650819603344789,
201411060POR,POR,2015,1.0,2014-11-06,1658.9521713381885,1662.0736996244789,1669.4925644750765,1691.851850242056,0.5338983050847458,0.5919761997974322,,0.4969469133170014,0.469300182938563,0.4922977426390313,
201411060POR,DAL,2015,0.0,2014-11-06,1662.0736996244789,1658.9521713381885,1691.851850242056,1669.4925644750765,0.4661016949152542,0.4080238002025678,,0.5030530866829986,0.530699817061437,0.5077022573609685,
201411070BOS,IND,2015,0.0,2014-11-07,1365.0983857410015,1499.7610849049668,1322.8804334581755,1475.6073347772765,0.3259109311740891,0.515111867178702,,0.3141179176665485,0.2921586151742827,0.6138247722436413,
201411070BOS,BOS,2015,1.0,2014-11-07,1499.7610849049668,1365.0983857410015,1475.6073347772765,1322.8804334581755,0.6740890688259109,0.484888132821298,,0.6858820823334514,0.7078413848257172,0.3861752277563587,
201411070BRK,NYK,2015,0.0,2014-11-07,1407.5481368035462,1472.9974522732696,1389.4417853151476,1459.2419187663093,0.3197864249222142,0.3280824425135924,,0.4055209333368845,0.399497732145163,0.4221586073813482,
201411070BRK,BRK,2015,1.0,2014-11-07,1472.9974522732696,1407.5481368035462,1459.2419187663093,1389.4417853151476,0.6802135750777858,0.6719175574864076,,0.5944790666631156,0.6005022678548368,0.5778413926186519,
201411070CHO,CHO,2015,1.0,2014-11-07,1414.2711631452564,1354.2667292723777,1420.4616357119723,1322.5956381682274,0.5315161839863713,0.6538473723191562,,0.5869012115005039,0.6385597326837389,0.5579981943097325,
201411070CHO,ATL,2015,0.0,2014-11-07,1354.2667292723777,1414.2711631452564,1322.5956381682274,1420.4616357119723,0.4684838160136286,0.3461526276808437,,0.4130987884994961,0.361440267316261,0.4420018056902673,
201411070DEN,DEN,2015,0.0,2014-11-07,1552.495938363411,1757.3220273946608,1508.1150771857046,1691.9056515914958,0.2917889152365259,0.6304704162250988,,0.2362558928530753,0.2587976602258826,0.5327737017328921,
201411070DEN,CLE,2015,1.0,2014-11-07,1757.3220273946608,1552.495938363411,1691.9056515914958,1508.1150771857046,0.7082110847634742,0.3695295837749012,,0.7637441071469246,0.7412023397741173,0.4672262982671077,
