gameid,team,season,y.status,date,team.elo.booker.lm,opp.elo.booker.lm,team.elo.booker.combined,opp.elo.booker.combined,booker_odds.Pinnacle,elo.prob,raptor.prob,predict.prob.booker,predict.prob.combined,elo.court30.prob,raptor.court30.prob
202210250NOP,DAL,2023,0,2022-10-25,1665.0076050140465,1544.4644165418213,1693.8515030684134,1518.0104578976207,0.6534585746204004,0.4251608126127834,0.525855367124412,0.6655543482181074,0.7323279627482323,0.525310732756355,0.5870015797854319
202210250NOP,NOP,2023,1,2022-10-25,1544.4644165418213,1665.0076050140465,1518.0104578976207,1693.8515030684134,0.3465414253795996,0.5748391873872166,0.474144632875588,0.33444565178189256,0.26767203725176764,0.47468926724364496,0.4129984202145682
202210250OKC,LAC,2023,0,2022-10-25,1450.2347216525134,1308.285971951965,1438.6589204851507,1299.303353346503,0.655062860255072,0.5869035095196362,0.583388832479719,0.6924005620962688,0.6892121623158113,0.6800782911955666,0.6621509795225698
202210250OKC,OKC,2023,1,2022-10-25,1308.285971951965,1450.2347216525134,1299.303353346503,1438.6589204851507,0.344937139744928,0.4130964904803637,0.416611167520281,0.3075994379037312,0.3107878376841888,0.3199217088044334,0.3378490204774302
202210250PHO,GSW,2023,0,2022-10-25,1555.447826790136,1518.8006372784205,1549.888554027298,1502.8279522851692,0.4633284853521711,0.4275859623900749,0.361577686871481,0.5511211721428062,0.5659009029180581,0.5277826463104272,0.4329439418448899
202210250PHO,PHO,2023,1,2022-10-25,1518.8006372784205,1555.447826790136,1502.8279522851692,1549.888554027298,0.5366715146478288,0.572414037609925,0.638422313128519,0.4488788278571938,0.4340990970819419,0.47221735368957296,0.5670560581551102
202210250WAS,DET,2023,0,2022-10-25,1417.8293704812097,1506.5053359571145,1386.5663219204175,1496.2909791973798,0.3378524243340098,0.2788616453334961,0.232230019431954,0.37373740162282676,0.3458384992312308,0.3665228981480668,0.2779971763603753
202210250WAS,WAS,2023,1,2022-10-25,1506.5053359571145,1417.8293704812097,1496.2909791973798,1386.5663219204175,0.6621475756659903,0.7211383546665039,0.767769980568046,0.6262625983771732,0.6541615007687692,0.6334771018519332,0.7220028236396248
202210260CHI,IND,2023,0,2022-10-26,1357.7950264594165,1464.183669036614,1342.0896652229355,1473.8713165014863,0.2968086933058601,0.2714701355025518,0.333353346749971,0.35019578662421097,0.31770201060201275,0.35796121022948507,0.3997790734085485
202210260CHI,CHI,2023,1,2022-10-26,1464.183669036614,1357.7950264594165,1473.8713165014863,1342.0896652229355,0.7031913066941399,0.7285298644974482,0.666646653250029,0.649804213375789,0.6822979893979872,0.642038789770515,0.6002209265914515
202210260CLE,ORL,2023,0,2022-10-26,1356.8355705839733,1517.7444509981426,1312.1328492582204,1526.965944867209,0.2374217013538088,0.1763749816047074,0.175773035288682,0.2825145862498687,0.22401239337675255,0.24266006485630462,0.2203034918083833
202210260CLE,CLE,2023,1,2022-10-26,1517.7444509981426,1356.8355705839733,1526.965944867209,1312.1328492582204,0.7625782986461911,0.8236250183952926,0.824226964711318,0.7174854137501312,0.7759876066232474,0.7573399351436954,0.7796965081916167
