,elo_prob1,elo_prob2,carm-elo_prob1,carm-elo_prob2,raptor_prob1,raptor_prob2,raptor_prob1_pred,raptor_prob2_pred
201410280NOP,0.7574192482328314,0.2425807517671686,,,,,0.7090164,0.26711622
201410280LAL,0.3944467264809515,0.6055532735190485,,,,,0.39412296,0.5801642
201410280SAS,0.7675309474544234,0.2324690525455766,,,,,0.70485365,0.26824367
201410290SAC,0.4150030853869351,0.5849969146130649,,,,,0.43115702,0.55040044
201410290MEM,0.721160437096933,0.278839562903067,,,,,0.68244135,0.31304228
201410290POR,0.5687138256711358,0.4312861743288642,,,,,0.5381449,0.44483662
201410290BOS,0.4430857769989077,0.5569142230010923,,,,,0.4623133,0.5162758
201410290NYK,0.6229523012438865,0.3770476987561135,,,,,0.60696167,0.37675256
201410290DEN,0.7422602276982232,0.2577397723017768,,,,,0.68244135,0.28692505
201410290UTA,0.3155781201294808,0.6844218798705193,,,,,0.3309612,0.611214
201410290TOR,0.7159933595794887,0.2840066404205112,,,,,0.68244135,0.31546414
201410290CHO,0.8438990645943165,0.1561009354056834,,,,,0.78021556,0.19213146
201410290IND,0.860624219139554,0.139375780860446,,,,,0.78021556,0.1750565
201410290PHO,0.807837368045626,0.192162631954374,,,,,0.7252039,0.24868599
201410290MIA,0.6886945883617835,0.3113054116382164,,,,,0.611214,0.3309612
201410300MIN,0.7855937195000194,0.2144062804999805,,,,,0.7252039,0.24497493
201410300CLE,0.5774032099538376,0.4225967900461623,,,,,0.53672117,0.4347011
201410300DAL,0.8654586387906542,0.1345413612093458,,,,,0.78021556,0.1750565
201410300LAC,0.6699940878668039,0.3300059121331961,,,,,0.611214,0.34350368
201410300ORL,0.3846493013857754,0.6153506986142245,,,,,0.39851478,0.57254475
201410310IND,0.5767291261262807,0.4232708738737193,,,,,0.53672117,0.44958606
201410310MIL,0.6437586501769748,0.3562413498230252,,,,,0.60696167,0.36521718
201410310SAC,0.413234219803587,0.586765780196413,,,,,0.43041095,0.55040044
201410310PHO,0.4487392579049494,0.5512607420950506,,,,,0.46131963,0.5103248
201410310LAL,0.3229653325710643,0.6770346674289357,,,,,0.32148674,0.611214
201410310CHI,0.7770875995139717,0.2229124004860283,,,,,0.7329497,0.24001785
201411010PHI,0.2621976452164686,0.7378023547835313,,,,,0.285859,0.68244135
201411010ORL,0.3497022891589531,0.6502977108410468,,,,,0.36521718,0.6045937
201411010WAS,0.8609353380857142,0.1390646619142858,,,,,0.78021556,0.1750565
201411010GSW,0.8507680915117235,0.1492319084882765,,,,,0.78021556,0.18701258
201411010NOP,0.4565044369507793,0.5434955630492206,,,,,0.46275818,0.5103248
201411010OKC,0.7865203570759121,0.2134796429240879,,,,,0.7252039,0.24497493
201411010HOU,0.8627571257186248,0.1372428742813751,,,,,0.78021556,0.1750565
201411010DET,0.4708661928283889,0.5291338071716111,,,,,0.48087052,0.51707
201411010ATL,0.5876765073777349,0.4123234926222651,,,,,0.55040044,0.43041095
201411010MIN,0.5790725612168989,0.4209274387831011,,,,,0.53672117,0.4366389
201411010UTA,0.3473438870561168,0.6526561129438833,,,,,0.36521718,0.6045937
201411010CHO,0.5284061610449838,0.4715938389550161,,,,,0.51707,0.48087052
201411020MIA,0.6788313526984635,0.3211686473015365,,,,,0.611214,0.3309612
201411020NYK,0.6544664937112833,0.3455335062887167,,,,,0.6045937,0.36521718
201411020LAC,0.8547011896583003,0.1452988103416996,,,,,0.78021556,0.18701258
201411020POR,0.5865947867769826,0.4134052132230174,,,,,0.55040044,0.43041095
201411030DAL,0.8548436783464379,0.145156321653562,,,,,0.78021556,0.18701258
201411030MEM,0.7997682625270008,0.2002317374729991,,,,,0.7252039,0.24315087
201411030BRK,0.5066808408409206,0.4933191591590794,,,,,0.49833605,0.4843768
201411030PHI,0.2221516068521057,0.7778483931478943,,,,,0.24001785,0.7329497
201411030DEN,0.6726324818922796,0.3273675181077203,,,,,0.611214,0.34350368
201411030LAC,0.8689418025349305,0.1310581974650695,,,,,0.78021556,0.1750565
201411040MIA,0.6075505809745366,0.3924494190254634,,,,,0.5801642,0.39412296
201411040CHI,0.8653474671962608,0.1346525328037392,,,,,0.78021556,0.1750565
201411040TOR,0.6029223829295554,0.3970776170704446,,,,,0.5801642,0.39412296
201411040LAL,0.4310355733005089,0.5689644266994911,,,,,0.44483662,0.5381449
201411040NOP,0.5710188579404188,0.4289811420595811,,,,,0.53672117,0.4451612
201411040NYK,0.6105546387852671,0.3894453612147329,,,,,0.5801642,0.39877465
201411040IND,0.8447810735486175,0.1552189264513824,,,,,0.78021556,0.19213146
201411040POR,0.7485900115827524,0.2514099884172476,,,,,0.6828601,0.2784765
201411050SAC,0.6346671258641045,0.3653328741358955,,,,,0.60696167,0.36771408
201411050DET,0.4527021129120645,0.5472978870879355,,,,,0.46275818,0.5103248
201411050PHO,0.570373343024995,0.429626656975005,,,,,0.53672117,0.44483662
201411050UTA,0.5406397144909835,0.4593602855090165,,,,,0.52345544,0.46555278
201411050GSW,0.6305905730375373,0.3694094269624627,,,,,0.60696167,0.37609246
