,homeElo,awayElo,homeEloRAPTOR,awayEloRAPTOR,neutral
201910220LAC,1516.60861459456,1472.91031573486,1577.79631965122,1625.62702616197,0
201910220TOR,1672.98650511735,1415.32053882373,1570.91002704454,1524.91969157268,0
201910230BRK,1494.76759174497,1465.41301618077,1503.49834192401,1575.42340830436,0
201910230CHO,1497.24302553757,1350.43052844022,1353.40152738915,1463.72155179318,0
201910230DAL,1462.20359491783,1434.80050301983,1565.88308172899,1419.18098189807,0
201910230IND,1509.5434369267,1475.76004260392,1504.51347608717,1401.76851954223,0
201910230MIA,1498.74553276499,1459.00772950912,1506.59009295661,1466.19336442031,0
201910230ORL,1543.18427016017,1349.54720698356,1531.3907412395,1353.20676231074,0
201910230PHI,1582.39677605164,1577.78355171342,1650.77418403123,1568.193391004,0
201910230PHO,1338.13501857836,1468.11475592575,1514.58758206404,1489.96116021642,0
201910230POR,1602.33277039235,1585.76422226065,1531.08165757701,1651.81091102907,0
201910230SAS,1553.99176299846,1319.2300820627,1497.5303811192,1297.55511522739,0
201910230UTA,1595.62999997246,1551.53145565972,1609.63419135977,1563.36829611983,0
201910240DET,1490.66200385666,1423.20227095543,1396.99477158188,1397.24323959036,0
201910240GSW,1634.54093357673,1522.27203966365,1605.13939855384,1577.79631965122,0
201910240HOU,1652.74583770298,1642.84628018296,1717.9778577962,1643.32519206615,0
201910250BOS,1569.38451361793,1674.58414486437,1566.71711171307,1570.62987744293,0
201910250BRK,1488.65405858036,1317.27875122804,1503.05001190682,1298.01198213223,0
201910250CHO,1498.55634786924,1471.52654934538,1353.71994140517,1575.91568229755,0
201910250DEN,1599.01617324357,1361.87397066132,1653.20820616088,1504.34377265619,0
201910250LAL,1467.24689066577,1599.46332222916,1623.90156511607,1610.96188866015,0
201910250MEM,1450.21824395035,1349.11720610855,1462.01419975438,1463.39946358027,0
201910250NOP,1413.72289907671,1467.55023515923,1524.31614631496,1568.44146372154,0
201910250OKC,1547.69813340302,1429.45386277843,1563.75509791401,1411.87370848297,0
201910250SAC,1444.37580384279,1589.08081940943,1489.86685057391,1529.69002686966,0
201910260ATL,1447.68994405118,1545.63934472878,1401.55571591757,1531.1276283222,0
201910260CHI,1365.58319880598,1666.70291572254,1465.54953911121,1570.01827596184,0
201910260CLE,1347.09213241495,1494.64147567396,1353.49051205646,1501.45644964143,0
201910260DET,1466.17433076091,1590.79581414713,1396.49723745592,1536.77182780993,0
201910260HOU,1641.67194955082,1403.83334921921,1715.72561442329,1522.64116713708,0
201910260MIL,1653.92016833512,1507.53501832376,1646.92311508914,1395.63650651711,0
201910260NYK,1315.47734679743,1577.26574275976,1299.37231250605,1567.32789333803,0
201910260PHO,1361.07453688328,1551.68744431104,1464.53631957887,1583.51323766291,0
201910260SAS,1555.94309383312,1451.40073968499,1497.07868388432,1416.68608882733,0
201910260UTA,1588.5481705384,1435.63872915042,1611.14397754696,1487.62321651195,0
201910270DAL,1477.43978501673,1597.8178941018,1573.2696042162,1531.92279563764,0
201910270LAL,1478.16204235653,1472.24056076448,1624.78160925301,1343.63264935344,0
201910270MEM,1433.75225125292,1490.45546301097,1459.83768725999,1501.70482900068,0
201910270MIN,1497.84233645014,1521.64800210187,1579.25503405361,1390.51296496776,0
201910270OKC,1525.75125649646,1605.12552892934,1560.5026169125,1600.21294494469,0
201910280ATL,1453.9666890874,1597.84266466514,1402.55816200112,1658.50661078551,0
201910280DET,1459.1274802429,1481.63780285144,1395.54773189155,1499.00766816838,0
201910280HOU,1642.77334231322,1544.99871813683,1714.05000350712,1565.26925629173,0
201910280LAC,1539.40188718354,1461.9775884783,1581.58451892027,1342.66366980876,0
201910280MIL,1639.80718455701,1360.09580523747,1634.75584034992,1363.96950533028,0
201910280NOP,1402.73195645681,1585.87806728897,1524.39422010188,1595.56157727668,0
201910280NYK,1306.43367517732,1357.91299211991,1296.25072234808,1467.05602892748,0
201910280PHO,1373.36009401078,1595.75747978182,1507.85210695171,1616.62605558239,0
201910280SAC,1428.429419907,1599.81560702161,1483.36740162021,1651.47300037601,0
201910280SAS,1557.89897629731,1602.29371315823,1495.87636953719,1533.30942101865,0
201910280TOR,1674.37312240861,1539.36259969256,1574.5092639397,1530.10463358098,0
201910290DEN,1606.16135604702,1472.9639659603,1652.36199453939,1575.74566569206,0
201910290LAL,1488.42501464271,1437.17451929254,1623.84758482608,1459.54045610247,0
201910290MIA,1515.43018850041,1449.8850627263,1514.39442357326,1403.26321494674,0
201910300BOS,1586.30941437987,1642.07734806228,1521.68825630277,1636.8246310262,0
201910300BRK,1487.03319497135,1478.08625104611,1502.00928858841,1498.10803623812,0
201910300CLE,1357.8256417322,1350.93825795399,1363.19798151122,1462.24460531027,0
201910300GSW,1593.77796484358,1370.92446954763,1531.18711191044,1507.59776624555,0
201910300OKC,1542.34933080008,1597.79060084356,1523.52608338896,1533.57507569048,0
201910300ORL,1535.99661618147,1313.40840934324,1529.2787305903,1280.04910914853,0
201910300PHI,1601.92429102624,1504.0601500516,1657.7818691436,1578.27862751934,0
201910300SAC,1422.08367088159,1455.73438046014,1482.4791506945,1353.62135981354,0
201910300TOR,1677.7391059197,1462.67903204823,1575.34827548986,1389.39934822116,0
201910300UTA,1598.19310424497,1545.6450952017,1617.25246442578,1581.96339845391,0
201910300WAS,1449.4448572208,1645.42272964997,1427.14862372085,1713.93363389664,0
201910310ATL,1443.26789265279,1522.04735857392,1363.12217689276,1490.36257301889,0
201910310LAC,1538.91497306935,1562.40208861198,1580.42641995186,1495.62825810782,0
201910310NOP,1394.8320589022,1595.26271814814,1521.8214829056,1650.66124479801,0
201911010BOS,1595.59777165708,1310.91005677326,1554.97078886954,1280.18544839715,0
201911010BRK,1472.21243698754,1648.16507458548,1499.52433697448,1712.78078493662,0
201911010CHI,1345.93959616078,1460.07306990458,1461.05915184372,1388.95222501167,0
201911010DAL,1483.86260385918,1499.65747149652,1582.47104335372,1615.66680176497,0
201911010GSW,1568.09117530357,1556.69462581832,1414.55936547011,1495.3350742293,0
201911010IND,1492.90700902992,1362.82430352541,1450.65419773075,1364.38506050793,0
201911010ORL,1538.49496875145,1632.78899078507,1529.13998963941,1636.31693265884,0
201911010SAC,1411.52302874946,1604.92322637732,1479.6658979263,1620.1180285564,0
201911020DET,1451.93392480933,1483.09692683912,1411.89198899057,1501.64980939,0
