,homeElo,awayElo,homeEloRAPTOR,awayEloRAPTOR,homeProbRAPTOR,awayProbRAPTOR,homeTeamProb,awayTeamProb,homeTeamEloAfter,awayTeamEloAfter
201410280LAL,1421.9985,1596.4641,1427.119873046875,1564.119384765625,0.4469537996144067,0.5530462003855934,0.3944467264809515,0.6055532735190484,1411.4548599398304,1607.0077400601695
201410280NOP,1457.2185,1359.4265,1442.8326416015625,1365.298095703125,0.7353563479764976,0.2646436520235025,0.7574192482328314,0.24258075176716856,1463.8092707434814,1352.8357292565186
201410280SAS,1699.5024,1592.0101,1640.8013916015625,1564.8912353515625,0.7335326248918151,0.2664673751081848,0.7675309474544236,0.2324690525455765,1701.2328318860314,1590.2796681139687
201410290BOS,1378.5464,1518.2666,1395.4613037109375,1498.15771484375,0.4961196303571326,0.5038803696428674,0.44308577699890767,0.5569142230010923,1396.1757985892764,1500.6372014107235
201410290CHO,1511.0031,1317.8491,1495.414306640625,1330.473388671875,0.8212915596095479,0.178708440390452,0.8438990645943165,0.15610093540568348,1512.3097148110678,1316.542485188932
201410290DEN,1473.0493,1389.2994,1461.6702880859375,1392.9044189453125,0.7254172703946319,0.27458272960536806,0.7422602276982231,0.2577397723017769,1478.0627936333215,1384.2859063666785
201410290IND,1532.6748,1316.4243,1521.8670654296875,1331.2825927734375,0.8419406178045624,0.15805938219543758,0.860624219139554,0.13937578086044602,1535.4400276630056,1313.6590723369943
201410290MEM,1578.4064,1513.3354,1566.4674072265625,1498.15771484375,0.7248939027599601,0.2751060972400398,0.721160437096933,0.27883956290306694,1581.7588504668736,1509.9829495331264
201410290MIA,1579.3748,1541.4388,1568.96630859375,1522.768798828125,0.6987979866032636,0.30120201339673647,0.6886945883617835,0.3113054116382165,1586.4062378149836,1534.4073621850164
201410290NYK,1534.4419,1547.2185,1521.8670654296875,1533.6849365234375,0.6242477102489128,0.37575228975108715,0.6229523012438865,0.37704769875611344,1511.4752302475106,1570.1851697524894
201410290PHO,1560.1208,1410.6588,1541.35595703125,1413.9437255859375,0.7873608460057114,0.2126391539942886,0.8078373680456262,0.1921626319543738,1565.7438098214016,1405.0357901785983
201410290POR,1567.8318,1619.7805,1541.35595703125,1592.2586669921875,0.570190081445364,0.42980991855463596,0.5687138256711355,0.43128617432886446,1581.0141507610826,1606.5981492389174
201410290SAC,1431.1567,1590.7976,1428.2183837890625,1564.8912353515625,0.44741865632395,0.5525813436760499,0.4150030853869351,0.5849969146130649,1419.9469219310681,1602.007378068932
201410290TOR,1550.7469,1490.1147,1530.525146484375,1466.902587890625,0.7194806974275869,0.28051930257241303,0.7159933595794885,0.2840066404205114,1555.304397154286,1485.557202845714
201410290UTA,1373.317,1607.8038,1381.843505859375,1592.00537109375,0.3465717939225343,0.6534282060774657,0.31557812012948067,0.6844218798705194,1367.4649002734986,1613.6558997265013
201410300CLE,1463.7213,1509.5001,1459.045166015625,1479.7572021484375,0.6121641326039758,0.38783586739602416,0.5774032099538376,0.42259679004616235,1455.881606957332,1517.339793042668
201410300DAL,1590.3984,1367.0422,1569.294189453125,1370.5650634765625,0.8480802803989717,0.15191971960102826,0.8654586387906543,0.1345413612093457,1593.8753804067662,1363.565219593234
201410300LAC,1630.6335,1607.6138,1601.86962890625,1592.00537109375,0.6530401409577596,0.34695985904224036,0.6699940878668041,0.33000591213319586,1634.2566502270329,1603.9906497729671
201410300MIN,1510.2198,1384.6356,1495.414306640625,1396.1962890625,0.7589243091396284,0.2410756908603716,0.7855937195000195,0.21440628049998042,1513.2329661281308,1381.6224338718694
201410300ORL,1353.2910000000002,1534.9141,1351.2161865234375,1516.35107421875,0.40734630275967154,0.5926536972403283,0.3846493013857757,0.6153506986142244,1347.64013416903,1540.56496583097
201410310CHI,1572.1603,1455.226,1563.2686767578125,1439.22412109375,0.7840971067629589,0.2159028932370411,0.7770875995139717,0.22291240048602834,1558.9020061983297,1468.4842938016704
201410310IND,1535.2634,1581.5220000000002,1523.0311279296875,1564.8912353515625,0.5828976856783293,0.4171023143216707,0.5767291261262804,0.42327087387371976,1525.1645219584643,1591.620878041536
201410310LAL,1405.4108,1633.9928,1410.12255859375,1607.5594482421875,0.3633411339679873,0.6366588660320127,0.32296533257106425,0.6770346674289357,1400.8168185457373,1638.5867814542628
201410310MIL,1316.6272,1313.8357,1331.0123291015625,1331.2825927734375,0.6397065023383567,0.3602934976616433,0.6437586501769748,0.35624134982302524,1324.899328689495,1305.563571310505
201410310PHO,1565.3689,1701.1141,1541.35595703125,1625.20166015625,0.5232311635554426,0.4767688364445573,0.4487392579049498,0.5512607420950503,1574.0729882700912,1692.4100117299088
201410310SAC,1419.0911,1579.9985,1428.141845703125,1555.7252197265625,0.4603875244942238,0.5396124755057762,0.413234219803587,0.5867657801964129,1432.2017345856962,1566.8878654143039
201411010ATL,1485.8804,1524.3203,1469.9954833984375,1505.7833251953125,0.5913707534094589,0.4086292465905411,0.5876765073777347,0.4123234926222652,1494.7097055147583,1515.4909944852418
201411010CHO,1512.225,1592.4651,1495.414306640625,1564.3345947265625,0.5446083769899142,0.45539162301008584,0.528406161044984,0.47159383895501616,1507.4266426747897,1597.26345732521
201411010DET,1381.8267,1502.0939,1394.8560791015625,1479.7572021484375,0.5217153617752422,0.47828463822475786,0.47086619282838893,0.5291338071716111,1371.8302913758712,1512.090308624129
201411010GSW,1602.8633,1400.4835,1583.39892578125,1394.6705322265625,0.8405135672752146,0.1594864327247854,0.8507680915117234,0.14923190848827653,1607.5045922614252,1395.8422077385749
201411010HOU,1614.0786,1394.7191,1602.924560546875,1393.1748046875,0.8560746633189221,0.14392533668107788,0.862757125718625,0.13724287428137505,1617.0819062653743,1391.7157937346258
201411010MIN,1513.0288,1557.6185,1495.414306640625,1530.443603515625,0.5924255102842496,0.40757448971575044,0.5790725612168987,0.4209274387831012,1508.5089129951416,1562.1383870048585
201411010NOP,1463.354,1593.6544,1459.045166015625,1564.3345947265625,0.49238848823414694,0.5076115117658531,0.4565044369507791,0.5434955630492209,1457.5353514810788,1599.4730485189211
201411010OKC,1604.2545,1477.7131,1583.39892578125,1461.4207763671875,0.7820765794988043,0.21792342050119579,0.7865203570759121,0.21347964292408794,1608.5237183164895,1473.4438816835104
201411010ORL,1347.2158,1554.9813,1350.39892578125,1532.3441162109375,0.3842105402356019,0.615789459764398,0.34970228915895335,0.6502977108410466,1339.867522666495,1562.3295773335049
201411010PHI,1306.175,1585.8995,1314.7845458984375,1564.8912353515625,0.29648687882686675,0.7035131211731332,0.2621976452164687,0.7378023547835314,1299.64865924292,1592.4258407570799
201411010UTA,1363.7863,1573.3562,1363.614013671875,1554.898681640625,0.3715724715715567,0.6284275284284432,0.34734388705611685,0.6526561129438833,1395.55849732642,1541.58400267358
201411010WAS,1540.9893,1324.2878,1529.6842041015625,1349.0478515625,0.834169813735306,0.16583018626469412,0.8609353380857143,0.13906466191428565,1543.599394442776,1321.677705557224
201411020LAC,1638.92,1431.0991,1601.86962890625,1440.6417236328125,0.8181329162337837,0.18186708376621624,0.8547011896583004,0.1452988103416996,1623.0657865195221,1446.9533134804778
201411020MIA,1592.8823,1562.8708,1569.294189453125,1543.4371337890625,0.6735952972687245,0.32640470273127564,0.6788313526984635,0.3211686473015366,1597.296682952097,1558.456417047903
201411020NYK,1517.9955,1507.0366,1504.0013427734375,1479.7572021484375,0.6715506421294015,0.3284493578705986,0.6544664937112831,0.3455335062887169,1521.8254136417338,1503.206686358266
201411020POR,1567.9905,1607.2056,1541.35595703125,1592.00537109375,0.5705473834268762,0.42945261657312384,0.5865947867769827,0.4134052132230173,1559.985459190592,1615.210640809408
201411030BRK,1512.8772,1608.2346,1495.414306640625,1592.00537109375,0.5049056951862299,0.49509430481377015,0.5066808408409205,0.4933191591590795,1536.7961595824856,1584.3156404175143
201411030DAL,1599.9275,1391.9072,1583.39892578125,1392.9044189453125,0.8418716872316799,0.1581283127683201,0.8548436783464379,0.1451563216535621,1601.6790523363707,1390.1556476636295
201411030DEN,1473.733,1448.6361,1461.6702880859375,1439.2962646484375,0.6691717744052743,0.33082822559472574,0.6726324818922799,0.3273675181077202,1464.071894226004,1458.297205773996
201411030LAC,1621.3831,1392.7725,1602.24365234375,1392.9044189453125,0.855783251667526,0.14421674833247397,0.8689418025349305,0.13105819746506953,1623.0965961306283,1391.0590038693717
201411030MEM,1597.6534,1457.0809,1583.39892578125,1450.658447265625,0.7924507817615309,0.2075492182384691,0.7997682625270008,0.2002317374729991,1601.842213570872,1452.8920864291279
201411030PHI,1299.1923,1616.8905,1316.8013916015625,1592.2586669921875,0.2669772544097033,0.7330227455902967,0.22215160685210586,0.7778483931478942,1295.2913698579375,1620.7914301420624
201411040CHI,1562.5167,1339.3263,1541.35595703125,1348.3861083984375,0.8437593682736515,0.15624063172634856,0.8653474671962609,0.13465253280373912,1564.5913676741063,1337.2516323258935
201411040IND,1516.1642,1321.8444,1497.3192138671875,1351.3082275390625,0.8047346313976013,0.19526536860239885,0.8447810735486175,0.1552189264513825,1500.6944052337217,1337.3141947662782
201411040LAL,1396.1412,1544.37,1399.076904296875,1524.243408203125,0.46384569928283265,0.5361543007171673,0.43103557330050885,0.5689644266994912,1390.1817301976944,1550.3294698023055
201411040MIA,1596.9768,1621.0573,1583.39892578125,1588.594482421875,0.6331462672414818,0.3668537327585183,0.6075505809745364,0.3924494190254636,1579.5150279921,1638.5190720079
201411040NOP,1453.1731,1503.4882,1443.2344970703125,1479.7572021484375,0.5903481228152407,0.4096518771847592,0.571018857940419,0.428981142059581,1461.8746125446248,1494.7866874553752
201411040NYK,1521.5439,1543.4327,1509.23046875,1521.7452392578125,0.6233062535886716,0.3766937464113283,0.6105546387852667,0.3894453612147332,1505.386475265357,1559.590124734643
201411040POR,1559.3123,1469.7677,1541.35595703125,1461.4207763671875,0.738036898560158,0.2619631014398421,0.7485900115827524,0.2514099884172476,1566.7295384334077,1462.3504615665925
201411040TOR,1558.7764,1586.2220000000002,1541.35595703125,1564.8912353515625,0.6082986609260531,0.39170133907394694,0.602922382929555,0.3970776170704449,1568.224815131069,1576.7735848689313
201411050BOS,1390.2681,1567.5104,1392.8441162109375,1544.10546875,0.42675966175633595,0.573240338243664,0.3906353308453048,0.6093646691546952,1386.4427290346775,1571.3357709653224
201411050BRK,1534.8898,1508.1306,1521.8670654296875,1479.7572021484375,0.6938222805422005,0.30617771945779954,0.6747360587779164,0.32526394122208346,1523.2886589471632,1519.7317410528367
201411050CHO,1495.4562,1578.0277,1479.845703125,1555.7252197265625,0.5346565054016086,0.46534349459839147,0.5250606107678356,0.4749393892321645,1504.0125126084088,1569.4713873915914
201411050DET,1371.0433,1504.0078,1366.1328125,1479.7572021484375,0.4804029712595437,0.5195970287404564,0.4527021129120644,0.5472978870879357,1377.8911863123587,1497.1599136876414
201411050GSW,1615.8838,1622.9879999999998,1602.24365234375,1593.0360107421875,0.6521832270630756,0.3478167729369243,0.6305905730375375,0.3694094269624625,1626.767485792118,1612.104314207882
201411050MIL,1338.9329,1564.4595,1345.433837890625,1543.4371337890625,0.36258723831285294,0.637412761687147,0.3268230795929068,0.6731769204070932,1333.5428919111712,1569.8495080888288
201411050PHI,1295.0255,1337.3835,1299.5556640625,1342.0936279296875,0.5819486810923625,0.41805131890763736,0.5822006914518085,0.4177993085481915,1289.583674265653,1342.825325734347
201411050PHO,1550.7885,1601.5613,1530.525146484375,1592.0816650390625,0.5550999329153933,0.44490006708460667,0.5703733430249949,0.4296266569750052,1538.717619597497,1613.632180402503
201411050SAC,1459.156,1463.2131,1441.7230224609375,1461.4207763671875,0.6135494357112434,0.3864505642887566,0.6346671258641046,0.3653328741358955,1471.9917534386295,1450.3773465613704
201411050SAS,1693.1268,1494.0365,1620.330322265625,1470.1146240234375,0.8085099817969297,0.19149001820307046,0.8483479561212746,0.15165204387872538,1694.390976076058,1492.772323923942
201411050UTA,1391.1675,1462.8657,1399.076904296875,1461.4207763671875,0.5539803227262075,0.4460196772737925,0.5406397144909835,0.4593602855090164,1395.876748983553,1458.1564510164471
201411050WAS,1560.9689,1499.0757,1541.35595703125,1478.3822021484375,0.7187262889492454,0.2812737110507547,0.717467116926398,0.28253288307360197,1563.5704086183841,1496.474191381616
201411060HOU,1640.0063,1694.3094,1601.224609375,1611.0401611328125,0.6269474463693191,0.373052553630681,0.5653865157640532,0.43461348423594676,1653.3165077784208,1680.9991922215793
201411060POR,1566.2142,1601.5667,1541.35595703125,1592.0816650390625,0.5704397700669299,0.42956022993307,0.5919761997974323,0.4080238002025678,1580.4467583970622,1587.3341416029377
201411070BOS,1386.1544,1496.6584,1394.8560791015625,1469.8282470703125,0.5359557735596705,0.4640442264403296,0.48488813282129783,0.5151118671787022,1392.4725291024372,1490.3402708975627
201411070BRK,1522.2559,1497.7227,1509.756103515625,1478.3822021484375,0.6805387905579618,0.3194612094420382,0.6719175574864074,0.32808244251359253,1529.3420935538627,1490.6365064461374
201411070CHO,1503.3374,1492.8539,1479.845703125,1466.7552490234375,0.6572359967634883,0.3427640032365117,0.6538473723191561,0.3461526276808439,1507.1756230859414,1489.0156769140585
201411070DEN,1451.3311,1458.5249,1443.5064697265625,1451.192138671875,0.6298105145936166,0.3701894854063834,0.6304704162250988,0.3695295837749012,1439.1275488895851,1470.7284511104149
201411070DET,1377.3285,1333.151,1395.4613037109375,1345.9464111328125,0.7028020602290195,0.2971979397709806,0.6963448661469025,0.3036551338530976,1380.6078406204444,1329.8716593795557
