2015,2016,2017,2018,2019,2020,2021,2022,2023
201410280LAL,201510270ATL,201610250CLE,201710170CLE,201810160BOS,201910220LAC,202012220BRK,202110190LAL,202210180BOS
201410280NOP,201510270CHI,201610250GSW,201710170GSW,201810160GSW,201910220TOR,202012220LAL,202110190MIL,202210180GSW
201410280SAS,201510270GSW,201610250POR,201710180BOS,201810170CHO,201910230BRK,202012230BOS,202110200CHO,202210190DET
201410290BOS,201510280BOS,201610260BOS,201710180DAL,201810170DET,201910230CHO,202012230CHI,202110200DET,202210190IND
201410290CHO,201510280BRK,201610260IND,201710180DET,201810170HOU,201910230DAL,202012230CLE,202110200MEM,202210190ATL
201410290DEN,201510280DET,201610260LAL,201710180IND,201810170IND,201910230IND,202012230DEN,202110200MIN,202210190BRK
201410290IND,201510280HOU,201610260MEM,201710180MEM,201810170LAC,201910230MIA,202012230IND,202110200NOP,202210190MEM
201410290MEM,201510280LAL,201610260MIL,201710180ORL,201810170NYK,201910230ORL,202012230MEM,202110200NYK,202210190MIA
201410290MIA,201510280MEM,201610260NOP,201710180PHO,201810170ORL,201910230PHI,202012230MIN,202110200PHO,202210190TOR
201410290NYK,201510280MIA,201610260ORL,201710180SAC,201810170PHO,201910230PHO,202012230ORL,202110200POR,202210190MIN
201410290PHO,201510280MIL,201610260PHI,201710180SAS,201810170SAC,201910230POR,202012230PHI,202110200SAS,202210190SAS
201410290POR,201510280OKC,201610260PHO,201710180UTA,201810170SAS,201910230SAS,202012230PHO,202110200TOR,202210190UTA
201410290SAC,201510280ORL,201610260TOR,201710180WAS,201810170TOR,201910230UTA,202012230POR,202110200UTA,202210190PHO
201410290TOR,201510280PHO,201610270ATL,201710190LAL,201810180PHI,201910240DET,202012230TOR,202110210ATL,202210190SAC
201410290UTA,201510280POR,201610270CHI,201710190OKC,201810180POR,201910240GSW,202012250BOS,202110210GSW,202210200PHI
201410300CLE,201510280SAC,201610270POR,201710190TOR,201810180WAS,201910240HOU,202012250DEN,202110210MIA,202210200LAL
201410300DAL,201510280TOR,201610270SAC,201710200BRK,201810190BRK,201910250BOS,202012250LAL,202110220BOS,202210210CHO
201410300LAC,201510290IND,201610280BRK,201710200CHO,201810190LAC,201910250BRK,202012250MIA,202110220CHI,202210210IND
201410300MIN,201510290LAC,201610280DAL,201710200DAL,201810190MEM,201910250CHO,202012250MIL,202110220CLE,202210210WAS
201410300ORL,201510290NYK,201610280DET,201710200IND,201810190MIL,201910250DEN,202012260CHI,202110220DEN,202210210ATL
201410310CHI,201510300ATL,201610280MIA,201710200MIL,201810190MIN,201910250LAL,202012260CHO,202110220HOU,202210210BRK
201410310IND,201510300BOS,201610280NOP,201710200MIN,201810190NOP,201910250MEM,202012260DET,202110220LAL,202210210MIA
201410310LAL,201510300CLE,201610280OKC,201710200NOP,201810190ORL,201910250NOP,202012260MEM,202110220ORL,202210210NYK
201410310MIL,201510300DEN,201610280TOR,201710200PHI,201810190TOR,201910250OKC,202012260NYK,202110220PHI,202210210HOU
201410310PHO,201510300DET,201610280UTA,201710200PHO,201810190UTA,201910250SAC,202012260POR,202110220SAC,202210210MIN
201410310SAC,201510300HOU,201610290CHI,201710200WAS,201810200CHI,201910260ATL,202012260SAC,202110220WAS,202210210GSW
201411010ATL,201510300MIL,201610290CHO,201710210CHI,201810200DAL,201910260CHI,202012260SAS,202110230CHI,202210210POR
201411010CHO,201510300ORL,201610290CLE,201710210CLE,201810200DEN,201910260CLE,202012260UTA,202110230CLE,202210220PHI
201411010DET,201510300PHI,201610290DEN,201710210DEN,201810200IND,201910260DET,202012260WAS,202110230IND,202210220IND
201411010GSW,201510300PHO,201610290MIL,201710210HOU,201810200LAL,201910260HOU,202012270CHI,202110230LAC,202210220ORL
201411010HOU,201510300SAC,201610290NYK,201710210LAC,201810200MIA,201910260MIL,202012270CHO,202110230MIN,202210220CHI
201411010MIN,201510300SAS,201610290PHI,201710210MEM,201810200NYK,201910260NYK,202012270CLE,202110230POR,202210220MIA
