,gameid,ref,att
0,201710170CLE,"['Brian Forte', 'Monty McCutchen', 'Michael Smith']",20562
1,201710170GSW,"['Scott Foster', 'Ron Garretson', 'Tre Maddox']",19596
2,201710180BOS,"['Jason Goldenberg', 'Mark Lindsay', 'Tom Washington']",18624
3,201710180DAL,"['Ken Mauer', 'Leroy Richardson', 'Josh Tiven']",19709
4,201710180DET,"['Matt Boland', 'Marc Davis', 'J.B. DeRosa']",20491
5,201710180IND,"['Tony Brothers', 'Derrick Collins', 'Kevin Cutler']",15008
6,201710180MEM,"['Sean Corbin', 'Scott Twardoski', 'Gary Zielinski']",17794
7,201710180ORL,"['Lauren Holtkamp-Sterling', 'Karl Lane', 'Ed Malloy']",18846
8,201710180PHO,"['Rodney Mott', 'J.T. Orr', 'James Williams']",18055
9,201710180SAC,"['Derek Richardson', 'Kevin Scott', 'Bill Spooner']",17583
10,201710180SAS,"['Pat Fraher', 'Derrick Stafford', 'Scott Wall']",18418
11,201710180UTA,"['Scott Foster', 'Jonathan Sterling', 'Leon Wood']",17588
12,201710180WAS,"['David Guthrie', 'Dedric Taylor', 'Zach Zarba']",20356
13,201710190LAL,"['Mike Callahan', 'J.T. Orr', 'James Williams']",18997
14,201710190OKC,"['Nick Buchert', 'James Capers Jr.', 'Tyler Ford']",18203
15,201710190TOR,"['Brent Barnaky', 'Courtney Kirkland', 'Dedric Taylor']",19800
16,201710200BRK,"['Ray Acosta', 'John Goble', 'Ben Taylor']",16144
17,201710200CHO,"['Eric Lewis', 'Monty McCutchen', 'C.J. Washington']",18417
18,201710200DAL,"['Bill Kennedy', 'Michael Smith', 'Scott Twardoski']",19273
19,201710200IND,"['Tony Brown', 'Haywoode Workman', 'Gary Zielinski']",15325
20,201710200MIL,"['Marc Davis', 'Gediminas Petraitis', 'Josh Tiven']",18717
21,201710200MIN,"['Jacyn Goble', 'David Guthrie', 'Leroy Richardson']",18978
22,201710200NOP,"['Karl Lane', 'Ed Malloy', 'Aaron Smith']",18171
23,201710200PHI,"['Kane Fitzgerald', 'Lauren Holtkamp-Sterling', 'Marat Kogut']",20816
24,201710200PHO,"['Scott Foster', 'Kevin Scott', 'Jonathan Sterling']",18055
25,201710200WAS,"['Curtis Blair', 'Sean Corbin', 'Kevin Cutler']",16337
26,201710210CHI,"['Tony Brothers', 'Tyler Ford', 'Leon Wood']",21640
27,201710210CLE,"['Derrick Collins', 'Kevin Cutler', 'Pat Fraher']",20562
28,201710210DEN,"['Mark Ayotte', 'Mike Callahan', 'Phenizee Ransom']",19520
29,201710210HOU,"['Matt Boland', 'James Capers Jr.', 'C.J. Washington']",18055
30,201710210LAC,"['Bennie Adams', 'Nick Buchert', 'Brett Nansel']",19068
