gameid,ref,att
202012220BRK,"['Nick Buchert', 'Scott Twardoski', 'Zach Zarba']",0
202012220LAL,"['Eric Dalen', 'Kane Fitzgerald', 'Michael Smith']",0
202012230BOS,"['Nick Buchert', 'Jason Goldenberg', 'Josh Tiven']",0
202012230CHI,"['Marc Davis', 'Simone Jelks', 'Marat Kogut']",0
202012230CLE,"['J.B. DeRosa', 'David Guthrie', 'Andy Nagy']",300
202012230DEN,"['Tony Brown', 'John Butler', 'Derrick Collins']",0
202012230IND,"['Curtis Blair', 'Natalie Sago', 'Scott Twardoski']",0
202012230MEM,"['James Capers Jr.', 'Jacyn Goble', 'Robert Hussey']",0
202012230MIN,"['Mark Ayotte', 'Tyler Ford', 'Justin Van Duyne']",0
202012230ORL,"['Eric Lewis', 'Brandon Schwab', 'Scott Wall']",3396
202012230PHI,"['Mitchell Ervin', 'Evan Scott', 'James Williams']",0
202012230PHO,"['Eric Dalen', 'Kane Fitzgerald', 'Michael Smith']",0
202012230POR,"['Mousa Dagher', 'Ken Mauer', 'Bill Spooner']",0
202012230TOR,"['Brent Barnaky', 'John Goble', 'Dannica Mosher']",3800
202012250BOS,"['Curtis Blair', 'Mitchell Ervin', 'Josh Tiven']",0
202012250DEN,"['Derrick Collins', 'Kane Fitzgerald', 'Justin Van Duyne']",0
202012250LAL,"['Brandon Adair', 'Kevin Cutler', 'Scott Foster']",0
202012250MIA,"['Brent Barnaky', 'John Goble', 'James Williams']",0
202012250MIL,"['Mark Ayotte', 'Marc Davis', 'J.T. Orr']",0
202012260CHI,"['Tony Brothers', 'Andy Nagy', 'Dedric Taylor']",0
202012260CHO,"['David Guthrie', 'Dannica Mosher', 'Gediminas Petraitis']",0
202012260DET,"['Brian Forte', 'Courtney Kirkland', 'Ashley Moyer-Gleich']",0
202012260MEM,"['James Capers Jr.', 'Robert Hussey', 'Michael Smith']",0
202012260NYK,"['John Conley', 'Scott Wall', 'Zach Zarba']",0
202012260POR,"['John Butler', 'Ken Mauer', 'Bill Spooner']",0
202012260SAC,"['Nick Buchert', 'Bill Kennedy', 'Derek Richardson']",0
202012260SAS,"['Marat Kogut', 'Eric Lewis', 'C.J. Washington']",0
202012260UTA,"['Tony Brown', 'Matt Myers', 'Leon Wood']",1932
202012260WAS,"['Rodney Mott', 'Evan Scott', 'Ben Taylor']",0
202012270CHI,"['Tony Brothers', 'Suyash Mehta', 'Dedric Taylor']",0
202012270CHO,"['Jason Goldenberg', 'J.T. Orr', 'Sean Wright']",0
202012270CLE,"['Ed Malloy', 'Natalie Sago', 'Scott Twardoski']",300
