,gameState,gameState,gameState,gameState,gameState,home,home,home,home,home,home,home,home,home,home,home,away,away,away,away,away,away,away,away,away,away,away,gameState,home,away,home,away
teamData,winner,teamHome,teamAway,timeOfDay,location,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,rivalry,salary,salary,avgSalary,avgSalary
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201510270ATL,DET,ATL,DET,8:00p,"Philips Arena, Atlanta, Georgia",25,18,23,28,[],94,0,,"['millspa01', 'teaguje01', 'horfoal01', 'korveky01', 'bazemke01', 'schrode01', 'sefolth01', 'pattela01', 'splitti01', 'muscami01', 'scottmi01', 'macksh01', 'holidju01']","[0, 0]",0,25,23,34,24,[],106,0,,"['drumman01', 'morrima03', 'caldwke01', 'ilyaser01', 'jacksre01', 'johnsst04', 'blakest01', 'meeksjo01', 'baynear01', 'hillida01', 'dinwisp01', 'bullore01', 'anthojo01']","[0, 0]",0,conference,964801050,681872982,74215465.38461539,52451767.84615385
201510270CHI,CHI,CHI,CLE,8:00p,"United Center, Chicago, Illinois",26,20,25,26,[],97,0,,"['butleji01', 'rosede01', 'gasolpa01', 'snellto01', 'mirotni01', 'gibsota01', 'noahjo01', 'mcderdo01', 'brookaa01', 'mooreet01', 'portibo01', 'hinriki01', 'bairsca01']","[0, 0]",0,17,23,28,27,[],95,0,,"['willima01', 'jamesle01', 'loveke01', 'smithjr01', 'mozgoti01', 'thomptr01', 'dellama01', 'jefferi01', 'varejan01', 'jonesja02', 'cunnija01', 'kaunsa01', 'harrijo01']","[0, 0]",0,division,1091044444,1315128624,83926495.6923077,101163740.3076923
201510270GSW,GSW,GSW,NOP,10:30p,"Oracle Arena, Oakland, California",39,20,35,17,[],111,0,,"['curryst01', 'barneha02', 'greendr01', 'thompkl01', 'bogutan01', 'iguodan01', 'livinsh01', 'barbole01', 'ezelife01', 'speigma01', 'mcadoja01', 'rushbr01', 'thompja02']","[0, 0]",0,35,14,26,20,[],95,0,,"['davisan02', 'gordoer01', 'cunnida01', 'robinna01', 'perkike01', 'smithis01', 'anderry01', 'geeal01', 'ajincal01', 'holidjr01', 'babbilu01', 'asikom01']","[0, 0]",0,conference,1233875086,909295310,94913468.15384616,75774609.16666667
201510280BOS,BOS,BOS,PHI,7:30p,"TD Garden, Boston, Massachusetts",21,30,28,33,[],112,0,,"['bradlav01', 'smartma01', 'crowdja01', 'leeda02', 'zellety01', 'thomais02', 'turneev01', 'sullija01', 'johnsam01', 'jerebjo01', 'mickejo01', 'roziete01', 'olynyke01']","[0, 0]",0,26,14,27,28,[],95,0,,"['okafoja01', 'canaais01', 'thompho01', 'noelne01', 'sampsja02', 'mccontj01', 'grantje01', 'holmeri01', 'woodch01', 'stausni01', 'covinro01', 'marshke01']","[0, 0]",0,division,697149458,295991731,53626881.384615384,24665977.583333332
201510280BRK,CHI,BRK,CHI,7:30p,"Barclays Center, Brooklyn, New York",19,36,16,29,[],100,0,,"['lopezbr01', 'johnsjo02', 'youngth01', 'larkish01', 'ellinwa01', 'bogdabo02', 'holliro01', 'bargnan01', 'sloando01', 'robinth01', 'brownma02', 'karasse01', 'jackja01']","[0, 0]",0,30,28,28,29,[],115,1,1.0,"['butleji01', 'gasolpa01', 'mirotni01', 'rosede01', 'snellto01', 'mcderdo01', 'gibsota01', 'noahjo01', 'mooreet01', 'brookaa01', 'hinriki01', 'portibo01', 'bairsca01']","[1, 0]",0,conference,808336065,1091044444,62179697.307692304,83926495.6923077
201510280DET,DET,DET,UTA,7:30p,"The Palace of Auburn Hills, Auburn Hills, Michigan",16,25,28,23,[],92,1,1.0,"['drumman01', 'caldwke01', 'morrima03', 'jacksre01', 'ilyaser01', 'johnsst04', 'tollian01', 'blakest01', 'baynear01', 'bullore01', 'meeksjo01', 'dinwisp01', 'anthojo01']","[1, 0]",0,15,29,20,23,[],87,0,,"['goberru01', 'haywago01', 'favorde01', 'hoodro01', 'netora01', 'burksal01', 'inglejo01', 'burketr01', 'millsel01', 'lylestr01', 'pleisti01', 'booketr01', 'johnsch04']","[0, 0]",0,none,715671367,731070063,55051643.615384616,56236158.692307696
201510280HOU,DEN,HOU,DEN,8:00p,"Toyota Center, Houston, Texas",21,28,14,22,[],85,0,,"['lawsoty01', 'hardeja01', 'arizatr01', 'joneste01', 'capelca01', 'breweco01', 'beverpa01', 'harremo01', 'terryja01', 'dekkesa01', 'mcdankj01', 'thornma01', 'howardw01']","[0, 0]",0,27,26,23,29,[],105,0,,"['mudiaem01', 'gallida01', 'farieke01', 'harriga01', 'lauvejo01', 'nelsoja01', 'bartowi01', 'foyera01', 'arthuda01', 'jokicni01', 'greener01', 'millemi01', 'hicksjj01']","[0, 0]",0,conference,1072073784,786917468,82467214.15384616,60532112.92307692
201510280LAL,MIN,LAL,MIN,10:30p,"STAPLES Center, Los Angeles, California",31,29,35,16,[],111,0,,"['randlju01', 'clarkjo01', 'bryanko01', 'hibbero01', 'russeda01', 'willilo02', 'kellyry01', 'youngni01', 'bassbr01', 'huertma01', 'sacrero01', 'brownan02', 'blackta01']","[0, 0]",0,22,29,37,24,[],112,0,,"['rubiori01', 'townska01', 'wiggian01', 'princta01', 'garneke01', 'martike02', 'bjeline01', 'dienggo01', 'lavinza01', 'muhamsh01', 'rudezda01', 'paynead01', 'millean02']","[0, 0]",0,conference,849104357,1197807854,65315719.76923077,92139065.6923077
