,gameState,gameState,gameState,gameState,gameState,home,home,home,home,home,home,home,home,home,home,home,away,away,away,away,away,away,away,away,away,away,away,gameState
teamData,winner,teamHome,teamAway,timeOfDay,location,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,rivalry
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201710170CLE,CLE,CLE,BOS,8:01p,"Quicken Loans Arena, Cleveland, Ohio",29,25,18,30,[],102,0,,"['jamesle01', 'crowdja01', 'rosede01', 'wadedw01', 'loveke01', 'smithjr01', 'thomptr01', 'greenje02', 'shumpim01', 'korveky01', 'caldejo01', 'fryech01', 'osmande01']","[0, 0]",0,19,19,33,28,[],99,0,,"['brownja02', 'irvinky01', 'tatumja01', 'horfoal01', 'haywago01', 'smartma01', 'roziete01', 'baynear01', 'ojelese01', 'larkish01', 'naderab01', 'theisda01']","[0, 0]",0,conference
201710170GSW,HOU,GSW,HOU,10:30p,"Oracle Arena, Oakland, California",35,36,30,20,[],121,0,,"['thompkl01', 'duranke01', 'curryst01', 'greendr01', 'pachuza01', 'youngni01', 'mccawpa01', 'livinsh01', 'belljo01', 'westda01', 'looneke01', 'casspom01', 'mcgeeja01']","[0, 0]",0,34,28,26,34,[],122,0,,"['arizatr01', 'hardeja01', 'anderry01', 'paulch01', 'capelca01', 'gordoer01', 'tuckepj01', 'mbahalu01', 'blackta01', 'brownbo02', 'jacksde01', 'hilarne01', 'qizh01']","[0, 0]",0,conference
201710180BOS,MIL,BOS,MIL,7:30p,"TD Garden, Boston, Massachusetts",26,27,27,20,[],100,-1,1.0,"['irvinky01', 'tatumja01', 'horfoal01', 'smartma01', 'brownja02', 'roziete01', 'baynear01', 'ojelese01', 'naderab01', 'theisda01', 'birdja01', 'larkish01', 'yabusgu01']","[0, 1]",0,24,34,18,32,[],108,0,,"['middlkh01', 'brogdma01', 'antetgi01', 'snellto01', 'makerth01', 'dellama01', 'hensojo01', 'monrogr01', 'teletmi01', 'vaughra01', 'brownst02', 'terryja01', 'wilsodj01']","[0, 0]",0,conference
201710180DAL,ATL,DAL,ATL,8:30p,"American Airlines Center, Dallas, Texas",24,23,35,29,[],111,0,,"['barneha02', 'matthwe02', 'ferreyo01', 'smithde03', 'nowitdi01', 'noelne01', 'bareajo01', 'harride01', 'poweldw01', 'finnedo01', 'klebima01', 'mejrisa01', 'witheje01']","[0, 0]",0,27,31,24,35,[],117,0,,"['schrode01', 'bazemke01', 'princta02', 'dedmode01', 'ilyaser01', 'belinma01', 'collijo01', 'bembrde01', 'muscami01', 'delanma01', 'babbilu01', 'magetjo01', 'dorsety01']","[0, 0]",0,none
201710180DET,DET,DET,CHO,7:00p,"Little Caesars Arena, Detroit, Michigan",29,27,26,20,[],102,0,,"['johnsst04', 'harrito02', 'jacksre01', 'bradlav01', 'drumman01', 'gallola01', 'smithis01', 'leuerjo01', 'ellenhe01', 'moreler01', 'bullore01', 'kennalu01', 'marjabo01']","[0, 0]",0,27,18,25,20,[],90,0,,"['walkeke02', 'howardw01', 'lambje01', 'willima02', 'bacondw01', 'zelleco01', 'kaminfr01', 'monkma01', 'grahatr01', 'stoneju01', 'cartemi01', 'kiddgmi01', 'obryajo01']","[0, 0]",0,conference
201710180IND,IND,IND,BRK,7:00p,"Bankers Life Fieldhouse, Indianapolis, Indiana",29,36,41,34,[],140,0,,"['turnemy01', 'youngth01', 'collida01', 'bogdabo02', 'oladivi01', 'josepco01', 'stephla01', 'sabondo01', 'wilkida02', 'leaftj01', 'anigbik01', 'jeffeal01', 'youngjo01']","[0, 0]",0,30,33,35,33,[],131,0,,"['russeda01', 'holliro01', 'carrode01', 'linje01', 'mozgoti01', 'booketr01', 'leverca01', 'crabbal01', 'dinwisp01', 'acyqu01', 'allenja01', 'harrijo01', 'kilpase01']","[0, 0]",0,conference
201710180MEM,MEM,MEM,NOP,8:00p,"FedEx Forum, Memphis, Tennessee",27,27,25,24,[],103,0,,"['conlemi01', 'gasolma01', 'harrian01', 'ennisja01', 'greenja01', 'brookdi01', 'wrighbr03', 'chalmma01', 'evansty01', 'martija01', 'parsoch01', 'davisde01', 'rabbiv01']","[0, 0]",0,34,18,18,21,[],91,0,,"['davisan02', 'holidjr01', 'couside01', 'mooreet01', 'cunnida01', 'clarkia01', 'milleda01', 'crawfjo02', 'allento01', 'diallch01', 'cookech01', 'jonesja04']","[0, 0]",0,division
201710180ORL,ORL,ORL,MIA,7:00p,"Amway Center, Orlando, Florida",32,26,30,28,[],116,0,,"['fournev01', 'gordoaa01', 'paytoel01', 'vucevni01', 'rosste01', 'simmojo02', 'isaacjo01', 'augusdj01', 'biyombi01', 'afflaar01', 'hezonma01', 'macksh01', 'speigma01']","[0, 0]",0,37,18,23,31,[],109,0,,"['waitedi01', 'whiteha01', 'richajo01', 'dragigo01', 'olynyke01', 'winslju01', 'johnsty01', 'johnsja01', 'ellinwa01', 'adebaba01', 'hasleud01', 'mickejo01', 'willima05']","[0, 0]",0,division
