,gameState,gameState,gameState,gameState,home,home,home,home,home,home,home,home,home,home,home,away,away,away,away,away,away,away,away,away,away,away,gameState,home,away,home,away,home,away,gameState,gameState
teamData,winner,teamHome,teamAway,location,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,rivalry,salary,salary,avgSalary,avgSalary,numberOfGamesPlayed,numberOfGamesPlayed,datetime,endtime
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201810160BOS,BOS,BOS,PHI,"TD Garden, Boston, Massachusetts",21,26,30,28,[],105,0,,"['horfoal01', 'irvinky01', 'tatumja01', 'brownja02', 'haywago01', 'roziete01', 'smartma01', 'morrima03', 'baynear01', 'theisda01', 'ojelese01', 'yabusgu01', 'wanambr01']","[0, 0]",0,21,21,24,21,[],87,0,,"['simmobe01', 'embiijo01', 'covinro01', 'fultzma01', 'saricda01', 'redicjj01', 'mccontj01', 'shamela01', 'johnsam01', 'boldejo01', 'korkmfu01', 'jacksde01', 'miltosh01']","[0, 0]",0,division,1060327483.0,620993962.0,81563652.53846154,47768766.307692304,0,0,2018-10-16 20:00:00,2018-10-16 22:00:00
201810160GSW,GSW,GSW,OKC,"Oracle Arena, Oakland, California",31,26,26,25,[],108,0,,"['duranke01', 'curryst01', 'thompkl01', 'greendr01', 'jonesda03', 'looneke01', 'livinsh01', 'cookqu01', 'iguodan01', 'belljo01', 'jerebjo01', 'mckinal01', 'evansja02']","[0, 0]",0,23,24,32,21,[],100,0,,"['georgpa01', 'adamsst01', 'schrode01', 'fergute01', 'pattepa01', 'grantje01', 'abrinal01', 'feltora01', 'noelne01', 'diallha01', 'luwawti01', 'burtode02', 'naderab01']","[0, 0]",0,conference,1217765120.0,674515946.0,93674240.0,51885842.0,0,0,2018-10-16 22:30:00,2018-10-17 00:30:00
201810170CHO,MIL,CHO,MIL,"Spectrum Center, Charlotte, North Carolina",23,31,29,29,[],112,0,,"['walkeke02', 'batumni01', 'willima02', 'zelleco01', 'lambje01', 'monkma01', 'kiddgmi01', 'parketo01', 'bridgmi02', 'hernawi01', 'kaminfr01', 'biyombi01', 'bacondw01']","[0, 0]",0,36,31,26,20,[],113,0,,"['brogdma01', 'antetgi01', 'bledser01', 'middlkh01', 'lopezbr01', 'ilyaser01', 'divindo01', 'hensojo01', 'snellto01', 'woodch01', 'brownst02', 'connapa01', 'dellama01']","[0, 0]",0,conference,989081344.0,945506527.0,76083180.3076923,72731271.3076923,0,0,2018-10-17 19:00:00,2018-10-17 21:00:00
201810170DET,DET,DET,BRK,"Little Caesars Arena, Detroit, Michigan",24,27,32,20,[],103,0,,"['jacksre01', 'griffbl01', 'drumman01', 'kennalu01', 'brownbr01', 'gallola01', 'smithis01', 'robingl02', 'pachuza01', 'loftoza01', 'ellenhe01', 'bullore01', 'leuerjo01', 'caldejo01', 'johnsst04']","[0, 0]",0,29,22,25,24,[],100,0,,"['harrijo01', 'dudleja01', 'leverca01', 'allenja01', 'russeda01', 'dinwisp01', 'davised01', 'grahatr01', 'kurucro01', 'pinsoth01', 'farieke01', 'musadz01']","[0, 0]",0,conference,859856932.0,461524037.0,57323795.46666667,38460336.41666666,0,0,2018-10-17 19:00:00,2018-10-17 21:00:00
201810170HOU,NOP,HOU,NOP,"Toyota Center, Houston, Texas",29,25,30,28,[],112,0,,"['hardeja01', 'tuckepj01', 'paulch01', 'capelca01', 'ennisja01', 'gordoer01', 'anthoca01', 'cartemi01', 'greenge01', 'clarkga01', 'harteis01']","[0, 0]",0,35,36,30,30,[],131,0,,"['davisan02', 'holidjr01', 'paytoel01', 'mooreet01', 'mirotni01', 'randlju01', 'milleda01', 'hillso01', 'diallch01', 'jacksfr01', 'okafoja01', 'willike04', 'clarkia01']","[0, 0]",0,division,1227019146.0,687586090.0,111547195.0909091,52891237.692307696,0,0,2018-10-17 20:00:00,2018-10-17 22:00:00
201810170IND,IND,IND,MEM,"Bankers Life Fieldhouse, Indianapolis, Indiana",27,29,20,35,[],111,0,,"['youngth01', 'bogdabo02', 'oladivi01', 'collida01', 'turnemy01', 'sabondo01', 'josepco01', 'mcderdo01', 'evansty01', 'holidaa01', 'oquinky01', 'sumneed01', 'leaftj01']","[0, 0]",0,16,23,19,25,[],83,0,,"['gasolma01', 'conlemi01', 'greenja01', 'templga01', 'parsoch01', 'macksh01', 'jacksja02', 'brookma01', 'anderky01', 'brookdi01', 'seldewa01', 'casspom01', 'rabbiv01']","[0, 0]",0,none,724390430.0,770283064.0,55722340.76923077,59252543.38461538,0,0,2018-10-17 19:00:00,2018-10-17 21:00:00
201810170LAC,DEN,LAC,DEN,"STAPLES Center, Los Angeles, California",24,30,18,26,[],98,0,,"['harrito02', 'gallida01', 'bradlav01', 'beverpa01', 'gortama01', 'gilgesh01', 'willilo02', 'marjabo01', 'harremo01', 'mbahalu01', 'scottmi01', 'wallaty01', 'robinje01']","[0, 0]",0,29,30,15,33,[],107,0,,"['bartowi01', 'harriga01', 'jokicni01', 'murraja01', 'millspa01', 'lylestr01', 'morrimo01', 'hernaju01', 'plumlma01', 'beaslma01', 'welshth01', 'lydonty01', 'craigto01']","[0, 0]",0,conference,819158390.0,702403332.0,63012183.84615385,54031025.538461536,0,0,2018-10-17 22:30:00,2018-10-18 00:30:00
201810170NYK,NYK,NYK,ATL,"Madison Square Garden (IV), New York, New York",23,49,34,20,[],126,0,,"['ntilila01', 'hardati02', 'kanteen01', 'burketr01', 'thomala01', 'bakerro01', 'trieral01', 'knoxke01', 'hezonma01', 'vonleno01', 'robinmi01', 'dotsoda01', 'leeco01']","[0, 0]",0,24,25,35,23,[],107,0,,"['youngtr01', 'princta02', 'bazemke01', 'cartevi01', 'lenal01', 'bembrde01', 'poythal01', 'dorsety01', 'linje01', 'plumlmi01', 'spellom01', 'huertke01', 'adamsja01']","[0, 0]",0,conference,430188100.0,503849458.0,33091392.307692308,38757650.615384616,0,0,2018-10-17 19:30:00,2018-10-17 21:30:00
