,gameState,gameState,gameState,gameState,gameState,home,home,home,home,home,home,home,home,home,home,home,away,away,away,away,away,away,away,away,away,away,away,gameState,home,away,home,away,home,away
teamData,winner,teamHome,teamAway,timeOfDay,location,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,rivalry,salary,salary,avgSalary,avgSalary,numberOfGamesPlayed,numberOfGamesPlayed
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201910220LAC,LAC,LAC,LAL,10:30p,"STAPLES Center, Los Angeles, California",22,40,23,27,[],112,0,,"['leonaka01', 'beverpa01', 'shamela01', 'pattepa01', 'zubaciv01', 'harremo01', 'willilo02', 'harklma01', 'greenja01', 'motlejo01', 'mannte01', 'kabenmf01', 'robinje01']","[0, 0]",0,25,29,31,17,[],102,0,,"['davisan02', 'jamesle01', 'greenda02', 'bradlav01', 'mcgeeja01', 'caldwke01', 'howardw01', 'cookqu01', 'danietr01', 'dudleja01', 'antetko01', 'norveza01', 'carusal01']","[0, 0]",0,division,572668047.0,1229126195.0,44051388.23076923,94548168.84615384,0,0
201910220TOR,TOR,TOR,NOP,8:00p,"Scotiabank Arena, Toronto, Canada",27,29,32,29,[],130,0,,"['lowryky01', 'vanvlfr01', 'siakapa01', 'anunoog01', 'gasolma01', 'powelno01', 'ibakase01', 'daviste02', 'hernade01', 'millema01', 'johnsst04', 'bouchch01', 'thomama02']","[0, 0]",0,30,31,25,31,[],122,0,,"['holidjr01', 'ingrabr01', 'redicjj01', 'balllo01', 'favorde01', 'hartjo01', 'mellini01', 'willike04', 'jacksfr01', 'okafoja01', 'mooreet01', 'alexani01', 'hayesja02']","[0, 0]",0,none,796304419.0,683148923.0,61254186.07692308,52549917.15384615,0,0
201910230BRK,MIN,BRK,MIN,7:30p,"Barclays Center, Brooklyn, New York",22,34,37,22,[],126,0,,"['princta02', 'harrijo01', 'irvinky01', 'leverca01', 'allenja01', 'dinwisp01', 'templga01', 'jordade01', 'nwabada01', 'kurucro01', 'chandwi01', 'pinsoth01', 'musadz01']","[0, 0]",0,33,35,20,27,[],127,0,,"['townska01', 'wiggian01', 'grahatr01', 'teaguje01', 'covinro01', 'laymaja01', 'napiesh01', 'culveja01', 'okogijo01', 'vonleno01', 'dienggo01', 'belljo01', 'martike03']","[0, 0]",0,none,703414865.0,573166701.0,54108835.76923077,44089746.23076923,0,0
201910230CHO,CHO,CHO,CHI,7:00p,"Spectrum Center, Charlotte, North Carolina",37,26,33,30,[],126,0,,"['washipj01', 'zelleco01', 'bacondw01', 'bridgmi02', 'roziete01', 'grahade01', 'willima02', 'monkma01', 'batumni01', 'biyombi01', 'martica02', 'kiddgmi01', 'hernawi01']","[0, 0]",0,28,27,40,30,[],125,0,,"['markkla01', 'lavinza01', 'cartewe01', 'porteot01', 'satorto01', 'whiteco01', 'youngth01', 'dunnkr01', 'arcidry01', 'kornelu01', 'harrish01', 'gaffoda01', 'valende01']","[0, 0]",0,conference,673315150.0,532303649.0,51793473.07692308,40946434.538461536,0,0
201910230DAL,DAL,DAL,WAS,8:30p,"American Airlines Center, Dallas, Texas",24,38,29,17,[],108,0,,"['doncilu01', 'porzikr01', 'klebima01', 'wrighde01', 'leeco01', 'finnedo01', 'brunsja01', 'hardati02', 'curryse01', 'jacksju01', 'robyis01', 'marjabo01', 'bareajo01']","[0, 0]",0,25,23,20,32,[],100,0,,"['bealbr01', 'bryanth01', 'hachiru01', 'smithis01', 'bongais01', 'bertada01', 'mcraejo01', 'chiozch01', 'wagnemo01', 'schofad01', 'mathega01', 'robinju01', 'thomais02']","[0, 0]",0,none,521664780.0,363304152.0,40128060.0,27946473.230769232,0,0
201910230IND,DET,IND,DET,7:00p,"Bankers Life Fieldhouse, Indianapolis, Indiana",24,31,31,24,[],110,0,,"['turnemy01', 'brogdma01', 'sabondo01', 'warretj01', 'lambje01', 'sumneed01', 'holidju01', 'mccontj01', 'mcderdo01', 'holidaa01', 'leaftj01', 'sampsja02', 'bitadgo01']","[0, 0]",0,27,27,29,36,[],119,0,,"['drumman01', 'snellto01', 'brownbr01', 'morrima02', 'jacksre01', 'kennalu01', 'rosede01', 'gallola01', 'makerth01', 'woodch01', 'fraziti01', 'thomakh01', 'mykhasv01']","[0, 0]",0,division,433729027.0,619054879.0,33363771.307692308,47619606.07692308,0,0
201910230MIA,MIA,MIA,MEM,7:30p,"AmericanAirlines Arena, Miami, Florida",24,30,29,37,[],120,0,,"['winslju01', 'herroty01', 'nunnke01', 'adebaba01', 'leoname01', 'dragigo01', 'robindu01', 'olynyke01', 'jonesde02', 'silvach01', 'maconda01', 'okpalkz01', 'butleji01']","[0, 0]",0,32,28,24,17,[],101,0,,"['crowdja01', 'jacksja02', 'moranja01', 'brookdi01', 'valanjo01', 'gudurma01', 'jonesty01', 'clarkbr01', 'anderky01', 'allengr01', 'cabocbr01', 'meltode01', 'hillso01']","[0, 0]",0,none,613487516.0,431016857.0,47191347.38461538,33155142.846153848,0,0
201910230ORL,ORL,ORL,CLE,7:00p,"Amway Center, Orlando, Florida",28,27,16,23,[],94,0,,"['vucevni01', 'gordoaa01', 'fournev01', 'augusdj01', 'isaacjo01', 'aminual01', 'fultzma01', 'rosste01', 'cartemi01', 'bambamo01', 'frazime01', 'iwundwe01', 'birchkh01']","[0, 0]",0,24,17,24,20,[],85,0,,"['loveke01', 'thomptr01', 'garlada01', 'sextoco01', 'osmande01', 'nancela02', 'clarkjo01', 'dellama01', 'porteke02', 'wadede01', 'cookty01', 'knighbr03']","[0, 0]",0,conference,719679147.0,669830728.0,55359934.38461538,55819227.333333336,0,0
201910230PHI,PHI,PHI,BOS,7:30p,"Wells Fargo Center, Philadelphia, Pennsylvania",20,29,28,30,[],107,0,,"['harrito02', 'simmobe01', 'richajo01', 'horfoal01', 'embiijo01', 'thybuma01', 'korkmfu01', 'ennisja01', 'scottmi01', 'oquinky01', 'miltosh01', 'netora01', 'burketr01']","[0, 0]",0,25,23,20,25,[],93,0,,"['tatumja01', 'haywago01', 'walkeke02', 'kanteen01', 'brownja02', 'smartma01', 'edwarca01', 'williro04', 'theisda01', 'ojelese01', 'willigr01', 'wanambr01', 'poirivi01']","[0, 0]",0,division,805736575.0,728215379.0,61979736.538461536,56016567.615384616,0,0
201910230PHO,PHO,PHO,SAC,10:00p,"Talking Stick Resort Arena, Phoenix, Arizona",25,29,32,38,[],124,0,,"['aytonde01', 'bookede01', 'oubreke01', 'rubiori01', 'saricda01', 'bridgmi01', 'kaminfr01', 'carteje01', 'johnsty01', 'baynear01', 'okoboel01', 'diallch01', 'harpeja01']","[0, 0]",0,29,30,17,19,[],95,0,,"['hieldbu01', 'barneha02', 'baglema01', 'foxde01', 'dedmode01', 'bogdabo01', 'arizatr01', 'josepco01', 'bjeline01', 'holmeri01', 'ferreyo01', 'gabriwe01', 'swanica01']","[0, 0]",0,division,488896197.0,666008121.0,37607399.76923077,51231393.92307692,0,0
201910230POR,DEN,POR,DEN,10:00p,"Moda Center, Portland, Oregon",27,23,24,26,[],100,0,,"['lillada01', 'mccolcj01', 'hoodro01', 'colliza01', 'whiteha01', 'bazemke01', 'hezonma01', 'tollian01', 'simonan01', 'labissk01', 'trentga02', 'littlna01']","[0, 0]",0,24,30,19,35,[],108,0,,"['harriga01', 'murraja01', 'millspa01', 'bartowi01', 'jokicni01', 'grantje01', 'plumlma01', 'craigto01', 'morrimo01', 'beaslma01', 'portemi01', 'doziepj01', 'hernaju01']","[0, 0]",0,division,677526050.0,755250243.0,56460504.16666666,58096172.538461536,0,0
201910230SAS,SAS,SAS,NYK,8:30p,"AT&T Center, San Antonio, Texas",22,37,24,37,[],120,0,,"['aldrila01', 'forbebr01', 'derozde01', 'lylestr01', 'murrade01', 'whitede01', 'gayru01', 'belinma01', 'millspa02', 'poeltja01', 'walkelo01', 'metuch01', 'carrode01']","[0, 0]",0,15,36,33,27,[],111,0,,"['morrima03', 'barrerj01', 'randlju01', 'portibo01', 'trieral01', 'paytoel01', 'knoxke01', 'gibsota01', 'ellinwa01', 'smithde03', 'ntilila01', 'brazdig01', 'dotsoda01']","[0, 0]",0,none,933758232.0,443398896.0,71827556.3076923,34107607.384615384,0,0
201910230UTA,UTA,UTA,OKC,9:00p,"Vivint Smart Home Arena, Salt Lake City, Utah",23,26,19,32,[],100,0,,"['goberru01', 'mitchdo01', 'onealro01', 'conlemi01', 'bogdabo02', 'inglejo01', 'mudiaem01', 'greenje02', 'davised01', 'niangge01', 'kiddst01', 'willini01', 'bradlto01']","[0, 0]",0,12,34,28,21,[],95,0,,"['gilgesh01', 'paulch01', 'gallida01', 'adamsst01', 'fergute01', 'schrode01', 'diallha01', 'bazleda01', 'muscami01', 'noelne01', 'naderab01', 'burtode02', 'pattoju01']","[0, 0]",0,division,748016542.0,830392923.0,57539734.0,63876378.692307696,0,0
201910240DET,ATL,DET,ATL,7:00p,"Little Caesars Arena, Detroit, Michigan",32,31,18,19,[],100,1,1.0,"['drumman01', 'snellto01', 'morrima02', 'brownbr01', 'jacksre01', 'kennalu01', 'gallola01', 'rosede01', 'makerth01', 'fraziti01', 'mykhasv01', 'thomakh01', 'woodch01']","[1, 0]",0,38,22,31,26,[],117,0,,"['youngtr01', 'collijo01', 'huntede01', 'lenal01', 'reddica01', 'bembrde01', 'parkeja01', 'turneev01', 'fernabr01', 'huertke01', 'cartevi01', 'jonesda03', 'goodwbr01']","[0, 0]",0,conference,619054879.0,499960921.0,47619606.07692308,38458532.38461538,1,0
201910240GSW,LAC,GSW,LAC,10:30p,"Chase Center, San Francisco, California",29,25,33,35,[],122,0,,"['russeda01', 'robingl02', 'curryst01', 'greendr01', 'looneke01', 'pascher01', 'evansja02', 'poolejo01', 'chrisma01', 'spellom01', 'leeda03', 'bowmaky01']","[0, 0]",0,35,30,46,30,[],141,1,2.0,"['shamela01', 'beverpa01', 'pattepa01', 'leonaka01', 'zubaciv01', 'willilo02', 'harremo01', 'harklma01', 'greenja01', 'kabenmf01', 'motlejo01', 'robinje01', 'mannte01']","[1, 0]",0,division,568700114.0,572668047.0,47391676.16666666,44051388.23076923,0,1
