,gameState,gameState,gameState,gameState,gameState,gameState,gameState,gameState,home,home,home,home,home,home,home,home,home,home,home,home,home,home,away,away,away,away,away,away,away,away,away,away,away,away,away,away
teamData,winner,teamHome,teamAway,location,rivalry,datetime,endtime,neutral,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,salary,avgSalary,numberOfGamesPlayed,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,salary,avgSalary,numberOfGamesPlayed
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202110190LAL,GSW,LAL,GSW,"Crypto.com Arena, Los Angeles, California",division,10/19/2021 22:00,10/20/2021 0:00,0.0,34.0,25.0,26.0,29.0,[],114.0,0.0,,"['davisan02', 'jamesle01', 'westbru01', 'bazemke01', 'jordade01', 'anthoca01', 'rondora01', 'monkma01', 'howardw01', 'bradlav01', 'reaveau01', 'doumbse01']","[0, 0]",0.0,1841299950.0,153441662.5,0,32.0,21.0,30.0,38.0,[],121.0,0.0,,"['curryst01', 'greendr01', 'wiggian01', 'poolejo01', 'looneke01', 'leeda03', 'bjeline01', 'iguodan01', 'toscaju01', 'porteot01', 'moodymo01', 'paytoga02']","[0, 0]",0.0,917868008.0,76489000.67,0
202110190MIL,MIL,MIL,BRK,"Fiserv Forum, Milwaukee, Wisconsin",conference,10/19/2021 19:30,10/19/2021 21:30,0.0,37.0,29.0,31.0,30.0,[],127.0,0.0,,"['antetgi01', 'middlkh01', 'lopezbr01', 'allengr01', 'holidjr01', 'connapa01', 'nworajo01', 'hillge01', 'antetth01', 'mamuksa01', 'robinju01', 'kalaige01']","[0, 0]",0.0,793623037.0,66135253.08,0,25.0,34.0,26.0,19.0,[],104.0,0.0,,"['harrijo01', 'hardeja01', 'duranke01', 'claxtni01', 'griffbl01', 'millspa02', 'johnsja01', 'carteje01', 'aldrila01', 'millspa01', 'thomaca02', 'bembrde01', 'brownbr01', 'edwarke02', 'dukeda01']","[0, 0]",0.0,1488268309.0,99217887.27,0
202110200CHO,CHO,CHO,IND,"Spectrum Center, Charlotte, North Carolina",conference,10/20/2021 19:00,10/20/2021 21:00,0.0,27.0,32.0,33.0,31.0,[],123.0,0.0,,"['haywago01', 'oubreke01', 'bridgmi02', 'plumlma01', 'ballla01', 'martico01', 'smithis01', 'washipj01', 'mcdanja01', 'bouknja01', 'thorjt01', 'kulboar01', 'joneska01', 'richani01', 'careyve01']","[0, 0]",0.0,431288957.0,28752597.13,0,38.0,37.0,13.0,34.0,[],122.0,0.0,,"['brogdma01', 'sabondo01', 'duartch01', 'turnemy01', 'holidju01', 'craigto01', 'lambje01', 'mccontj01', 'washidu02', 'wanambr01', 'brissos01', 'bitadgo01', 'jacksis01']","[0, 0]",0.0,322814309.0,24831869.92,0
202110200DET,CHI,DET,CHI,"Little Caesars Arena, Detroit, Michigan",division,10/20/2021 19:00,10/20/2021 21:00,0.0,20.0,24.0,25.0,19.0,[],88.0,0.0,,"['beysa01', 'grantje01', 'jacksfr01', 'stewais01', 'hayeski01', 'josepco01', 'olynyke01', 'jacksjo02', 'lylestr01', 'diallha01', 'mcgruro01', 'garzalu01', 'pickeja01', 'leesa01']","[0, 0]",0.0,305706860.0,21836204.29,0,14.0,26.0,31.0,23.0,[],94.0,0.0,,"['derozde01', 'vucevni01', 'lavinza01', 'balllo01', 'willipa01', 'carusal01', 'greenja02', 'johnsal02', 'dosunay01', 'browntr01', 'simonma01', 'bradlto01', 'thomama02', 'jonesde02']","[0, 0]",0.0,566916293.0,40494020.93,0
202110200MEM,MEM,MEM,CLE,"FedEx Forum, Memphis, Tennessee",none,10/20/2021 20:00,10/20/2021 22:00,0.0,32.0,41.0,21.0,38.0,[],132.0,0.0,,"['moranja01', 'adamsst01', 'jacksja02', 'meltode01', 'banede01', 'anderky01', 'konchjo01', 'willizi02', 'jonesty01', 'clarkbr01', 'culveja01', 'merrisa01', 'aldamsa01', 'tillmxa01', 'tilliki02']","[0, 0]",0.0,327491389.0,21832759.27,0,32.0,29.0,29.0,31.0,[],121.0,0.0,,"['mobleev01', 'garlada01', 'markkla01', 'sextoco01', 'allenja01', 'rubiori01', 'okorois01', 'loveke01', 'osmande01', 'fallta01', 'nembhrj01', 'valende01', 'stevela01', 'pangoke01', 'davised01']","[0, 0]",0.0,579886629.0,38659108.6,0
202110200MIN,MIN,MIN,HOU,"Target Center, Minneapolis, Minnesota",conference,10/20/2021 20:00,10/20/2021 22:00,0.0,32.0,40.0,27.0,25.0,[],124.0,0.0,,"['edwaran01', 'townska01', 'mcdanja02', 'russeda01', 'okogijo01', 'beaslma01', 'mclaujo01', 'reidna01', 'princta02', 'vandeja01', 'nowelja01', 'bolmale01', 'laymaja01', 'wrighmc01', 'beverpa01']","[0, 0]",0.0,431140368.0,28742691.2,0,21.0,24.0,26.0,35.0,[],106.0,0.0,,"['greenja05', 'woodch01', 'porteke02', 'tateja01', 'theisda01', 'gordoer01', 'sengual01', 'nwabada01', 'augusdj01', 'martike04', 'brookar01', 'chrisjo01', 'garubus01']","[0, 0]",0.0,315473774.0,24267213.38,0
202110200NOP,PHI,NOP,PHI,"Smoothie King Center, New Orleans, Louisiana",none,10/20/2021 20:00,10/20/2021 22:00,0.0,25.0,28.0,17.0,27.0,[],97.0,0.0,,"['ingrabr01', 'alexani01', 'valanjo01', 'grahade01', 'hartjo01', 'marshna01', 'hayesja02', 'murphtr02', 'lewiski01', 'templga01', 'satorto01', 'joneshe01', 'louzama01', 'hernawi01', 'alvarjo01']","[0, 0]",0.0,355455082.0,23697005.47,0,29.0,24.0,28.0,36.0,[],117.0,0.0,,"['maxeyty01', 'harrito02', 'curryse01', 'embiijo01', 'greenda02', 'thybuma01', 'korkmfu01', 'drumman01', 'niangge01', 'joeis01', 'reedpa01', 'bassech01', 'henryaa01', 'sprinja01']","[0, 0]",0.0,614997963.0,43928425.93,0
202110200NYK,NYK,NYK,BOS,"Madison Square Garden (IV), New York, New York",division,10/20/2021 19:30,10/20/2021 22:00,0.0,29.0,25.0,32.0,30.0,[12],138.0,0.0,,"['barrerj01', 'randlju01', 'fournev01', 'walkeke02', 'robinmi01', 'toppiob01', 'rosede01', 'burksal01', 'quickim01', 'simsje01', 'grimequ01', 'mcbrimi01', 'knoxke01', 'seldewa01']","[0, 0]",0.0,638665439.0,45618959.93,0,35.0,23.0,24.0,34.0,[12],134.0,0.0,,"['brownja02', 'smartma01', 'williro04', 'tatumja01', 'willigr01', 'schrode01', 'langfro01', 'nesmiaa01', 'pritcpa01', 'kanteen01', 'parkeja01', 'fernabr01', 'thomabr01', 'hernaju01', 'hausesa01']","[0, 0]",0.0,496111005.0,33074067.0,0
202110200PHO,DEN,PHO,DEN,"Phoenix Suns Arena, Phoenix, Arizona",conference,10/20/2021 22:00,10/21/2021 0:00,0.0,20.0,38.0,24.0,16.0,[],98.0,0.0,,"['paulch01', 'bridgmi01', 'aytonde01', 'bookede01', 'crowdja01', 'johnsca02', 'shamela01', 'mcgeeja01', 'payneca01', 'naderab01', 'smithja04', 'paytoel01', 'hutchch01', 'kaminfr01']","[0, 0]",0.0,732308296.0,52307735.43,0,26.0,25.0,34.0,25.0,[],110.0,0.0,,"['jokicni01', 'portemi01', 'bartowi01', 'gordoaa01', 'morrimo01', 'doziepj01', 'campafa01', 'greenje02', 'greenja01', 'riverau01', 'hylanbo01', 'howarma02', 'bolbo01', 'cornepe01', 'nnajize01']","[0, 0]",0.0,498739764.0,33249317.6,0
202110200POR,SAC,POR,SAC,"Moda Center, Portland, Oregon",conference,10/20/2021 22:00,10/21/2021 0:00,0.0,23.0,26.0,36.0,36.0,[],121.0,0.0,,"['lillada01', 'mccolcj01', 'powelno01', 'covinro01', 'nurkiju01', 'zelleco01', 'simonan01', 'nancela02', 'littlna01', 'mclembe01', 'smithde03', 'browngr01', 'ellebcj01']","[0, 0]",0.0,700203699.0,53861823.0,0,24.0,38.0,38.0,24.0,[],124.0,0.0,,"['barneha02', 'foxde01', 'holmeri01', 'halibty01', 'harklma01', 'hieldbu01', 'mitchda01', 'thomptr01', 'daviste02', 'metuch01', 'jonesda03', 'lenal01', 'woodaro01', 'baglema01']","[0, 0]",0.0,573911663.0,40993690.21,0
202110200SAS,SAS,SAS,ORL,"AT&T Center, San Antonio, Texas",none,10/20/2021 20:30,10/20/2021 22:30,0.0,32.0,29.0,33.0,29.0,[],123.0,0.0,,"['murrade01', 'whitede01', 'poeltja01', 'johnske04', 'mcderdo01', 'walkelo01', 'vassede01', 'eubandr01', 'bateske01', 'jonestr01', 'forbebr01', 'primojo01', 'landajo01']","[0, 0]",0.0,191756034.0,14750464.15,0,28.0,21.0,22.0,26.0,[],97.0,0.0,,"['wagnefr01', 'suggsja01', 'anthoco01', 'bambamo01', 'cartewe01', 'rosste01', 'hamptrj01', 'brazdig01', 'wagnemo01', 'lopezro01', 'harriga01', 'mooreet01']","[0, 0]",0.0,338309638.0,28192469.83,0
202110200TOR,WAS,TOR,WAS,"Scotiabank Arena, Toronto, Canada",conference,10/20/2021 19:30,10/20/2021 21:30,0.0,18.0,19.0,22.0,24.0,[],83.0,0.0,,"['vanvlfr01', 'anunoog01', 'barnesc01', 'dragigo01', 'achiupr01', 'trentga02', 'birchkh01', 'bouchch01', 'mykhasv01', 'bantoda01', 'champju01', 'bongais01', 'flynnma01', 'johnsda08', 'dekkesa01']","[0, 0]",0.0,326920937.0,21794729.13,0,26.0,31.0,24.0,17.0,[],98.0,0.0,,"['kuzmaky01', 'bealbr01', 'caldwke01', 'dinwisp01', 'gaffoda01', 'harremo01', 'netora01', 'avdijde01', 'bertada01', 'holidaa01', 'toddis01', 'kispeco01', 'gillan01']","[0, 0]",0.0,442598116.0,34046008.92,0
202110200UTA,UTA,UTA,OKC,"Vivint Smart Home Arena, Salt Lake City, Utah",division,10/20/2021 21:00,10/20/2021 23:00,0.0,27.0,27.0,29.0,24.0,[],107.0,0.0,,"['goberru01', 'mitchdo01', 'bogdabo02', 'onealro01', 'conlemi01', 'clarkjo01', 'inglejo01', 'whiteha01', 'pascher01', 'butleja02', 'hugheel01', 'fittsma01', 'onimi01', 'azubuud01']","[0, 0]",0.0,779006109.0,55643293.5,0,18.0,24.0,21.0,23.0,[],86.0,0.0,,"['gilgesh01', 'bazleda01', 'dortlu01', 'giddejo01', 'favorde01', 'maledth01', 'willike04', 'pokusal01', 'manntr01', 'robyis01', 'robinje02', 'krejcvi01', 'jeromty01', 'muscami01', 'deckga01']","[0, 0]",0.0,213573309.0,14238220.6,0
202110210ATL,ATL,ATL,DAL,"State Farm Arena, Atlanta, Georgia",none,2021-10-21 19:30:00,2021-10-21 21:30:00,,22.0,29.0,35.0,27.0,[],113.0,0.0,,"['youngtr01', 'collijo01', 'huntede01', 'bogdabo01', 'capelca01', 'huertke01', 'reddica01', 'wrighde01', 'hillso01', 'dienggo01', 'johnsja05', 'mayssk01', 'coopesh01', 'luwawti01', 'willilo02']","[0, 0]",0.0,107743703.0,7695978.785714285,0,20.0,24.0,20.0,23.0,[],87.0,0.0,,"['doncilu01', 'porzikr01', 'finnedo01', 'hardati02', 'poweldw01', 'brunsja01', 'klebima01', 'bullore01', 'caulewi01', 'brownst02', 'burketr01', 'greenjo02', 'ntilila01', 'marjabo01', 'brownmo01']","[0, 0]",0.0,118498358.0,7899890.533333333,0
202110210GSW,GSW,GSW,LAC,"Chase Center, San Francisco, California",division,2021-10-21 22:00:00,2021-10-22 00:00:00,,44.0,22.0,24.0,25.0,[],115.0,1.0,2.0,"['curryst01', 'greendr01', 'wiggian01', 'poolejo01', 'looneke01', 'leeda03', 'iguodan01', 'porteot01', 'bjeline01', 'toscaju01', 'moodymo01', 'paytoga02', 'dowtije01']","[1, 0]",0,125061743.0,9620134.076923076,1,27.0,40.0,26.0,20.0,[],113.0,0.0,,"['jacksre01', 'georgpa01', 'bledser01', 'morrima03', 'zubaciv01', 'mannte01', 'kennalu01', 'coffeam01', 'winslju01', 'harteis01', 'scrubja01', 'bostobr01']","[0, 0]",0,112167703.0,10197063.909090908,0
202110210MIA,MIA,MIA,MIL,"FTX Arena, Miami, Florida",conference,2021-10-21 20:00:00,2021-10-21 22:00:00,,40.0,32.0,33.0,32.0,[],137.0,0.0,,"['butleji01', 'lowryky01', 'robindu01', 'adebaba01', 'tuckepj01', 'herroty01', 'strusma01', 'morrima02', 'dedmode01', 'vincega01', 'yurtsom01', 'martica02', 'okpalkz01', 'garrema01']","[0, 0]",0,129886558.0,9991273.692307692,0,17.0,26.0,26.0,26.0,[],95.0,1.0,2.0,"['allengr01', 'connapa01', 'middlkh01', 'antetgi01', 'hillge01', 'robinju01', 'mamuksa01', 'nworajo01', 'antetth01', 'kalaige01', 'holidjr01', 'lopezbr01']","[1, 0]",0,135578483.0,11298206.916666666,1
202110220BOS,,,,,,10/22/2021 19:30,,,,,,,,,,2.0,,,,,,1,,,,,,,,2.0,,,0.0,,,1
202110220CHI,,,,,,10/22/2021 20:00,,,,,,,,,,2.0,,,,,,1,,,,,,,,2.0,,,0.0,,,1
202110220CLE,,,,,,10/22/2021 19:00,,,,,,,,,,2.0,,,,,,1,,,,,,,,2.0,,,0.0,,,1
202110220DEN,,,,,,10/22/2021 21:00,,,,,,,,,,2.0,,,,,,1,,,,,,,,2.0,,,0.0,,,1
202110220HOU,,,,,,10/22/2021 20:00,,,,,,,,,,2.0,,,,,,1,,,,,,,,2.0,,,0.0,,,1
202110220LAL,,,,,,10/22/2021 22:00,,,,,,,,,,3.0,,,,,,1,,,,,,,,2.0,,,0.0,,,1
202110220ORL,,,,,,10/22/2021 19:00,,,,,,,,,,2.0,,,,,,1,,,,,,,,2.0,,,0.0,,,1
202110220PHI,,,,,,10/22/2021 19:30,,,,,,,,,,2.0,,,,,,1,,,,,,,,3.0,,,0.0,,,1
202110220SAC,,,,,,10/22/2021 22:00,,,,,,,,,,2.0,,,,,,1,,,,,,,,2.0,,,0.0,,,1
202110220WAS,,,,,,10/22/2021 19:00,,,,,,,,,,2.0,,,,,,1,,,,,,,,2.0,,,0.0,,,1
202110230CHI,,,,,,10/23/2021 20:00,,,,,,,,,,1.0,,,,,,2,,,,,,,,3.0,,,0.0,,,1
202110230CLE,,,,,,10/23/2021 18:00,,,,,,,,,1.0,1.0,,"[1, 0]","[1, 0]",,,2,,,,,,,,2.0,,,0.0,,,1
202110230IND,,,,,,10/23/2021 19:00,,,,,,,,,1.0,1.0,,"[1, 0]","[1, 0]",,,2,,,,,,,,2.0,,,0.0,,,1
202110230LAC,,,,,,10/23/2021 22:30,,,,,,,,,,2.0,,,,,,1,,,,,,,-1.0,3.0,,"[0, 1]","[0, 1]",,,1
202110230MIN,,,,,,10/23/2021 20:00,,,,,,,,,,3.0,,,,,,1,,,,,,,,1.0,,,0.0,,,2
202110230POR,,,,,,10/23/2021 22:00,,,,,,,,,,3.0,,,,,,1,,,,,,,,1.0,,,0.0,,,2
