,home,away,home,away,home,away,home,away,home,away,home,away
,pm_elo_prob1,pm_elo_prob1,pm_odd_prob,pm_odd_prob,pm_raptor_prob1,pm_raptor_prob1,pm_6_elo_prob1,pm_6_elo_prob1,pm_6_odd_prob,pm_6_odd_prob,pm_6_raptor_prob1,pm_6_raptor_prob1
game_id,,,,,,,,,,,,
201410280LAL,,,,,,,,,,,,
201410280NOP,,,,,,,,,,,,
201410280SAS,,,,,,,,,,,,
201410290BOS,,,,,,,,,,,,
201410290CHO,,,,,,,,,,,,
201410290DEN,,,,,,,,,,,,
201410290IND,,,,,,,,,,,,
201410290MEM,,,,,,,,,,,,
201410290MIA,,,,,,,,,,,,
201410290NYK,,,,,,,,,,,,
201410290PHO,,-0.3944467264809515,,-0.2833671332162574,,,,,,,,
201410290POR,,,,,,,,,,,,
201410290SAC,,,,,,,,,,,,
201410290TOR,,,,,,,,,,,,
201410290UTA,,0.3944467264809514,,0.2833671332162574,,,,,,,,
201410300CLE,,-0.6229523012438865,,-0.3654897597824339,,,,,,,,
201410300DAL,-0.2324690525455766,-0.3155781201294808,-0.4027944016059097,-0.4151593997682791,,,,,,,,
201410300LAC,,-0.4312861743288642,,-0.213437497605039,,,,,,,,
201410300MIN,-0.278839562903067,-0.2577397723017768,-0.2609360304776523,-0.3028579181121204,,,,,,,,
201410300ORL,-0.2425807517671686,-0.3113054116382164,-0.198053948463296,-0.3522380772057368,,,,,,,,
201410310CHI,0.6229523012438865,-0.5774032099538376,0.3654897597824339,-0.8954496321434018,,,,,,,,
201410310IND,0.139375780860446,0.278839562903067,0.2566185693981954,0.2609360304776523,,,,,,,,
201410310LAL,-0.5866093584353256,0.3300059121331961,-0.4084138600440183,0.1067891001151684,,,,,,,,
201410310MIL,-0.1561009354056834,-0.139375780860446,-0.2362935880875084,-0.2566185693981954,,,,,,,,
201410310PHO,0.192162631954374,0.2324690525455766,0.1250467268277609,0.4027944016059097,,,,,,,,
201410310SAC,-0.4150030853869351,0.4312861743288642,-0.356579731833535,0.213437497605039,,,,,,,,
201411010ATL,-0.2840066404205112,-0.4373533452658347,-0.3712235889151768,-0.0550174220125383,,,,,,,,
201411010CHO,0.1561009354056834,0.8555686890293477,0.2362935880875084,0.5725720218883861,,,,,,,,
201411010DET,-0.4721460528017573,-0.5569142230010923,-0.6419411313116328,-0.4990167529678154,,,,,,,,
201411010GSW,0.4150030853869351,-0.90957469100639,0.3565797318335351,-0.5480410481841627,,,,,,,,
201411010HOU,0.7100248466104322,0.5569142230010923,0.6985265329845365,0.4990167529678154,,,,,,,,
201411010MIN,-0.0644332824030864,-0.1541352982700852,0.07814718272186,-0.2463596171626081,,,,,,,,
201411010NOP,0.2425807517671686,-0.0979276913362308,0.198053948463296,-0.240929513453286,,,,,,,,
201411010OKC,-0.7612920864620603,0.2577397723017768,-0.3202265977202074,0.3028579181121204,,,,,,,,
201411010ORL,-0.627230053152944,0.2840066404205112,-0.5553812247551801,0.3712235889151768,,,,,,,,
201411010PHI,-0.4956171306834712,0.3113054116382164,-0.4749734926243626,0.3522380772057368,,,,,,,,
201411010UTA,-0.4501194813388265,0.7434233740494247,-0.5770242879209029,0.6364067521789465,,,,,,,,
201411010WAS,0.073343889747559,0.2001404144173417,0.0050891990861473,-0.0179386648613411,,,,,,,,
201411020LAC,0.6529712447042604,0.1717626948094779,0.2464162882553127,0.2772593759526209,,,,,,,,
201411020MIA,0.5735030568546851,0.6337089295794645,0.5608299042412459,0.6867655758687503,,,,,,,,
201411020NYK,-0.0455490912900486,-0.3723052256393004,0.5299598723609679,-0.3434587812514023,,,,,,,,
201411020POR,-0.1554796058675487,0.5642349938752116,-0.4204016101811167,0.4542738419024283,,,,,,,,
201411030BRK,-0.0860480301727033,-0.5478124435379723,0.0794077845299814,0.3177959217317949,,,,,,,,
201411030DAL,0.3585767456145485,0.4196713487197171,0.2522864999480387,0.2364960292259229,,,,,,,,
201411030DEN,0.0442601293776888,1.0264638844677785,-0.3351646013398821,1.0780127002409632,,,,,,,,
201411030LAC,-0.2017299449540397,0.2025366316050566,-0.5543370360330293,-0.0290677409098134,,,,,,,,
201411030MEM,1.3839748500743316,-0.2139236851836106,1.152324391227297,-0.2951620649380286,,,,,,,,
201411030PHI,-0.7578147758999398,0.8472677208918071,-0.6835653196598716,0.9610472567264292,,,,,,,,
201411040CHI,0.4249372629468135,-0.9769323423118972,0.2014159550676053,-0.8709232117087538,,,,,,,,
201411040IND,-0.8496768378880999,0.0610757525030559,-0.2232178010710961,-0.2281052692046592,,,,,,,,
201411040LAL,-1.0588065994946665,0.0907672611055414,-0.645735158253056,0.088450205167857,,,,,,,,
201411040MIA,0.8946717041562215,1.0694193277439128,1.0228071889416794,1.1126581511151366,,,,,,,,
201411040NOP,-0.4141554226566097,-0.7178387319280173,-0.6802338772823813,-0.7457584988081787,,,,,,,,
201411040NYK,0.2999844149986681,0.2124085516618448,0.9322595899177444,0.2152558034294656,,,,,,,,
201411040POR,-0.7420743926445312,0.199684389560134,-1.0023964997666166,-0.2836002551983598,,,,,,,,
201411040TOR,0.3125402822779279,-1.041131602697052,0.2247882911683167,0.033461785664335,,,,,,,,
201411050BOS,0.274515027066155,0.7096178993483724,0.044423444280634,0.3671470826716074,,,,,,,,
201411050BRK,0.4072711289863759,-0.6435058436199852,0.3637419205974415,-0.3696283895083532,,,,,,,,
201411050CHO,-1.1468198739875983,0.2871211231816848,-1.124283102703168,0.4707344191851499,,,,,,,,
201411050DET,-0.9430122456301462,-0.3105702237865988,-1.2203656688094298,0.4633631374389537,,,,,,,,
201411050GSW,1.1508297806521943,-0.0706717474889702,1.036268731487928,-0.3590423973153105,,,,,,,,
201411050MIL,0.9058568260516736,0.5595897957505529,0.3967446849116096,0.3737225715200969,,,,,,,,
201411050PHI,-0.9799663827520456,-1.1115848751156363,-0.8351762140485789,-1.0432298281612455,,,,,,,,
201411050PHO,0.5218028344060501,1.5842065875473308,0.4034135647262413,1.5373962035716495,,,,,,,,
201411050SAC,1.6990963663600578,-0.6283723525145908,1.7843373341449589,-1.0414892352438776,,,,,,,,
201411050SAS,-0.318791689549474,0.1283168522017538,-0.1085656237452756,-0.2030232098566191,,,,,,,,
201411050UTA,0.0714784341399871,-0.0517255988571134,-0.2243623796275322,-0.8507279143856528,,,,,,,,
201411050WAS,0.822963190447112,-1.6944579114367175,0.684152255908256,-0.848067755187365,,,,,,,,
201411060HOU,1.6769699087184495,-0.1671396456707485,1.664730920871666,0.1241271216709856,,,,,,,,
201411060POR,-0.4906644042272834,0.5037330672681106,-0.4352688405793237,0.4443590848933274,,,,,,,,
201411070BOS,-0.1161203037791498,-1.97699079451032,-0.501342370537609,-1.040160042243401,,,,,,,,
201411070BRK,-0.2674649297915406,-0.8578681108745343,-0.2877670247539532,0.0795847488687844,,,,,,,,
201411070CHO,-0.6718804847554343,-0.0233351916769715,-0.6387164495791815,-0.4357159552728804,,,,,,,,
201411070DEN,-0.9937052266504862,-0.5110858843661301,-1.4362743429324722,-1.5200827658979232,,,,,,,,
