gameId,homeAbbr,homeDistances,homeResults,awayAbbr,awayDistances,awayResults
201910220LAC,LAL,"['3', '25', '19', '15', '23', '1', '3', '11', '26', '11', '26', '18', '11', '23', '2', '2', '18', '27', '29', '24', '26', '8', '7', '2', '3', '25', '16', '23', '16', '4', '14', '24', '1', '19', '3', '34', '3', '5', '28', '1', '18', '26', '24', '7', '27', '2', '1', '2', '2', '27', '2', '16', '3', '26', '16', '1', '24', '25', '2', '2', '1', '27', '20', '26', '26', '4', '25', '1', '20', '26', '2', '26', '3', '1', '3', '18', '17', '23', '2', '1', '24', '26', '23', '27', '24']","[1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0]",LAC,"['27', '27', '14', '1', '9', '25', '2', '1', '2', '19', '2', '26', '3', '1', '27', '26', '16', '10', '9', '24', '26', '16', '23', '2', '17', '24', '18', '19', '2', '1', '25', '15', '2', '27', '3', '12', '25', '17', '18', '1', '30', '1', '21', '12', '3', '27', '14', '3', '3', '7', '22', '28', '30', '2', '3', '28', '26', '26', '28', '27', '2', '25', '21', '24', '24', '27', '27', '18', '7', '21', '28', '7', '2', '2', '3', '3', '5', '2', '26', '29', '26']","[0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0]"
201910220TOR,NOP,"['11', '1', '8', '12', '16', '25', '26', '22', '14', '26', '19', '2', '25', '25', '3', '15', '24', '26', '8', '25', '19', '8', '26', '7', '2', '23', '26', '3', '1', '24', '10', '3', '25', '4', '26', '22', '2', '25', '7', '23', '14', '1', '19', '1', '10', '26', '19', '11', '2', '22', '3', '2', '26', '27', '9', '18', '2', '25', '22', '2', '24', '13', '25', '19', '2', '24', '25', '24', '32', '2', '25', '24', '17', '17', '25', '9', '23', '24', '23', '24', '10', '25', '2', '0', '2', '25', '3', '7', '23', '1', '25', '19', '25', '25', '15', '21', '2', '11', '23', '1', '23', '27']","[0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]",TOR,"['3', '25', '25', '23', '2', '25', '24', '23', '4', '1', '2', '1', '24', '1', '1', '1', '1', '2', '25', '25', '1', '1', '26', '4', '7', '1', '3', '2', '2', '27', '2', '2', '25', '2', '1', '2', '1', '1', '27', '25', '5', '1', '1', '2', '2', '8', '2', '25', '25', '26', '26', '26', '2', '2', '8', '25', '3', '6', '22', '2', '1', '19', '3', '1', '8', '29', '7', '26', '2', '7', '3', '10', '7', '16', '7', '3', '26', '26', '24', '25', '20', '23', '25', '2', '5', '3', '1', '26', '3', '7', '27', '22', '28', '3', '24', '23', '25', '3', '22', '25', '2']","[0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0]"
201910230BRK,MIN,"['21', '20', '25', '25', '2', '3', '11', '7', '3', '25', '26', '4', '18', '19', '27', '6', '25', '25', '25', '25', '23', '2', '25', '25', '2', '18', '1', '1', '25', '9', '25', '7', '26', '2', '25', '2', '4', '1', '25', '25', '2', '1', '1', '1', '1', '8', '13', '25', '1', '1', '8', '25', '2', '20', '10', '2', '1', '1', '1', '26', '2', '27', '1', '26', '2', '11', '4', '2', '9', '14', '2', '25', '25', '26', '24', '26', '4', '25', '3', '25', '25', '3', '25', '24', '2', '25', '25', '26', '23', '9', '25', '22', '3', '5', '3', '23', '18', '26', '2', '1', '3', '24', '7', '0', '27', '0', '7', '25']","[0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0]",BRK,"['1', '26', '1', '4', '14', '1', '23', '2', '26', '1', '2', '3', '16', '26', '1', '27', '2', '25', '10', '2', '11', '24', '2', '5', '1', '25', '1', '3', '2', '13', '23', '3', '2', '25', '25', '24', '4', '13', '1', '5', '2', '6', '1', '13', '26', '2', '1', '11', '1', '25', '35', '2', '25', '2', '11', '25', '5', '26', '25', '8', '15', '1', '25', '12', '24', '10', '25', '2', '17', '16', '25', '25', '3', '3', '3', '2', '26', '4', '10', '2', '2', '25', '3', '2', '5', '1', '3', '25', '25', '11', '24', '1', '26', '3', '1', '26', '25', '23', '26', '0', '15']","[0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]"
201910230CHO,CHI,"['19', '23', 'from', 'from', '8', '24', 'from', '1', '6', '3', '2', '6', '2', '2', 'from', '3', '1', '3', '1', '2', '26', '2', '3', 'from', '26', '2', '27', 'from', '7', '24', 'from', '28', 'from', 'from', '1', '26', '26', '26', '4', '26', '7', 'from', '27', '27', '1', '6', '1', '1', '23', '6', '27', '8', 'from', '1', '5', '5', '3', '2', '1', '23', '25', '1', '1', 'from', '2', 'from', 'from', '17', '7', '3', '19', '25', '1', '23', '6', '5', '18', '1', '2', '3', '23', '1', 'from', 'from', '2', '24', '26', '25', '2', '2', '8', '16', 'from', 'from', '1', '2', '14', '27', 'from', '2', 'from', '27', '2', 'from', '1']","[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]",CHO,"['23', '25', '2', '1', '26', '25', '1', '26', '1', '22', '25', '1', '23', '2', '4', '25', '7', '1', '1', '25', '25', '2', '9', '27', '23', '15', '25', '17', '1', '2', '0', '1', '8', '10', '2', '26', '9', '29', '24', '2', '2', '23', '22', '25', '26', '25', '6', '1', '3', '2', '7', '2', '25', '25', '9', '2', '4', '7', '26', '2', '23', '29', '3', '1', '14', '26', '26', '26', '24', '30', '26', '26', '28', '1', '23', '26', '3', '25', '23', '25', '2', '25', '7', '20', '24', '2', '27', '30']","[0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0]"
201910230DAL,WAS,"['14', '1', '4', '23', '2', '27', '14', '25', '17', '21', '22', '1', '26', '2', '26', '20', '25', '24', '25', '12', '23', '26', '2', '4', '25', '25', '26', '15', '25', '4', '13', '2', '1', '16', '3', '24', '25', '11', '26', '5', '17', '25', '1', '14', '25', '3', '2', '4', '1', '1', '1', '21', '27', '2', '4', '3', '23', '17', '3', '18', '26', '2', '1', '1', '1', '25', '10', '23', '25', '25', '26', '26', '8', '16', '27', '2', '1', '25', '4', '1', '23', '10', '25', '24', '25', '25', '26', '2', '26', '1', '26', '25']","[0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]",DAL,"['2', '1', '21', '25', '25', '25', '25', '25', '21', '10', '3', '27', '4', '5', '12', '26', '26', '6', '4', '4', '3', '25', '8', '11', '25', '9', '25', '11', '26', '23', '27', '27', '26', '7', '1', '23', '3', '1', '8', '25', '10', '2', '26', '25', '23', '9', '11', '26', '25', '6', '25', '2', '25', '23', '20', '27', '26', '25', '2', '26', '12', '10', '1', '1', '3', '1', '26', '11', '3', '25', '27', '29', '27', '28', '1', '1']","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
201910230IND,DET,"['2', '6', '28', '2', '21', '17', '3', '1', '0', '26', '27', '5', '26', '3', '3', '1', '2', '23', '8', '1', '19', '28', '28', '30', '1', '3', '1', '8', '17', '6', '25', '1', '14', '20', '1', '7', '13', '17', '1', '18', '30', '2', '28', '1', '2', '8', '20', '27', '28', '4', '27', '15', '28', '3', '18', '28', '29', '2', '7', '27', '1', '4', '2', '9', '14', '3', '27', '20', '1', '27', '10', '29', '24', '18', '24', '1', '7', '27']","[0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1]",IND,"['28', '14', '27', '8', '27', '1', '13', '17', '0', '1', '2', '28', '12', '9', '0', '1', '20', '27', '1', '2', '27', '1', '5', '16', '1', '1', '28', '16', '1', '2', '2', '14', '3', '12', '3', '1', '27', '18', '28', '2', '1', '1', '1', '28', '1', '17', '1', '1', '28', '20', '8', '10', '8', '27', '17', '1', '22', '8', '7', '10', '18', '6', '3', '27', '2', '2', '16', '18', '27', '2', '26', '14', '1', '14', '2', '2', '18', '14', '19', '23', '2', '19', '23', '4', '11', '30', '1', '27', '29']","[0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]"
201910230MIA,MEM,"['26', '3', '2', '2', 'from', '3', '28', '11', 'from', '26', '3', 'from', 'from', '26', '12', '3', '9', '12', '6', '24', '2', '3', '12', '2', '4', '18', '2', '19', '27', 'from', '5', '27', '26', '6', '26', 'from', '2', '2', '10', '11', '26', '9', '4', '4', '1', '25', '2', '25', '25', 'from', '26', '5', '2', 'from', '17', '25', 'from', '11', 'from', '3', 'from', '25', '5', '14', '22', '1', '23', '17', '26', '5', '4', '23', 'from', '3', '28', '25', '7', '3', '20', '3', '26', '4', '19', '3', '25', '25', '24', '1', '2']","[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1]",MIA,"['6', '1', '5', '17', '14', '21', '3', '2', '22', '3', '26', '26', '3', '7', '8', '3', '4', '1', '13', '21', '3', '13', '2', '22', '1', '24', '15', '2', '6', '3', '24', '22', '6', '1', '8', '3', '6', '2', '2', '10', '9', '26', '3', '5', '17', '19', '25', '19', '23', '4', '6', '16', '5', '4', '26', '4', '26', '26', '23', '26', '3', '25', '26', '9', '4', '2', '3', '27', '1', '3', '2', '12', '5', '1', '2', '26', '20', '5', '4', '3', '13', '4', '30', '2', '3']","[1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0]"
201910230ORL,CLE,"['5', '4', '13', '2', '1', '24', '2', '29', '5', '16', '5', '9', '18', '7', '2', '11', 'from', 'from', '26', 'from', 'from', '2', '27', '24', '13', 'from', '27', '13', '22', '14', '25', '26', '9', 'from', '12', '11', '3', '13', '1', '26', '11', '23', '26', '2', '14', '19', '7', '11', '25', '7', '4', '24', '25', '4', '27', 'from', 'from', '25', '3', '25', 'from', 'from', '2', '17', '20', '27', '26', 'from', 'from', 'from', '27', 'from', '4', 'from', '10', '28', '14', '27', '21', '27', '2', '7', '25', 'from', '26', '24', '26', 'from']","[1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0]",ORL,"['8', '26', '2', '1', '2', '26', '3', '1', '24', '4', '25', '3', '5', '14', '2', '26', '1', '19', '13', '24', '15', '6', '3', '28', '26', '26', '26', '24', '26', '3', '27', '5', '1', '12', '3', '26', '23', '26', '10', '26', '3', '27', '5', '24', '1', '3', '2', '1', '3', '2', '4', '10', '2', '2', '2', '12', '1', '10', '25', '26', '15', '3', '2', '25', '25', '26', '21', '10', '25', '26', '16', '7', '22', '2', '10', '2', '26', '2', '0', '18', '26', '19', '2', '2', '24', '7']","[0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0]"
201910230PHI,BOS,"['17', '3', '1', '26', '17', '12', '17', '23', '15', '3', '26', '1', '25', '26', '2', '25', '1', '2', '25', '27', '23', '26', '25', '7', '5', '4', '27', '28', '5', '1', '2', '6', '26', '17', '5', '8', '6', '17', '6', '17', '26', '26', '3', '2', '25', '11', '10', '5', '1', '14', '24', '9', '12', '26', '2', '3', '2', '3', '24', '20', '2', '2', '1', '10', '3', '12', '12', '10', '1', '25', '26', '20', '4', '11', '8', '2', '3', '17', '20', '13', '26', '26', '15', '1', '26', '2', '2', '26', '5', '25']","[0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1]",PHI,"['2', '16', '11', '7', '26', '2', '2', '7', '26', '25', '0', '1', '26', '16', '23', '17', '26', '1', '3', '1', '17', '13', '1', '2', '15', '25', '25', '26', '26', '7', '5', '26', '1', '2', '5', '28', '2', '1', '3', '7', '25', '2', '3', '9', '26', '12', '26', '23', '14', '25', '1', '5', '1', '5', '2', '1', '25', '26', '2', '15', '25', '26', '25', '26', '26', '2', '3', '25', '5', '25', '23', '0', '10', '7', '3', '3', '2', '8', '0', '1', '2', '23', '0']","[1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]"
201910230PHO,SAC,"['from', '19', '25', '19', 'from', '22', '25', 'from', '4', 'from', '1', '25', '3', '25', '24', '1', '1', '0', '26', '10', '0', '25', '14', '0', '26', '10', '12', '13', '25', '5', 'from', '25', '3', 'from', '19', '1', '25', '4', '11', '25', '1', '25', '23', '24', '2', '10', '1', '25', '26', 'from', 'from', '6', 'from', '2', '24', '25', '1', '1', '22', '29', '12', '25', '2', '1', '21', '0', '26', '1', '1', '13', '23', 'from', '26', '25', 'from', 'from', '25', '0', 'from', 'from', '11', '11', '26', 'from', 'from', '26', '23']","[0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",PHO,"['25', '25', '1', '0', '13', '5', '1', '0', '26', '25', '11', '1', '14', '26', '1', '13', '0', '26', '1', '26', '9', '3', '1', '19', '19', '1', '15', '18', '25', '26', '0', '0', '8', '25', '13', '1', '25', '2', '8', '26', '26', '2', '23', '0', '0', '1', '6', '0', '24', '18', '9', '0', '17', '23', '1', '0', '0', '13', '26', '1', '1', '1', '1', '13', '1', '0', '23', '12', '1', '1', '25', '26', '25', '15', '0', '14', '26', '1', '1', '26', '7', '7', '19', '26', '0', '10', '25', '23', '26', '1', '13', '1', '30', '23', '25', '25', '26']","[0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1]"
