,Name,Id,height,weight,PG,SG,SF,PF,CE,salary,shoots,debut,birth,experience
0,J.J. Barea,bareajo01,178,81,1,2,-1,-1,-1,2564753.0,Right,"November 4, 2006","June 26, 1984",14 years
1,Ryan Broekhoff,broekry01,198,97,-1,2,1,-1,-1,1416852.0,Right,"October 17, 2018","August 23, 1990",2 years
2,Jalen Brunson,brunsja01,185,86,1,2,-1,-1,-1,1416852.0,Left,"October 17, 2018","August 31, 1996",4 years
3,Trey Burke,burketr01,183,83,1,-1,-1,-1,-1,2028594.0,Right,"November 20, 2013","November 12, 1992",9 years
4,Willie Cauley-Stein,caulewi01,213,108,-1,-1,-1,-1,1,2177483.0,Right,"October 28, 2015","August 18, 1993",7 years
5,Antonius Cleveland,clevean01,196,88,-1,1,-1,-1,-1,,Right,"November 17, 2017","February 2, 1994",2 years
6,Seth Curry,curryse01,188,83,2,1,-1,-1,-1,7461380.0,Right,"January 5, 2014","August 23, 1990",8 years
7,Luka Dončić,doncilu01,201,104,1,2,-1,-1,-1,7683360.0,Right,"October 17, 2018","February 28, 1999",4 years
8,Dorian Finney-Smith,finnedo01,201,99,-1,-1,2,1,-1,4000000.0,Right,"October 26, 2016","May 4, 1993",6 years
9,Tim Hardaway Jr.,hardati02,196,92,-1,1,-1,-1,-1,18150000.0,Right,"October 30, 2013","March 16, 1992",9 years
10,Justin Jackson,jacksju01,203,99,-1,-1,1,2,-1,3280920.0,Right,"October 18, 2017","March 28, 1995",5 years
11,Michael Kidd-Gilchrist,kiddgmi01,198,105,-1,-1,1,2,-1,12189237.0,Right,"November 2, 2012","September 26, 1993",8 years
12,Maxi Kleber,klebima01,208,108,-1,-1,-1,1,-1,8000000.0,Right,"October 21, 2017","January 29, 1992",5 years
13,Courtney Lee,leeco01,196,97,-1,1,-1,-1,-1,12759670.0,Right,"November 3, 2008","October 3, 1985",12 years
14,Boban Marjanović,marjabo01,221,131,-1,-1,-1,-1,1,3500000.0,Right,"October 30, 2015","August 15, 1988",7 years
15,Kristaps Porziņģis,porzikr01,221,108,-1,-1,-1,1,2,27285000.0,Right,"October 28, 2015","August 2, 1995",6 years
16,Dwight Powell,poweldw01,208,108,-1,-1,-1,2,1,10259375.0,Right,"November 14, 2014","July 20, 1991",8 years
17,Josh Reaves,reavejo02,193,97,-1,-1,1,-1,-1,,Left,"January 2, 2020","June 4, 1997",1 year
18,Delon Wright,wrighde01,196,83,1,2,-1,-1,-1,9473684.0,Right,"November 1, 2015","April 26, 1992",7 years
19,Giannis Antetokounmpo,antetgi01,211,109,3,4,2,1,-1,25842697.0,Right,"October 30, 2013","December 6, 1994",9 years
20,Thanasis Antetokounmpo,antetth01,198,99,-1,-1,1,-1,-1,1445697.0,Right,"January 29, 2016","July 18, 1992",4 years
21,Dragan Bender,bendedr01,213,102,-1,-1,-1,1,2,1678854.0,Right,"October 26, 2016","November 17, 1997",4 years
