,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10,PCA11,PCA12,PCA13,PCA14,PCA15,PCA16,PCA17,PCA18,PCA19,PCA20,PCA21,PCA22,PCA23,PCA24,PCA25
201410280LAL,-3.2141550801494403,-0.266025730891145,1.1729530200377034,-7.344891047725492,-4.645565681342439,0.6531993026982947,2.751017534465266,-1.0469961855746528,-2.169145747476491,-0.2651240666003881,3.4692657702517544,2.3798820691117815,0.27472321645264997,1.997177099015451,0.10045950956487552,1.7599604153312707,-0.44163590760567706,1.107560164047995,0.5203695544004491,1.379234394797945,0.13441177179628785,0.04094407021285189,-0.012053401547807659,-0.41192978577995215,0.057081105094508464
201410290NYK,-4.316743911553247,-2.8455124691993774,-0.36409912816246087,-2.2980483898897397,-2.9015808162188392,0.3002311305532934,-0.8874170567478731,2.093023033198639,-0.48349133223932017,0.7533965393963036,2.1446946779248046,0.33309061732154355,0.6176293541814559,-0.38964559035067997,0.25557587853643693,2.336582666907835,-2.1586831421645973,-0.13685083476026344,-1.3504922140745104,1.2142102452494479,-0.6283758115687683,0.22143888471060513,-0.14643614864470833,0.01908677678017512,0.24861779985750868
201410290SAC,-8.70334781263461,3.469402134491803,3.706715960211046,-0.7859119545009886,-3.718598939756735,6.105796021337218,0.8861280839606411,-0.7304591417688512,-1.2601476243482324,0.5242794078434565,0.05317544738655075,0.4601356711326405,0.00033231723510396066,1.1183493280324082,-0.7690732777880895,0.1816840527193476,0.06499855584717873,-0.04479716282501577,-1.014237704787337,-0.03627007693168559,1.0056830159992336,-0.8404099214393448,0.2006789338209682,-0.44227637530047753,0.7732457017207606
201410290UTA,-1.596211437464116,-4.427430021783404,1.0688025849538652,-0.5219518428375898,-1.7774783556703304,0.9685995580865446,0.2981268283896741,3.3468644301579413,1.2132183925321995,-2.3460506680633206,-0.8161868236154114,-2.2600101452481205,-2.152298069698029,-0.481953803908364,0.891786118888082,1.3487812208685481,-0.23979653265708312,1.0992641303674153,-0.761195979951115,-1.537123939420117,0.7970792680798897,0.8479216297294436,-0.38164086799919134,0.5586368692879179,1.0814896124328373
201410300CLE,-0.8873030595624444,-6.490734689332327,2.1950137428266454,-1.7754108618486601,1.1120881968408756,3.1436349389376614,0.05876396364943217,1.6653132881101875,1.2301387219845668,0.4374030774002706,-0.613191744860798,2.957611241381235,3.1201906366772714,0.7303944626862753,2.308630794644021,0.3419796106259653,-0.7365034200134953,-0.22013164027640206,0.9554024741500456,-0.7328150417203977,1.846504717225219,1.045034736775742,0.32720180303462604,-1.2018543604070793,0.7294381812758121
201410300ORL,-1.3355722782263821,-2.5433920348630115,2.1247750656268867,-3.56301802793692,2.092126818185228,2.0829784853440656,-0.4894742827282289,-3.420468921645057,4.3698886734427855,0.015010000981920464,1.2588326861766082,0.013329297967829147,0.6773224184216428,0.4177430626829677,-0.10341055565084482,-0.02885080772795559,0.6724080724178425,0.3100014550868165,1.7970785651587546,-0.6241608786763286,1.0892406263411416,0.5872718791394469,-0.37547913013061646,-0.10228762550020584,0.3140893939576787
201410310CHI,-0.9918443031454705,6.538848521570261,-0.036302338057277936,-4.3917035367793416,4.975994639026248,-3.6597776243996663,0.8373573609870004,2.7309155258961626,1.2581802625010172,1.3102848481082685,0.1291312922314498,0.09532901423247639,0.22985968944013158,-1.6055468725278044,3.0776867268967565,1.3322579861069936,-0.3883169076067971,-0.8901999194951686,-0.7637900434884374,0.03489923962662793,0.930182179810668,-1.385259589596439,-0.019936896562469886,-0.016918171383033576,-0.012569909398430548
201410310IND,-3.5500622519751692,-3.069014433482454,3.8093738112111493,-1.2940503325863546,2.8030146183438327,-0.3871504330506269,-0.1707640131517484,0.407449905400728,0.4230462668670744,-0.03617375631547116,0.8314649987316683,-0.015181365512857486,1.299707609653459,0.835380580896133,0.6712194109229267,0.008129638945828986,-0.38491614290949255,0.3623858972303901,1.0032365655627706,0.5702549382352168,-0.30521181061210506,0.4587676478239778,0.7135839411936734,-0.8506551421503058,1.4704850625315433
201410310LAL,2.3731817037238208,-0.5043039272123506,4.459513519187848,-4.9269954029349625,-2.45945505927414,-0.029998988977025024,-2.3366952552907283,-2.7958703660887214,-0.8305049953694161,-0.8665403306737313,3.123327773572929,2.1219045388117856,-0.41942202911704973,1.5475430467708273,-0.23566906275972363,0.06291239678279381,0.1615510966190594,-0.9429624289701921,-0.6959158569167074,-0.3012024141440525,0.9805059124705149,-0.21722717635345662,-0.35602800571691073,0.17953131082304555,0.044611195926590255
201411010CHO,-11.918914568284853,-0.4202883679498226,-0.21933733768795532,-0.14567772054017974,2.456643453589871,2.4323051346237063,-1.4720309852118605,-1.3273615764493347,3.5584652666549945,-2.362906724061958,-0.8427468977950814,1.6395865506362128,1.427775136761214,0.09537252444810895,-0.7835365651371965,-0.22669980433067421,-0.02500342529764026,-0.12667865083432903,1.278571776793729,-0.28937024212750406,1.1509065144037975,-0.9051077434603839,-0.002044369678814013,-0.8688711061708493,0.47766329736260277
