gameId,homeTeamAbbr,MP_H,FG_H,FGA_H,FG%_H,3P_H,3PA_H,EP%_H,FT_H,FTA_H,FT%_H,ORB_H,DRB_H,TRB_H,AST_H,STL_H,BLK_H,TOV_H,PF_H,PTS_H,TS%_H,eFG%_H,3pAr_H,FTr_H,ORB%_H,DRB%_H,TRB%_H,AST%_H,STL%_H,BLK%_H,TOV%_H,USG%_H,ORtg_H,Drtg_H,poss_H,pace_H,poss_per_poss_H,ass_per_poss_H,awayTeamAbbr,MP_A,FG_A,FGA_A,FG%_A,3P_A,3PA_A,EP%_A,FT_A,FTA_A,FT%_A,ORB_A,DRB_A,TRB_A,AST_A,STL_A,BLK_A,TOV_A,PF_A,PTS_A,TS%_A,eFG%_A,3pAr_A,FTr_A,ORB%_A,DRB%_A,TRB%_A,AST%_A,STL%_A,BLK%_A,TOV%_A,USG%_A,ORtg_A,Drtg_A,poss_A,pace_A,poss_per_poss_A,ass_per_poss_A
201810160BOS,BOS,240,42,97,.433,11,37,.297,10,14,.714,12,43,55,21,7,5,14,20,105,.509,.490,.381,.144,22.6,87.8,53.9,50.0,6.7,8.2,11.9,100.0,100.7,83.4,52.825,52.825,1.988,0.398,PHI,240,34,87,.391,5,26,.192,14,23,.609,6,41,47,18,8,5,16,20,87,.448,.420,.299,.264,12.2,77.4,46.1,52.9,7.7,8.3,14.1,100.0,83.4,100.7,53.9625,53.9625,1.612,0.334
201810160GSW,GSW,240,42,95,.442,7,26,.269,17,18,.944,17,41,58,28,7,7,21,29,108,.525,.479,.274,.189,37.0,71.9,56.3,66.7,6.8,13.0,16.9,100.0,105.6,97.7,53.775,53.775,2.008,0.521,OKC,240,33,91,.363,10,37,.270,24,37,.649,16,29,45,21,12,6,14,21,100,.466,.418,.407,.407,28.1,63.0,43.7,63.6,11.7,8.7,11.5,100.0,97.7,105.6,53.2875,53.2875,1.877,0.394
201810170CHO,CHO,240,41,92,.446,16,38,.421,14,22,.636,9,32,41,21,8,9,11,19,112,.551,.533,.413,.239,16.4,74.4,41.8,51.2,7.8,17.6,9.8,100.0,109.2,110.2,52.225,52.225,2.145,0.402,MIL,240,42,85,.494,14,34,.412,15,20,.750,11,46,57,26,5,4,21,25,113,.602,.576,.400,.235,25.6,83.6,58.2,61.9,4.9,7.4,18.3,100.0,110.2,109.2,52.25,52.25,2.163,0.498
201810170DET,DET,240,39,92,.424,6,24,.250,19,22,.864,14,32,46,21,5,5,14,20,103,.506,.457,.261,.239,29.2,86.5,54.1,53.8,5.0,9.1,12.1,100.0,103.0,100.0,51.225,51.225,2.011,0.41,BRK,240,40,82,.488,5,27,.185,15,22,.682,5,34,39,28,9,5,17,23,100,.545,.518,.329,.268,13.5,70.8,45.9,70.0,9.0,7.4,15.6,100.0,100.0,103.0,52.225,52.225,1.915,0.536
201810170HOU,HOU,240,39,92,.424,16,48,.333,18,24,.750,8,29,37,21,8,7,11,22,112,.546,.511,.522,.261,16.7,67.4,40.7,53.8,7.8,9.6,9.7,100.0,108.8,127.2,53.2,53.2,2.105,0.395,NOP,240,52,98,.531,10,25,.400,17,22,.773,14,40,54,36,8,3,12,25,131,.608,.582,.255,.224,32.6,83.3,59.3,69.2,7.8,6.8,10.0,100.0,127.2,108.8,53.225,53.225,2.461,0.676
201810170IND,IND,240,47,83,.566,10,26,.385,7,13,.538,13,44,57,29,2,7,20,24,111,.626,.627,.313,.157,38.2,86.3,67.1,61.7,2.1,12.7,18.4,100.0,118.7,88.8,48.0875,48.0875,2.308,0.603,MEM,240,25,84,.298,10,29,.345,23,28,.821,7,21,28,16,11,3,7,18,83,.431,.357,.345,.333,13.7,61.8,32.9,64.0,11.8,5.3,6.8,100.0,88.8,118.7,48.65,48.65,1.706,0.329
201810170LAC,LAC,240,35,88,.398,8,28,.286,20,24,.833,9,38,47,21,3,9,12,32,98,.497,.443,.318,.273,17.6,73.1,45.6,60.0,3.0,14.3,10.9,100.0,99.1,108.2,51.2,51.2,1.914,0.41,DEN,240,33,87,.379,8,24,.333,33,42,.786,14,42,56,20,6,9,10,22,107,.507,.425,.276,.483,26.9,82.4,54.4,60.6,6.1,15.0,8.7,100.0,108.2,99.1,51.475,51.475,2.079,0.389
201810170NYK,NYK,240,45,99,.455,12,33,.364,24,31,.774,10,36,46,21,12,6,15,23,126,.559,.515,.333,.313,20.8,83.7,50.5,46.7,10.6,11.1,11.8,100.0,111.0,94.3,59.3625,59.3625,2.123,0.354,ATL,240,41,90,.456,10,36,.278,15,18,.833,7,38,45,19,7,3,24,30,107,.546,.511,.400,.200,16.3,79.2,49.5,46.3,6.2,4.5,19.7,100.0,94.3,111.0,57.775,57.775,1.852,0.329
201810170ORL,ORL,240,39,94,.415,7,25,.280,19,31,.613,14,37,51,20,7,7,12,25,104,.483,.452,.266,.330,26.9,72.5,49.5,51.3,6.8,10.9,10.0,100.0,100.5,97.6,53.3625,53.3625,1.949,0.375,MIA,240,38,97,.392,9,33,.273,16,22,.727,14,38,52,16,4,5,16,28,101,.473,.438,.340,.227,27.5,73.1,50.5,42.1,3.9,7.2,13.0,100.0,97.6,100.5,54.725,54.725,1.846,0.292
201810170PHO,PHO,240,44,81,.543,19,34,.559,14,16,.875,6,38,44,35,5,2,11,22,121,.687,.660,.420,.198,17.6,79.2,53.7,79.5,5.4,3.6,11.1,100.0,130.6,108.0,46.8,46.8,2.585,0.748,DAL,240,38,88,.432,10,33,.303,14,20,.700,10,28,38,28,7,5,9,16,100,.517,.489,.375,.227,20.8,82.4,46.3,73.7,7.6,10.6,8.5,100.0,108.0,130.6,48.25,48.25,2.073,0.58
