gameId,homeTeamAbbr,MP_H,FG_H,FGA_H,FG%_H,3P_H,3PA_H,3P%_H,FT_H,FTA_H,FT%_H,ORB_H,DRB_H,TRB_H,AST_H,STL_H,BLK_H,TOV_H,PF_H,PTS_H,TS%_H,eFG%_H,3pAr_H,FTr_H,ORB%_H,DRB%_H,TRB%_H,AST%_H,STL%_H,BLK%_H,TOV%_H,USG%_H,ORtg_H,Drtg_H,poss_H,pace_H,poss_per_poss_H,ass_per_poss_H,awayTeamAbbr,MP_A,FG_A,FGA_A,FG%_A,3P_A,3PA_A,EP%_A,FT_A,FTA_A,FT%_A,ORB_A,DRB_A,TRB_A,AST_A,STL_A,BLK_A,TOV_A,PF_A,PTS_A,TS%_A,eFG%_A,3pAr_A,FTr_A,ORB%_A,DRB%_A,TRB%_A,AST%_A,STL%_A,BLK%_A,TOV%_A,USG%_A,ORtg_A,Drtg_A,poss_A,pace_A,poss_per_poss_A,ass_per_poss_A
202012220BRK,BRK,240,42,92,0.457,15,35,0.429,26,32,0.813,13,44,57,24,11,7,20,22,125,0.589,0.538,0.38,0.348,27.7,77.2,54.8,57.1,10,10.6,15.9,100,113.1,89.6,57.1,57.1,2.189,0.42,GSW,240,37,99,0.374,10,33,0.303,15,23,0.652,13,34,47,26,6,6,18,24,99,0.454,0.424,0.333,0.232,22.8,72.3,45.2,70.3,5.4,10.5,14.2,100,89.6,113.1,57.4625,57.4625,1.723,0.452
202012220LAL,LAL,240,38,81,0.469,9,29,0.31,24,31,0.774,8,37,45,22,4,2,19,20,109,0.576,0.525,0.358,0.383,21.6,77.1,52.9,57.9,3.9,3.8,16.7,100,105.3,112.1,53.3625,53.3625,2.043,0.412,LAC,240,44,93,0.473,14,40,0.35,14,19,0.737,11,29,40,22,10,3,16,29,116,0.572,0.548,0.43,0.204,22.9,78.4,47.1,50,9.7,5.8,13.6,100,112.1,105.3,53.5125,53.5125,2.168,0.411
202012230BOS,BOS,240,48,101,0.475,18,40,0.45,8,11,0.727,10,27,37,23,8,6,6,17,122,0.576,0.564,0.396,0.109,19.6,71.1,41.6,47.9,8,10.9,5.4,100,122.1,121.1,51.1125,51.1125,2.387,0.45,MIL,240,46,90,0.511,14,35,0.4,15,18,0.833,11,41,52,19,4,6,16,20,121,0.618,0.589,0.389,0.2,28.9,80.4,58.4,41.3,4,9.8,14,100,121.1,122.1,51.775,51.775,2.337,0.367
202012230CHI,CHI,240,36,87,0.414,8,35,0.229,24,28,0.857,8,29,37,20,10,3,15,22,104,0.524,0.46,0.402,0.322,17.4,78.4,44.6,55.6,9.6,6.7,13.1,100,100.1,119.4,53.65,53.65,1.938,0.373,ATL,240,43,80,0.538,14,35,0.4,24,29,0.828,8,38,46,24,6,3,21,29,124,0.668,0.625,0.438,0.363,21.6,82.6,55.4,55.8,5.8,5.8,18.5,100,119.4,100.1,53.3875,53.3875,2.323,0.45
202012230CLE,CLE,240,46,87,0.529,14,30,0.467,15,20,0.75,10,40,50,34,12,3,18,22,121,0.632,0.609,0.345,0.23,29.4,83.3,61,73.9,11.8,6.5,15.8,100,119.2,112.3,52.25,52.25,2.316,0.651,CHO,240,45,90,0.5,16,44,0.364,8,15,0.533,8,24,32,29,10,4,15,17,114,0.59,0.589,0.489,0.167,16.7,70.6,39,64.4,9.8,7,13.4,100,112.3,119.2,52.0625,52.0625,2.19,0.557
202012230DEN,DEN,265,47,98,0.48,8,29,0.276,20,24,0.833,10,36,46,28,6,11,15,25,122,0.562,0.52,0.296,0.245,21.7,66.7,46,59.6,5.5,15.5,12.1,100,111.5,113.3,57.2,63.15833333,2.133,0.49,SAC,265,45,102,0.441,10,31,0.323,24,31,0.774,18,36,54,27,5,7,14,29,124,0.536,0.49,0.304,0.304,33.3,78.3,54,60,4.6,10.1,10.8,100,113.3,111.5,56.3625,62.23359375,2.2,0.479
202012230IND,IND,240,46,94,0.489,8,34,0.235,21,29,0.724,10,40,50,28,6,9,13,24,121,0.567,0.532,0.362,0.309,22.2,88.9,55.6,60.9,5.7,15.8,10.9,100,114.2,101,55.3875,55.3875,2.185,0.506,NYK,240,39,85,0.459,12,28,0.429,17,23,0.739,5,35,40,25,8,8,16,27,107,0.562,0.529,0.329,0.271,11.1,77.8,44.4,64.1,7.6,13.3,14.4,100,101,114.2,53.4625,53.4625,2.001,0.468
202012230MEM,MEM,240,49,95,0.516,10,27,0.37,11,18,0.611,5,37,42,27,6,8,11,20,119,0.578,0.568,0.284,0.189,11.1,82.2,46.7,55.1,5.6,11.4,9.7,100,110.5,121.6,54.775,54.775,2.173,0.493,SAS,240,48,95,0.505,10,25,0.4,25,29,0.862,8,40,48,28,8,8,10,18,131,0.608,0.558,0.263,0.305,17.8,88.9,53.3,58.3,7.4,11.8,8.5,100,121.6,110.5,55.3875,55.3875,2.365,0.506
202012230MIN,MIN,240,38,88,0.432,11,41,0.268,24,28,0.857,12,36,48,25,6,5,11,16,111,0.553,0.494,0.466,0.318,24.5,83.7,52.2,65.8,6.1,8.6,9.9,100,112.7,102.6,50.15,50.15,2.213,0.499,DET,240,45,93,0.484,8,35,0.229,3,8,0.375,7,37,44,29,5,2,12,20,101,0.523,0.527,0.376,0.086,16.3,75.5,47.8,64.4,5.1,4.3,11.1,100,102.6,112.7,50.9,50.9,1.984,0.57
202012230ORL,ORL,240,42,88,0.477,10,28,0.357,19,30,0.633,11,30,41,23,15,3,17,19,113,0.558,0.534,0.318,0.341,23.4,81.1,48.8,54.8,14.3,4.8,14.4,100,107.7,102,54.125,54.125,2.088,0.425,MIA,240,42,83,0.506,7,20,0.35,16,19,0.842,7,36,43,25,11,2,22,21,107,0.586,0.548,0.241,0.229,18.9,76.6,51.2,59.5,10.5,3.3,19.4,100,102,107.7,53.5125,53.5125,2,0.467
202012230PHI,PHI,240,41,87,0.471,8,28,0.286,23,30,0.767,10,37,47,22,11,8,16,25,113,0.564,0.517,0.322,0.345,22.2,88.1,54,53.7,10.4,13.8,13.8,100,106.9,101.2,53.625,53.625,2.107,0.41,WAS,240,39,85,0.459,13,27,0.481,16,23,0.696,5,35,40,28,7,4,19,26,107,0.562,0.535,0.318,0.271,11.9,77.8,46,71.8,6.6,6.8,16.6,100,101.2,106.9,54.9625,54.9625,1.947,0.509
202012230PHO,PHO,240,38,79,0.481,11,30,0.367,19,27,0.704,6,42,48,21,7,7,18,26,106,0.583,0.551,0.38,0.342,15.4,87.5,55.2,55.3,7,14.6,16.5,100,105.5,101.5,51.9125,51.9125,2.042,0.405,DAL,240,36,85,0.424,9,37,0.243,21,26,0.808,6,33,39,17,6,0,11,23,102,0.529,0.476,0.435,0.306,12.5,84.6,44.8,47.2,6,0,10.2,100,101.5,105.5,51.175,51.175,1.993,0.332
202012230POR,POR,240,37,92,0.402,12,33,0.364,14,17,0.824,6,34,40,23,6,3,6,18,100,0.503,0.467,0.359,0.185,11.3,73.9,40.4,62.2,6.1,6.8,5.7,100,101.8,122.1,50.0375,50.0375,1.999,0.46,UTA,240,43,94,0.457,19,50,0.38,15,19,0.789,12,47,59,24,3,3,11,16,120,0.586,0.559,0.532,0.202,26.1,88.7,59.6,55.8,3.1,5.1,9.7,100,122.1,101.8,51.0125,51.0125,2.352,0.47
