,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,home,away
gameId,teamAbbr,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3pAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ortg,Drtg,poss,pace,poss_per_poss,ass_per_poss,teamAbbr,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3pAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ortg,Drtg,poss,pace,poss_per_poss,ass_per_poss,ORtg,ORtg
202210180BOS,BOS,240,46,82,.561,12,35,.343,22,28,.786,6,30,36,24,8,3,10,24,126,.668,.634,.427,.341,18.2,88.2,53.7,52.2,8.1,6.5,9.6,100.0,128.3,119.2,49.65,49.65,2.538,0.483,PHI,240,40,80,.500,13,34,.382,24,28,.857,4,27,31,16,8,3,14,25,117,.634,.581,.425,.350,11.8,81.8,46.3,40.0,8.1,6.4,13.2,100.0,119.2,128.3,51.65,51.65,2.265,0.31,,
202210180GSW,GSW,240,45,99,.455,16,45,.356,17,23,.739,11,37,48,31,11,4,18,23,123,.564,.535,.455,.232,22.0,80.4,50.0,68.9,9.7,7.4,14.2,100.0,108.3,96.0,58.4625,58.4625,2.104,0.53,LAL,240,40,94,.426,10,40,.250,19,25,.760,9,39,48,23,12,4,21,18,109,.519,.479,.426,.266,19.6,78.0,50.0,57.5,10.6,7.4,16.7,100.0,96.0,108.3,58.9375,58.9375,1.849,0.39,,
202210190DET,DET,240,40,94,.426,14,38,.368,19,24,.792,12,29,41,31,11,4,12,21,113,.540,.500,.404,.255,24.0,74.4,46.1,77.5,10.9,7.1,10.3,100.0,112.3,108.3,52.7,52.7,2.144,0.588,ORL,240,42,86,.488,11,30,.367,14,19,.737,10,38,48,21,5,5,18,24,109,.578,.552,.349,.221,25.6,76.0,53.9,50.0,5.0,8.9,16.0,100.0,108.3,112.3,51.5125,51.5125,2.116,0.408,,
202210190IND,IND,240,39,97,.402,15,42,.357,14,21,.667,12,30,42,21,7,5,15,20,107,.504,.479,.433,.216,23.5,68.2,44.2,53.8,6.8,8.2,12.4,100.0,103.7,110.5,54.9875,54.9875,1.946,0.382,WAS,240,42,92,.457,11,31,.355,19,24,.792,14,39,53,21,5,10,16,19,114,.556,.516,.337,.261,31.8,76.5,55.8,50.0,4.8,18.2,13.5,100.0,110.5,103.7,52.7,52.7,2.163,0.398,,
202210190MIA,MIA,240,37,80,.463,12,28,.429,22,28,.786,8,38,46,21,6,2,19,24,108,.585,.538,.350,.350,19.0,76.0,50.0,56.8,5.8,3.5,17.1,100.0,104.7,112.5,52.15,52.15,2.071,0.403,CHI,240,41,93,.441,13,36,.361,21,28,.750,12,34,46,23,12,6,14,26,116,.551,.511,.387,.301,24.0,81.0,50.0,56.1,11.6,11.5,11.7,100.0,112.5,104.7,54.15,54.15,2.142,0.425,,
202210190MEM,MEM,265,42,108,.389,17,50,.340,14,23,.609,20,44,64,27,6,7,13,17,115,.487,.468,.463,.213,35.7,71.0,54.2,64.3,5.6,9.7,9.9,100.0,108.0,105.2,55.9625,61.791927083333334,2.055,0.482,NYK,265,44,109,.404,9,37,.243,15,18,.833,18,36,54,28,7,5,12,26,112,.479,.445,.339,.165,29.0,64.3,45.8,63.6,6.6,8.6,9.3,100.0,105.2,108.0,55.775,61.584895833333334,2.008,0.502,,
202210190TOR,TOR,240,36,86,.419,13,30,.433,23,32,.719,12,29,41,19,15,4,13,23,108,.540,.494,.349,.372,27.3,82.9,51.9,52.8,15.5,8.2,11.5,100.0,111.8,108.7,51.1,51.1,2.114,0.372,CLE,240,38,77,.494,10,28,.357,19,23,.826,6,32,38,25,5,5,17,21,105,.603,.558,.364,.299,17.1,72.7,48.1,65.8,5.2,8.9,16.3,100.0,108.7,111.8,49.4625,49.4625,2.123,0.505,,
202210190ATL,ATL,240,45,90,.500,7,25,.280,20,24,.833,4,34,38,30,12,5,9,18,117,.582,.539,.278,.267,9.3,69.4,41.3,66.7,11.7,7.9,8.2,100.0,114.3,104.5,53.2,53.2,2.199,0.564,HOU,240,42,98,.429,9,35,.257,14,15,.933,15,39,54,25,4,3,15,20,107,.511,.474,.357,.153,30.6,90.7,58.7,59.5,3.9,4.6,12.5,100.0,104.5,114.3,52.5625,52.5625,2.036,0.476,,
202210190BRK,BRK,240,40,89,.449,10,33,.303,18,24,.750,9,30,39,22,10,10,16,25,108,.542,.506,.371,.270,18.4,58.8,39.0,55.0,9.7,13.2,13.8,100.0,104.8,126.2,53.7,53.7,2.011,0.41,NOP,240,50,102,.490,12,26,.462,18,25,.720,21,40,61,31,9,4,12,21,130,.575,.549,.255,.245,41.2,81.6,61.0,62.0,8.7,7.1,9.6,100.0,126.2,104.8,52.4375,52.4375,2.479,0.591,,
