,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away
gameId,teamAbbr,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3pAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ortg,Drtg,poss,pace,poss_per_poss,ass_per_poss,teamAbbr,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3pAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ortg,Drtg,poss,pace,poss_per_poss,ass_per_poss
201410280NOP,NOP,240,41,101,0.406,4,17,0.235,15,31,0.484,26,36,62,20,10,17,9,17,101,0.441,0.426,0.168,0.307,39.4,69.2,52.5,48.8,10.5,23.3,7.3,100,106.1,88.2,49.3625,49.3625,2.046,0.405,ORL,240,32,84,0.381,4,11,0.364,16,21,0.762,16,40,56,17,5,9,18,25,84,0.45,0.405,0.131,0.25,30.8,60.6,47.5,53.1,5.3,10.7,16.2,100,88.2,106.1,47.9875,47.9875,1.75,0.354
201410280SAS,SAS,240,37,70,0.529,14,28,0.5,13,16,0.813,9,29,38,23,5,3,20,20,101,0.656,0.629,0.4,0.229,27.3,76.3,53.5,62.2,5.8,5.3,20.6,100,117.3,116.1,44.3,44.3,2.28,0.519,DAL,240,38,78,0.487,8,21,0.381,16,19,0.842,9,24,33,17,9,3,10,20,100,0.579,0.538,0.269,0.244,23.7,72.7,46.5,44.7,10.5,7.1,10.4,100,116.1,117.3,44.0125,44.0125,2.272,0.386
201410280LAL,LAL,240,28,79,0.354,3,10,0.3,31,39,0.795,11,25,36,16,7,3,11,32,90,0.468,0.373,0.127,0.494,25.0,64.1,43.4,57.1,7.7,6.8,10.3,100,99.0,118.8,48.7625,48.7625,1.846,0.328,HOU,240,31,73,0.425,12,29,0.414,34,50,0.68,14,33,47,22,7,3,13,30,108,0.568,0.507,0.397,0.685,35.9,75.0,56.6,71.0,7.7,4.3,12.0,100,118.8,99.0,47.875,47.875,2.256,0.46
201410290CHO,CHO,265,41,101,0.406,6,21,0.286,20,29,0.69,15,35,50,27,8,9,10,20,108,0.475,0.436,0.208,0.287,31.9,92.1,58.8,65.9,7.9,13.6,8.1,100,106.8,104.8,54.8875,60.60494792,1.968,0.492,MIL,265,39,80,0.488,7,14,0.5,21,24,0.875,3,32,35,25,9,10,14,25,106,0.585,0.531,0.175,0.3,7.9,68.1,41.2,64.1,8.9,12.5,13.4,100,104.8,106.8,51.2,56.53333333,2.07,0.488
201410290IND,IND,240,38,81,0.469,8,25,0.32,19,28,0.679,14,36,50,22,5,13,17,24,103,0.552,0.519,0.309,0.346,34.1,70.6,54.3,57.9,5.3,19.1,15.4,100,109.5,96.7,48.65,48.65,2.117,0.452,PHI,240,34,89,0.382,6,21,0.286,17,30,0.567,15,27,42,17,10,5,11,29,91,0.445,0.416,0.236,0.337,29.4,65.9,45.7,50.0,10.6,8.9,9.7,100,96.7,109.5,49.625,49.625,1.834,0.343
201410290BOS,BOS,240,49,88,0.557,8,22,0.364,15,23,0.652,9,26,35,28,11,5,12,25,121,0.617,0.602,0.25,0.261,23.1,74.3,47.3,57.1,11.1,8.2,10.9,100,121.8,105.7,50.9625,50.9625,2.374,0.549,BRK,240,39,80,0.488,7,19,0.368,20,26,0.769,9,30,39,20,6,7,20,21,105,0.574,0.531,0.238,0.325,25.7,76.9,52.7,51.3,6.0,10.6,17.9,100,105.7,121.8,51.675,51.675,2.032,0.387
201410290MIA,MIA,240,39,81,0.481,9,28,0.321,20,23,0.87,12,32,44,20,9,3,14,17,107,0.587,0.537,0.346,0.284,29.3,82.1,55.0,51.3,9.9,5.4,13.3,100,117.5,104.3,46.9625,46.9625,2.278,0.426,WAS,240,36,75,0.48,6,19,0.316,17,24,0.708,7,29,36,20,7,2,14,20,95,0.555,0.52,0.253,0.32,17.9,70.7,45.0,55.6,7.7,3.8,14.1,100,104.3,117.5,46.7,46.7,2.034,0.428
201410290TOR,TOR,240,37,90,0.411,8,26,0.308,27,33,0.818,16,32,48,26,13,9,9,22,109,0.521,0.456,0.289,0.367,33.3,76.2,53.3,70.3,13.9,15.5,7.9,100,116.6,109.1,49.3375,49.3375,2.209,0.527,ATL,240,40,80,0.5,13,22,0.591,9,17,0.529,10,32,42,26,6,8,17,24,102,0.583,0.581,0.275,0.213,23.8,66.7,46.7,65.0,6.4,12.5,16.3,100,109.1,116.6,47.5375,47.5375,2.146,0.547
201410290MEM,MEM,240,43,82,0.524,4,15,0.267,15,20,0.75,10,23,33,21,10,5,17,21,105,0.578,0.549,0.183,0.244,26.3,54.8,41.3,48.8,10.4,6.8,15.8,100,109.7,105.5,49.25,49.25,2.132,0.426,MIN,240,39,86,0.453,6,12,0.5,17,23,0.739,19,28,47,20,8,4,23,21,101,0.525,0.488,0.14,0.267,45.2,73.7,58.8,51.3,8.4,6.0,19.3,100,105.5,109.7,50.4625,50.4625,2.001,0.396
201410290NYK,NYK,240,31,85,0.365,3,17,0.176,15,17,0.882,14,24,38,19,9,5,11,22,80,0.433,0.382,0.2,0.2,27.5,70.6,44.7,61.3,10.3,10.6,10.6,100,92.0,119.6,45.0375,45.0375,1.776,0.422,CHI,240,36,71,0.507,7,24,0.292,25,30,0.833,10,37,47,21,9,4,15,18,104,0.618,0.556,0.338,0.423,29.4,72.5,55.3,58.3,10.3,5.9,15.1,100,119.6,92.0,45.125,45.125,2.305,0.465
201410290DEN,DEN,240,30,85,0.353,6,24,0.25,23,31,0.742,14,37,51,17,7,4,15,21,89,0.451,0.388,0.282,0.365,27.5,82.2,53.1,56.7,7.3,6.9,13.2,100,92.3,82.0,50.3625,50.3625,1.767,0.338,DET,240,31,84,0.369,6,26,0.231,11,19,0.579,8,37,45,15,4,5,15,27,79,0.428,0.405,0.31,0.226,17.8,72.5,46.9,48.4,4.2,8.2,14.0,100,82.0,92.3,50.0125,50.0125,1.58,0.3
201410290UTA,UTA,240,38,81,0.469,3,18,0.167,14,17,0.824,13,21,34,16,8,6,13,16,93,0.526,0.488,0.222,0.21,32.5,72.4,49.3,42.1,9.1,12.0,12.8,100,106.0,118.5,44.5375,44.5375,2.088,0.359,HOU,240,40,77,0.519,14,27,0.519,10,14,0.714,8,27,35,18,7,6,18,23,104,0.625,0.61,0.351,0.182,27.6,67.5,50.7,45.0,8.0,9.5,17.8,100,118.5,106.0,46.825,46.825,2.221,0.384
201410290PHO,PHO,240,45,82,0.549,16,32,0.5,13,18,0.722,9,31,40,23,5,3,14,25,119,0.662,0.646,0.39,0.22,25.7,72.1,51.3,51.1,5.3,4.1,13.5,100,127.0,105.7,47.775,47.775,2.491,0.481,LAL,240,37,86,0.43,4,13,0.308,21,25,0.84,12,26,38,20,9,3,13,18,99,0.51,0.453,0.151,0.291,27.9,74.3,48.7,54.1,9.6,6.0,11.8,100,105.7,127.0,49.4375,49.4375,2.003,0.405
201410290SAC,SAC,240,24,78,0.308,3,18,0.167,26,35,0.743,15,35,50,13,11,3,26,26,77,0.412,0.327,0.231,0.449,28.8,83.3,53.2,54.2,10.8,6.3,21.8,100,75.6,93.3,52.8125,52.8125,1.458,0.246,GSW,240,33,75,0.44,6,27,0.222,23,32,0.719,7,37,44,21,12,8,22,32,95,0.533,0.48,0.36,0.427,16.7,71.2,46.8,63.6,11.8,13.3,19.8,100,93.3,75.6,52.6,52.6,1.806,0.399
201410290POR,POR,240,39,87,0.448,11,29,0.379,17,22,0.773,13,29,42,23,4,9,10,19,106,0.548,0.511,0.333,0.253,31.0,67.4,49.4,59.0,4.5,13.8,9.4,100,119.4,100.2,47.225,47.225,2.245,0.487,OKC,240,33,81,0.407,2,16,0.125,21,26,0.808,14,29,43,19,9,5,13,28,89,0.481,0.42,0.198,0.321,32.6,69.0,50.6,57.6,10.1,8.6,12.3,100,100.2,119.4,46.175,46.175,1.927,0.411
201410300ORL,ORL,240,37,72,0.514,6,15,0.4,18,24,0.75,3,30,33,20,4,1,18,23,98,0.594,0.556,0.208,0.333,8.8,83.3,47.1,54.1,4.2,1.5,17.9,100,102.4,109.7,49.2,49.2,1.992,0.407,WAS,240,39,80,0.488,7,13,0.538,20,26,0.769,6,31,37,22,10,0,12,25,105,0.574,0.531,0.163,0.325,16.7,91.2,52.9,56.4,10.5,0.0,11.6,100,109.7,102.4,49.175,49.175,2.135,0.447
201410300MIN,MIN,240,37,76,0.487,4,10,0.4,19,28,0.679,10,33,43,18,8,3,12,21,97,0.549,0.513,0.132,0.368,23.8,70.2,48.3,48.6,8.9,4.3,12.0,100,107.4,100.8,45.65,45.65,2.125,0.394,DET,240,38,91,0.418,7,21,0.333,8,13,0.615,14,32,46,20,3,5,12,24,91,0.47,0.456,0.231,0.143,29.8,76.2,51.7,52.6,3.3,7.6,11.0,100,100.8,107.4,47.5875,47.5875,1.912,0.42
201410300CLE,CLE,240,32,70,0.457,9,24,0.375,17,20,0.85,11,22,33,22,5,2,19,15,90,0.571,0.521,0.343,0.286,29.7,71.0,48.5,68.8,6.0,3.5,19.4,100,108.3,114.3,43.75,43.75,2.057,0.503,NYK,240,37,69,0.536,6,12,0.5,15,18,0.833,9,26,35,30,9,1,15,26,95,0.618,0.58,0.174,0.261,29.0,70.3,51.5,81.1,10.8,2.2,16.3,100,114.3,108.3,41.775,41.775,2.274,0.718
201410300DAL,DAL,240,47,85,0.553,8,21,0.381,18,23,0.783,13,31,44,25,8,5,9,15,120,0.631,0.6,0.247,0.271,34.2,67.4,52.4,53.2,8.9,10.4,8.6,100,134.0,113.9,45.9625,45.9625,2.611,0.544,UTA,240,36,83,0.434,14,35,0.4,16,18,0.889,15,25,40,22,6,0,16,21,102,0.561,0.518,0.422,0.217,32.6,65.8,47.6,61.1,6.7,0.0,15.0,100,113.9,134.0,46.275,46.275,2.204,0.475
201410300LAC,LAC,240,34,87,0.391,7,30,0.233,18,25,0.72,14,19,33,17,10,4,11,27,93,0.474,0.431,0.345,0.287,26.4,70.4,41.3,50.0,11.0,9.1,10.1,100,102.3,99.0,47.9375,47.9375,1.94,0.355,OKC,240,28,65,0.431,6,21,0.286,28,34,0.824,8,39,47,23,5,2,22,27,90,0.563,0.477,0.323,0.523,29.6,73.6,58.8,82.1,5.5,3.5,21.6,100,99.0,102.3,47.575,47.575,1.892,0.483
201410310IND,IND,240,34,74,0.459,8,21,0.381,13,16,0.813,11,35,46,19,5,3,18,15,89,0.549,0.514,0.284,0.216,27.5,76.1,53.5,55.9,5.7,5.0,18.2,100,102.2,111.4,44.3,44.3,2.009,0.429,MEM,240,35,79,0.443,7,19,0.368,20,27,0.741,11,29,40,20,11,2,9,21,97,0.534,0.487,0.241,0.342,23.9,72.5,46.5,57.1,12.6,3.8,9.0,100,111.4,102.2,44.9125,44.9125,2.16,0.445
201410310CHI,CHI,265,41,90,0.456,13,31,0.419,13,17,0.765,11,31,42,25,4,14,19,28,108,0.554,0.528,0.344,0.189,25.6,60.8,44.7,61.0,4.0,15.7,16.3,100,106.9,112.8,53.0375,58.56223958,2.036,0.471,CLE,265,41,104,0.394,3,15,0.2,29,33,0.879,20,32,52,18,8,4,9,18,114,0.481,0.409,0.144,0.317,39.2,74.4,55.3,43.9,7.9,6.8,7.1,100,112.8,106.9,54.3375,59.99765625,2.098,0.331
201410310MIL,MIL,240,36,88,0.409,9,24,0.375,12,21,0.571,15,40,55,25,10,11,18,19,93,0.478,0.46,0.273,0.239,33.3,76.9,56.7,69.4,10.3,17.5,15.6,100,96.2,83.8,50.4875,50.4875,1.842,0.495,PHI,240,32,86,0.372,5,23,0.217,12,22,0.545,12,30,42,20,9,5,16,18,81,0.423,0.401,0.267,0.256,23.1,66.7,43.3,62.5,9.3,7.8,14.3,100,83.8,96.2,50.225,50.225,1.613,0.398
201410310PHO,PHO,240,35,87,0.402,2,18,0.111,22,26,0.846,12,38,50,15,2,5,7,21,94,0.477,0.414,0.207,0.299,23.1,88.4,52.6,42.9,2.2,9.4,6.6,100,101.6,96.2,47.175,47.175,1.993,0.318,SAS,240,32,78,0.41,8,25,0.32,17,23,0.739,5,40,45,20,3,3,12,25,89,0.505,0.462,0.321,0.295,11.6,76.9,47.4,62.5,3.2,4.3,12.0,100,96.2,101.6,47.9625,47.9625,1.856,0.417
201410310SAC,SAC,240,34,81,0.42,4,10,0.4,31,35,0.886,14,35,49,14,6,2,10,24,103,0.534,0.444,0.123,0.432,33.3,77.8,56.3,41.2,6.8,3.5,9.4,100,116.3,106.1,46.8125,46.8125,2.2,0.299,POR,240,34,83,0.41,9,26,0.346,17,19,0.895,10,28,38,20,5,8,10,26,94,0.514,0.464,0.313,0.229,22.2,66.7,43.7,58.8,5.6,11.3,9.9,100,106.1,116.3,46.0125,46.0125,2.043,0.435
201410310LAL,LAL,240,42,82,0.512,7,20,0.35,20,28,0.714,9,31,40,24,5,2,14,35,111,0.588,0.555,0.244,0.341,23.1,83.8,52.6,57.1,5.2,5.3,12.9,100,114.7,122.0,50.15,50.15,2.213,0.479,LAC,240,34,71,0.479,12,33,0.364,38,44,0.864,6,30,36,25,6,2,14,26,118,0.653,0.563,0.465,0.62,16.2,76.9,47.4,73.5,6.2,3.2,13.4,100,122.0,114.7,49.95,49.95,2.362,0.501
201411010PHI,PHI,240,35,67,0.522,7,23,0.304,19,26,0.731,4,33,37,28,9,10,24,21,96,0.612,0.575,0.343,0.388,13.3,78.6,51.4,80.0,9.1,16.9,23.4,100,97.1,115.3,49.675,49.675,1.933,0.564,MIA,240,41,83,0.494,12,24,0.5,20,29,0.69,9,26,35,33,16,0,16,20,114,0.595,0.566,0.289,0.349,21.4,86.7,48.6,80.5,16.2,0.0,14.3,100,115.3,97.1,51.8875,51.8875,2.197,0.636
201411010ORL,ORL,240,38,81,0.469,7,20,0.35,12,24,0.5,9,31,40,25,3,7,14,37,95,0.519,0.512,0.247,0.296,20.5,67.4,44.4,65.8,3.2,11.3,13.3,100,101.6,115.5,48.7,48.7,1.951,0.513,TOR,240,33,83,0.398,4,21,0.19,38,48,0.792,15,35,50,13,4,4,7,21,108,0.519,0.422,0.253,0.578,32.6,79.5,55.6,39.4,4.3,6.6,6.3,100,115.5,101.6,48.9,48.9,2.209,0.266
201411010NOP,NOP,240,38,89,0.427,7,19,0.368,21,28,0.75,14,33,47,24,8,4,13,19,104,0.513,0.466,0.213,0.315,29.8,75.0,51.6,63.2,8.2,6.3,11.4,100,107.2,112.3,50.65,50.65,2.053,0.474,DAL,240,46,89,0.517,6,25,0.24,11,19,0.579,11,33,44,25,4,6,12,25,109,0.56,0.551,0.281,0.213,25.0,70.2,48.4,54.3,4.1,8.6,11.0,100,112.3,107.2,49.5125,49.5125,2.201,0.505
201411010CHO,CHO,240,26,72,0.361,4,14,0.286,13,18,0.722,5,39,44,17,10,4,20,16,69,0.432,0.389,0.194,0.25,12.2,81.3,49.4,65.4,10.7,5.8,20.0,100,74.1,76.3,47.775,47.775,1.444,0.356,MEM,240,29,80,0.363,3,11,0.273,10,13,0.769,9,36,45,16,8,0,18,22,71,0.414,0.381,0.138,0.163,18.8,87.8,50.6,55.2,8.6,0.0,17.4,100,76.3,74.1,47.5875,47.5875,1.492,0.336
