,Y_prob,odds_mean,per_bet,home,firm,p_return,team_abbr
202210290CHI,0.4037326926910753,0.43641036532204447,0.006473027748322713,False,Unibet,0.7299270072992701,PHI
202210300DET,0.39226478976808404,0.27676944376056223,0.020856267825717853,True,bet365,2.4,DET
202210300SAS,0.31628238616487003,0.3236853552066138,0.0,0,0,0.0,0
202210310WAS,0.35912308134839344,0.4316658864684223,0.02125437533660095,False,Unibet,0.7194244604316546,PHI
202210310BRK,0.6340995493807299,0.7333741436933823,0.018302401282463795,False,bet365,2.6,IND
202210310TOR,0.5777297468961091,0.5441658444363606,0.006216978818125157,True,Unibet,0.7874015748031497,TOR
202210310UTA,0.466481906011167,0.42595601622817797,0.007935298228554934,True,bet365,1.29,UTA
202210310LAC,0.7076498892431514,0.7539463294045502,0.007249936135433245,False,bet365,2.9,HOU
202211010MIA,0.5227714500062889,0.5163470133506985,0.0,0,0,0.0,0
202211010BRK,0.6184008965658505,0.5478640654344135,0.020065505280672098,True,Unibet,0.7874015748031497,BRK
202211010OKC,0.5768856152136624,0.5830299093803103,0.0,0,0,0.0,0
202211010PHO,0.6484646974086056,0.6061919151370546,0.006573596542711074,True,Unibet,0.5813953488372093,PHO
202211020PHI,0.6462125803296489,0.6638983270860146,0.000672498329229787,False,bet365,1.85,WAS
202211020CLE,0.39080581854709634,0.4707510000819234,0.021034079879458205,False,bet365,0.8333333333333334,BOS
202211020MIA,0.6553851156339275,0.6283297894835365,0.009397127178642444,True,Unibet,0.5813953488372093,MIA
202211020NYK,0.5682594612450341,0.5548622811103279,0.0010495141295367716,True,Unibet,0.7692307692307693,NYK
202211020SAS,0.33079546174989805,0.30411012636989215,0.003991737109068666,True,Unibet,2.2,SAS
202211020MIL,0.8108711178039638,0.8309794562517123,0.0027628759777013055,False,bet365,4.75,DET
202211020HOU,0.37767598847796363,0.3319379597450506,0.007520555256796937,True,Unibet,1.9,HOU
202211020CHI,0.6561065590614054,0.6767110874740775,0.0011142808283734012,False,bet365,1.95,CHO
202211020DAL,0.6561121674512536,0.6871246590138472,0.0047180200643652855,False,bet365,2.1,UTA
202211020POR,0.354237329016783,0.3534161682960029,0.0,0,0,0.0,0
202211020LAL,0.47329356150482127,0.44735707505346023,0.006761541726311146,True,Unibet,1.23,LAL
202211030ORL,0.22359099537964866,0.21431683646995148,0.0,0,0,0.0,0
202211030OKC,0.36988208487107166,0.3079051681985746,0.011520597721665743,True,bet365,2.15,OKC
202211040DET,0.3637204461290304,0.3946920018878193,0.004329961325323311,False,bet365,0.5988023952095808,CLE
202211040IND,0.40344387996629033,0.4139009576388964,0.0,0,0,0.0,0
202211040PHI,0.5788557495846394,0.5489526924959975,0.01102239736293099,True,bet365,0.8333333333333334,PHI
202211040WAS,0.6041068543810051,0.5795866308132409,0.002133910111305404,True,Unibet,0.6711409395973155,WAS
202211040BOS,0.6809134257050331,0.7024278811615503,0.002468757763909493,False,bet365,2.25,CHI
202211040MEM,0.8191701481168095,0.824721436962253,0.001255946789316159,False,bet365,4.75,CHO
202211040SAS,0.3624595647830617,0.40076304081448655,0.006466012345907557,False,Unibet,0.6097560975609756,LAC
202211040DAL,0.6304721883535368,0.6190709931294351,0.0,0,0,0.0,0
202211040NOP,0.8000525984208489,0.795898339484477,0.001754959704372122,False,bet365,4.25,GSW
202211040PHO,0.7690053669534808,0.8422395186279097,0.011579033948373462,False,bet365,5.0,POR
202211040MIN,0.47647021863423783,0.4582913223282678,0.0,0,0,0.0,0
202211040LAL,0.593462450925037,0.5969536015360374,0.0,0,0,0.0,0
202211050ORL,0.3499659857199806,0.36424824084400126,0.0019643880404482173,False,bet365,0.5494505494505495,SAC
202211050CHO,0.4061675578996549,0.3946395315473516,0.0,0,0,0.0,0
202211050ATL,0.50631801201248,0.5403718628260755,0.005008932923698928,False,bet365,1.1,NOP
202211050NYK,0.40210763773007413,0.38710802426818364,0.0005269094325185241,True,bet365,1.5,NYK
202211050MIL,0.6413464531374337,0.6486454941991091,5.391584468380506e-05,False,bet365,1.79,OKC
202211050MIN,0.6547386180699816,0.7257251307502972,0.013123540868047156,False,bet365,2.54,HOU
202211050DEN,0.810788656747449,0.8280506896709525,0.0013554129296343405,False,bet365,4.5,SAS
202211050PHO,0.7752281037645224,0.8286380810486552,0.009234896948020923,False,bet365,4.75,POR
202211060LAL,0.32787898505666835,0.34936857380135933,0.0,0,0,0.0,0
202211060MEM,0.7986866284933144,0.7766246055855742,0.0,0,0,0.0,0
202211060TOR,0.6786989338205759,0.6155903865139991,0.021318922995140637,True,Unibet,0.5988023952095808,TOR
202211060LAC,0.6741365188371556,0.6008970330035389,0.022424447124746432,True,Unibet,0.6211180124223602,LAC
202211070CHO,0.5947149568039206,0.5395078483786808,0.012000442791734971,True,Unibet,0.7874015748031497,CHO
202211070ORL,0.6135507758894272,0.6390327024541922,0.003830550449871753,False,bet365,1.7,HOU
202211070DET,0.4828007132616769,0.46213383910627287,0.00189293152493476,True,bet365,1.1,DET
202211070IND,0.34359300785811675,0.3565372879177881,0.0,0,0,0.0,0
202211070PHI,0.44103861205798783,0.46961614946433494,0.005780373857037974,False,Unibet,0.847457627118644,PHO
202211070ATL,0.3396665835189955,0.3506240440747129,0.0,0,0,0.0,0
202211070MIA,0.6877190742982692,0.6501721592721068,0.009473583434221127,True,bet365,0.5,MIA
202211070CHI,0.4853164171255911,0.5459757950000217,0.013345114125162507,False,bet365,1.14,TOR
202211070MEM,0.4466283904290379,0.39374443076232807,0.00974891964322167,True,bet365,1.45,MEM
202211070MIN,0.5832887600544322,0.5682313594049914,0.0,0,0,0.0,0
202211070SAS,0.2839897588938347,0.2760721744919007,0.00031439447741190283,True,Unibet,2.54,SAS
202211070DAL,0.6663317350520593,0.6701693001242605,0.0,0,0,0.0,0
202211070GSW,0.6436252551391811,0.7390857914429411,0.017024593513697485,False,bet365,2.65,SAC
202211070UTA,0.6793302945629299,0.6990012975814384,0.001782481186269838,False,bet365,2.2,LAL
202211070LAC,0.45284672625582695,0.39384281275815847,0.014632858898357179,True,bet365,1.54,LAC
202211090ORL,0.26329878368064785,0.2463064916530055,0.002659756736129572,True,bet365,3.0,ORL
202211090CHO,0.4872333850980016,0.46024900301630395,0.004410907554611185,True,Unibet,1.12,CHO
202211090IND,0.3228083017055438,0.3637267923400797,0.011999451020880014,False,Unibet,0.5405405405405406,DEN
202211090BRK,0.5995039299070452,0.5835747523791985,0.0,0,0,0.0,0
202211090TOR,0.7653468900132041,0.7944561312204405,0.0045840908974912175,False,bet365,3.75,HOU
202211090BOS,0.8179446375973634,0.8651316246788969,0.006859688420461411,False,bet365,6.0,DET
202211090ATL,0.6156842054896656,0.6221616100080876,0.0016760777683987344,False,bet365,1.65,UTA
202211090CHI,0.44525849569897313,0.45942646295303546,0.003064696419338869,False,Unibet,0.8333333333333334,NOP
202211090MIN,0.5487358832828834,0.5413871080401382,0.0,0,0,0.0,0
202211090OKC,0.4095061341444615,0.48106601087063605,0.017934271738411164,False,Unibet,0.8695652173913043,MIL
202211090SAS,0.33213250799713373,0.33023428920088543,0.0,0,0,0.0,0
202211090LAC,0.6699908393733602,0.5814975529447948,0.025256537283130175,True,bet365,0.6578947368421053,LAC
