game_id,Y_prob,odds_mean,per_bet,firm,p_return,team_abbr
202210290CHI,0.3828089403925235,0.43828317379135867,0.01854856225394388,Unibet,0.7299270072992701,PHI
202210300DET,0.40606470214992507,0.2771459869606055,0.031718332275812104,bet365,2.4,DET
202210300SAS,0.2940678614410562,0.3224847924051695,0.007679618617549244,Unibet,0.4405286343612334,MIN
202210310WAS,0.3991512272216556,0.4327754426042098,0.00920571338804863,Unibet,0.7194244604316546,PHI
202210310BRK,0.5416848281028015,0.7242382917221044,0.049994970679224204,bet365,2.6,IND
202210310TOR,0.5535601489991718,0.5420047688986066,0.0,,0.0,
202210310UTA,0.507206188946166,0.42380085503158066,0.025039096540576768,bet365,1.29,UTA
202210310LAC,0.6663453184400722,0.7557898301353865,0.02077608676439438,bet365,2.9,HOU
202211010BRK,0.5723959851259591,0.5481195372451958,0.005867777247185457,Unibet,0.7874015748031497,BRK
202211010MIA,0.5031257439668483,0.5180265022703505,0.0,,0.0,
202211010OKC,0.5425252959599918,0.5842370836953029,0.011120822888002868,bet365,1.35,ORL
202211010PHO,0.5829692747856362,0.6043209149745185,0.007695849616166761,bet365,1.54,MIN
202211020PHI,0.6457249568118916,0.6636895898048087,0.0010469051984982713,bet365,1.85,WAS
202211020CLE,0.4648921202092908,0.47596842072367496,0.0,,0.0,
202211020MIA,0.6497048969324677,0.6228904299657098,0.009439463931262427,Unibet,0.5813953488372093,MIA
202211020NYK,0.5789286996082629,0.5555731622737529,0.006307201819800934,Unibet,0.7692307692307693,NYK
202211020CHI,0.6360972323751548,0.6795557703668416,0.007539811742901881,bet365,1.95,CHO
202211020HOU,0.36895327278770884,0.334624923994762,0.007364683272037431,Unibet,1.9,HOU
202211020MIL,0.7754831097473444,0.8293012664133421,0.012251457640116632,bet365,4.75,DET
202211020SAS,0.3504399793510923,0.3087261859933556,0.011037084902135941,Unibet,2.2,SAS
202211020DAL,0.6308099348555664,0.6883830869665815,0.013760876375975652,bet365,2.1,UTA
202211020POR,0.38145466774702425,0.346914397535725,0.005600038434779054,bet365,1.75,POR
202211020LAL,0.46544323299439977,0.44608249683074935,0.006168847085774232,Unibet,1.23,LAL
202211030ORL,0.24641493727148936,0.22006768726833706,0.004954454352620774,Unibet,3.4,ORL
202211030OKC,0.38000833105020937,0.3102514500045073,0.018328022586805538,bet365,2.15,OKC
202211040DET,0.3778515361212931,0.39822094704890754,0.0,,0.0,
202211040IND,0.4396801621640196,0.41593509827361796,0.004925686086732762,bet365,1.35,IND
202211040PHI,0.5921348375535767,0.564094171504379,0.020539328523573732,bet365,0.8333333333333334,PHI
202211040WAS,0.6069495931108605,0.5722751417096075,0.004260897369208538,Unibet,0.6711409395973155,WAS
202211040BOS,0.6785828381840701,0.7066555651842668,0.003964957857935314,bet365,2.25,CHI
202211040MEM,0.829342979301399,0.8284665616629859,0.0,,0.0,
202211040SAS,0.3794549387717231,0.40370464587934646,0.0,,0.0,
202211040DAL,0.5450888259789913,0.6138518277428519,0.022846131556827822,bet365,1.6,TOR
202211040NOP,0.7947032025258414,0.8035829927527454,0.003661561728909779,bet365,4.25,GSW
202211040MIN,0.4641940255452528,0.460046273093861,0.0,,0.0,
202211040PHO,0.7695761321492999,0.846381298051373,0.015301728284168032,bet365,5.0,POR
202211040LAL,0.5263345458359446,0.5926013917600818,0.0221352224416463,bet365,1.45,UTA
202211050ORL,0.3348820564156456,0.3769707969809748,0.011126520181575894,bet365,0.5494505494505495,SAC
202211050CHO,0.3610404680630974,0.4032513438179126,0.011536875671063141,bet365,0.6211180124223602,BRK
202211050ATL,0.49156557620354363,0.5408686761030698,0.012311325449556088,bet365,1.1,NOP
202211050NYK,0.38735724075520295,0.39035255880727354,0.0,,0.0,
202211050MIL,0.6337401569224297,0.6569836650769348,0.0024430125347956635,bet365,1.79,OKC
202211050MIN,0.6601549780344942,0.7318147930029785,0.015988297461251223,bet365,2.54,HOU
202211050DEN,0.8069143889409732,0.8244375191104532,0.002754260481095433,bet365,4.5,SAS
202211050PHO,0.7454000815546978,0.8272189723915432,0.019534717097283685,bet365,4.75,POR
202211060LAL,0.31080789896428346,0.356056598105244,0.002947792056644283,Unibet,0.4608294930875576,CLE
202211060MEM,0.7465279217648858,0.7753657239566727,0.006781008484382495,Unibet,3.4,WAS
202211060TOR,0.7237750166681228,0.6055987555051793,0.052495858900777584,Unibet,0.5988023952095808,TOR
202211060LAC,0.6134841291658877,0.5973200608087458,0.0,,0.0,
202211070CHO,0.5164857103407934,0.5368385117266882,0.002796365142606172,bet365,1.1,WAS
202211070ORL,0.6172181379614107,0.6360368787128696,0.003942473824022486,bet365,1.7,HOU
202211070DET,0.4640456005076786,0.4625989811199194,0.0,,0.0,
202211070IND,0.31881721272512886,0.36208122165253426,0.008709672364922682,bet365,0.5,NOP
202211070PHI,0.4522617134868739,0.4606144656714589,0.0028138929197229824,Unibet,0.847457627118644,PHO
202211070ATL,0.36750725693355063,0.34994345484263023,0.0028318711558219414,bet365,1.79,ATL
202211070MIA,0.6917226693665736,0.6483142804969212,0.015033601619944138,bet365,0.5,MIA
202211070CHI,0.4412764376118128,0.5461799324361982,0.034327793598372035,bet365,1.14,TOR
202211070MEM,0.3698635760332761,0.4051202559635363,0.006931213310629892,Unibet,0.6211180124223602,BOS
202211070MIN,0.5593035983665362,0.5660060760618212,0.0,,0.0,
202211070SAS,0.2935806197397805,0.2782838475231299,0.003092550699119923,Unibet,2.54,SAS
202211070DAL,0.6623949836124692,0.6701605833461229,0.0,,0.0,
202211070GSW,0.6976518277098676,0.7315435432436302,0.007816666328979883,bet365,2.65,SAC
202211070UTA,0.686481610073009,0.7031657567894203,0.00029625888785193014,bet365,2.2,LAL
202211070LAC,0.4189872414922783,0.39504111927206176,0.008341245894855432,bet365,1.54,LAC
202211090ORL,0.24868631664775723,0.2485980136636778,0.0,,0.0,
202211090CHO,0.46013106757778227,0.46659888266777605,0.0,,0.0,
202211090IND,0.29291214820703226,0.3617500114770737,0.03304007552199162,Unibet,0.5405405405405406,DEN
202211090BOS,0.8150840244721177,0.8617644244184521,0.009813727623172536,bet365,6.0,DET
202211090ATL,0.6003065341307425,0.6176778339548126,0.007174264794367547,bet365,1.65,UTA
202211090TOR,0.694746756833502,0.791875623323271,0.023997488268846175,bet365,3.75,HOU
202211090BRK,0.5752743601992099,0.5817488209354037,0.0,,0.0,
202211090CHI,0.4724409066636092,0.4598611590174949,0.0,,0.0,
202211090MIN,0.5069967939894049,0.5383612381350088,0.006419405931318134,bet365,1.1,PHO
202211090OKC,0.46690223378762435,0.4848594259694976,0.0,,0.0,
202211090SAS,0.32199024492688705,0.3345397467559453,0.0,,0.0,
202211090LAC,0.6821957171670743,0.5815529321669067,0.03982664145220545,bet365,0.6578947368421053,LAC
202211090SAC,0.276144242289164,0.37553503874333904,0.0481206667409598,Unibet,0.5714285714285714,CLE
202211100WAS,0.34392694003641616,0.33163974589074485,0.0014958433956336115,bet365,1.95,WAS
202211100ATL,0.48919407472813586,0.5124144589167847,0.004322370108745666,bet365,1.0,PHI
202211100MIA,0.7724353521956934,0.8160145524834478,0.011182469463274954,bet365,4.5,CHO
202211100NOP,0.7619094291953511,0.7693922421119515,0.0007313800566004836,bet365,3.25,POR
202211110BOS,0.4960022123759869,0.6208282738990719,0.036383685787661484,bet365,1.54,DEN
202211110ORL,0.31074685514549677,0.28717205991423106,0.003489528913822493,bet365,2.35,ORL
202211110NYK,0.7369248237481857,0.7636089853752983,0.00726581532739759,bet365,3.25,DET
202211110OKC,0.32197931989699635,0.3567835393049833,0.0,,0.0,
202211110SAS,0.5670313331227628,0.5321409633828134,0.005164099905243247,bet365,0.8,SAS
202211110MEM,0.6459739403742706,0.6109834518137055,0.010950084159860474,Unibet,0.5988023952095808,MEM
202211110GSW,0.5662271650570088,0.5771803545948063,0.002869061054226585,bet365,1.35,CLE
202211110LAL,0.33307581425631383,0.39353043306502655,0.02213751518712841,Unibet,0.5988023952095808,SAC
202211120LAC,0.6040152788040175,0.5247235009351812,0.025766722673767707,Unibet,0.8333333333333334,LAC
