,Name,Id,height,weight,PG,SG,SF,PF,CE,salary,shoots,debut,birth,experience
0,Malik Beasley,beaslma01,193,84,-1,1,-1,-1,-1,14391964.0,Right,"November 5, 2016","November 26, 1996",6 years
1,Patrick Beverley,beverpa01,185,81,1,2,-1,-1,-1,14320988.0,Right,"January 15, 2013","July 12, 1988",10 years
2,Leandro Bolmaro,bolmale01,198,90,-1,1,2,-1,-1,2353320.0,Right,"October 20, 2021","September 11, 2000",1 year
3,Anthony Edwards,edwaran01,193,102,-1,1,-1,-1,-1,10245480.0,Right,"December 23, 2020","August 5, 2001",2 years
4,Nathan Knight,knighna01,208,114,-1,-1,-1,1,-1,,Right,"December 23, 2020","September 20, 1997",2 years
5,Jake Layman,laymaja01,203,94,-1,-1,1,-1,-1,3940184.0,Right,"November 1, 2016","March 7, 1994",6 years
6,Jaden McDaniels,mcdanja02,206,83,-1,-1,-1,1,-1,2063280.0,Right,"December 27, 2020","September 29, 2000",2 years
7,Jordan McLaughlin,mclaujo01,180,83,1,-1,-1,-1,-1,2000000.0,Right,"November 6, 2019","April 9, 1996",3 years
8,Greg Monroe,monrogr01,211,120,-1,-1,-1,2,1,193227.0,Left,"October 30, 2010","June 4, 1990",10 years
9,Jaylen Nowell,nowelja01,193,91,-1,1,-1,-1,-1,1782621.0,Right,"November 6, 2019","July 9, 1999",3 years
10,Josh Okogie,okogijo01,193,96,-1,1,-1,-1,-1,4087904.0,Right,"October 20, 2018","September 1, 1998",4 years
11,Taurean Prince,princta02,201,98,-1,-1,2,1,-1,13000000.0,Right,"October 27, 2016","March 22, 1994",6 years
12,Naz Reid,reidna01,206,119,-1,-1,-1,-1,1,1782621.0,Right,"December 8, 2019","August 26, 1999",3 years
13,D'Angelo Russell,russeda01,193,87,1,-1,-1,-1,-1,30013500.0,Left,"October 28, 2015","February 23, 1996",7 years
14,Chris Silva,silvach01,203,106,-1,-1,-1,1,-1,383720.0,Right,"October 23, 2019","September 19, 1996",3 years
15,Karl-Anthony Towns,townska01,211,112,-1,-1,-1,-1,1,31650600.0,Right,"October 28, 2015","November 15, 1995",7 years
16,Jarred Vanderbilt,vandeja01,206,97,-1,-1,-1,1,-1,4000000.0,Left,"January 25, 2019","April 3, 1999",4 years
17,McKinley Wright IV,wrighmc01,183,88,1,-1,-1,-1,-1,,Right,"October 20, 2021","October 25, 1998",1 year
18,Steven Adams,adamsst01,211,120,-1,-1,-1,-1,1,17073171.0,Right,"October 30, 2013","July 20, 1993",9 years
19,Santi Aldama,aldamsa01,211,101,-1,-1,-1,1,-1,1994520.0,Right,"October 27, 2021","January 10, 2001",1 year
20,Kyle Anderson,anderky01,206,104,-1,-1,1,2,-1,9937150.0,Right,"November 6, 2014","September 20, 1993",8 years
21,Desmond Bane,banede01,196,97,-1,1,-1,-1,-1,2033160.0,Right,"December 23, 2020","June 25, 1998",2 years
22,Dillon Brooks,brookdi01,201,102,-1,2,1,-1,-1,12200000.0,Right,"October 18, 2017","January 22, 1996",5 years
23,Shaq Buchanan,buchash01,190,86,-1,1,-1,-1,-1,53176.0,Right,"December 26, 2021","January 30, 1997",1 year
24,Brandon Clarke,clarkbr01,203,97,-1,-1,-1,1,-1,2726880.0,Right,"October 23, 2019","September 19, 1996",3 years
25,Jarrett Culver,culveja01,198,88,-1,1,-1,-1,-1,6395160.0,Right,"October 23, 2019","February 20, 1999",3 years
26,Jaren Jackson Jr.,jacksja02,211,109,-1,-1,-1,2,1,9180560.0,Right,"October 17, 2018","September 15, 1999",4 years
27,DaQuan Jeffries,jeffrda01,196,104,-1,1,-1,-1,-1,95930.0,Right,"November 15, 2019","August 30, 1997",3 years
28,Tyus Jones,jonesty01,183,88,1,-1,-1,-1,-1,7600000.0,Right,"November 10, 2015","May 10, 1996",7 years
29,John Konchar,konchjo01,196,95,-1,1,-1,-1,-1,2200000.0,Right,"November 9, 2019","March 22, 1996",3 years
30,Dakota Mathias,mathida01,193,90,-1,1,-1,-1,-1,106352.0,Right,"December 27, 2020","July 11, 1995",2 years
31,De'Anthony Melton,meltode01,188,90,1,2,-1,-1,-1,8805976.0,Right,"October 22, 2018","May 28, 1998",4 years
32,Sam Merrill,merrisa01,193,92,-1,1,-1,-1,-1,1517981.0,Right,"December 23, 2020","May 15, 1996",2 years
33,Ja Morant,moranja01,190,78,1,-1,-1,-1,-1,9603360.0,Right,"October 23, 2019","August 10, 1999",3 years
34,Yves Pons,ponsyv01,198,97,-1,-1,1,-1,-1,,Left,"November 12, 2021","May 7, 1999",1 year
35,Xavier Sneed,sneedxa01,196,97,-1,-1,1,-1,-1,53176.0,Right,"December 31, 2021","December 21, 1997",1 year
36,Tyrell Terry,terryty01,188,72,1,-1,-1,-1,-1,1517981.0,Right,"December 25, 2020","September 28, 2000",2 years
37,Jon Teske,teskejo01,216,120,-1,-1,-1,-1,1,53176.0,Right,"January 3, 2022","May 4, 1997",1 year
38,Killian Tillie,tilliki02,206,99,-1,-1,-1,-1,1,,Right,"February 28, 2021","March 5, 1998",2 years
39,Xavier Tillman Sr.,tillmxa01,203,111,-1,-1,-1,1,-1,1517981.0,Right,"January 3, 2021","January 12, 1999",2 years
40,Ziaire Williams,willizi02,203,97,-1,-1,1,-1,-1,4373160.0,Right,"October 20, 2021","September 12, 2001",1 year
41,Grayson Allen,allengr01,193,89,-1,1,-1,-1,-1,4054695.0,Right,"October 22, 2018","October 8, 1995",4 years
42,Giannis Antetokounmpo,antetgi01,211,109,3,4,2,1,-1,39344970.0,Right,"October 30, 2013","December 6, 1994",9 years
43,Thanasis Antetokounmpo,antetth01,198,99,-1,-1,1,-1,-1,1729217.0,Right,"January 29, 2016","July 18, 1992",4 years
44,DeAndre' Bembry,bembrde01,196,95,-1,2,1,-1,-1,1939350.0,Right,"October 27, 2016","July 4, 1994",6 years
45,Jevon Carter,carteje01,185,90,1,-1,-1,-1,-1,3650000.0,Right,"December 15, 2018","September 14, 1995",4 years
46,Pat Connaughton,connapa01,196,94,-1,1,2,-1,-1,5333333.0,Right,"October 30, 2015","January 6, 1993",7 years
47,DeMarcus Cousins,couside01,208,122,-1,-1,-1,-1,1,1138659.0,Right,"October 27, 2010","August 13, 1990",11 years
48,Javin DeLaurier,delauja01,208,107,-1,-1,-1,-1,1,53176.0,Right,"January 1, 2022","April 7, 1998",1 year
49,Donte DiVincenzo,divindo01,193,92,-1,1,-1,-1,-1,4675830.0,Right,"October 17, 2018","January 31, 1997",4 years
50,Jeff Dowtin,dowtije01,190,83,1,-1,-1,-1,-1,53176.0,Right,"November 3, 2021","May 10, 1997",1 year
51,Langston Galloway,gallola01,185,90,2,1,-1,-1,-1,257418.0,Right,"January 7, 2015","December 9, 1991",8 years
52,George Hill,hillge01,193,85,1,-1,-1,-1,-1,4000000.0,Right,"November 4, 2008","May 4, 1986",14 years
53,Jrue Holiday,holidjr01,190,92,1,2,-1,-1,-1,30133333.0,Right,"October 30, 2009","June 12, 1990",13 years
54,Rodney Hood,hoodro01,203,94,-1,1,2,3,-1,2239544.0,Left,"October 29, 2014","October 20, 1992",8 years
55,Serge Ibaka,ibakase01,208,106,-1,-1,-1,1,2,9720900.0,Right,"October 30, 2009","September 18, 1989",13 years
56,Georgios Kalaitzakis,kalaige01,203,87,-1,-1,1,-1,-1,462629.0,Right,"October 19, 2021","January 2, 1999",1 year
57,Luke Kornet,kornelu01,218,113,-1,-1,-1,2,1,606702.0,Right,"February 8, 2018","July 15, 1995",5 years
58,Brook Lopez,lopezbr01,213,127,-1,-1,-1,-1,1,13302325.0,Right,"October 29, 2008","April 1, 1988",14 years
59,Sandro Mamukelashvili,mamuksa01,211,108,-1,-1,-1,1,-1,,Left,"October 19, 2021","May 23, 1999",1 year
60,Wesley Matthews,matthwe02,193,99,-1,1,2,-1,-1,1958501.0,Right,"October 28, 2009","October 14, 1986",13 years
61,Khris Middleton,middlkh01,201,100,-1,2,1,-1,-1,35500000.0,Right,"November 10, 2012","August 12, 1991",10 years
62,Jordan Nwora,nworajo01,203,102,-1,-1,1,-1,-1,1517981.0,Right,"December 25, 2020","September 9, 1998",2 years
63,Semi Ojeleye,ojelese01,198,108,-1,-1,-1,1,-1,1789256.0,Right,"October 17, 2017","December 5, 1994",5 years
64,Bobby Portis,portibo01,208,113,-1,-1,-1,1,2,4347600.0,Right,"November 3, 2015","February 10, 1995",7 years
65,Justin Robinson,robinju01,185,88,1,-1,-1,-1,-1,95930.0,Left,"October 23, 2019","October 12, 1997",3 years
66,Javonte Smart,smartja01,193,92,1,-1,-1,-1,-1,,Right,"December 4, 2021","June 3, 1999",1 year
67,Rayjon Tucker,tuckera01,190,94,2,1,-1,-1,-1,95930.0,Right,"December 30, 2019","September 24, 1997",3 years
68,Luca Vildoza,vildolu01,190,86,-1,-1,-1,-1,-1,42789.0,,"April 22, 2022","August 11, 1995",1 year
69,Lindell Wigginton,wiggili01,188,85,1,-1,-1,-1,-1,,Right,"January 13, 2022","March 28, 1998",1 year
70,LaMelo Ball,ballla01,201,81,1,-1,-1,-1,-1,8231760.0,Right,"December 23, 2020","August 22, 2001",2 years
71,James Bouknight,bouknja01,196,86,-1,1,-1,-1,-1,4154400.0,Right,"October 22, 2021","September 18, 2000",1 year
72,Miles Bridges,bridgmi02,198,102,-1,-1,2,1,-1,5421493.0,Left,"October 17, 2018","March 21, 1998",4 years
73,Vernon Carey Jr.,careyve01,206,122,-1,-1,-1,-1,1,1517981.0,Left,"December 30, 2020","February 25, 2001",2 years
74,Montrezl Harrell,harremo01,201,108,-1,-1,-1,2,1,9720900.0,Right,"October 28, 2015","January 26, 1994",7 years
75,Gordon Hayward,haywago01,201,102,-1,-1,1,2,-1,29925000.0,Right,"October 27, 2010","March 23, 1990",12 years
76,Kai Jones,joneska01,211,98,-1,-1,-1,-1,1,2770560.0,Right,"October 22, 2021","January 19, 2001",1 year
77,Arnoldas Kulboka,kulboar01,206,89,-1,-1,1,-1,-1,,Right,"December 10, 2021","January 4, 1998",1 year
78,Scottie Lewis,lewissc01,196,85,-1,1,-1,-1,-1,,Right,"December 13, 2021","March 12, 2000",1 year
79,Cody Martin,martico01,196,92,-1,-1,1,-1,-1,1782621.0,Right,"October 25, 2019","September 28, 1995",3 years
80,Jalen McDaniels,mcdanja01,206,92,-1,-1,1,-1,-1,1782621.0,Right,"October 25, 2019","January 31, 1998",3 years
81,Kelly Oubre Jr.,oubreke01,201,92,-1,-1,1,-1,-1,12000000.0,Left,"October 30, 2015","December 9, 1995",7 years
82,Mason Plumlee,plumlma01,211,115,-1,-1,-1,-1,1,8137500.0,Right,"November 3, 2013","March 5, 1990",9 years
83,Nick Richards,richani01,213,111,-1,-1,-1,2,1,1517981.0,Right,"December 30, 2020","November 29, 1997",2 years
84,Terry Rozier,roziete01,185,86,1,2,-1,-1,-1,17905263.0,Right,"October 28, 2015","March 17, 1994",7 years
85,Ish Smith,smithis01,183,79,1,-1,-1,-1,-1,4500000.0,Right,"October 26, 2010","July 5, 1988",12 years
86,Isaiah Thomas,thomais02,175,83,1,2,-1,-1,-1,552077.0,Left,"December 26, 2011","February 7, 1989",11 years
87,JT Thor,thorjt01,208,92,-1,-1,-1,1,-1,1250000.0,Left,"October 22, 2021","August 26, 2002",1 year
88,P.J. Washington,washipj01,201,104,-1,-1,-1,1,2,4215120.0,Right,"October 23, 2019","August 23, 1998",3 years
89,Deandre Ayton,aytonde01,211,113,-1,-1,-1,-1,1,12632950.0,Right,"October 17, 2018","July 23, 1998",4 years
90,Paris Bass,basspa01,203,90,-1,-1,1,-1,-1,106352.0,Right,"January 2, 2022","August 29, 1995",1 year
91,Bismack Biyombo,biyombi01,203,115,-1,-1,-1,-1,1,1518213.0,Right,"December 26, 2011","August 28, 1992",11 years
92,Devin Booker,bookede01,196,93,-1,1,-1,-1,-1,31650600.0,Right,"October 28, 2015","October 30, 1996",7 years
