"('probCut', '1xBet (%)')","('colWin', 'win')",1xBet (%),Coolbet (%),GGBET (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%)
"(0, 10]",-1,100.0,,,,,,,,,
"(0, 10]",1,0.0,,,,,,,,,
"(10, 20]",-1,73.07692307692308,70.37037037037037,72.72727272727273,72.41379310344827,71.42857142857143,74.07407407407408,72.72727272727273,71.42857142857143,73.33333333333333,75.0
"(10, 20]",1,26.923076923076923,29.62962962962963,27.272727272727273,27.586206896551722,28.571428571428573,25.925925925925927,27.272727272727273,28.571428571428573,26.666666666666668,25.0
"(20, 30]",-1,82.89473684210526,81.81818181818181,80.59701492537313,83.33333333333333,83.78378378378379,81.15942028985508,82.85714285714286,82.14285714285714,81.53846153846153,77.77777777777777
"(20, 30]",1,17.105263157894736,18.181818181818183,19.402985074626866,16.666666666666668,16.216216216216218,18.840579710144926,17.142857142857142,17.857142857142858,18.46153846153846,22.22222222222222
"(30, 40]",-1,65.93406593406593,69.6969696969697,71.1340206185567,67.6470588235294,67.6470588235294,71.73913043478261,69.0721649484536,75.55555555555556,67.82608695652173,73.0
"(30, 40]",1,34.065934065934066,30.303030303030305,28.8659793814433,32.35294117647059,32.35294117647059,28.26086956521739,30.927835051546392,24.444444444444443,32.17391304347826,27.0
"(40, 50]",-1,58.57142857142857,58.333333333333336,57.46268656716418,56.2962962962963,57.57575757575758,56.94444444444444,56.48854961832061,54.60992907801418,57.6,55.333333333333336
"(40, 50]",1,41.42857142857143,41.666666666666664,42.53731343283582,43.7037037037037,42.42424242424242,43.05555555555556,43.51145038167939,45.39007092198582,42.4,44.666666666666664
"(50, 60]",-1,52.02312138728324,53.08641975308642,54.60526315789474,54.248366013071895,50.617283950617285,52.86624203821656,52.121212121212125,55.15151515151515,54.36241610738255,55.24475524475525
"(50, 60]",1,47.97687861271676,46.91358024691358,45.39473684210526,45.751633986928105,49.382716049382715,47.13375796178344,47.878787878787875,44.84848484848485,45.63758389261745,44.75524475524475
"(60, 70]",-1,35.338345864661655,36.054421768707485,37.857142857142854,34.48275862068966,36.76470588235294,36.170212765957444,36.92307692307692,38.46153846153846,35.97122302158273,35.97122302158273
"(60, 70]",1,64.66165413533835,63.945578231292515,62.142857142857146,65.51724137931035,63.23529411764706,63.829787234042556,63.07692307692308,61.53846153846154,64.02877697841727,64.02877697841727
"(70, 80]",-1,28.02547770700637,28.666666666666668,27.77777777777778,28.47682119205298,28.571428571428573,29.22077922077922,27.096774193548388,25.36231884057971,27.67295597484277,28.834355828220858
"(70, 80]",1,71.97452229299363,71.33333333333333,72.22222222222223,71.52317880794702,71.42857142857143,70.77922077922078,72.90322580645162,74.6376811594203,72.32704402515724,71.16564417177914
"(80, 90]",-1,19.35483870967742,21.774193548387096,21.875,20.895522388059703,20.155038759689923,19.37984496124031,22.764227642276424,25.0,22.413793103448278,21.09375
"(80, 90]",1,80.64516129032258,78.2258064516129,78.125,79.1044776119403,79.84496124031008,80.62015503875969,77.23577235772358,75.0,77.58620689655173,78.90625
"(90, 100]",-1,12.0,12.5,9.615384615384615,12.0,12.962962962962964,13.793103448275861,13.432835820895523,14.606741573033707,13.698630136986301,12.280701754385966
"(90, 100]",1,88.0,87.5,90.38461538461539,88.0,87.03703703703704,86.20689655172414,86.56716417910448,85.3932584269663,86.3013698630137,87.71929824561404
