MatchId,Season,Home_id,Away_id,Date,Score_home,Score_away,10x10bet_H,10x10bet_A,1xBet_H,1xBet_A,bet-at-home_H,bet-at-home_A,bet365_H,bet365_A,bwin_H,bwin_A,Coolbet_H,Coolbet_A,Curebet_H,Curebet_A,GGBET_H,GGBET_A,Lasbet_H,Lasbet_A,Marathonbet_H,Marathonbet_A,N1 Bet_H,N1 Bet_A,Pinnacle_H,Pinnacle_A,Unibet_H,Unibet_A,VOBET_H,VOBET_A,William Hill_H,William Hill_A
1,2022-2023,Phoenix Suns,Golden State Warriors,2022-10-25,134,105,-128,+104,-118,+110,-128,+100,-125,+104,-125,+104,-132,+110,-125,+104,-125,+100,-122,+108,-114,+112,-123,+104,-123,+110,-122,+104,-128,+104,-125,+104
2,2022-2023,Oklahoma City Thunder,Los Angeles Clippers,2022-10-25,108,94 ,+175,-222,+193,-204,+170,-227,+185,-227,+179,-222,+185,-222,+170,-208,+175,-222,+177,-204,+191,-227,+172,-204,+183,-204,+179,-222,+175,-222,+190,-233
3,2022-2023,New Orleans Pelicans,Dallas Mavericks,2022-10-25,113,111,+170,-213,+181,-196,+170,-222,+175,-213,+190,-238,+181,-217,+170,-208,+175,-213,+177,-204,+174,-204,+175,-208,+181,-204,+175,-213,+170,-213,+175,-208
4,2022-2023,Washington Wizards,Detroit Pistons,2022-10-25,120,99 ,-233,+183,-200,+188,-227,+175,-227,+185,-222,+179,-238,+195,-227,+188,-222,+179,-217,+189,-213,+181,-217,+181,-213,+188,-208,+175,-233,+183,-222,+179
5,2022-2023,Portland Trail Blazers,Denver Nuggets,2022-10-24,135,110,+165,-208,+175,-189,+160,-213,+170,-200,+165,-200,+170,-200,+168,-204,+160,-200,+171,-196,+170,-200,+169,-200,+174,-192,+170,-200,+165,-208,+170,-200
6,2022-2023,Chicago Bulls,Boston Celtics,2022-10-24,120,102,+175,-222,+191,-204,+165,-217,+185,-227,+195,-238,+181,-217,+179,-217,+175,-222,+185,-213,+188,-189,+172,-204,+175,-196,+179,-217,+175,-222,+179,-222
7,2022-2023,Houston Rockets,Utah Jazz,2022-10-24,114,108,-108,-115,+125,-133,+114,-145,+120,-141,+114,-139,+118,-139,+114,-137,+114,-143,+118,-133,+120,-139,+117,-137,+121,-133,+112,-133,+112,-139,+114,-135
8,2022-2023,Memphis Grizzlies,Brooklyn Nets,2022-10-24,134,124,-116,-106,-118,+110,-119,-106,-125,+104,-115,-105,-115,-103,-118,-101,-111,-105,-111,-102,-109,+106,-115,-103,-111,+100,-115,-103,-120,-103,-120,+100
9,2022-2023,Minnesota Timberwolves,San Antonio Spurs,2022-10-24,106,115,-455,+334,-333,+300,-385,+280,-370,+280,-357,+275,-357,+285,-357,+284,-400,+305,-345,+292,-333,+274,-370,+294,-345,+292,-357,+290,-370,+280,-357,+285
10,2022-2023,Miami Heat,Toronto Raptors,2022-10-24, 90,98 ,-169,+136,-159,+149,-172,+134,-167,+145,-161,+135,-169,+143,-167,+140,-154,+129,-161,+142,-164,+141,-167,+140,-159,+144,-175,+145,-169,+136,-169,+145
