,Name,Id,height,weights,role,role_2,salary,shoots,debut,birth
0,Jaylen Adams,adamsja01,183,102,Point Guard,,500210.0,Right,,May 4 1996
1,Giannis Antetokounmpo,antetgi01,211,109,Power Forward Small Forward Point Guard,Shooting Guard,147960110.0,Right,,December 6 1994
2,Thanasis Antetokounmpo,antetth01,198,99,Small Forward,,4982395.0,Right,,July 18 1992
3,D.J. Augustin,augusdj01,180,83,Point Guard,,64427444.0,Right,,November 10 1987
4,Elijah Bryant,bryanel01,196,95,Shooting Guard,,24611.0,Right,,April 19 1995
5,Pat Connaughton,connapa01,196,94,Shooting Guard,Small Forward,16506767.0,Right,,January 6 1993
6,Torrey Craig,craigto01,201,100,Small Forward,,10498613.0,Right,,December 19 1990
7,Mamadi Diakite,diakima01,206,103,Power Forward,,1200407.0,Right,,January 21 1997
8,Donte DiVincenzo,divindo01,193,92,Shooting Guard,,13106790.0,Right,,January 31 1997
9,Bryn Forbes,forbebr01,188,92,Shooting Guard,,14693227.0,Right,,July 23 1993
10,Jrue Holiday,holidjr01,190,92,Point Guard,Shooting Guard,182361829.0,Right,,June 12 1990
11,Justin Jackson,jacksju01,203,99,Small Forward,Power Forward,13792503.0,Right,,March 28 1995
12,Rodions Kurucs,kurucro01,206,103,Small Forward,Power Forward,5097708.0,Right,,February 5 1998
13,Brook Lopez,lopezbr01,213,127,Center,,159179511.0,Right,,April 1 1988
14,Sam Merrill,merrisa01,193,92,Shooting Guard,,2416291.0,Right,,May 15 1996
15,Khris Middleton,middlkh01,201,100,Small Forward,Shooting Guard,158632891.0,Right,,August 12 1991
16,Jordan Nwora,nworajo01,203,102,Small Forward,,2416291.0,Right,,September 9 1998
17,Bobby Portis,portibo01,208,113,Power Forward,Center,29826106.0,Right,,February 10 1995
18,Jeff Teague,teaguje01,190,88,Point Guard,,98794870.0,Right,,June 10 1988
19,Axel Toupane,toupaax01,201,89,Small Forward,,245581.0,Right,,July 23 1992
20,P.J. Tucker,tuckepj01,196,111,Small Forward Power Forward,Shooting Guard,57437354.0,Right,,May 5 1985
21,D.J. Wilson,wilsodj01,208,104,Power Forward,,12487213.0,Right,,February 19 1996
22,LaMarcus Aldridge,aldrila01,211,113,Power Forward,Center,215912616.0,Right,,July 19 1985
23,Jarrett Allen,allenja01,211,110,Center,,30034582.0,Right,,April 21 1998
24,Bruce Brown,brownbr01,193,91,Point Guard Small Forward,Shooting Guard,8655279.0,Right,,August 15 1996
25,Chris Chiozza,chiozch01,180,79,Point Guard,,137376.0,Right,,November 21 1995
26,Nic Claxton,claxtni01,211,97,Center,,4198912.0,Left,,April 17 1999
27,Tyler Cook,cookty01,203,115,Power Forward,Small Forward,844645.0,Right,,September 23 1997
28,Spencer Dinwiddie,dinwisp01,196,97,Point Guard,Shooting Guard,44654633.0,Right,,April 6 1993
29,Kevin Durant,duranke01,208,108,Small Forward Power Forward,Shooting Guard,307385868.0,Right,,September 29 1988
30,Jeff Green,greenje02,203,106,Power Forward Small Forward,Center,80294563.0,Right,,August 28 1986
31,Blake Griffin,griffbl01,206,113,Power Forward,Center,258368568.0,Right,,March 16 1989
32,James Harden,hardeja01,196,99,Shooting Guard,Point Guard,271996502.0,Left,,August 26 1989
33,Joe Harris,harrijo01,198,99,Shooting Guard,Small Forward,53663246.0,Right,,September 6 1991
34,Kyrie Irving,irvinky01,188,88,Point Guard,,194822757.0,Right,,March 23 1992
35,Mike James,jamesmi02,185,85,Point Guard,,325200.0,Right,,August 18 1990
36,Alize Johnson,johnsal02,201,96,Power Forward,,3880641.0,Right,,April 22 1996
37,Tyler Johnson,johnsty01,190,84,Point Guard,Shooting Guard,53443130.0,Left,,May 7 1992
38,DeAndre Jordan,jordade01,211,120,Center,,162751692.0,Left,,July 21 1988
39,Caris LeVert,leverca01,198,92,Shooting Guard,Small Forward,41226982.0,Right,,August 25 1994
40,Timothé Luwawu-Cabarrot,luwawti01,201,99,Small Forward,,8866034.0,Right,,May 9 1995
41,Norvel Pelle,pelleno01,208,104,Center,,1556954.0,Right,,February 3 1993
42,Reggie Perry,perryre01,203,113,Power Forward,,273850.0,Right,,March 21 2000
43,Taurean Prince,princta02,201,98,Power Forward,Small Forward,35999666.0,Right,,March 22 1994
44,Andre Roberson,roberan03,201,95,Shooting Guard,Small Forward,35940408.0,Right,,December 4 1991
45,Landry Shamet,shamela01,193,86,Shooting Guard,,9557142.0,Right,,March 13 1997
46,Iman Shumpert,shumpim01,196,97,Shooting Guard Small Forward,Point Guard,48590124.0,Right,,June 26 1990
47,Noah Vonleh,vonleno01,208,116,Power Forward,Center,15303923.0,Right,,August 24 1995
48,Deni Avdija,avdijde01,206,95,Small Forward,,9162000.0,Right,,January 3 2001
49,Bradley Beal,bealbr01,193,93,Shooting Guard,,177854711.0,Right,,June 28 1993
50,Jordan Bell,belljo01,203,97,Center,,4969310.0,Right,,January 7 1995
51,Dāvis Bertāns,bertada01,208,102,Power Forward,,46856082.0,Right,,November 12 1992
52,Isaac Bonga,bongais01,203,81,Small Forward,Point Guard,5809930.0,Right,,November 8 1999
53,Troy Brown Jr.,browntr01,198,97,Small Forward,,14511964.0,Right,,July 28 1999
54,Thomas Bryant,bryanth01,208,112,Center,,27193857.0,Right,,July 31 1997
55,Daniel Gafford,gaffoda01,208,106,Center,Power Forward,4198912.0,Right,,October 1 1998
56,Anthony Gill,gillan01,201,104,Power Forward,,2416291.0,Right,,October 17 1992
57,Rui Hachimura,hachiru01,203,104,Power Forward,,14078160.0,Right,,February 8 1998
58,Chandler Hutchison,hutchch01,198,95,Small Forward,,10786739.0,Right,,April 26 1996
59,Alex Len,lenal01,213,113,Center,,35726352.0,Right,,June 16 1993
60,Robin Lopez,lopezro01,213,127,Center,,96459944.0,Right,,April 1 1988
